    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      1.47613e-03      1.00000e+02      7.69031e-07
    1.01247e-01      1.47373e-03      1.00000e+02      7.69030e-07
    1.02408e-01      1.47131e-03      1.00000e+02      7.69028e-07
    1.03582e-01      1.46886e-03      1.00000e+02      7.69027e-07
    1.04769e-01      1.46638e-03      1.00000e+02      7.69026e-07
    1.05970e-01      1.46387e-03      1.00000e+02      7.69024e-07
    1.07184e-01      1.46134e-03      1.00000e+02      7.69023e-07
    1.08413e-01      1.45877e-03      1.00000e+02      7.69022e-07
    1.09655e-01      1.45618e-03      1.00000e+02      7.69020e-07
    1.10912e-01      1.45355e-03      1.00000e+02      7.69019e-07
    1.12184e-01      1.45090e-03      1.00000e+02      7.69017e-07
    1.13470e-01      1.44821e-03      1.00000e+02      7.69016e-07
    1.14770e-01      1.44550e-03      1.00000e+02      7.69014e-07
    1.16086e-01      1.44275e-03      1.00000e+02      7.69013e-07
    1.17417e-01      1.43997e-03      1.00000e+02      7.69011e-07
    1.18763e-01      1.43716e-03      1.00000e+02      7.69010e-07
    1.20124e-01      1.43432e-03      1.00000e+02      7.69008e-07
    1.21501e-01      1.43145e-03      1.00000e+02      7.69007e-07
    1.22894e-01      1.42854e-03      1.00000e+02      7.69005e-07
    1.24303e-01      1.42560e-03      1.00000e+02      7.69003e-07
    1.25728e-01      1.42262e-03      1.00000e+02      7.69002e-07
    1.27169e-01      1.41961e-03      1.00000e+02      7.69000e-07
    1.28627e-01      1.41657e-03      1.00000e+02      7.68998e-07
    1.30101e-01      1.41349e-03      1.00000e+02      7.68997e-07
    1.31593e-01      1.41058e-03      1.00000e+02      7.68995e-07
    1.33101e-01      1.40765e-03      1.00000e+02      7.68994e-07
    1.34627e-01      1.40468e-03      1.00000e+02      7.68992e-07
    1.36171e-01      1.40168e-03      1.00000e+02      7.68990e-07
    1.37732e-01      1.39865e-03      1.00000e+02      7.68989e-07
    1.39311e-01      1.39559e-03      1.00000e+02      7.68987e-07
    1.40908e-01      1.39248e-03      1.00000e+02      7.68985e-07
    1.42523e-01      1.38935e-03      1.00000e+02      7.68984e-07
    1.44157e-01      1.38617e-03      1.00000e+02      7.68982e-07
    1.45810e-01      1.38296e-03      1.00000e+02      7.68980e-07
    1.47482e-01      1.37971e-03      1.00000e+02      7.68978e-07
    1.49173e-01      1.37643e-03      1.00000e+02      7.68977e-07
    1.50883e-01      1.37311e-03      1.00000e+02      7.68975e-07
    1.52613e-01      1.36975e-03      1.00000e+02      7.68973e-07
    1.54363e-01      1.36635e-03      1.00000e+02      7.68971e-07
    1.56133e-01      1.36291e-03      1.00000e+02      7.68969e-07
