    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      8.67295e-01      5.00000e+00      7.43456e-07
    1.02614e-02      8.62747e-01      5.00000e+00      7.43456e-07
    1.04254e-02      8.58125e-01      5.00000e+00      7.43456e-07
    1.05921e-02      8.53428e-01      5.00000e+00      7.43456e-07
    1.07615e-02      8.48656e-01      5.00000e+00      7.43455e-07
    1.09336e-02      8.43806e-01      5.00000e+00      7.43455e-07
    1.11084e-02      8.38879e-01      5.00000e+00      7.43455e-07
    1.12861e-02      8.33871e-01      5.00000e+00      7.43455e-07
    1.14667e-02      8.28783e-01      5.00000e+00      7.43455e-07
    1.16502e-02      8.23613e-01      5.00000e+00      7.43455e-07
    1.18366e-02      8.18359e-01      5.00000e+00      7.43455e-07
    1.20261e-02      8.13021e-01      5.00000e+00      7.43455e-07
    1.22186e-02      8.07596e-01      5.00000e+00      7.43455e-07
    1.24142e-02      8.02084e-01      5.00000e+00      7.43455e-07
    1.26129e-02      7.96483e-01      5.00000e+00      7.43455e-07
    1.28149e-02      7.90791e-01      5.00000e+00      7.43455e-07
    1.30202e-02      7.85008e-01      5.00000e+00      7.43454e-07
    1.32287e-02      7.79131e-01      5.00000e+00      7.43454e-07
    1.34406e-02      7.73159e-01      5.00000e+00      7.43454e-07
    1.36560e-02      7.67091e-01      5.00000e+00      7.43454e-07
    1.38748e-02      7.60925e-01      5.00000e+00      7.43454e-07
    1.40971e-02      7.54660e-01      5.00000e+00      7.43454e-07
    1.43231e-02      7.48293e-01      5.00000e+00      7.43454e-07
    1.45527e-02      7.41823e-01      5.00000e+00      7.43454e-07
    1.47859e-02      7.35249e-01      5.00000e+00      7.43454e-07
    1.50230e-02      7.28569e-01      5.00000e+00      7.43454e-07
    1.52639e-02      7.21782e-01      5.00000e+00      7.43453e-07
    1.55086e-02      7.14884e-01      5.00000e+00      7.43453e-07
    1.57574e-02      7.07876e-01      5.00000e+00      7.43453e-07
    1.60101e-02      7.00754e-01      5.00000e+00      7.43453e-07
    1.62669e-02      6.93517e-01      5.00000e+00      7.43453e-07
    1.65279e-02      6.86163e-01      5.00000e+00      7.43453e-07
    1.67931e-02      6.78691e-01      5.00000e+00      7.43453e-07
    1.70625e-02      6.71098e-01      5.00000e+00      7.43453e-07
    1.73363e-02      6.63382e-01      5.00000e+00      7.43453e-07
    1.76145e-02      6.55542e-01      5.00000e+00      7.43452e-07
    1.78972e-02      6.47576e-01      5.00000e+00      7.43452e-07
    1.81845e-02      6.39480e-01      5.00000e+00      7.43452e-07
    1.84764e-02      6.31255e-01      5.00000e+00      7.43452e-07
    1.87731e-02      6.22896e-01      5.00000e+00      7.43452e-07
    1.90745e-02      6.14402e-01      5.00000e+00      7.43452e-07
    1.93808e-02      6.05772e-01      5.00000e+00      7.43452e-07
    1.96920e-02      5.97002e-01      5.00000e+00      7.43452e-07
    2.00082e-02      5.88090e-01      5.00000e+00      7.43451e-07
    2.03296e-02      5.79035e-01      5.00000e+00      7.43451e-07
    2.06561e-02      5.69833e-01      5.00000e+00      7.43451e-07
