    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      9.32597e-03      1.00000e+01      7.43437e-07
    5.07438e-02      9.15930e-03      1.00000e+01      7.43437e-07
    5.13959e-02      8.99049e-03      1.00000e+01      7.43436e-07
    5.20564e-02      8.81949e-03      1.00000e+01      7.43436e-07
    5.27254e-02      8.64630e-03      1.00000e+01      7.43435e-07
    5.34030e-02      8.47088e-03      1.00000e+01      7.43434e-07
    5.40893e-02      8.29320e-03      1.00000e+01      7.43434e-07
    5.47845e-02      8.11323e-03      1.00000e+01      7.43433e-07
    5.54886e-02      7.93094e-03      1.00000e+01      7.43433e-07
    5.62018e-02      7.74631e-03      1.00000e+01      7.43432e-07
    5.69242e-02      7.55930e-03      1.00000e+01      7.43432e-07
    5.76558e-02      7.36988e-03      1.00000e+01      7.43431e-07
    5.83969e-02      7.17802e-03      1.00000e+01      7.43431e-07
    5.91476e-02      6.98369e-03      1.00000e+01      7.43430e-07
    5.99079e-02      6.78686e-03      1.00000e+01      7.43429e-07
    6.06779e-02      6.58749e-03      1.00000e+01      7.43429e-07
    6.14580e-02      6.38556e-03      1.00000e+01      7.43428e-07
    6.22480e-02      6.18103e-03      1.00000e+01      7.43428e-07
    6.30482e-02      5.97386e-03      1.00000e+01      7.43427e-07
    6.38587e-02      5.76403e-03      1.00000e+01      7.43426e-07
    6.46797e-02      5.55149e-03      1.00000e+01      7.43426e-07
    6.55112e-02      5.33622e-03      1.00000e+01      7.43425e-07
    6.63535e-02      5.11818e-03      1.00000e+01      7.43424e-07
    6.72066e-02      4.89733e-03      1.00000e+01      7.43424e-07
    6.80706e-02      4.67363e-03      1.00000e+01      7.43423e-07
    6.89458e-02      4.44706e-03      1.00000e+01      7.43422e-07
    6.98323e-02      4.21756e-03      1.00000e+01      7.43422e-07
    7.07302e-02      3.98512e-03      1.00000e+01      7.43421e-07
    7.16396e-02      3.74968e-03      1.00000e+01      7.43420e-07
    7.25607e-02      3.51120e-03      1.00000e+01      7.43420e-07
    7.34938e-02      3.26966e-03      1.00000e+01      7.43419e-07
    7.44388e-02      3.02501e-03      1.00000e+01      7.43418e-07
    7.53960e-02      2.77721e-03      1.00000e+01      7.43417e-07
    7.63655e-02      2.52621e-03      1.00000e+01      7.43417e-07
    7.73475e-02      2.27199e-03      1.00000e+01      7.43416e-07
    7.83421e-02      2.01449e-03      1.00000e+01      7.43415e-07
    7.93496e-02      1.75367e-03      1.00000e+01      7.43414e-07
    8.03700e-02      1.51965e-03      1.00000e+01      7.43513e-07
    8.14035e-02      1.51740e-03      1.00000e+01      7.44388e-07
    8.24504e-02      1.51511e-03      1.00000e+01      7.45274e-07
