    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      6.45270e+01      1.00000e+02      9.66995e+01
    1.01247e-01      6.38940e+01      1.00000e+02      9.51145e+01
    1.02408e-01      6.32537e+01      1.00000e+02      9.35113e+01
    1.03582e-01      6.26061e+01      1.00000e+02      9.18897e+01
    1.04769e-01      6.19510e+01      1.00000e+02      9.02495e+01
    1.05970e-01      6.12884e+01      1.00000e+02      8.85904e+01
    1.07184e-01      6.06182e+01      1.00000e+02      8.69124e+01
    1.08413e-01      5.99404e+01      1.00000e+02      8.52151e+01
    1.09655e-01      5.92547e+01      1.00000e+02      8.34983e+01
    1.10912e-01      5.85612e+01      1.00000e+02      8.17618e+01
    1.12184e-01      5.78597e+01      1.00000e+02      8.00054e+01
    1.13470e-01      5.71502e+01      1.00000e+02      7.82289e+01
    1.14770e-01      5.64326e+01      1.00000e+02      7.64319e+01
    1.16086e-01      5.57067e+01      1.00000e+02      7.46144e+01
    1.17417e-01      5.49725e+01      1.00000e+02      7.27760e+01
    1.18763e-01      5.42298e+01      1.00000e+02      7.09165e+01
    1.20124e-01      5.34787e+01      1.00000e+02      6.90356e+01
    1.21501e-01      5.27189e+01      1.00000e+02      6.71332e+01
    1.22894e-01      5.19504e+01      1.00000e+02      6.52090e+01
    1.24303e-01      5.11731e+01      1.00000e+02      6.32627e+01
    1.25728e-01      5.04249e+01      1.00000e+02      6.14398e+01
    1.27169e-01      4.98824e+01      1.00000e+02      6.04155e+01
    1.28627e-01      4.93336e+01      1.00000e+02      5.93794e+01
    1.30101e-01      4.87785e+01      1.00000e+02      5.83314e+01
    1.31593e-01      4.82170e+01      1.00000e+02      5.72714e+01
    1.33101e-01      4.76491e+01      1.00000e+02      5.61992e+01
    1.34627e-01      4.70747e+01      1.00000e+02      5.51148e+01
    1.36171e-01      4.64936e+01      1.00000e+02      5.40179e+01
    1.37732e-01      4.59060e+01      1.00000e+02      5.29084e+01
    1.39311e-01      4.53115e+01      1.00000e+02      5.17862e+01
    1.40908e-01      4.47103e+01      1.00000e+02      5.06511e+01
    1.42523e-01      4.41021e+01      1.00000e+02      4.95030e+01
    1.44157e-01      4.34870e+01      1.00000e+02      4.83417e+01
    1.45810e-01      4.28648e+01      1.00000e+02      4.71671e+01
    1.47482e-01      4.22355e+01      1.00000e+02      4.59790e+01
    1.49173e-01      4.15990e+01      1.00000e+02      4.47772e+01
    1.50883e-01      4.09552e+01      1.00000e+02      4.35617e+01
    1.52613e-01      4.03039e+01      1.00000e+02      4.23323e+01
    1.54363e-01      3.96452e+01      1.00000e+02      4.10887e+01
    1.56133e-01      3.89908e+01      1.00000e+02      3.98667e+01
    1.57923e-01      3.85061e+01      1.00000e+02      3.91649e+01
    1.59733e-01      3.80159e+01      1.00000e+02      3.84552e+01
    1.61565e-01      3.75200e+01      1.00000e+02      3.77372e+01
    1.63417e-01      3.70184e+01      1.00000e+02      3.70111e+01
    1.65291e-01      3.65111e+01      1.00000e+02      3.62766e+01
    1.67186e-01      3.59979e+01      1.00000e+02      3.55337e+01
    1.69103e-01      3.54789e+01      1.00000e+02      3.47822e+01
    1.71042e-01      3.49539e+01      1.00000e+02      3.40222e+01
    1.73003e-01      3.44229e+01      1.00000e+02      3.32534e+01
    1.74987e-01      3.38858e+01      1.00000e+02      3.24758e+01
    1.76994e-01      3.33425e+01      1.00000e+02      3.16892e+01
    1.79023e-01      3.27930e+01      1.00000e+02      3.08937e+01
    1.81076e-01      3.22372e+01      1.00000e+02      3.00890e+01
    1.83152e-01      3.16750e+01      1.00000e+02      2.92751e+01
    1.85252e-01      3.11064e+01      1.00000e+02      2.84518e+01
    1.87377e-01      3.05894e+01      1.00000e+02      2.77487e+01
    1.89525e-01      3.01553e+01      1.00000e+02      2.72355e+01
    1.91698e-01      2.97163e+01      1.00000e+02      2.67163e+01
    1.93897e-01      2.92723e+01      1.00000e+02      2.61913e+01
    1.96120e-01      2.88231e+01      1.00000e+02      2.56602e+01
    1.98369e-01      2.83688e+01      1.00000e+02      2.51230e+01
    2.00644e-01      2.79093e+01      1.00000e+02      2.45796e+01
    2.02944e-01      2.74445e+01      1.00000e+02      2.40301e+01
    2.05272e-01      2.69744e+01      1.00000e+02      2.34742e+01
    2.07626e-01      2.64988e+01      1.00000e+02      2.29119e+01
    2.10006e-01      2.60179e+01      1.00000e+02      2.23432e+01
    2.12415e-01      2.55314e+01      1.00000e+02      2.17679e+01
    2.14851e-01      2.50393e+01      1.00000e+02      2.11861e+01
    2.17314e-01      2.45548e+01      1.00000e+02      2.06202e+01
    2.19806e-01      2.41717e+01      1.00000e+02      2.02308e+01
    2.22327e-01      2.37841e+01      1.00000e+02      1.98370e+01
    2.24877e-01      2.33922e+01      1.00000e+02      1.94386e+01
    2.27455e-01      2.29957e+01      1.00000e+02      1.90357e+01
    2.30064e-01      2.25947e+01      1.00000e+02      1.86281e+01
    2.32702e-01      2.21891e+01      1.00000e+02      1.82159e+01
    2.35371e-01      2.17788e+01      1.00000e+02      1.77990e+01
    2.38070e-01      2.13639e+01      1.00000e+02      1.73772e+01
    2.40800e-01      2.09441e+01      1.00000e+02      1.69506e+01
    2.43562e-01      2.05196e+01      1.00000e+02      1.65192e+01
    2.46355e-01      2.00902e+01      1.00000e+02      1.60828e+01
    2.49180e-01      1.97097e+01      1.00000e+02      1.57203e+01
    2.52038e-01      1.93647e+01      1.00000e+02      1.54124e+01
    2.54928e-01      1.90158e+01      1.00000e+02      1.51009e+01
    2.57852e-01      1.86629e+01      1.00000e+02      1.47858e+01
    2.60809e-01      1.83059e+01      1.00000e+02      1.44672e+01
    2.63800e-01      1.79449e+01      1.00000e+02      1.41449e+01
    2.66826e-01      1.75797e+01      1.00000e+02      1.38188e+01
    2.69886e-01      1.72103e+01      1.00000e+02      1.34891e+01
    2.72981e-01      1.68367e+01      1.00000e+02      1.31555e+01
    2.76112e-01      1.64588e+01      1.00000e+02      1.28181e+01
    2.79278e-01      1.61082e+01      1.00000e+02      1.25138e+01
    2.82481e-01      1.58048e+01      1.00000e+02      1.22657e+01
    2.85721e-01      1.54979e+01      1.00000e+02      1.20148e+01
    2.88998e-01      1.51875e+01      1.00000e+02      1.17610e+01
    2.92313e-01      1.48736e+01      1.00000e+02      1.15043e+01
    2.95665e-01      1.45560e+01      1.00000e+02      1.12447e+01
    2.99056e-01      1.42348e+01      1.00000e+02      1.09820e+01
    3.02486e-01      1.39100e+01      1.00000e+02      1.07164e+01
    3.05955e-01      1.35813e+01      1.00000e+02      1.04477e+01
    3.09464e-01      1.32663e+01      1.00000e+02      1.01937e+01
    3.13013e-01      1.29991e+01      1.00000e+02      9.98953e+00
    3.16603e-01      1.27287e+01      1.00000e+02      9.78299e+00
    3.20235e-01      1.24553e+01      1.00000e+02      9.57409e+00
    3.23908e-01      1.21788e+01      1.00000e+02      9.36279e+00
    3.27623e-01      1.18990e+01      1.00000e+02      9.14907e+00
    3.31380e-01      1.16161e+01      1.00000e+02      8.93289e+00
    3.35181e-01      1.13299e+01      1.00000e+02      8.71424e+00
    3.39025e-01      1.10404e+01      1.00000e+02      8.49307e+00
    3.42914e-01      1.08042e+01      1.00000e+02      8.32161e+00
    3.46847e-01      1.05660e+01      1.00000e+02      8.14896e+00
    3.50825e-01      1.03252e+01      1.00000e+02      7.97433e+00
    3.54849e-01      1.00815e+01      1.00000e+02      7.79770e+00
    3.58919e-01      9.83512e+00      1.00000e+02      7.61904e+00
