    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      2.48969e+02      1.00000e+02      9.56502e+03
    1.02614e-02      2.48082e+02      1.00000e+02      9.47572e+03
    1.04254e-02      2.47181e+02      1.00000e+02      9.38497e+03
    1.05921e-02      2.46265e+02      1.00000e+02      9.29277e+03
    1.07615e-02      2.45335e+02      1.00000e+02      9.19907e+03
    1.09336e-02      2.44389e+02      1.00000e+02      9.10386e+03
    1.11084e-02      2.43429e+02      1.00000e+02      9.00711e+03
    1.12861e-02      2.42452e+02      1.00000e+02      8.90880e+03
    1.14667e-02      2.41460e+02      1.00000e+02      8.80891e+03
    1.16502e-02      2.40452e+02      1.00000e+02      8.70740e+03
    1.18366e-02      2.39428e+02      1.00000e+02      8.60425e+03
    1.20261e-02      2.38387e+02      1.00000e+02      8.49944e+03
    1.22186e-02      2.37330e+02      1.00000e+02      8.39294e+03
    1.24142e-02      2.36255e+02      1.00000e+02      8.28471e+03
    1.26129e-02      2.35163e+02      1.00000e+02      8.17475e+03
    1.28149e-02      2.34053e+02      1.00000e+02      8.06300e+03
    1.30202e-02      2.32926e+02      1.00000e+02      7.94945e+03
    1.32287e-02      2.31780e+02      1.00000e+02      7.83407e+03
    1.34406e-02      2.30615e+02      1.00000e+02      7.71683e+03
    1.36560e-02      2.29432e+02      1.00000e+02      7.59769e+03
    1.38748e-02      2.28230e+02      1.00000e+02      7.47663e+03
    1.40971e-02      2.27009e+02      1.00000e+02      7.35362e+03
    1.43231e-02      2.25767e+02      1.00000e+02      7.22862e+03
    1.45527e-02      2.24506e+02      1.00000e+02      7.10161e+03
    1.47859e-02      2.23224e+02      1.00000e+02      6.97254e+03
    1.50230e-02      2.21922e+02      1.00000e+02      6.84139e+03
    1.52639e-02      2.20599e+02      1.00000e+02      6.70812e+03
    1.55086e-02      2.19254e+02      1.00000e+02      6.57270e+03
    1.57574e-02      2.17887e+02      1.00000e+02      6.43510e+03
    1.60101e-02      2.16499e+02      1.00000e+02      6.29528e+03
    1.62669e-02      2.15088e+02      1.00000e+02      6.15319e+03
    1.65279e-02      2.13654e+02      1.00000e+02      6.00882e+03
    1.67931e-02      2.12197e+02      1.00000e+02      5.86211e+03
    1.70625e-02      2.10717e+02      1.00000e+02      5.71304e+03
    1.73363e-02      2.09213e+02      1.00000e+02      5.56156e+03
    1.76145e-02      2.07684e+02      1.00000e+02      5.40763e+03
    1.78972e-02      2.06131e+02      1.00000e+02      5.25122e+03
    1.81845e-02      2.04553e+02      1.00000e+02      5.09229e+03
    1.84764e-02      2.02949e+02      1.00000e+02      4.93079e+03
    1.87731e-02      2.01319e+02      1.00000e+02      4.76668e+03
    1.90745e-02      1.99663e+02      1.00000e+02      4.59992e+03
    1.93808e-02      1.97981e+02      1.00000e+02      4.43048e+03
    1.96920e-02      1.96271e+02      1.00000e+02      4.25829e+03
    2.00082e-02      1.94533e+02      1.00000e+02      4.08333e+03
    2.03296e-02      1.92768e+02      1.00000e+02      3.90555e+03
    2.06561e-02      1.90974e+02      1.00000e+02      3.72489e+03
    2.09879e-02      1.89151e+02      1.00000e+02      3.54132e+03
    2.13251e-02      1.87299e+02      1.00000e+02      3.35478e+03
    2.16677e-02      1.85416e+02      1.00000e+02      3.16523e+03
    2.20158e-02      1.83504e+02      1.00000e+02      2.97263e+03
    2.23696e-02      1.81560e+02      1.00000e+02      2.77691e+03
    2.27291e-02      1.79585e+02      1.00000e+02      2.57804e+03
    2.30943e-02      1.77578e+02      1.00000e+02      2.37596e+03
    2.34655e-02      1.75539e+02      1.00000e+02      2.17061e+03
    2.38426e-02      1.73467e+02      1.00000e+02      1.96195e+03
    2.42259e-02      1.71362e+02      1.00000e+02      1.74992e+03
    2.46153e-02      1.69222e+02      1.00000e+02      1.53447e+03
    2.50110e-02      1.68086e+02      1.00000e+02      1.49484e+03
