    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      1.86908e-04      1.00000e+02      9.27263e-07
    2.52651e-01      1.86665e-04      1.00000e+02      9.27256e-07
    2.55227e-01      1.86418e-04      1.00000e+02      9.27249e-07
    2.57830e-01      1.86170e-04      1.00000e+02      9.27242e-07
    2.60459e-01      1.85919e-04      1.00000e+02      9.27235e-07
    2.63115e-01      1.85665e-04      1.00000e+02      9.27228e-07
    2.65799e-01      1.85409e-04      1.00000e+02      9.27220e-07
    2.68509e-01      1.85150e-04      1.00000e+02      9.27213e-07
    2.71248e-01      1.84888e-04      1.00000e+02      9.27206e-07
    2.74014e-01      1.84624e-04      1.00000e+02      9.27198e-07
    2.76808e-01      1.84357e-04      1.00000e+02      9.27191e-07
    2.79631e-01      1.84087e-04      1.00000e+02      9.27183e-07
    2.82483e-01      1.83815e-04      1.00000e+02      9.27176e-07
    2.85364e-01      1.83540e-04      1.00000e+02      9.27168e-07
    2.88274e-01      1.83262e-04      1.00000e+02      9.27160e-07
    2.91214e-01      1.82985e-04      1.00000e+02      9.27154e-07
    2.94184e-01      1.82713e-04      1.00000e+02      9.27151e-07
    2.97185e-01      1.82437e-04      1.00000e+02      9.27148e-07
    3.00215e-01      1.82159e-04      1.00000e+02      9.27144e-07
    3.03277e-01      1.81878e-04      1.00000e+02      9.27141e-07
    3.06370e-01      1.81594e-04      1.00000e+02      9.27138e-07
    3.09495e-01      1.81307e-04      1.00000e+02      9.27134e-07
    3.12651e-01      1.81018e-04      1.00000e+02      9.27131e-07
    3.15840e-01      1.80725e-04      1.00000e+02      9.27128e-07
    3.19061e-01      1.80429e-04      1.00000e+02      9.27124e-07
    3.22315e-01      1.80131e-04      1.00000e+02      9.27121e-07
    3.25602e-01      1.79829e-04      1.00000e+02      9.27117e-07
    3.28923e-01      1.79524e-04      1.00000e+02      9.27114e-07
    3.32278e-01      1.79223e-04      1.00000e+02      9.27110e-07
    3.35667e-01      1.78923e-04      1.00000e+02      9.27106e-07
    3.39090e-01      1.78621e-04      1.00000e+02      9.27102e-07
    3.42549e-01      1.78315e-04      1.00000e+02      9.27098e-07
    3.46042e-01      1.78006e-04      1.00000e+02      9.27094e-07
    3.49572e-01      1.77694e-04      1.00000e+02      9.27090e-07
    3.53137e-01      1.77378e-04      1.00000e+02      9.27086e-07
    3.56739e-01      1.77060e-04      1.00000e+02      9.27082e-07
    3.60377e-01      1.76738e-04      1.00000e+02      9.27078e-07
    3.64053e-01      1.76413e-04      1.00000e+02      9.27074e-07
    3.67766e-01      1.76084e-04      1.00000e+02      9.27070e-07
    3.71517e-01      1.75756e-04      1.00000e+02      9.27065e-07
    3.75306e-01      1.75433e-04      1.00000e+02      9.27061e-07
    3.79134e-01      1.75106e-04      1.00000e+02      9.27056e-07
    3.83001e-01      1.74776e-04      1.00000e+02      9.27051e-07
    3.86907e-01      1.74443e-04      1.00000e+02      9.27047e-07
    3.90853e-01      1.74106e-04      1.00000e+02      9.27042e-07
    3.94840e-01      1.73766e-04      1.00000e+02      9.27037e-07
    3.98867e-01      1.73422e-04      1.00000e+02      9.27032e-07
    4.02935e-01      1.73075e-04      1.00000e+02      9.27027e-07
    4.07045e-01      1.72724e-04      1.00000e+02      9.27022e-07
    4.11196e-01      1.72372e-04      1.00000e+02      9.27017e-07
    4.15391e-01      1.72026e-04      1.00000e+02      9.27012e-07
    4.19627e-01      1.71676e-04      1.00000e+02      9.27007e-07
    4.23907e-01      1.71323e-04      1.00000e+02      9.27002e-07
    4.28231e-01      1.70967e-04      1.00000e+02      9.26997e-07
    4.32599e-01      1.70607e-04      1.00000e+02      9.26991e-07
    4.37011e-01      1.70243e-04      1.00000e+02      9.26986e-07
    4.41469e-01      1.69875e-04      1.00000e+02      9.26981e-07
    4.45971e-01      1.69504e-04      1.00000e+02      9.26975e-07
    4.50520e-01      1.69129e-04      1.00000e+02      9.26970e-07
    4.55115e-01      1.68761e-04      1.00000e+02      9.26964e-07
    4.59758e-01      1.68390e-04      1.00000e+02      9.26958e-07
    4.64447e-01      1.68015e-04      1.00000e+02      9.26953e-07
    4.69184e-01      1.67637e-04      1.00000e+02      9.26947e-07
    4.73970e-01      1.67254e-04      1.00000e+02      9.26941e-07
    4.78804e-01      1.66868e-04      1.00000e+02      9.26935e-07
    4.83688e-01      1.66478e-04      1.00000e+02      9.26928e-07
    4.88622e-01      1.66084e-04      1.00000e+02      9.26922e-07
    4.93606e-01      1.65692e-04      1.00000e+02      9.26916e-07
    4.98640e-01      1.65302e-04      1.00000e+02      9.26910e-07
    5.03726e-01      1.64908e-04      1.00000e+02      9.26904e-07
    5.08865e-01      1.64510e-04      1.00000e+02      9.26897e-07
    5.14055e-01      1.64108e-04      1.00000e+02      9.26891e-07
    5.19298e-01      1.63702e-04      1.00000e+02      9.26885e-07
    5.24595e-01      1.63292e-04      1.00000e+02      9.26878e-07
    5.29946e-01      1.62877e-04      1.00000e+02      9.26872e-07
    5.35352e-01      1.62469e-04      1.00000e+02      9.26865e-07
    5.40812e-01      1.62059e-04      1.00000e+02      9.26858e-07
    5.46329e-01      1.61645e-04      1.00000e+02      9.26851e-07
    5.51901e-01      1.61227e-04      1.00000e+02      9.26844e-07
    5.57531e-01      1.60804e-04      1.00000e+02      9.26837e-07
    5.63218e-01      1.60378e-04      1.00000e+02      9.26830e-07
    5.68963e-01      1.59946e-04      1.00000e+02      9.26823e-07
    5.74766e-01      1.59518e-04      1.00000e+02      9.26816e-07
    5.80629e-01      1.59091e-04      1.00000e+02      9.26808e-07
    5.86552e-01      1.58659e-04      1.00000e+02      9.26801e-07
    5.92535e-01      1.58223e-04      1.00000e+02      9.26793e-07
    5.98579e-01      1.57783e-04      1.00000e+02      9.26786e-07
    6.04684e-01      1.57338e-04      1.00000e+02      9.26778e-07
    6.10852e-01      1.56888e-04      1.00000e+02      9.26770e-07
    6.17083e-01      1.56446e-04      1.00000e+02      9.26763e-07
    6.23378e-01      1.56000e-04      1.00000e+02      9.26756e-07
    6.29736e-01      1.55550e-04      1.00000e+02      9.26749e-07
    6.36160e-01      1.55095e-04      1.00000e+02      9.26742e-07
    6.42649e-01      1.54636e-04      1.00000e+02      9.26734e-07
    6.49204e-01      1.54172e-04      1.00000e+02      9.26727e-07
    6.55827e-01      1.53711e-04      1.00000e+02      9.26720e-07
    6.62516e-01      1.53250e-04      1.00000e+02      9.26712e-07
    6.69274e-01      1.52785e-04      1.00000e+02      9.26705e-07
    6.76101e-01      1.52314e-04      1.00000e+02      9.26698e-07
