    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      2.33052e-02      5.00000e+00      9.27491e-07
    5.07729e-02      2.29553e-02      5.00000e+00      9.27491e-07
    5.14550e-02      2.26008e-02      5.00000e+00      9.27490e-07
    5.21461e-02      2.22414e-02      5.00000e+00      9.27489e-07
    5.28466e-02      2.18773e-02      5.00000e+00      9.27489e-07
    5.35565e-02      2.15082e-02      5.00000e+00      9.27488e-07
    5.42760e-02      2.11342e-02      5.00000e+00      9.27487e-07
    5.50052e-02      2.07551e-02      5.00000e+00      9.27487e-07
    5.57441e-02      2.03710e-02      5.00000e+00      9.27486e-07
    5.64931e-02      1.99816e-02      5.00000e+00      9.27485e-07
    5.72520e-02      1.95871e-02      5.00000e+00      9.27485e-07
    5.80213e-02      1.91872e-02      5.00000e+00      9.27484e-07
    5.88008e-02      1.87819e-02      5.00000e+00      9.27483e-07
    5.95909e-02      1.83712e-02      5.00000e+00      9.27483e-07
    6.03916e-02      1.79549e-02      5.00000e+00      9.27482e-07
    6.12030e-02      1.75331e-02      5.00000e+00      9.27481e-07
    6.20254e-02      1.71056e-02      5.00000e+00      9.27480e-07
    6.28589e-02      1.66723e-02      5.00000e+00      9.27480e-07
    6.37035e-02      1.62332e-02      5.00000e+00      9.27479e-07
    6.45596e-02      1.57881e-02      5.00000e+00      9.27478e-07
    6.54271e-02      1.53371e-02      5.00000e+00      9.27477e-07
    6.63064e-02      1.48800e-02      5.00000e+00      9.27477e-07
    6.71974e-02      1.44168e-02      5.00000e+00      9.27476e-07
    6.81005e-02      1.39473e-02      5.00000e+00      9.27475e-07
    6.90157e-02      1.34715e-02      5.00000e+00      9.27474e-07
    6.99433e-02      1.29893e-02      5.00000e+00      9.27473e-07
    7.08833e-02      1.25007e-02      5.00000e+00      9.27472e-07
    7.18360e-02      1.20054e-02      5.00000e+00      9.27472e-07
    7.28014e-02      1.15035e-02      5.00000e+00      9.27471e-07
    7.37799e-02      1.09948e-02      5.00000e+00      9.27470e-07
    7.47716e-02      1.04793e-02      5.00000e+00      9.27469e-07
    7.57766e-02      9.95680e-03      5.00000e+00      9.27468e-07
    7.67951e-02      9.42730e-03      5.00000e+00      9.27467e-07
    7.78274e-02      8.89067e-03      5.00000e+00      9.27466e-07
    7.88735e-02      8.34683e-03      5.00000e+00      9.27465e-07
    7.99337e-02      7.79566e-03      5.00000e+00      9.27464e-07
    8.10082e-02      7.23708e-03      5.00000e+00      9.27463e-07
    8.20971e-02      6.67097e-03      5.00000e+00      9.27462e-07
    8.32007e-02      6.09725e-03      5.00000e+00      9.27461e-07
    8.43192e-02      5.51581e-03      5.00000e+00      9.27460e-07
    8.54527e-02      4.92654e-03      5.00000e+00      9.27459e-07
    8.66014e-02      4.32934e-03      5.00000e+00      9.27458e-07
    8.77657e-02      3.72410e-03      5.00000e+00      9.27457e-07
    8.89456e-02      3.11071e-03      5.00000e+00      9.27456e-07
    9.01413e-02      2.48908e-03      5.00000e+00      9.27455e-07
    9.13532e-02      2.34596e-03      5.00000e+00      9.27454e-07
    9.25814e-02      2.30566e-03      5.00000e+00      9.27452e-07
    9.38261e-02      2.26481e-03      5.00000e+00      9.27450e-07
    9.50875e-02      2.22342e-03      5.00000e+00      9.27448e-07
    9.63660e-02      2.18147e-03      5.00000e+00      9.27447e-07
    9.76616e-02      2.13895e-03      5.00000e+00      9.27445e-07
    9.89747e-02      2.09587e-03      5.00000e+00      9.27443e-07
    1.00305e-01      2.05220e-03      5.00000e+00      9.27441e-07
    1.01654e-01      2.00795e-03      5.00000e+00      9.27439e-07
    1.03021e-01      1.96310e-03      5.00000e+00      9.27437e-07
    1.04406e-01      1.91764e-03      5.00000e+00      9.27435e-07
    1.05810e-01      1.87158e-03      5.00000e+00      9.27433e-07
    1.07233e-01      1.82489e-03      5.00000e+00      9.27431e-07
    1.08675e-01      1.77758e-03      5.00000e+00      9.27429e-07
    1.10136e-01      1.72963e-03      5.00000e+00      9.27427e-07
    1.11617e-01      1.68103e-03      5.00000e+00      9.27425e-07
    1.13118e-01      1.63178e-03      5.00000e+00      9.27423e-07
    1.14639e-01      1.58187e-03      5.00000e+00      9.27421e-07
    1.16181e-01      1.53128e-03      5.00000e+00      9.27419e-07
    1.17743e-01      1.48002e-03      5.00000e+00      9.27417e-07
    1.19326e-01      1.42806e-03      5.00000e+00      9.27415e-07
    1.20931e-01      1.37540e-03      5.00000e+00      9.27412e-07
    1.22557e-01      1.32204e-03      5.00000e+00      9.27410e-07
    1.24205e-01      1.26796e-03      5.00000e+00      9.27408e-07
    1.25876e-01      1.21315e-03      5.00000e+00      9.27405e-07
    1.27568e-01      1.15760e-03      5.00000e+00      9.27403e-07
    1.29284e-01      1.10131e-03      5.00000e+00      9.27401e-07
    1.31023e-01      1.04789e-03      5.00000e+00      9.27398e-07
