    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      2.05887e-03      1.00000e+01      9.27441e-07
    1.01306e-01      2.01932e-03      1.00000e+01      9.27439e-07
    1.02526e-01      1.97929e-03      1.00000e+01      9.27437e-07
    1.03760e-01      1.93878e-03      1.00000e+01      9.27436e-07
    1.05010e-01      1.89778e-03      1.00000e+01      9.27434e-07
    1.06275e-01      1.85629e-03      1.00000e+01      9.27432e-07
    1.07555e-01      1.81430e-03      1.00000e+01      9.27431e-07
    1.08850e-01      1.77180e-03      1.00000e+01      9.27429e-07
    1.10161e-01      1.72878e-03      1.00000e+01      9.27427e-07
    1.11488e-01      1.68525e-03      1.00000e+01      9.27425e-07
    1.12830e-01      1.64120e-03      1.00000e+01      9.27423e-07
    1.14189e-01      1.59661e-03      1.00000e+01      9.27421e-07
    1.15565e-01      1.55149e-03      1.00000e+01      9.27419e-07
    1.16957e-01      1.50582e-03      1.00000e+01      9.27418e-07
    1.18365e-01      1.45960e-03      1.00000e+01      9.27416e-07
    1.19791e-01      1.41282e-03      1.00000e+01      9.27414e-07
    1.21234e-01      1.36548e-03      1.00000e+01      9.27412e-07
    1.22694e-01      1.31757e-03      1.00000e+01      9.27410e-07
    1.24172e-01      1.26909e-03      1.00000e+01      9.27408e-07
    1.25668e-01      1.22001e-03      1.00000e+01      9.27406e-07
    1.27182e-01      1.17035e-03      1.00000e+01      9.27403e-07
    1.28713e-01      1.12009e-03      1.00000e+01      9.27401e-07
    1.30264e-01      1.06922e-03      1.00000e+01      9.27399e-07
    1.31833e-01      1.01774e-03      1.00000e+01      9.27397e-07
    1.33421e-01      9.65633e-04      1.00000e+01      9.27395e-07
    1.35028e-01      9.12902e-04      1.00000e+01      9.27393e-07
    1.36655e-01      8.59536e-04      1.00000e+01      9.27390e-07
    1.38301e-01      8.05526e-04      1.00000e+01      9.27388e-07
    1.39967e-01      7.50865e-04      1.00000e+01      9.27386e-07
    1.41653e-01      7.21555e-04      1.00000e+01      9.27383e-07
    1.43360e-01      6.98442e-04      1.00000e+01      9.27381e-07
    1.45087e-01      6.75050e-04      1.00000e+01      9.27379e-07
    1.46834e-01      6.51376e-04      1.00000e+01      9.27377e-07
    1.48603e-01      6.27417e-04      1.00000e+01      9.27374e-07
    1.50393e-01      6.03169e-04      1.00000e+01      9.27372e-07
    1.52205e-01      5.78629e-04      1.00000e+01      9.27369e-07
    1.54039e-01      5.53793e-04      1.00000e+01      9.27367e-07
    1.55895e-01      5.28657e-04      1.00000e+01      9.27365e-07
    1.57773e-01      5.03219e-04      1.00000e+01      9.27362e-07
    1.59673e-01      4.77473e-04      1.00000e+01      9.27360e-07
    1.61597e-01      4.51418e-04      1.00000e+01      9.27357e-07
    1.63544e-01      4.25048e-04      1.00000e+01      9.27354e-07
    1.65514e-01      3.98361e-04      1.00000e+01      9.27352e-07
    1.67508e-01      3.71352e-04      1.00000e+01      9.27349e-07
    1.69526e-01      3.44017e-04      1.00000e+01      9.27347e-07
    1.71569e-01      3.16352e-04      1.00000e+01      9.27344e-07
    1.73636e-01      2.88355e-04      1.00000e+01      9.27341e-07
    1.75728e-01      2.60019e-04      1.00000e+01      9.27338e-07
    1.77845e-01      2.31342e-04      1.00000e+01      9.27335e-07
    1.79988e-01      2.02320e-04      1.00000e+01      9.27333e-07
    1.82156e-01      1.93787e-04      1.00000e+01      9.27330e-07
    1.84351e-01      1.93561e-04      1.00000e+01      9.27328e-07
    1.86572e-01      1.93332e-04      1.00000e+01      9.27325e-07
    1.88820e-01      1.93101e-04      1.00000e+01      9.27323e-07
    1.91095e-01      1.92867e-04      1.00000e+01      9.27321e-07
    1.93398e-01      1.92630e-04      1.00000e+01      9.27318e-07
    1.95728e-01      1.92390e-04      1.00000e+01      9.27316e-07
    1.98086e-01      1.92147e-04      1.00000e+01      9.27313e-07
    2.00473e-01      1.91901e-04      1.00000e+01      9.27310e-07
    2.02888e-01      1.91653e-04      1.00000e+01      9.27308e-07
    2.05333e-01      1.91401e-04      1.00000e+01      9.27305e-07
    2.07807e-01      1.91146e-04      1.00000e+01      9.27303e-07
    2.10311e-01      1.90889e-04      1.00000e+01      9.27300e-07
    2.12845e-01      1.90628e-04      1.00000e+01      9.27297e-07
    2.15410e-01      1.90364e-04      1.00000e+01      9.27294e-07
    2.18005e-01      1.90097e-04      1.00000e+01      9.27292e-07
    2.20632e-01      1.89826e-04      1.00000e+01      9.27289e-07
    2.23291e-01      1.89563e-04      1.00000e+01      9.27282e-07
    2.25981e-01      1.89298e-04      1.00000e+01      9.27275e-07
    2.28704e-01      1.89030e-04      1.00000e+01      9.27268e-07
    2.31460e-01      1.88759e-04      1.00000e+01      9.27261e-07
    2.34249e-01      1.88484e-04      1.00000e+01      9.27254e-07
    2.37072e-01      1.88207e-04      1.00000e+01      9.27246e-07
    2.39928e-01      1.87925e-04      1.00000e+01      9.27239e-07
    2.42820e-01      1.87641e-04      1.00000e+01      9.27232e-07
    2.45746e-01      1.87353e-04      1.00000e+01      9.27224e-07
    2.48707e-01      1.87061e-04      1.00000e+01      9.27216e-07
    2.51704e-01      1.86766e-04      1.00000e+01      9.27208e-07
    2.54737e-01      1.86468e-04      1.00000e+01      9.27201e-07
    2.57807e-01      1.86165e-04      1.00000e+01      9.27193e-07
    2.60913e-01      1.85860e-04      1.00000e+01      9.27185e-07
    2.64057e-01      1.85562e-04      1.00000e+01      9.27181e-07
    2.67239e-01      1.85261e-04      1.00000e+01      9.27178e-07
    2.70460e-01      1.84957e-04      1.00000e+01      9.27175e-07
    2.73719e-01      1.84649e-04      1.00000e+01      9.27171e-07
    2.77017e-01      1.84338e-04      1.00000e+01      9.27168e-07
    2.80356e-01      1.84023e-04      1.00000e+01      9.27165e-07
    2.83734e-01      1.83704e-04      1.00000e+01      9.27161e-07
    2.87153e-01      1.83381e-04      1.00000e+01      9.27158e-07
    2.90614e-01      1.83054e-04      1.00000e+01      9.27154e-07
    2.94116e-01      1.82724e-04      1.00000e+01      9.27151e-07
    2.97660e-01      1.82389e-04      1.00000e+01      9.27147e-07
    3.01247e-01      1.82050e-04      1.00000e+01      9.27143e-07
    3.04878e-01      1.81720e-04      1.00000e+01      9.27140e-07
    3.08552e-01      1.81386e-04      1.00000e+01      9.27136e-07
    3.12270e-01      1.81049e-04      1.00000e+01      9.27131e-07
    3.16033e-01      1.80707e-04      1.00000e+01      9.27127e-07
    3.19842e-01      1.80362e-04      1.00000e+01      9.27123e-07
    3.23696e-01      1.80012e-04      1.00000e+01      9.27119e-07
    3.27597e-01      1.79658e-04      1.00000e+01      9.27115e-07
    3.31545e-01      1.79299e-04      1.00000e+01      9.27111e-07
    3.35541e-01      1.78936e-04      1.00000e+01      9.27106e-07
    3.39585e-01      1.78569e-04      1.00000e+01      9.27102e-07
    3.43677e-01      1.78204e-04      1.00000e+01      9.27097e-07
    3.47819e-01      1.77841e-04      1.00000e+01      9.27092e-07
    3.52011e-01      1.77474e-04      1.00000e+01      9.27088e-07
    3.56253e-01      1.77103e-04      1.00000e+01      9.27083e-07
    3.60547e-01      1.76727e-04      1.00000e+01      9.27078e-07
    3.64892e-01      1.76347e-04      1.00000e+01      9.27073e-07
    3.69289e-01      1.75962e-04      1.00000e+01      9.27068e-07
    3.73740e-01      1.75572e-04      1.00000e+01      9.27062e-07
    3.78244e-01      1.75178e-04      1.00000e+01      9.27057e-07
    3.82803e-01      1.74781e-04      1.00000e+01      9.27052e-07
    3.87416e-01      1.74391e-04      1.00000e+01      9.27046e-07
    3.92085e-01      1.73997e-04      1.00000e+01      9.27041e-07
    3.96811e-01      1.73598e-04      1.00000e+01      9.27035e-07
    4.01593e-01      1.73194e-04      1.00000e+01      9.27029e-07
    4.06433e-01      1.72785e-04      1.00000e+01      9.27023e-07
    4.11331e-01      1.72371e-04      1.00000e+01      9.27017e-07
    4.16289e-01      1.71952e-04      1.00000e+01      9.27011e-07
    4.21306e-01      1.71529e-04      1.00000e+01      9.27005e-07
    4.26383e-01      1.71111e-04      1.00000e+01      9.26999e-07
    4.31522e-01      1.70691e-04      1.00000e+01      9.26993e-07
    4.36723e-01      1.70266e-04      1.00000e+01      9.26986e-07
    4.41987e-01      1.69836e-04      1.00000e+01      9.26980e-07
    4.47314e-01      1.69401e-04      1.00000e+01      9.26973e-07
    4.52705e-01      1.68960e-04      1.00000e+01      9.26967e-07
    4.58161e-01      1.68515e-04      1.00000e+01      9.26960e-07
    4.63683e-01      1.68066e-04      1.00000e+01      9.26954e-07
    4.69271e-01      1.67624e-04      1.00000e+01      9.26947e-07
    4.74927e-01      1.67176e-04      1.00000e+01      9.26940e-07
    4.80651e-01      1.66723e-04      1.00000e+01      9.26932e-07
    4.86444e-01      1.66265e-04      1.00000e+01      9.26925e-07
    4.92307e-01      1.65801e-04      1.00000e+01      9.26918e-07
    4.98241e-01      1.65331e-04      1.00000e+01      9.26910e-07
    5.04246e-01      1.64859e-04      1.00000e+01      9.26903e-07
