    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      9.73763e-03      1.00000e+02      3.61165e-02
    5.04005e-02      9.50603e-03      1.00000e+02      3.57876e-02
    5.07028e-02      9.27304e-03      1.00000e+02      3.54567e-02
    5.10068e-02      9.03865e-03      1.00000e+02      3.51265e-02
    5.13128e-02      8.80287e-03      1.00000e+02      3.48083e-02
    5.16205e-02      8.56566e-03      1.00000e+02      3.44882e-02
    5.19301e-02      8.32703e-03      1.00000e+02      3.41667e-02
    5.22416e-02      8.08698e-03      1.00000e+02      3.38585e-02
    5.25550e-02      7.84548e-03      1.00000e+02      3.35485e-02
    5.28702e-02      7.60253e-03      1.00000e+02      3.32367e-02
    5.31873e-02      7.35814e-03      1.00000e+02      3.29375e-02
    5.35063e-02      7.11227e-03      1.00000e+02      3.26370e-02
    5.38273e-02      6.86493e-03      1.00000e+02      3.23346e-02
    5.41501e-02      6.61611e-03      1.00000e+02      3.20443e-02
    5.44749e-02      6.36580e-03      1.00000e+02      3.17527e-02
    5.48017e-02      6.11398e-03      1.00000e+02      3.14595e-02
    5.51304e-02      5.86067e-03      1.00000e+02      3.11779e-02
    5.54611e-02      5.60583e-03      1.00000e+02      3.08947e-02
    5.57938e-02      5.34945e-03      1.00000e+02      3.06112e-02
    5.61285e-02      5.09155e-03      1.00000e+02      3.03375e-02
    5.64652e-02      4.83210e-03      1.00000e+02      3.00622e-02
    5.68039e-02      4.57110e-03      1.00000e+02      2.97884e-02
    5.71447e-02      4.30853e-03      1.00000e+02      2.95221e-02
    5.74875e-02      4.04439e-03      1.00000e+02      2.92543e-02
    5.78324e-02      3.78507e-03      1.00000e+02      2.89902e-02
    5.81793e-02      3.53203e-03      1.00000e+02      2.87309e-02
    5.85283e-02      3.27746e-03      1.00000e+02      2.84701e-02
    5.88795e-02      3.02843e-03      1.00000e+02      2.82155e-02
    5.92327e-02      2.78106e-03      1.00000e+02      2.79629e-02
    5.95881e-02      2.53221e-03      1.00000e+02      2.77088e-02
    5.99455e-02      2.38292e-03      1.00000e+02      1.78115e-02
    6.03052e-02      2.23504e-03      1.00000e+02      7.63529e-03
    6.06670e-02      2.09921e-03      1.00000e+02      5.48855e-04
    6.10310e-02      1.99180e-03      1.00000e+02      5.42562e-04
    6.13971e-02      1.88375e-03      1.00000e+02      5.36231e-04
    6.17655e-02      1.81434e-03      1.00000e+02      5.30057e-04
    6.21361e-02      1.76316e-03      1.00000e+02      5.23939e-04
    6.25089e-02      1.71351e-03      1.00000e+02      5.17810e-04
    6.28839e-02      1.68202e-03      1.00000e+02      5.11893e-04
    6.32612e-02      1.65033e-03      1.00000e+02      5.05941e-04
    6.36408e-02      1.63527e-03      1.00000e+02      5.00096e-04
    6.40226e-02      1.63431e-03      1.00000e+02      4.94335e-04
    6.44067e-02      1.63333e-03      1.00000e+02      4.88549e-04
    6.47932e-02      1.63236e-03      1.00000e+02      4.82971e-04
    6.51820e-02      1.63138e-03      1.00000e+02      4.77359e-04
    6.55731e-02      1.63040e-03      1.00000e+02      4.71848e-04
    6.59665e-02      1.62941e-03      1.00000e+02      4.66410e-04
    6.63623e-02      1.62841e-03      1.00000e+02      4.60967e-04
    6.67605e-02      1.62741e-03      1.00000e+02      4.55694e-04
    6.71611e-02      1.62641e-03      1.00000e+02      4.50389e-04
    6.75641e-02      1.62540e-03      1.00000e+02      4.45211e-04
    6.79696e-02      1.62439e-03      1.00000e+02      4.40064e-04
    6.83774e-02      1.62337e-03      1.00000e+02      4.34961e-04
    6.87877e-02      1.62235e-03      1.00000e+02      4.29964e-04
    6.92005e-02      1.62132e-03      1.00000e+02      4.24940e-04
    6.96158e-02      1.62029e-03      1.00000e+02      4.20086e-04
    7.00335e-02      1.61925e-03      1.00000e+02      4.15202e-04
    7.04538e-02      1.61821e-03      1.00000e+02      4.10429e-04
    7.08766e-02      1.61716e-03      1.00000e+02      4.05682e-04
    7.13019e-02      1.61611e-03      1.00000e+02      4.00990e-04
    7.17298e-02      1.61505e-03      1.00000e+02      3.96373e-04
    7.21602e-02      1.61399e-03      1.00000e+02      3.91766e-04
    7.25933e-02      1.61292e-03      1.00000e+02      3.87273e-04
    7.30289e-02      1.61185e-03      1.00000e+02      3.82754e-04
    7.34672e-02      1.61077e-03      1.00000e+02      3.78380e-04
    7.39081e-02      1.60969e-03      1.00000e+02      3.73980e-04
    7.43516e-02      1.60860e-03      1.00000e+02      3.69690e-04
    7.47978e-02      1.60750e-03      1.00000e+02      3.65404e-04
    7.52467e-02      1.60641e-03      1.00000e+02      3.61199e-04
    7.56983e-02      1.60530e-03      1.00000e+02      3.57022e-04
    7.61526e-02      1.60419e-03      1.00000e+02      3.52904e-04
    7.66097e-02      1.60308e-03      1.00000e+02      3.48832e-04
    7.70694e-02      1.60196e-03      1.00000e+02      3.44800e-04
    7.75320e-02      1.60084e-03      1.00000e+02      3.40829e-04
    7.79973e-02      1.59971e-03      1.00000e+02      3.36885e-04
    7.84654e-02      1.59857e-03      1.00000e+02      3.33009e-04
    7.89364e-02      1.59743e-03      1.00000e+02      3.29154e-04
    7.94101e-02      1.59629e-03      1.00000e+02      3.25370e-04
    7.98867e-02      1.59514e-03      1.00000e+02      3.21602e-04
    8.03662e-02      1.59399e-03      1.00000e+02      3.17906e-04
    8.08486e-02      1.59283e-03      1.00000e+02      3.14225e-04
    8.13338e-02      1.59166e-03      1.00000e+02      3.10614e-04
