    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      6.40280e+01      1.00000e+02      2.42765e-05
    1.01247e-01      6.34347e+01      1.00000e+02      2.39543e-05
    1.02408e-01      6.28346e+01      1.00000e+02      2.36284e-05
    1.03582e-01      6.22277e+01      1.00000e+02      2.32988e-05
    1.04769e-01      6.16138e+01      1.00000e+02      2.29654e-05
    1.05970e-01      6.09928e+01      1.00000e+02      2.26282e-05
    1.07184e-01      6.03647e+01      1.00000e+02      2.22871e-05
    1.08413e-01      5.97294e+01      1.00000e+02      2.19421e-05
    1.09655e-01      5.90868e+01      1.00000e+02      2.15931e-05
    1.10912e-01      5.84368e+01      1.00000e+02      2.12401e-05
    1.12184e-01      5.77794e+01      1.00000e+02      2.08831e-05
    1.13470e-01      5.71145e+01      1.00000e+02      2.05220e-05
    1.14770e-01      5.64419e+01      1.00000e+02      2.01567e-05
    1.16086e-01      5.57616e+01      1.00000e+02      1.97873e-05
    1.17417e-01      5.50734e+01      1.00000e+02      1.94136e-05
    1.18763e-01      5.43774e+01      1.00000e+02      1.90356e-05
    1.20124e-01      5.36735e+01      1.00000e+02      1.86533e-05
    1.21501e-01      5.29614e+01      1.00000e+02      1.82666e-05
    1.22894e-01      5.22411e+01      1.00000e+02      1.78755e-05
    1.24303e-01      5.15126e+01      1.00000e+02      1.74799e-05
    1.25728e-01      5.07758e+01      1.00000e+02      1.70797e-05
    1.27169e-01      5.00305e+01      1.00000e+02      1.66750e-05
    1.28627e-01      4.92766e+01      1.00000e+02      1.62656e-05
    1.30101e-01      4.85141e+01      1.00000e+02      1.58515e-05
    1.31593e-01      4.79650e+01      1.00000e+02      1.55996e-05
    1.33101e-01      4.74260e+01      1.00000e+02      1.53570e-05
    1.34627e-01      4.68807e+01      1.00000e+02      1.51116e-05
    1.36171e-01      4.63292e+01      1.00000e+02      1.48635e-05
    1.37732e-01      4.57714e+01      1.00000e+02      1.46124e-05
    1.39311e-01      4.52072e+01      1.00000e+02      1.43585e-05
    1.40908e-01      4.46365e+01      1.00000e+02      1.41017e-05
    1.42523e-01      4.40592e+01      1.00000e+02      1.38420e-05
    1.44157e-01      4.34753e+01      1.00000e+02      1.35792e-05
    1.45810e-01      4.28848e+01      1.00000e+02      1.33135e-05
    1.47482e-01      4.22874e+01      1.00000e+02      1.30447e-05
    1.49173e-01      4.16832e+01      1.00000e+02      1.27728e-05
    1.50883e-01      4.10721e+01      1.00000e+02      1.24978e-05
    1.52613e-01      4.04539e+01      1.00000e+02      1.22196e-05
    1.54363e-01      3.98287e+01      1.00000e+02      1.19383e-05
    1.56133e-01      3.91963e+01      1.00000e+02      1.16537e-05
    1.57923e-01      3.85566e+01      1.00000e+02      1.13659e-05
    1.59733e-01      3.79096e+01      1.00000e+02      1.10747e-05
    1.61565e-01      3.73693e+01      1.00000e+02      1.08508e-05
    1.63417e-01      3.68895e+01      1.00000e+02      1.06655e-05
    1.65291e-01      3.64041e+01      1.00000e+02      1.04781e-05
    1.67186e-01      3.59132e+01      1.00000e+02      1.02885e-05
    1.69103e-01      3.54167e+01      1.00000e+02      1.00968e-05
    1.71042e-01      3.49145e+01      1.00000e+02      9.90283e-06
    1.73003e-01      3.44065e+01      1.00000e+02      9.70666e-06
    1.74987e-01      3.38927e+01      1.00000e+02      9.50824e-06
    1.76994e-01      3.33729e+01      1.00000e+02      9.30754e-06
    1.79023e-01      3.28473e+01      1.00000e+02      9.10455e-06
    1.81076e-01      3.23156e+01      1.00000e+02      8.89922e-06
    1.83152e-01      3.17777e+01      1.00000e+02      8.69154e-06
    1.85252e-01      3.12338e+01      1.00000e+02      8.48147e-06
    1.87377e-01      3.06835e+01      1.00000e+02      8.26900e-06
    1.89525e-01      3.01270e+01      1.00000e+02      8.05408e-06
    1.91698e-01      2.96336e+01      1.00000e+02      7.87315e-06
    1.93897e-01      2.92042e+01      1.00000e+02      7.72661e-06
    1.96120e-01      2.87699e+01      1.00000e+02      7.57838e-06
    1.98369e-01      2.83305e+01      1.00000e+02      7.42846e-06
    2.00644e-01      2.78861e+01      1.00000e+02      7.27682e-06
    2.02944e-01      2.74367e+01      1.00000e+02      7.12344e-06
    2.05272e-01      2.69820e+01      1.00000e+02      6.96830e-06
    2.07626e-01      2.65222e+01      1.00000e+02      6.81138e-06
    2.10006e-01      2.60571e+01      1.00000e+02      6.65266e-06
    2.12415e-01      2.55866e+01      1.00000e+02      6.49211e-06
    2.14851e-01      2.51108e+01      1.00000e+02      6.32973e-06
    2.17314e-01      2.46294e+01      1.00000e+02      6.16548e-06
    2.19806e-01      2.41426e+01      1.00000e+02      5.99935e-06
    2.22327e-01      2.37195e+01      1.00000e+02      5.86192e-06
    2.24877e-01      2.33378e+01      1.00000e+02      5.74331e-06
    2.27455e-01      2.29517e+01      1.00000e+02      5.62335e-06
    2.30064e-01      2.25611e+01      1.00000e+02      5.50201e-06
    2.32702e-01      2.21661e+01      1.00000e+02      5.37928e-06
    2.35371e-01      2.17666e+01      1.00000e+02      5.25515e-06
    2.38070e-01      2.13625e+01      1.00000e+02      5.12958e-06
    2.40800e-01      2.09537e+01      1.00000e+02      5.00258e-06
    2.43562e-01      2.05403e+01      1.00000e+02      4.87412e-06
    2.46355e-01      2.01221e+01      1.00000e+02      4.74419e-06
    2.49180e-01      1.96991e+01      1.00000e+02      4.61276e-06
    2.52038e-01      1.93049e+01      1.00000e+02      4.49319e-06
    2.54928e-01      1.89669e+01      1.00000e+02      4.39629e-06
    2.57852e-01      1.86250e+01      1.00000e+02      4.29829e-06
    2.60809e-01      1.82791e+01      1.00000e+02      4.19916e-06
    2.63800e-01      1.79293e+01      1.00000e+02      4.09889e-06
    2.66826e-01      1.75755e+01      1.00000e+02      3.99747e-06
    2.69886e-01      1.72176e+01      1.00000e+02      3.89489e-06
    2.72981e-01      1.68556e+01      1.00000e+02      3.79113e-06
    2.76112e-01      1.64895e+01      1.00000e+02      3.68618e-06
    2.79278e-01      1.61192e+01      1.00000e+02      3.58003e-06
    2.82481e-01      1.57756e+01      1.00000e+02      3.48358e-06
    2.85721e-01      1.54758e+01      1.00000e+02      3.40285e-06
    2.88998e-01      1.51726e+01      1.00000e+02      3.32120e-06
    2.92313e-01      1.48658e+01      1.00000e+02      3.23861e-06
    2.95665e-01      1.45556e+01      1.00000e+02      3.15507e-06
    2.99056e-01      1.42418e+01      1.00000e+02      3.07057e-06
    3.02486e-01      1.39245e+01      1.00000e+02      2.98511e-06
    3.05955e-01      1.36034e+01      1.00000e+02      2.89866e-06
    3.09464e-01      1.32787e+01      1.00000e+02      2.81122e-06
    3.13013e-01      1.29801e+01      1.00000e+02      2.73256e-06
    3.16603e-01      1.27147e+01      1.00000e+02      2.66505e-06
    3.20235e-01      1.24463e+01      1.00000e+02      2.59677e-06
    3.23908e-01      1.21748e+01      1.00000e+02      2.52770e-06
    3.27623e-01      1.19003e+01      1.00000e+02      2.45784e-06
    3.31380e-01      1.16225e+01      1.00000e+02      2.38718e-06
    3.35181e-01      1.13416e+01      1.00000e+02      2.31571e-06
    3.39025e-01      1.10574e+01      1.00000e+02      2.24342e-06
    3.42914e-01      1.07887e+01      1.00000e+02      2.17610e-06
    3.46847e-01      1.05547e+01      1.00000e+02      2.11969e-06
    3.50825e-01      1.03180e+01      1.00000e+02      2.06265e-06
    3.54849e-01      1.00786e+01      1.00000e+02      2.00494e-06
    3.58919e-01      9.83647e+00      1.00000e+02      1.94658e-06
    3.63035e-01      9.59154e+00      1.00000e+02      1.88755e-06
    3.67199e-01      9.34380e+00      1.00000e+02      1.82783e-06
    3.71411e-01      9.09321e+00      1.00000e+02      1.76744e-06
    3.75671e-01      8.88253e+00      1.00000e+02      1.71881e-06
    3.79980e-01      8.67401e+00      1.00000e+02      1.67096e-06
    3.84338e-01      8.46309e+00      1.00000e+02      1.62256e-06
    3.88747e-01      8.24976e+00      1.00000e+02      1.57360e-06
    3.93205e-01      8.03397e+00      1.00000e+02      1.52409e-06
    3.97716e-01      7.81571e+00      1.00000e+02      1.47400e-06
    4.02277e-01      7.59719e+00      1.00000e+02      1.42396e-06
    4.06891e-01      7.41418e+00      1.00000e+02      1.38389e-06
    4.11559e-01      7.22906e+00      1.00000e+02      1.34336e-06
    4.16279e-01      7.04182e+00      1.00000e+02      1.30236e-06
    4.21054e-01      6.85243e+00      1.00000e+02      1.26089e-06
    4.25883e-01      6.66087e+00      1.00000e+02      1.21895e-06
    4.30768e-01      6.46711e+00      1.00000e+02      1.17653e-06
    4.35709e-01      6.29567e+00      1.00000e+02      1.13984e-06
    4.40707e-01      6.13260e+00      1.00000e+02      1.10537e-06
    4.45762e-01      5.96766e+00      1.00000e+02      1.07049e-06
    4.50875e-01      5.80083e+00      1.00000e+02      1.03522e-06
    4.56047e-01      5.63209e+00      1.00000e+02      9.99542e-07
    4.61278e-01      5.46141e+00      1.00000e+02      9.63455e-07
    4.66569e-01      5.31196e+00      1.00000e+02      9.32710e-07
    4.71921e-01      5.16729e+00      1.00000e+02      9.03223e-07
    4.77334e-01      5.02095e+00      1.00000e+02      8.73397e-07
    4.82809e-01      4.87294e+00      1.00000e+02      8.43229e-07
    4.88347e-01      4.72323e+00      1.00000e+02      8.12715e-07
    4.93949e-01      4.57779e+00      1.00000e+02      7.83273e-07
    4.99615e-01      4.45026e+00      1.00000e+02      7.58148e-07
    5.05345e-01      4.32127e+00      1.00000e+02      7.32735e-07
    5.11142e-01      4.19081e+00      1.00000e+02      7.07030e-07
    5.17005e-01      4.05884e+00      1.00000e+02      6.81031e-07
    5.22936e-01      3.92576e+00      1.00000e+02      6.54825e-07
    5.28934e-01      3.81273e+00      1.00000e+02      6.33360e-07
    5.35001e-01      3.69840e+00      1.00000e+02      6.11649e-07
    5.41138e-01      3.58276e+00      1.00000e+02      5.89689e-07
    5.47345e-01      3.46579e+00      1.00000e+02      5.67477e-07
    5.53624e-01      3.34926e+00      1.00000e+02      5.45408e-07
    5.59974e-01      3.24862e+00      1.00000e+02      5.26941e-07
    5.66398e-01      3.14683e+00      1.00000e+02      5.08261e-07
    5.72895e-01      3.04388e+00      1.00000e+02      4.89368e-07
    5.79466e-01      2.93974e+00      1.00000e+02      4.70257e-07
    5.86113e-01      2.84134e+00      1.00000e+02      4.52487e-07
    5.92837e-01      2.75098e+00      1.00000e+02      4.36575e-07
    5.99637e-01      2.65958e+00      1.00000e+02      4.20481e-07
    6.06516e-01      2.56713e+00      1.00000e+02      4.04202e-07
    6.13473e-01      2.47370e+00      1.00000e+02      3.87752e-07
    6.20510e-01      2.39382e+00      1.00000e+02      3.74027e-07
    6.27628e-01      2.31303e+00      1.00000e+02      3.60145e-07
    6.34827e-01      2.23130e+00      1.00000e+02      3.46104e-07
    6.42110e-01      2.14864e+00      1.00000e+02      3.31901e-07
    6.49475e-01      2.07421e+00      1.00000e+02      3.19541e-07
    6.56926e-01      2.00134e+00      1.00000e+02      3.07570e-07
    6.64461e-01      1.92764e+00      1.00000e+02      2.95461e-07
    6.72083e-01      1.85310e+00      1.00000e+02      2.83213e-07
    6.79793e-01      1.78656e+00      1.00000e+02      2.72329e-07
    6.87591e-01      1.72190e+00      1.00000e+02      2.61769e-07
    6.95478e-01      1.65650e+00      1.00000e+02      2.51088e-07
    7.03456e-01      1.59034e+00      1.00000e+02      2.40284e-07
    7.11526e-01      1.53197e+00      1.00000e+02      2.30935e-07
    7.19688e-01      1.47360e+00      1.00000e+02      2.21603e-07
    7.27944e-01      1.41456e+00      1.00000e+02      2.12164e-07
    7.36294e-01      1.35688e+00      1.00000e+02      2.02974e-07
    7.44741e-01      1.30489e+00      1.00000e+02      1.94786e-07
    7.53284e-01      1.25231e+00      1.00000e+02      1.86504e-07
    7.61925e-01      1.19912e+00      1.00000e+02      1.78128e-07
    7.70665e-01      1.15052e+00      1.00000e+02      1.70552e-07
    7.79506e-01      1.10351e+00      1.00000e+02      1.63257e-07
    7.88448e-01      1.05595e+00      1.00000e+02      1.55878e-07
    7.97492e-01      1.01002e+00      1.00000e+02      1.48774e-07
    8.06641e-01      9.68345e-01      1.00000e+02      1.42380e-07
    8.15894e-01      9.26189e-01      1.00000e+02      1.35912e-07
    8.25254e-01      8.83796e-01      1.00000e+02      1.29414e-07
    8.34721e-01      8.46424e-01      1.00000e+02      1.23791e-07
    8.44296e-01      8.08623e-01      1.00000e+02      1.18105e-07
    8.53981e-01      7.70388e-01      1.00000e+02      1.12353e-07
