    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      2.47699e+02      5.00000e+00      3.38716e-04
    1.02614e-02      2.47060e+02      5.00000e+00      3.37342e-04
    1.04254e-02      2.46409e+02      5.00000e+00      3.35946e-04
    1.05921e-02      2.45749e+02      5.00000e+00      3.34527e-04
    1.07615e-02      2.45077e+02      5.00000e+00      3.33086e-04
    1.09336e-02      2.44395e+02      5.00000e+00      3.31621e-04
    1.11084e-02      2.43702e+02      5.00000e+00      3.30133e-04
    1.12861e-02      2.42998e+02      5.00000e+00      3.28620e-04
    1.14667e-02      2.42282e+02      5.00000e+00      3.27084e-04
    1.16502e-02      2.41555e+02      5.00000e+00      3.25522e-04
    1.18366e-02      2.40816e+02      5.00000e+00      3.23935e-04
    1.20261e-02      2.40065e+02      5.00000e+00      3.22323e-04
    1.22186e-02      2.39302e+02      5.00000e+00      3.20685e-04
    1.24142e-02      2.38526e+02      5.00000e+00      3.19020e-04
    1.26129e-02      2.37738e+02      5.00000e+00      3.17328e-04
    1.28149e-02      2.36938e+02      5.00000e+00      3.15609e-04
    1.30202e-02      2.36124e+02      5.00000e+00      3.13862e-04
    1.32287e-02      2.35298e+02      5.00000e+00      3.12087e-04
    1.34406e-02      2.34458e+02      5.00000e+00      3.10283e-04
    1.36560e-02      2.33604e+02      5.00000e+00      3.08451e-04
    1.38748e-02      2.32737e+02      5.00000e+00      3.06588e-04
    1.40971e-02      2.31855e+02      5.00000e+00      3.04696e-04
    1.43231e-02      2.30960e+02      5.00000e+00      3.02773e-04
    1.45527e-02      2.30050e+02      5.00000e+00      3.00819e-04
    1.47859e-02      2.29125e+02      5.00000e+00      2.98834e-04
    1.50230e-02      2.28185e+02      5.00000e+00      2.96816e-04
    1.52639e-02      2.27230e+02      5.00000e+00      2.94766e-04
    1.55086e-02      2.26260e+02      5.00000e+00      2.92683e-04
    1.57574e-02      2.25274e+02      5.00000e+00      2.90566e-04
    1.60101e-02      2.24273e+02      5.00000e+00      2.88415e-04
    1.62669e-02      2.23255e+02      5.00000e+00      2.86229e-04
    1.65279e-02      2.22220e+02      5.00000e+00      2.84008e-04
    1.67931e-02      2.21169e+02      5.00000e+00      2.81751e-04
    1.70625e-02      2.20101e+02      5.00000e+00      2.79458e-04
    1.73363e-02      2.19016e+02      5.00000e+00      2.77127e-04
    1.76145e-02      2.17913e+02      5.00000e+00      2.74759e-04
    1.78972e-02      2.16792e+02      5.00000e+00      2.72353e-04
    1.81845e-02      2.15653e+02      5.00000e+00      2.69908e-04
    1.84764e-02      2.14496e+02      5.00000e+00      2.67424e-04
    1.87731e-02      2.13321e+02      5.00000e+00      2.64899e-04
    1.90745e-02      2.12126e+02      5.00000e+00      2.62334e-04
    1.93808e-02      2.10912e+02      5.00000e+00      2.59727e-04
    1.96920e-02      2.09678e+02      5.00000e+00      2.57078e-04
    2.00082e-02      2.08425e+02      5.00000e+00      2.54387e-04
    2.03296e-02      2.07151e+02      5.00000e+00      2.51652e-04
    2.06561e-02      2.05856e+02      5.00000e+00      2.48873e-04
    2.09879e-02      2.04541e+02      5.00000e+00      2.46049e-04
    2.13251e-02      2.03205e+02      5.00000e+00      2.43179e-04
    2.16677e-02      2.01847e+02      5.00000e+00      2.40263e-04
    2.20158e-02      2.00467e+02      5.00000e+00      2.37300e-04
    2.23696e-02      1.99064e+02      5.00000e+00      2.34289e-04
    2.27291e-02      1.97640e+02      5.00000e+00      2.31230e-04
