    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      9.32597e-03      1.00000e+01      1.99575e-08
    5.07438e-02      9.15930e-03      1.00000e+01      1.95377e-08
    5.13959e-02      8.99049e-03      1.00000e+01      1.91124e-08
    5.20564e-02      8.81949e-03      1.00000e+01      1.86817e-08
    5.27254e-02      8.64630e-03      1.00000e+01      1.82454e-08
    5.34030e-02      8.47088e-03      1.00000e+01      1.78036e-08
    5.40893e-02      8.29320e-03      1.00000e+01      1.73560e-08
    5.47845e-02      8.11323e-03      1.00000e+01      1.69027e-08
    5.54886e-02      7.93094e-03      1.00000e+01      1.64435e-08
    5.62018e-02      7.74631e-03      1.00000e+01      1.59784e-08
    5.69242e-02      7.55930e-03      1.00000e+01      1.55073e-08
    5.76558e-02      7.36988e-03      1.00000e+01      1.50302e-08
    5.83969e-02      7.17802e-03      1.00000e+01      1.45469e-08
    5.91476e-02      6.98369e-03      1.00000e+01      1.40574e-08
    5.99079e-02      6.78686e-03      1.00000e+01      1.35616e-08
    6.06779e-02      6.58749e-03      1.00000e+01      1.30594e-08
    6.14580e-02      6.38556e-03      1.00000e+01      1.25508e-08
    6.22480e-02      6.18103e-03      1.00000e+01      1.20356e-08
    6.30482e-02      5.97386e-03      1.00000e+01      1.15137e-08
    6.38587e-02      5.76403e-03      1.00000e+01      1.09852e-08
    6.46797e-02      5.55149e-03      1.00000e+01      1.04498e-08
    6.55112e-02      5.33622e-03      1.00000e+01      9.90757e-09
    6.63535e-02      5.11818e-03      1.00000e+01      9.35833e-09
    6.72066e-02      4.89733e-03      1.00000e+01      8.80202e-09
    6.80706e-02      4.67363e-03      1.00000e+01      8.23855e-09
    6.89458e-02      4.44706e-03      1.00000e+01      7.66782e-09
    6.98323e-02      4.21756e-03      1.00000e+01      7.08974e-09
    7.07302e-02      3.98512e-03      1.00000e+01      6.50422e-09
    7.16396e-02      3.74968e-03      1.00000e+01      5.91116e-09
    7.25607e-02      3.51120e-03      1.00000e+01      5.31047e-09
    7.34938e-02      3.26966e-03      1.00000e+01      4.70204e-09
    7.44388e-02      3.02501e-03      1.00000e+01      4.08577e-09
    7.53960e-02      2.77721e-03      1.00000e+01      3.46157e-09
    7.63655e-02      2.52621e-03      1.00000e+01      2.82933e-09
    7.73475e-02      2.27199e-03      1.00000e+01      2.18896e-09
    7.83421e-02      2.01449e-03      1.00000e+01      1.54033e-09
    7.93496e-02      1.75367e-03      1.00000e+01      8.83357e-10
    8.03700e-02      1.51965e-03      1.00000e+01      2.94241e-10
    8.14035e-02      1.51740e-03      1.00000e+01      2.91765e-10
    8.24504e-02      1.51511e-03      1.00000e+01      2.89258e-10
    8.35108e-02      1.51279e-03      1.00000e+01      2.86718e-10
    8.45848e-02      1.51045e-03      1.00000e+01      2.84146e-10
    8.56726e-02      1.50807e-03      1.00000e+01      2.81540e-10
    8.67744e-02      1.50567e-03      1.00000e+01      2.78901e-10
    8.78905e-02      1.50323e-03      1.00000e+01      2.76228e-10
    8.90209e-02      1.50076e-03      1.00000e+01      2.73521e-10
    9.01658e-02      1.49826e-03      1.00000e+01      2.70779e-10
    9.13255e-02      1.49573e-03      1.00000e+01      2.68001e-10
    9.25001e-02      1.49317e-03      1.00000e+01      2.65188e-10
    9.36899e-02      1.49057e-03      1.00000e+01      2.62338e-10
    9.48949e-02      1.48794e-03      1.00000e+01      2.59452e-10
    9.61155e-02      1.48527e-03      1.00000e+01      2.56529e-10
    9.73518e-02      1.48257e-03      1.00000e+01      2.53568e-10
    9.86040e-02      1.47984e-03      1.00000e+01      2.50568e-10
    9.98724e-02      1.47707e-03      1.00000e+01      2.47531e-10
    1.01157e-01      1.47426e-03      1.00000e+01      2.44454e-10
    1.02458e-01      1.47142e-03      1.00000e+01      2.41337e-10
    1.03776e-01      1.46854e-03      1.00000e+01      2.38180e-10
    1.05111e-01      1.46563e-03      1.00000e+01      2.34983e-10
    1.06463e-01      1.46268e-03      1.00000e+01      2.31745e-10
    1.07833e-01      1.45969e-03      1.00000e+01      2.28464e-10
    1.09220e-01      1.45666e-03      1.00000e+01      2.25142e-10
    1.10625e-01      1.45361e-03      1.00000e+01      2.21892e-10
    1.12048e-01      1.45071e-03      1.00000e+01      2.19851e-10
    1.13490e-01      1.44778e-03      1.00000e+01      2.17783e-10
    1.14950e-01      1.44481e-03      1.00000e+01      2.15689e-10
    1.16428e-01      1.44180e-03      1.00000e+01      2.13568e-10
    1.17926e-01      1.43875e-03      1.00000e+01      2.11419e-10
    1.19443e-01      1.43567e-03      1.00000e+01      2.09243e-10
    1.20980e-01      1.43254e-03      1.00000e+01      2.07039e-10
    1.22537e-01      1.42938e-03      1.00000e+01      2.04806e-10
    1.24113e-01      1.42617e-03      1.00000e+01      2.02545e-10
    1.25710e-01      1.42292e-03      1.00000e+01      2.00255e-10
    1.27327e-01      1.41963e-03      1.00000e+01      1.97935e-10
    1.28965e-01      1.41630e-03      1.00000e+01      1.95585e-10
    1.30625e-01      1.41292e-03      1.00000e+01      1.93205e-10
    1.32305e-01      1.40950e-03      1.00000e+01      1.90794e-10
    1.34008e-01      1.40604e-03      1.00000e+01      1.88352e-10
    1.35732e-01      1.40253e-03      1.00000e+01      1.85879e-10
    1.37478e-01      1.39898e-03      1.00000e+01      1.83374e-10
