    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      1.11864e+02      1.00000e+01      6.21463e-05
    5.07438e-02      1.11151e+02      1.00000e+01      6.15368e-05
    5.13959e-02      1.10429e+02      1.00000e+01      6.09194e-05
    5.20564e-02      1.09698e+02      1.00000e+01      6.02941e-05
    5.27254e-02      1.08957e+02      1.00000e+01      5.96608e-05
    5.34030e-02      1.08207e+02      1.00000e+01      5.90193e-05
    5.40893e-02      1.07447e+02      1.00000e+01      5.83695e-05
    5.47845e-02      1.06677e+02      1.00000e+01      5.77114e-05
    5.54886e-02      1.05897e+02      1.00000e+01      5.70448e-05
    5.62018e-02      1.05107e+02      1.00000e+01      5.63696e-05
    5.69242e-02      1.04307e+02      1.00000e+01      5.56857e-05
    5.76558e-02      1.03497e+02      1.00000e+01      5.49930e-05
    5.83969e-02      1.02677e+02      1.00000e+01      5.42914e-05
    5.91476e-02      1.01845e+02      1.00000e+01      5.35807e-05
    5.99079e-02      1.01004e+02      1.00000e+01      5.28610e-05
    6.06779e-02      1.00151e+02      1.00000e+01      5.21319e-05
    6.14580e-02      9.92871e+01      1.00000e+01      5.13934e-05
    6.22480e-02      9.84123e+01      1.00000e+01      5.06455e-05
    6.30482e-02      9.75262e+01      1.00000e+01      4.98879e-05
    6.38587e-02      9.66287e+01      1.00000e+01      4.91205e-05
    6.46797e-02      9.57196e+01      1.00000e+01      4.83433e-05
    6.55112e-02      9.47989e+01      1.00000e+01      4.75561e-05
    6.63535e-02      9.38662e+01      1.00000e+01      4.67587e-05
    6.72066e-02      9.29216e+01      1.00000e+01      4.59511e-05
    6.80706e-02      9.19648e+01      1.00000e+01      4.51330e-05
    6.89458e-02      9.09957e+01      1.00000e+01      4.43045e-05
    6.98323e-02      9.00141e+01      1.00000e+01      4.34652e-05
    7.07302e-02      8.90199e+01      1.00000e+01      4.26152e-05
    7.16396e-02      8.80129e+01      1.00000e+01      4.17542e-05
    7.25607e-02      8.69929e+01      1.00000e+01      4.08821e-05
    7.34938e-02      8.59597e+01      1.00000e+01      3.99988e-05
    7.44388e-02      8.49133e+01      1.00000e+01      3.91042e-05
    7.53960e-02      8.38534e+01      1.00000e+01      3.81980e-05
