    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      2.47292e+02      1.00000e+02      5.99522e-04
    1.01925e-02      2.46549e+02      1.00000e+02      5.93262e-04
    1.02859e-02      2.45798e+02      1.00000e+02      5.86943e-04
    1.03802e-02      2.45041e+02      1.00000e+02      5.80566e-04
    1.04753e-02      2.44277e+02      1.00000e+02      5.74131e-04
    1.05713e-02      2.43526e+02      1.00000e+02      5.68098e-04
    1.06682e-02      2.42776e+02      1.00000e+02      5.62172e-04
    1.07660e-02      2.42019e+02      1.00000e+02      5.56190e-04
    1.08647e-02      2.41256e+02      1.00000e+02      5.50154e-04
    1.09643e-02      2.40484e+02      1.00000e+02      5.44061e-04
    1.10648e-02      2.39724e+02      1.00000e+02      5.38276e-04
    1.11662e-02      2.38965e+02      1.00000e+02      5.32639e-04
    1.12686e-02      2.38200e+02      1.00000e+02      5.26951e-04
    1.13720e-02      2.37427e+02      1.00000e+02      5.21209e-04
    1.14763e-02      2.36647e+02      1.00000e+02      5.15415e-04
    1.15815e-02      2.35881e+02      1.00000e+02      5.09962e-04
    1.16878e-02      2.35113e+02      1.00000e+02      5.04576e-04
    1.17950e-02      2.34338e+02      1.00000e+02      4.99140e-04
    1.19032e-02      2.33556e+02      1.00000e+02      4.93653e-04
    1.20124e-02      2.32770e+02      1.00000e+02      4.88169e-04
    1.21226e-02      2.32000e+02      1.00000e+02      4.83049e-04
    1.22339e-02      2.31223e+02      1.00000e+02      4.77881e-04
    1.23462e-02      2.30438e+02      1.00000e+02      4.72665e-04
    1.24595e-02      2.29647e+02      1.00000e+02      4.67401e-04
    1.25738e-02      2.28864e+02      1.00000e+02      4.62365e-04
    1.26893e-02      2.28084e+02      1.00000e+02      4.57436e-04
    1.28057e-02      2.27296e+02      1.00000e+02      4.52461e-04
    1.29233e-02      2.26501e+02      1.00000e+02      4.47441e-04
    1.30420e-02      2.25707e+02      1.00000e+02      4.42513e-04
    1.31617e-02      2.24923e+02      1.00000e+02      4.37796e-04
    1.32826e-02      2.24132e+02      1.00000e+02      4.33036e-04
    1.34045e-02      2.23333e+02      1.00000e+02      4.28232e-04
    1.35276e-02      2.22533e+02      1.00000e+02      4.23464e-04
    1.36519e-02      2.21745e+02      1.00000e+02      4.18933e-04
    1.37773e-02      2.20950e+02      1.00000e+02      4.14361e-04
    1.39038e-02      2.20147e+02      1.00000e+02      4.09747e-04
    1.40316e-02      2.19343e+02      1.00000e+02      4.05173e-04
    1.41605e-02      2.18550e+02      1.00000e+02      4.00811e-04
    1.42906e-02      2.17749e+02      1.00000e+02      3.96409e-04
    1.44219e-02      2.16940e+02      1.00000e+02      3.91967e-04
    1.45544e-02      2.16134e+02      1.00000e+02      3.87609e-04
    1.46881e-02      2.15334e+02      1.00000e+02      3.83394e-04
    1.48231e-02      2.14527e+02      1.00000e+02      3.79140e-04
    1.49594e-02      2.13712e+02      1.00000e+02      3.74847e-04
    1.50968e-02      2.12907e+02      1.00000e+02      3.70719e-04
    1.52356e-02      2.12101e+02      1.00000e+02      3.66640e-04
    1.53757e-02      2.11287e+02      1.00000e+02      3.62523e-04
    1.55170e-02      2.10469e+02      1.00000e+02      3.58400e-04
    1.56597e-02      2.09664e+02      1.00000e+02      3.54480e-04
    1.58036e-02      2.08851e+02      1.00000e+02      3.50523e-04
    1.59489e-02      2.08031e+02      1.00000e+02      3.46530e-04
    1.60956e-02      2.07219e+02      1.00000e+02      3.42664e-04
    1.62436e-02      2.06408e+02      1.00000e+02      3.38850e-04
    1.63930e-02      2.05589e+02      1.00000e+02      3.35002e-04
    1.65437e-02      2.04770e+02      1.00000e+02      3.31186e-04
    1.66959e-02      2.03959e+02      1.00000e+02      3.27507e-04
    1.68494e-02      2.03140e+02      1.00000e+02      3.23793e-04
    1.70044e-02      2.02315e+02      1.00000e+02      3.20051e-04
    1.71608e-02      2.01502e+02      1.00000e+02      3.16489e-04
    1.73187e-02      2.00682e+02      1.00000e+02      3.12894e-04
    1.74780e-02      1.99854e+02      1.00000e+02      3.09266e-04
    1.76388e-02      1.99037e+02      1.00000e+02      3.05784e-04
    1.78011e-02      1.98216e+02      1.00000e+02      3.02298e-04
    1.79649e-02      1.97387e+02      1.00000e+02      2.98779e-04
    1.81302e-02      1.96569e+02      1.00000e+02      2.95388e-04
    1.82970e-02      1.95748e+02      1.00000e+02      2.92009e-04
    1.84654e-02      1.94919e+02      1.00000e+02      2.88599e-04
    1.86353e-02      1.94101e+02      1.00000e+02      2.85305e-04
    1.88068e-02      1.93280e+02      1.00000e+02      2.82018e-04
    1.89799e-02      1.92451e+02      1.00000e+02      2.78701e-04
    1.91546e-02      1.91632e+02      1.00000e+02      2.75510e-04
    1.93309e-02      1.90808e+02      1.00000e+02      2.72309e-04
    1.95089e-02      1.89978e+02      1.00000e+02      2.69087e-04
    1.96884e-02      1.89159e+02      1.00000e+02      2.65990e-04
    1.98697e-02      1.88333e+02      1.00000e+02      2.62865e-04
    2.00526e-02      1.87505e+02      1.00000e+02      2.59757e-04
    2.02372e-02      1.86685e+02      1.00000e+02      2.56735e-04
    2.04236e-02      1.85857e+02      1.00000e+02      2.53686e-04
    2.06116e-02      1.85034e+02      1.00000e+02      2.50697e-04
    2.08014e-02      1.84212e+02      1.00000e+02      2.47741e-04
    2.09930e-02      1.83382e+02      1.00000e+02      2.44758e-04
    2.11863e-02      1.82564e+02      1.00000e+02      2.41888e-04
    2.13814e-02      1.81741e+02      1.00000e+02      2.38997e-04
    2.15783e-02      1.80917e+02      1.00000e+02      2.36131e-04
    2.17770e-02      1.80097e+02      1.00000e+02      2.33318e-04
    2.19776e-02      1.79270e+02      1.00000e+02      2.30479e-04
    2.21800e-02      1.78453e+02      1.00000e+02      2.27734e-04
    2.23844e-02      1.77631e+02      1.00000e+02      2.24978e-04
    2.25905e-02      1.76809e+02      1.00000e+02      2.22250e-04
    2.27986e-02      1.75991e+02      1.00000e+02      2.19565e-04
    2.30087e-02      1.75167e+02      1.00000e+02      2.16861e-04
    2.32206e-02      1.74353e+02      1.00000e+02      2.14246e-04
    2.34346e-02      1.73532e+02      1.00000e+02      2.11607e-04
    2.36505e-02      1.72717e+02      1.00000e+02      2.09022e-04
    2.38684e-02      1.71901e+02      1.00000e+02      2.06448e-04
    2.40883e-02      1.71084e+02      1.00000e+02      2.03896e-04
    2.43103e-02      1.70272e+02      1.00000e+02      2.01389e-04
    2.45343e-02      1.69455e+02      1.00000e+02      1.98876e-04
    2.47604e-02      1.68647e+02      1.00000e+02      1.96431e-04
    2.49886e-02      1.67831e+02      1.00000e+02      1.93963e-04
    2.52189e-02      1.67026e+02      1.00000e+02      1.91571e-04
    2.54513e-02      1.66215e+02      1.00000e+02      1.89162e-04
    2.56859e-02      1.65410e+02      1.00000e+02      1.86810e-04
    2.59226e-02      1.64602e+02      1.00000e+02      1.84458e-04
    2.61615e-02      1.63798e+02      1.00000e+02      1.82149e-04
    2.64027e-02      1.62993e+02      1.00000e+02      1.79850e-04
    2.66461e-02      1.62191e+02      1.00000e+02      1.77583e-04
    2.68917e-02      1.61388e+02      1.00000e+02      1.75332e-04
    2.71396e-02      1.60588e+02      1.00000e+02      1.73110e-04
    2.73898e-02      1.59789e+02      1.00000e+02      1.70908e-04
    2.76423e-02      1.58992e+02      1.00000e+02      1.68732e-04
    2.78971e-02      1.58196e+02      1.00000e+02      1.66573e-04
    2.81543e-02      1.57402e+02      1.00000e+02      1.64444e-04
    2.84139e-02      1.56608e+02      1.00000e+02      1.62328e-04
    2.86759e-02      1.55818e+02      1.00000e+02      1.60245e-04
    2.89403e-02      1.55027e+02      1.00000e+02      1.58169e-04
    2.92072e-02      1.54242e+02      1.00000e+02      1.56133e-04
    2.94765e-02      1.53453e+02      1.00000e+02      1.54095e-04
    2.97483e-02      1.52672e+02      1.00000e+02      1.52107e-04
    3.00226e-02      1.51887e+02      1.00000e+02      1.50112e-04
    3.02995e-02      1.51124e+02      1.00000e+02      1.48164e-04
    3.05789e-02      1.50351e+02      1.00000e+02      1.46219e-04
    3.08610e-02      1.49561e+02      1.00000e+02      1.44307e-04
    3.11456e-02      1.48738e+02      1.00000e+02      1.42174e-04
    3.14329e-02      1.47882e+02      1.00000e+02      1.39824e-04
    3.17228e-02      1.47158e+02      1.00000e+02      1.38228e-04
    3.20154e-02      1.46465e+02      1.00000e+02      1.36831e-04
    3.23107e-02      1.45702e+02      1.00000e+02      1.35024e-04
