    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      1.86908e-04      1.00000e+02      4.54833e-11
    2.52651e-01      1.86665e-04      1.00000e+02      4.51243e-11
    2.55227e-01      1.86418e-04      1.00000e+02      4.47617e-11
    2.57830e-01      1.86170e-04      1.00000e+02      4.43954e-11
    2.60459e-01      1.85919e-04      1.00000e+02      4.40254e-11
    2.63115e-01      1.85665e-04      1.00000e+02      4.36516e-11
    2.65799e-01      1.85409e-04      1.00000e+02      4.32739e-11
    2.68509e-01      1.85150e-04      1.00000e+02      4.28924e-11
    2.71248e-01      1.84888e-04      1.00000e+02      4.25071e-11
    2.74014e-01      1.84624e-04      1.00000e+02      4.21178e-11
    2.76808e-01      1.84357e-04      1.00000e+02      4.17245e-11
    2.79631e-01      1.84087e-04      1.00000e+02      4.13272e-11
    2.82483e-01      1.83815e-04      1.00000e+02      4.09259e-11
    2.85364e-01      1.83540e-04      1.00000e+02      4.05204e-11
    2.88274e-01      1.83262e-04      1.00000e+02      4.01109e-11
    2.91214e-01      1.82985e-04      1.00000e+02      3.97308e-11
    2.94184e-01      1.82713e-04      1.00000e+02      3.94069e-11
    2.97185e-01      1.82437e-04      1.00000e+02      3.90798e-11
    3.00215e-01      1.82159e-04      1.00000e+02      3.87493e-11
    3.03277e-01      1.81878e-04      1.00000e+02      3.84154e-11
    3.06370e-01      1.81594e-04      1.00000e+02      3.80781e-11
    3.09495e-01      1.81307e-04      1.00000e+02      3.77374e-11
    3.12651e-01      1.81018e-04      1.00000e+02      3.73932e-11
    3.15840e-01      1.80725e-04      1.00000e+02      3.70454e-11
    3.19061e-01      1.80429e-04      1.00000e+02      3.66942e-11
    3.22315e-01      1.80131e-04      1.00000e+02      3.63393e-11
    3.25602e-01      1.79829e-04      1.00000e+02      3.59809e-11
    3.28923e-01      1.79524e-04      1.00000e+02      3.56188e-11
    3.32278e-01      1.79223e-04      1.00000e+02      3.52962e-11
    3.35667e-01      1.78923e-04      1.00000e+02      3.50008e-11
    3.39090e-01      1.78621e-04      1.00000e+02      3.47025e-11
    3.42549e-01      1.78315e-04      1.00000e+02      3.44011e-11
    3.46042e-01      1.78006e-04      1.00000e+02      3.40966e-11
    3.49572e-01      1.77694e-04      1.00000e+02      3.37890e-11
    3.53137e-01      1.77378e-04      1.00000e+02      3.34783e-11
    3.56739e-01      1.77060e-04      1.00000e+02      3.31644e-11
    3.60377e-01      1.76738e-04      1.00000e+02      3.28473e-11
    3.64053e-01      1.76413e-04      1.00000e+02      3.25269e-11
    3.67766e-01      1.76084e-04      1.00000e+02      3.22033e-11
    3.71517e-01      1.75756e-04      1.00000e+02      3.18932e-11
    3.75306e-01      1.75433e-04      1.00000e+02      3.16228e-11
    3.79134e-01      1.75106e-04      1.00000e+02      3.13497e-11
    3.83001e-01      1.74776e-04      1.00000e+02      3.10738e-11
    3.86907e-01      1.74443e-04      1.00000e+02      3.07951e-11
    3.90853e-01      1.74106e-04      1.00000e+02      3.05135e-11
