    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      7.66155e+00      1.00000e+02      4.57427e-06
    2.52651e-01      7.59394e+00      1.00000e+02      4.51314e-06
    2.55227e-01      7.52564e+00      1.00000e+02      4.45139e-06
    2.57830e-01      7.45665e+00      1.00000e+02      4.38901e-06
    2.60459e-01      7.38695e+00      1.00000e+02      4.32599e-06
    2.63115e-01      7.31654e+00      1.00000e+02      4.26233e-06
    2.65799e-01      7.24541e+00      1.00000e+02      4.19802e-06
    2.68509e-01      7.17356e+00      1.00000e+02      4.13306e-06
    2.71248e-01      7.10097e+00      1.00000e+02      4.06743e-06
    2.74014e-01      7.02764e+00      1.00000e+02      4.00113e-06
    2.76808e-01      6.95357e+00      1.00000e+02      3.93416e-06
    2.79631e-01      6.87873e+00      1.00000e+02      3.86650e-06
    2.82483e-01      6.80314e+00      1.00000e+02      3.79815e-06
    2.85364e-01      6.72677e+00      1.00000e+02      3.72910e-06
    2.88274e-01      6.64963e+00      1.00000e+02      3.65936e-06
    2.91214e-01      6.57694e+00      1.00000e+02      3.59570e-06
    2.94184e-01      6.51286e+00      1.00000e+02      3.54353e-06
    2.97185e-01      6.44813e+00      1.00000e+02      3.49083e-06
    3.00215e-01      6.38274e+00      1.00000e+02      3.43759e-06
    3.03277e-01      6.31668e+00      1.00000e+02      3.38381e-06
    3.06370e-01      6.24995e+00      1.00000e+02      3.32948e-06
    3.09495e-01      6.18254e+00      1.00000e+02      3.27459e-06
    3.12651e-01      6.11444e+00      1.00000e+02      3.21915e-06
    3.15840e-01      6.04564e+00      1.00000e+02      3.16314e-06
    3.19061e-01      5.97615e+00      1.00000e+02      3.10656e-06
    3.22315e-01      5.90594e+00      1.00000e+02      3.04940e-06
    3.25602e-01      5.83502e+00      1.00000e+02      2.99166e-06
    3.28923e-01      5.76337e+00      1.00000e+02      2.93332e-06
    3.32278e-01      5.69843e+00      1.00000e+02      2.88324e-06
    3.35667e-01      5.63809e+00      1.00000e+02      2.83888e-06
    3.39090e-01      5.57712e+00      1.00000e+02      2.79406e-06
    3.42549e-01      5.51553e+00      1.00000e+02      2.74879e-06
    3.46042e-01      5.45332e+00      1.00000e+02      2.70306e-06
    3.49572e-01      5.39047e+00      1.00000e+02      2.65686e-06
    3.53137e-01      5.32698e+00      1.00000e+02      2.61019e-06
    3.56739e-01      5.26284e+00      1.00000e+02      2.56304e-06
    3.60377e-01      5.19804e+00      1.00000e+02      2.51541e-06
    3.64053e-01      5.13259e+00      1.00000e+02      2.46730e-06
    3.67766e-01      5.06647e+00      1.00000e+02      2.41869e-06
    3.71517e-01      5.00274e+00      1.00000e+02      2.37286e-06
    3.75306e-01      4.94621e+00      1.00000e+02      2.33492e-06
    3.79134e-01      4.88911e+00      1.00000e+02      2.29659e-06
    3.83001e-01      4.83142e+00      1.00000e+02      2.25788e-06
    3.86907e-01      4.77315e+00      1.00000e+02      2.21877e-06
    3.90853e-01      4.71428e+00      1.00000e+02      2.17926e-06
    3.94840e-01      4.65481e+00      1.00000e+02      2.13934e-06
    3.98867e-01      4.59473e+00      1.00000e+02      2.09902e-06
    4.02935e-01      4.53404e+00      1.00000e+02      2.05829e-06
    4.07045e-01      4.47273e+00      1.00000e+02      2.01714e-06
    4.11196e-01      4.41213e+00      1.00000e+02      1.97686e-06
    4.15391e-01      4.35903e+00      1.00000e+02      1.94398e-06
    4.19627e-01      4.30538e+00      1.00000e+02      1.91076e-06
    4.23907e-01      4.25119e+00      1.00000e+02      1.87721e-06
    4.28231e-01      4.19644e+00      1.00000e+02      1.84331e-06
    4.32599e-01      4.14114e+00      1.00000e+02      1.80907e-06
    4.37011e-01      4.08527e+00      1.00000e+02      1.77448e-06
    4.41469e-01      4.02883e+00      1.00000e+02      1.73954e-06
    4.45971e-01      3.97182e+00      1.00000e+02      1.70424e-06
    4.50520e-01      3.91422e+00      1.00000e+02      1.66858e-06
    4.55115e-01      3.86453e+00      1.00000e+02      1.63951e-06
    4.59758e-01      3.81480e+00      1.00000e+02      1.61052e-06
    4.64447e-01      3.76456e+00      1.00000e+02      1.58123e-06
    4.69184e-01      3.71381e+00      1.00000e+02      1.55165e-06
    4.73970e-01      3.66254e+00      1.00000e+02      1.52176e-06
    4.78804e-01      3.61075e+00      1.00000e+02      1.49157e-06
    4.83688e-01      3.55843e+00      1.00000e+02      1.46108e-06
    4.88622e-01      3.50557e+00      1.00000e+02      1.43027e-06
    4.93606e-01      3.45546e+00      1.00000e+02      1.40223e-06
    4.98640e-01      3.40764e+00      1.00000e+02      1.37655e-06
    5.03726e-01      3.35934e+00      1.00000e+02      1.35060e-06
    5.08865e-01      3.31054e+00      1.00000e+02      1.32440e-06
    5.14055e-01      3.26124e+00      1.00000e+02      1.29792e-06
    5.19298e-01      3.21145e+00      1.00000e+02      1.27117e-06
    5.24595e-01      3.16114e+00      1.00000e+02      1.24416e-06
    5.29946e-01      3.11032e+00      1.00000e+02      1.21686e-06
    5.35352e-01      3.06485e+00      1.00000e+02      1.19337e-06
    5.40812e-01      3.02045e+00      1.00000e+02      1.17072e-06
    5.46329e-01      2.97560e+00      1.00000e+02      1.14783e-06
    5.51901e-01      2.93030e+00      1.00000e+02      1.12471e-06
    5.57531e-01      2.88453e+00      1.00000e+02      1.10135e-06
    5.63218e-01      2.83829e+00      1.00000e+02      1.07775e-06
    5.68963e-01      2.79159e+00      1.00000e+02      1.05392e-06
    5.74766e-01      2.74803e+00      1.00000e+02      1.03226e-06
    5.80629e-01      2.70636e+00      1.00000e+02      1.01193e-06
    5.86552e-01      2.66426e+00      1.00000e+02      9.91392e-07
    5.92535e-01      2.62173e+00      1.00000e+02      9.70646e-07
    5.98579e-01      2.57877e+00      1.00000e+02      9.49688e-07
    6.04684e-01      2.53537e+00      1.00000e+02      9.28517e-07
    6.10852e-01      2.49152e+00      1.00000e+02      9.07129e-07
    6.17083e-01      2.45221e+00      1.00000e+02      8.88742e-07
    6.23378e-01      2.41295e+00      1.00000e+02      8.70458e-07
    6.29736e-01      2.37329e+00      1.00000e+02      8.51987e-07
