    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      2.20460e+01      5.00000e+00      3.54643e-05
    5.07729e-02      2.19467e+01      5.00000e+00      3.51697e-05
    5.14550e-02      2.18460e+01      5.00000e+00      3.48712e-05
    5.21461e-02      2.17440e+01      5.00000e+00      3.45686e-05
    5.28466e-02      2.16407e+01      5.00000e+00      3.42619e-05
    5.35565e-02      2.15359e+01      5.00000e+00      3.39511e-05
    5.42760e-02      2.14297e+01      5.00000e+00      3.36362e-05
    5.50052e-02      2.13221e+01      5.00000e+00      3.33169e-05
    5.57441e-02      2.12131e+01      5.00000e+00      3.29934e-05
    5.64931e-02      2.11026e+01      5.00000e+00      3.26656e-05
    5.72520e-02      2.09906e+01      5.00000e+00      3.23333e-05
    5.80213e-02      2.08771e+01      5.00000e+00      3.19966e-05
    5.88008e-02      2.07620e+01      5.00000e+00      3.16553e-05
    5.95909e-02      2.06454e+01      5.00000e+00      3.13094e-05
    6.03916e-02      2.05273e+01      5.00000e+00      3.09589e-05
    6.12030e-02      2.04075e+01      5.00000e+00      3.06037e-05
    6.20254e-02      2.02862e+01      5.00000e+00      3.02437e-05
    6.28589e-02      2.01632e+01      5.00000e+00      2.98788e-05
    6.37035e-02      2.00385e+01      5.00000e+00      2.95090e-05
    6.45596e-02      1.99122e+01      5.00000e+00      2.91343e-05
    6.54271e-02      1.97842e+01      5.00000e+00      2.87545e-05
    6.63064e-02      1.96544e+01      5.00000e+00      2.83696e-05
    6.71974e-02      1.95230e+01      5.00000e+00      2.79795e-05
    6.81005e-02      1.93897e+01      5.00000e+00      2.75841e-05
    6.90157e-02      1.92546e+01      5.00000e+00      2.71835e-05
    6.99433e-02      1.91178e+01      5.00000e+00      2.67774e-05
    7.08833e-02      1.89790e+01      5.00000e+00      2.63659e-05
    7.18360e-02      1.88385e+01      5.00000e+00      2.59488e-05
    7.28014e-02      1.86960e+01      5.00000e+00      2.55262e-05
    7.37799e-02      1.85516e+01      5.00000e+00      2.50978e-05
    7.47716e-02      1.84053e+01      5.00000e+00      2.46637e-05
    7.57766e-02      1.82569e+01      5.00000e+00      2.42237e-05
    7.67951e-02      1.81066e+01      5.00000e+00      2.37778e-05
    7.78274e-02      1.79543e+01      5.00000e+00      2.33259e-05
    7.88735e-02      1.77999e+01      5.00000e+00      2.28680e-05
    7.99337e-02      1.76435e+01      5.00000e+00      2.24038e-05
    8.10082e-02      1.74849e+01      5.00000e+00      2.19334e-05
    8.20971e-02      1.73242e+01      5.00000e+00      2.14567e-05
    8.32007e-02      1.71614e+01      5.00000e+00      2.09736e-05
    8.43192e-02      1.69963e+01      5.00000e+00      2.04840e-05
    8.54527e-02      1.68291e+01      5.00000e+00      1.99877e-05
    8.66014e-02      1.66595e+01      5.00000e+00      1.94848e-05
    8.77657e-02      1.64877e+01      5.00000e+00      1.89752e-05
    8.89456e-02      1.63136e+01      5.00000e+00      1.84586e-05
    9.01413e-02      1.61372e+01      5.00000e+00      1.79352e-05
    9.13532e-02      1.60255e+01      5.00000e+00      1.76747e-05
    9.25814e-02      1.59267e+01      5.00000e+00      1.74689e-05
