    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      2.05887e-03      1.00000e+01      4.14512e-09
    1.01306e-01      2.01932e-03      1.00000e+01      4.12760e-09
    1.02526e-01      1.97929e-03      1.00000e+01      4.10986e-09
    1.03760e-01      1.93878e-03      1.00000e+01      4.09191e-09
    1.05010e-01      1.89778e-03      1.00000e+01      4.07375e-09
    1.06275e-01      1.85629e-03      1.00000e+01      4.05536e-09
    1.07555e-01      1.81430e-03      1.00000e+01      4.03676e-09
    1.08850e-01      1.77180e-03      1.00000e+01      4.01792e-09
    1.10161e-01      1.72878e-03      1.00000e+01      3.99887e-09
    1.11488e-01      1.68525e-03      1.00000e+01      3.97958e-09
    1.12830e-01      1.64120e-03      1.00000e+01      3.96006e-09
    1.14189e-01      1.59661e-03      1.00000e+01      3.94030e-09
    1.15565e-01      1.55149e-03      1.00000e+01      3.92031e-09
    1.16957e-01      1.50582e-03      1.00000e+01      3.90008e-09
    1.18365e-01      1.45960e-03      1.00000e+01      3.87960e-09
    1.19791e-01      1.41282e-03      1.00000e+01      3.85887e-09
    1.21234e-01      1.36548e-03      1.00000e+01      3.83790e-09
    1.22694e-01      1.31757e-03      1.00000e+01      3.81667e-09
    1.24172e-01      1.26909e-03      1.00000e+01      3.79519e-09
    1.25668e-01      1.22001e-03      1.00000e+01      3.77344e-09
    1.27182e-01      1.17035e-03      1.00000e+01      3.75144e-09
    1.28713e-01      1.12009e-03      1.00000e+01      3.72917e-09
    1.30264e-01      1.06922e-03      1.00000e+01      3.70663e-09
    1.31833e-01      1.01774e-03      1.00000e+01      3.68382e-09
    1.33421e-01      9.65633e-04      1.00000e+01      3.66073e-09
    1.35028e-01      9.12902e-04      1.00000e+01      3.63737e-09
    1.36655e-01      8.59536e-04      1.00000e+01      3.61372e-09
    1.38301e-01      8.05526e-04      1.00000e+01      3.58979e-09
    1.39967e-01      7.50865e-04      1.00000e+01      3.56557e-09
    1.41653e-01      7.21555e-04      1.00000e+01      3.44344e-09
    1.43360e-01      6.98442e-04      1.00000e+01      3.29524e-09
    1.45087e-01      6.75050e-04      1.00000e+01      3.14526e-09
    1.46834e-01      6.51376e-04      1.00000e+01      2.99347e-09
    1.48603e-01      6.27417e-04      1.00000e+01      2.83985e-09
    1.50393e-01      6.03169e-04      1.00000e+01      2.68437e-09
    1.52205e-01      5.78629e-04      1.00000e+01      2.52702e-09
    1.54039e-01      5.53793e-04      1.00000e+01      2.36778e-09
    1.55895e-01      5.28657e-04      1.00000e+01      2.20662e-09
    1.57773e-01      5.03219e-04      1.00000e+01      2.04351e-09
    1.59673e-01      4.77473e-04      1.00000e+01      1.87844e-09
    1.61597e-01      4.51418e-04      1.00000e+01      1.71137e-09
    1.63544e-01      4.25048e-04      1.00000e+01      1.54230e-09
    1.65514e-01      3.98361e-04      1.00000e+01      1.37118e-09
    1.67508e-01      3.71352e-04      1.00000e+01      1.19800e-09
    1.69526e-01      3.44017e-04      1.00000e+01      1.02274e-09
    1.71569e-01      3.16352e-04      1.00000e+01      8.45358e-10
    1.73636e-01      2.88355e-04      1.00000e+01      6.65841e-10
    1.75728e-01      2.60019e-04      1.00000e+01      4.84160e-10
    1.77845e-01      2.31342e-04      1.00000e+01      3.00289e-10
    1.79988e-01      2.02320e-04      1.00000e+01      1.14202e-10
    1.82156e-01      1.93787e-04      1.00000e+01      6.01383e-11
    1.84351e-01      1.93561e-04      1.00000e+01      5.96065e-11
    1.86572e-01      1.93332e-04      1.00000e+01      5.90683e-11
    1.88820e-01      1.93101e-04      1.00000e+01      5.85236e-11
    1.91095e-01      1.92867e-04      1.00000e+01      5.79724e-11
    1.93398e-01      1.92630e-04      1.00000e+01      5.74145e-11
    1.95728e-01      1.92390e-04      1.00000e+01      5.68499e-11
    1.98086e-01      1.92147e-04      1.00000e+01      5.62784e-11
    2.00473e-01      1.91901e-04      1.00000e+01      5.57001e-11
    2.02888e-01      1.91653e-04      1.00000e+01      5.51148e-11
    2.05333e-01      1.91401e-04      1.00000e+01      5.45225e-11
    2.07807e-01      1.91146e-04      1.00000e+01      5.39230e-11
    2.10311e-01      1.90889e-04      1.00000e+01      5.33163e-11
    2.12845e-01      1.90628e-04      1.00000e+01      5.27022e-11
    2.15410e-01      1.90364e-04      1.00000e+01      5.20808e-11
    2.18005e-01      1.90097e-04      1.00000e+01      5.14519e-11
    2.20632e-01      1.89826e-04      1.00000e+01      5.08154e-11
    2.23291e-01      1.89563e-04      1.00000e+01      5.03353e-11
    2.25981e-01      1.89298e-04      1.00000e+01      4.98688e-11
    2.28704e-01      1.89030e-04      1.00000e+01      4.93966e-11
    2.31460e-01      1.88759e-04      1.00000e+01      4.89188e-11
    2.34249e-01      1.88484e-04      1.00000e+01      4.84352e-11
    2.37072e-01      1.88207e-04      1.00000e+01      4.79457e-11
