    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      1.47613e-03      1.00000e+02      3.02618e-15
    1.01247e-01      1.47373e-03      1.00000e+02      3.10519e-15
    1.02408e-01      1.47131e-03      1.00000e+02      3.18512e-15
    1.03582e-01      1.46886e-03      1.00000e+02      3.26596e-15
    1.04769e-01      1.46638e-03      1.00000e+02      3.34773e-15
    1.05970e-01      1.46387e-03      1.00000e+02      3.43043e-15
    1.07184e-01      1.46134e-03      1.00000e+02      3.51409e-15
    1.08413e-01      1.45877e-03      1.00000e+02      3.59870e-15
    1.09655e-01      1.45618e-03      1.00000e+02      3.68429e-15
    1.10912e-01      1.45355e-03      1.00000e+02      3.77085e-15
    1.12184e-01      1.45090e-03      1.00000e+02      3.85841e-15
    1.13470e-01      1.44821e-03      1.00000e+02      3.94698e-15
    1.14770e-01      1.44550e-03      1.00000e+02      4.03656e-15
    1.16086e-01      1.44275e-03      1.00000e+02      4.12717e-15
    1.17417e-01      1.43997e-03      1.00000e+02      4.21882e-15
    1.18763e-01      1.43716e-03      1.00000e+02      4.31152e-15
    1.20124e-01      1.43432e-03      1.00000e+02      4.40528e-15
    1.21501e-01      1.43145e-03      1.00000e+02      4.50012e-15
    1.22894e-01      1.42854e-03      1.00000e+02      4.59605e-15
    1.24303e-01      1.42560e-03      1.00000e+02      4.69308e-15
    1.25728e-01      1.42262e-03      1.00000e+02      4.79122e-15
    1.27169e-01      1.41961e-03      1.00000e+02      4.89049e-15
    1.28627e-01      1.41657e-03      1.00000e+02      4.99089e-15
    1.30101e-01      1.41349e-03      1.00000e+02      5.09245e-15
    1.31593e-01      1.41058e-03      1.00000e+02      5.21983e-15
    1.33101e-01      1.40765e-03      1.00000e+02      5.35047e-15
    1.34627e-01      1.40468e-03      1.00000e+02      5.48261e-15
    1.36171e-01      1.40168e-03      1.00000e+02      5.61627e-15
    1.37732e-01      1.39865e-03      1.00000e+02      5.75146e-15
    1.39311e-01      1.39559e-03      1.00000e+02      5.88821e-15
    1.40908e-01      1.39248e-03      1.00000e+02      6.02652e-15
    1.42523e-01      1.38935e-03      1.00000e+02      6.16642e-15
    1.44157e-01      1.38617e-03      1.00000e+02      6.30792e-15
    1.45810e-01      1.38296e-03      1.00000e+02      6.45105e-15
    1.47482e-01      1.37971e-03      1.00000e+02      6.59582e-15
    1.49173e-01      1.37643e-03      1.00000e+02      6.74225e-15
    1.50883e-01      1.37311e-03      1.00000e+02      6.89036e-15
    1.52613e-01      1.36975e-03      1.00000e+02      7.04017e-15
    1.54363e-01      1.36635e-03      1.00000e+02      7.19169e-15
    1.56133e-01      1.36291e-03      1.00000e+02      7.34496e-15
    1.57923e-01      1.35943e-03      1.00000e+02      7.49999e-15
    1.59733e-01      1.35592e-03      1.00000e+02      7.65679e-15
    1.61565e-01      1.35250e-03      1.00000e+02      7.83577e-15
    1.63417e-01      1.34913e-03      1.00000e+02      8.02870e-15
    1.65291e-01      1.34573e-03      1.00000e+02      8.22385e-15
    1.67186e-01      1.34228e-03      1.00000e+02      8.42124e-15
    1.69103e-01      1.33879e-03      1.00000e+02      8.62089e-15
    1.71042e-01      1.33527e-03      1.00000e+02      8.82283e-15
    1.73003e-01      1.33170e-03      1.00000e+02      9.02709e-15
    1.74987e-01      1.32809e-03      1.00000e+02      9.23370e-15
    1.76994e-01      1.32444e-03      1.00000e+02      9.44267e-15
    1.79023e-01      1.32075e-03      1.00000e+02      9.65404e-15
    1.81076e-01      1.31702e-03      1.00000e+02      9.86784e-15
    1.83152e-01      1.31324e-03      1.00000e+02      1.00841e-14
    1.85252e-01      1.30942e-03      1.00000e+02      1.03028e-14
    1.87377e-01      1.30556e-03      1.00000e+02      1.05241e-14
    1.89525e-01      1.30165e-03      1.00000e+02      1.07478e-14
    1.91698e-01      1.29782e-03      1.00000e+02      1.09933e-14
    1.93897e-01      1.29406e-03      1.00000e+02      1.12606e-14
    1.96120e-01      1.29025e-03      1.00000e+02      1.15311e-14
    1.98369e-01      1.28641e-03      1.00000e+02      1.18046e-14
    2.00644e-01      1.28252e-03      1.00000e+02      1.20813e-14
    2.02944e-01      1.27858e-03      1.00000e+02      1.23611e-14
    2.05272e-01      1.27460e-03      1.00000e+02      1.26442e-14
    2.07626e-01      1.27057e-03      1.00000e+02      1.29305e-14
    2.10006e-01      1.26650e-03      1.00000e+02      1.32200e-14
    2.12415e-01      1.26238e-03      1.00000e+02      1.35130e-14
    2.14851e-01      1.25821e-03      1.00000e+02      1.38092e-14
    2.17314e-01      1.25400e-03      1.00000e+02      1.41089e-14
    2.19806e-01      1.24973e-03      1.00000e+02      1.44120e-14
    2.22327e-01      1.24557e-03      1.00000e+02      1.47455e-14
    2.24877e-01      1.24145e-03      1.00000e+02      1.51009e-14
    2.27455e-01      1.23729e-03      1.00000e+02      1.54603e-14
    2.30064e-01      1.23308e-03      1.00000e+02      1.58239e-14
    2.32702e-01      1.22882e-03      1.00000e+02      1.61916e-14
    2.35371e-01      1.22451e-03      1.00000e+02      1.65636e-14
    2.38070e-01      1.22016e-03      1.00000e+02      1.69398e-14
    2.40800e-01      1.21575e-03      1.00000e+02      1.73203e-14
    2.43562e-01      1.21129e-03      1.00000e+02      1.77052e-14
    2.46355e-01      1.20679e-03      1.00000e+02      1.80945e-14
    2.49180e-01      1.20223e-03      1.00000e+02      1.84883e-14
    2.52038e-01      1.19770e-03      1.00000e+02      1.89037e-14
    2.54928e-01      1.19328e-03      1.00000e+02      1.93546e-14
    2.57852e-01      1.18881e-03      1.00000e+02      1.98107e-14
    2.60809e-01      1.18429e-03      1.00000e+02      2.02721e-14
    2.63800e-01      1.17972e-03      1.00000e+02      2.07387e-14
    2.66826e-01      1.17509e-03      1.00000e+02      2.12107e-14
    2.69886e-01      1.17041e-03      1.00000e+02      2.16881e-14
    2.72981e-01      1.16568e-03      1.00000e+02      2.21709e-14
    2.76112e-01      1.16089e-03      1.00000e+02      2.26594e-14
    2.79278e-01      1.15605e-03      1.00000e+02      2.31534e-14
    2.82481e-01      1.15125e-03      1.00000e+02      2.36754e-14
    2.85721e-01      1.14655e-03      1.00000e+02      2.42380e-14
    2.88998e-01      1.14180e-03      1.00000e+02      2.48070e-14
    2.92313e-01      1.13699e-03      1.00000e+02      2.53825e-14
    2.95665e-01      1.13213e-03      1.00000e+02      2.59646e-14
    2.99056e-01      1.12721e-03      1.00000e+02      2.65534e-14
    3.02486e-01      1.12224e-03      1.00000e+02      2.71490e-14
    3.05955e-01      1.11720e-03      1.00000e+02      2.77514e-14
    3.09464e-01      1.11211e-03      1.00000e+02      2.83607e-14
    3.13013e-01      1.10708e-03      1.00000e+02      2.90045e-14
    3.16603e-01      1.10213e-03      1.00000e+02      2.96895e-14
    3.20235e-01      1.09712e-03      1.00000e+02      3.03824e-14
    3.23908e-01      1.09206e-03      1.00000e+02      3.10832e-14
    3.27623e-01      1.08693e-03      1.00000e+02      3.17921e-14
    3.31380e-01      1.08175e-03      1.00000e+02      3.25091e-14
    3.35181e-01      1.07651e-03      1.00000e+02      3.32344e-14
    3.39025e-01      1.07121e-03      1.00000e+02      3.39679e-14
    3.42914e-01      1.06593e-03      1.00000e+02      3.47322e-14
    3.46847e-01      1.06077e-03      1.00000e+02      3.55502e-14
    3.50825e-01      1.05554e-03      1.00000e+02      3.63776e-14
    3.54849e-01      1.05026e-03      1.00000e+02      3.72145e-14
