    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      6.40280e+01      1.00000e+02      2.72313e-14
    1.01247e-01      6.34347e+01      1.00000e+02      2.79186e-14
    1.02408e-01      6.28346e+01      1.00000e+02      2.86138e-14
    1.03582e-01      6.22277e+01      1.00000e+02      2.93169e-14
    1.04769e-01      6.16138e+01      1.00000e+02      3.00281e-14
    1.05970e-01      6.09928e+01      1.00000e+02      3.07475e-14
    1.07184e-01      6.03647e+01      1.00000e+02      3.14751e-14
    1.08413e-01      5.97294e+01      1.00000e+02      3.22111e-14
    1.09655e-01      5.90868e+01      1.00000e+02      3.29555e-14
    1.10912e-01      5.84368e+01      1.00000e+02      3.37084e-14
    1.12184e-01      5.77794e+01      1.00000e+02      3.44700e-14
    1.13470e-01      5.71145e+01      1.00000e+02      3.52404e-14
    1.14770e-01      5.64419e+01      1.00000e+02      3.60195e-14
    1.16086e-01      5.57616e+01      1.00000e+02      3.68076e-14
    1.17417e-01      5.50734e+01      1.00000e+02      3.76048e-14
    1.18763e-01      5.43774e+01      1.00000e+02      3.84111e-14
    1.20124e-01      5.36735e+01      1.00000e+02      3.92266e-14
    1.21501e-01      5.29614e+01      1.00000e+02      4.00515e-14
    1.22894e-01      5.22411e+01      1.00000e+02      4.08859e-14
    1.24303e-01      5.15126e+01      1.00000e+02      4.17298e-14
    1.25728e-01      5.07758e+01      1.00000e+02      4.25834e-14
    1.27169e-01      5.00305e+01      1.00000e+02      4.34469e-14
    1.28627e-01      4.92766e+01      1.00000e+02      4.43202e-14
    1.30101e-01      4.85141e+01      1.00000e+02      4.52035e-14
    1.31593e-01      4.79650e+01      1.00000e+02      4.63008e-14
    1.33101e-01      4.74260e+01      1.00000e+02      4.74255e-14
    1.34627e-01      4.68807e+01      1.00000e+02      4.85632e-14
    1.36171e-01      4.63292e+01      1.00000e+02      4.97139e-14
    1.37732e-01      4.57714e+01      1.00000e+02      5.08778e-14
    1.39311e-01      4.52072e+01      1.00000e+02      5.20550e-14
    1.40908e-01      4.46365e+01      1.00000e+02      5.32458e-14
    1.42523e-01      4.40592e+01      1.00000e+02      5.44502e-14
    1.44157e-01      4.34753e+01      1.00000e+02      5.56685e-14
    1.45810e-01      4.28848e+01      1.00000e+02      5.69007e-14
    1.47482e-01      4.22874e+01      1.00000e+02      5.81471e-14
    1.49173e-01      4.16832e+01      1.00000e+02      5.94077e-14
    1.50883e-01      4.10721e+01      1.00000e+02      6.06829e-14
    1.52613e-01      4.04539e+01      1.00000e+02      6.19726e-14
    1.54363e-01      3.98287e+01      1.00000e+02      6.32772e-14
    1.56133e-01      3.91963e+01      1.00000e+02      6.45967e-14
    1.57923e-01      3.85566e+01      1.00000e+02      6.59314e-14
    1.59733e-01      3.79096e+01      1.00000e+02      6.72813e-14
    1.61565e-01      3.73693e+01      1.00000e+02      6.88149e-14
    1.63417e-01      3.68895e+01      1.00000e+02      7.04644e-14
    1.65291e-01      3.64041e+01      1.00000e+02      7.21328e-14
    1.67186e-01      3.59132e+01      1.00000e+02      7.38203e-14
    1.69103e-01      3.54167e+01      1.00000e+02      7.55272e-14
    1.71042e-01      3.49145e+01      1.00000e+02      7.72537e-14
    1.73003e-01      3.44065e+01      1.00000e+02      7.90000e-14
    1.74987e-01      3.38927e+01      1.00000e+02      8.07663e-14
    1.76994e-01      3.33729e+01      1.00000e+02      8.25529e-14
    1.79023e-01      3.28473e+01      1.00000e+02      8.43600e-14
    1.81076e-01      3.23156e+01      1.00000e+02      8.61878e-14
    1.83152e-01      3.17777e+01      1.00000e+02      8.80366e-14
    1.85252e-01      3.12338e+01      1.00000e+02      8.99066e-14
    1.87377e-01      3.06835e+01      1.00000e+02      9.17980e-14
    1.89525e-01      3.01270e+01      1.00000e+02      9.37112e-14
    1.91698e-01      2.96336e+01      1.00000e+02      9.58028e-14
    1.93897e-01      2.92042e+01      1.00000e+02      9.80752e-14
    1.96120e-01      2.87699e+01      1.00000e+02      1.00374e-13
    1.98369e-01      2.83305e+01      1.00000e+02      1.02698e-13
    2.00644e-01      2.78861e+01      1.00000e+02      1.05050e-13
    2.02944e-01      2.74367e+01      1.00000e+02      1.07428e-13
    2.05272e-01      2.69820e+01      1.00000e+02      1.09834e-13
    2.07626e-01      2.65222e+01      1.00000e+02      1.12267e-13
    2.10006e-01      2.60571e+01      1.00000e+02      1.14729e-13
    2.12415e-01      2.55866e+01      1.00000e+02      1.17218e-13
    2.14851e-01      2.51108e+01      1.00000e+02      1.19736e-13
    2.17314e-01      2.46294e+01      1.00000e+02      1.22283e-13
    2.19806e-01      2.41426e+01      1.00000e+02      1.24859e-13
    2.22327e-01      2.37195e+01      1.00000e+02      1.27681e-13
    2.24877e-01      2.33378e+01      1.00000e+02      1.30680e-13
    2.27455e-01      2.29517e+01      1.00000e+02      1.33713e-13
    2.30064e-01      2.25611e+01      1.00000e+02      1.36780e-13
    2.32702e-01      2.21661e+01      1.00000e+02      1.39883e-13
    2.35371e-01      2.17666e+01      1.00000e+02      1.43022e-13
    2.38070e-01      2.13625e+01      1.00000e+02      1.46196e-13
    2.40800e-01      2.09537e+01      1.00000e+02      1.49407e-13
    2.43562e-01      2.05403e+01      1.00000e+02      1.52655e-13
    2.46355e-01      2.01221e+01      1.00000e+02      1.55940e-13
    2.49180e-01      1.96991e+01      1.00000e+02      1.59263e-13
    2.52038e-01      1.93049e+01      1.00000e+02      1.62769e-13
    2.54928e-01      1.89669e+01      1.00000e+02      1.66577e-13
    2.57852e-01      1.86250e+01      1.00000e+02      1.70428e-13
    2.60809e-01      1.82791e+01      1.00000e+02      1.74324e-13
    2.63800e-01      1.79293e+01      1.00000e+02      1.78264e-13
    2.66826e-01      1.75755e+01      1.00000e+02      1.82250e-13
    2.69886e-01      1.72176e+01      1.00000e+02      1.86281e-13
    2.72981e-01      1.68556e+01      1.00000e+02      1.90359e-13
    2.76112e-01      1.64895e+01      1.00000e+02      1.94483e-13
    2.79278e-01      1.61192e+01      1.00000e+02      1.98655e-13
