    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      8.67295e-01      5.00000e+00      3.06599e-17
    1.02614e-02      8.62747e-01      5.00000e+00      3.30295e-17
    1.04254e-02      8.58125e-01      5.00000e+00      3.54375e-17
    1.05921e-02      8.53428e-01      5.00000e+00      3.78843e-17
    1.07615e-02      8.48656e-01      5.00000e+00      4.03706e-17
    1.09336e-02      8.43806e-01      5.00000e+00      4.28970e-17
    1.11084e-02      8.38879e-01      5.00000e+00      4.54642e-17
    1.12861e-02      8.33871e-01      5.00000e+00      4.80729e-17
    1.14667e-02      8.28783e-01      5.00000e+00      5.07236e-17
    1.16502e-02      8.23613e-01      5.00000e+00      5.34172e-17
    1.18366e-02      8.18359e-01      5.00000e+00      5.61542e-17
    1.20261e-02      8.13021e-01      5.00000e+00      5.89354e-17
    1.22186e-02      8.07596e-01      5.00000e+00      6.17615e-17
    1.24142e-02      8.02084e-01      5.00000e+00      6.46332e-17
    1.26129e-02      7.96483e-01      5.00000e+00      6.75513e-17
    1.28149e-02      7.90791e-01      5.00000e+00      7.05164e-17
    1.30202e-02      7.85008e-01      5.00000e+00      7.35295e-17
    1.32287e-02      7.79131e-01      5.00000e+00      7.65911e-17
    1.34406e-02      7.73159e-01      5.00000e+00      7.97022e-17
    1.36560e-02      7.67091e-01      5.00000e+00      8.28635e-17
    1.38748e-02      7.60925e-01      5.00000e+00      8.60758e-17
    1.40971e-02      7.54660e-01      5.00000e+00      8.93400e-17
    1.43231e-02      7.48293e-01      5.00000e+00      9.26569e-17
    1.45527e-02      7.41823e-01      5.00000e+00      9.60273e-17
    1.47859e-02      7.35249e-01      5.00000e+00      9.94521e-17
    1.50230e-02      7.28569e-01      5.00000e+00      1.02932e-16
    1.52639e-02      7.21782e-01      5.00000e+00      1.06469e-16
    1.55086e-02      7.14884e-01      5.00000e+00      1.10062e-16
    1.57574e-02      7.07876e-01      5.00000e+00      1.13713e-16
    1.60101e-02      7.00754e-01      5.00000e+00      1.17424e-16
    1.62669e-02      6.93517e-01      5.00000e+00      1.21194e-16
    1.65279e-02      6.86163e-01      5.00000e+00      1.25025e-16
    1.67931e-02      6.78691e-01      5.00000e+00      1.28918e-16
    1.70625e-02      6.71098e-01      5.00000e+00      1.32873e-16
    1.73363e-02      6.63382e-01      5.00000e+00      1.36893e-16
    1.76145e-02      6.55542e-01      5.00000e+00      1.40977e-16
    1.78972e-02      6.47576e-01      5.00000e+00      1.45128e-16
    1.81845e-02      6.39480e-01      5.00000e+00      1.49345e-16
    1.84764e-02      6.31255e-01      5.00000e+00      1.53631e-16
    1.87731e-02      6.22896e-01      5.00000e+00      1.57985e-16
    1.90745e-02      6.14402e-01      5.00000e+00      1.62410e-16
    1.93808e-02      6.05772e-01      5.00000e+00      1.66907e-16
    1.96920e-02      5.97002e-01      5.00000e+00      1.71475e-16
    2.00082e-02      5.88090e-01      5.00000e+00      1.76118e-16
    2.03296e-02      5.79035e-01      5.00000e+00      1.80836e-16
    2.06561e-02      5.69833e-01      5.00000e+00      1.85630e-16
    2.09879e-02      5.60483e-01      5.00000e+00      1.90501e-16
    2.13251e-02      5.50982e-01      5.00000e+00      1.95450e-16
    2.16677e-02      5.41328e-01      5.00000e+00      2.00480e-16
    2.20158e-02      5.31517e-01      5.00000e+00      2.05591e-16
    2.23696e-02      5.21549e-01      5.00000e+00      2.10784e-16
    2.27291e-02      5.11419e-01      5.00000e+00      2.16062e-16
    2.30943e-02      5.01126e-01      5.00000e+00      2.21424e-16
    2.34655e-02      4.90667e-01      5.00000e+00      2.26873e-16
    2.38426e-02      4.80039e-01      5.00000e+00      2.32410e-16
    2.42259e-02      4.69240e-01      5.00000e+00      2.38036e-16
    2.46153e-02      4.58266e-01      5.00000e+00      2.43753e-16
    2.50110e-02      4.47115e-01      5.00000e+00      2.49562e-16
    2.54131e-02      4.35784e-01      5.00000e+00      2.55465e-16
    2.58217e-02      4.24270e-01      5.00000e+00      2.61464e-16
    2.62369e-02      4.12570e-01      5.00000e+00      2.67559e-16
    2.66588e-02      4.00682e-01      5.00000e+00      2.73753e-16
    2.70875e-02      3.88601e-01      5.00000e+00      2.80046e-16
    2.75231e-02      3.76326e-01      5.00000e+00      2.86442e-16
    2.79658e-02      3.63852e-01      5.00000e+00      2.92940e-16
    2.84156e-02      3.51177e-01      5.00000e+00      2.99543e-16
    2.88727e-02      3.38298e-01      5.00000e+00      3.06253e-16
    2.93371e-02      3.25210e-01      5.00000e+00      3.13071e-16
    2.98090e-02      3.11912e-01      5.00000e+00      3.20000e-16
    3.02886e-02      2.98398e-01      5.00000e+00      3.27040e-16
    3.07759e-02      2.84667e-01      5.00000e+00      3.34193e-16
    3.12710e-02      2.70714e-01      5.00000e+00      3.41463e-16
    3.17742e-02      2.56535e-01      5.00000e+00      3.48849e-16
    3.22855e-02      2.42128e-01      5.00000e+00      3.56355e-16
    3.28050e-02      2.27488e-01      5.00000e+00      3.63982e-16
    3.33329e-02      2.12612e-01      5.00000e+00      3.71732e-16
    3.38693e-02      1.97496e-01      5.00000e+00      3.79607e-16
    3.44144e-02      1.82136e-01      5.00000e+00      3.87609e-16
    3.49683e-02      1.66528e-01      5.00000e+00      3.95741e-16
    3.55311e-02      1.50667e-01      5.00000e+00      4.04003e-16
    3.61031e-02      1.34551e-01      5.00000e+00      4.12400e-16
    3.66842e-02      1.18175e-01      5.00000e+00      4.20931e-16
    3.72747e-02      1.01534e-01      5.00000e+00      4.29600e-16
    3.78748e-02      8.46253e-02      5.00000e+00      4.38410e-16
    3.84845e-02      6.74431e-02      5.00000e+00      4.47361e-16
    3.91041e-02      4.99836e-02      5.00000e+00      4.56457e-16
    3.97337e-02      3.22423e-02      5.00000e+00      4.65700e-16
    4.03735e-02      1.64446e-02      5.00000e+00      4.76516e-16
    4.10236e-02      1.61239e-02      5.00000e+00      4.97554e-16
    4.16841e-02      1.57981e-02      5.00000e+00      5.18931e-16
    4.23554e-02      1.54670e-02      5.00000e+00      5.40653e-16
    4.30374e-02      1.51306e-02      5.00000e+00      5.62726e-16
    4.37305e-02      1.47887e-02      5.00000e+00      5.85156e-16
    4.44348e-02      1.44414e-02      5.00000e+00      6.07947e-16
    4.51504e-02      1.40884e-02      5.00000e+00      6.31106e-16
    4.58776e-02      1.37297e-02      5.00000e+00      6.54639e-16
    4.66165e-02      1.33652e-02      5.00000e+00      6.78552e-16
    4.73674e-02      1.29949e-02      5.00000e+00      7.02851e-16
    4.81304e-02      1.26185e-02      5.00000e+00      7.27543e-16
    4.89056e-02      1.22361e-02      5.00000e+00      7.52632e-16
    4.96934e-02      1.18475e-02      5.00000e+00      7.78127e-16
    5.04940e-02      1.14527e-02      5.00000e+00      8.04033e-16
    5.13074e-02      1.10515e-02      5.00000e+00      8.30358e-16
    5.21340e-02      1.06438e-02      5.00000e+00      8.57107e-16
    5.29739e-02      1.02295e-02      5.00000e+00      8.84288e-16
    5.38274e-02      9.80851e-03      5.00000e+00      9.11908e-16
    5.46946e-02      9.38074e-03      5.00000e+00      9.39974e-16
    5.55758e-02      8.94607e-03      5.00000e+00      9.68493e-16
    5.64713e-02      8.50438e-03      5.00000e+00      9.97472e-16
    5.73812e-02      8.05556e-03      5.00000e+00      1.02692e-15
    5.83059e-02      7.59950e-03      5.00000e+00      1.05684e-15
    5.92454e-02      7.13607e-03      5.00000e+00      1.08725e-15
    6.02001e-02      6.66517e-03      5.00000e+00      1.11814e-15
    6.11702e-02      6.18666e-03      5.00000e+00      1.14954e-15
    6.21560e-02      5.70044e-03      5.00000e+00      1.18144e-15
    6.31577e-02      5.20636e-03      5.00000e+00      1.21385e-15
    6.41755e-02      4.70430e-03      5.00000e+00      1.24679e-15
    6.52098e-02      4.19415e-03      5.00000e+00      1.28027e-15
    6.62608e-02      3.67576e-03      5.00000e+00      1.31428e-15
    6.73287e-02      3.14900e-03      5.00000e+00      1.34884e-15
    6.84139e-02      2.61373e-03      5.00000e+00      1.38396e-15
    6.95166e-02      2.06983e-03      5.00000e+00      1.41964e-15
    7.06371e-02      1.54231e-03      5.00000e+00      1.45698e-15
    7.17757e-02      1.53975e-03      5.00000e+00      1.51779e-15
    7.29326e-02      1.53716e-03      5.00000e+00      1.57958e-15
    7.41083e-02      1.53452e-03      5.00000e+00      1.64236e-15
    7.53029e-02      1.53184e-03      5.00000e+00      1.70616e-15
    7.65168e-02      1.52911e-03      5.00000e+00      1.77099e-15
    7.77503e-02      1.52634e-03      5.00000e+00      1.83686e-15
    7.90037e-02      1.52353e-03      5.00000e+00      1.90380e-15
    8.02773e-02      1.52067e-03      5.00000e+00      1.97182e-15
    8.15715e-02      1.51777e-03      5.00000e+00      2.04094e-15
    8.28866e-02      1.51481e-03      5.00000e+00      2.11117e-15
