    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      2.47699e+02      5.00000e+00      3.31837e-16
    1.02614e-02      2.47060e+02      5.00000e+00      3.54407e-16
    1.04254e-02      2.46409e+02      5.00000e+00      3.77341e-16
    1.05921e-02      2.45749e+02      5.00000e+00      4.00645e-16
    1.07615e-02      2.45077e+02      5.00000e+00      4.24325e-16
    1.09336e-02      2.44395e+02      5.00000e+00      4.48387e-16
    1.11084e-02      2.43702e+02      5.00000e+00      4.72838e-16
    1.12861e-02      2.42998e+02      5.00000e+00      4.97684e-16
    1.14667e-02      2.42282e+02      5.00000e+00      5.22930e-16
    1.16502e-02      2.41555e+02      5.00000e+00      5.48584e-16
    1.18366e-02      2.40816e+02      5.00000e+00      5.74653e-16
    1.20261e-02      2.40065e+02      5.00000e+00      6.01141e-16
    1.22186e-02      2.39302e+02      5.00000e+00      6.28058e-16
    1.24142e-02      2.38526e+02      5.00000e+00      6.55409e-16
    1.26129e-02      2.37738e+02      5.00000e+00      6.83201e-16
    1.28149e-02      2.36938e+02      5.00000e+00      7.11443e-16
    1.30202e-02      2.36124e+02      5.00000e+00      7.40139e-16
    1.32287e-02      2.35298e+02      5.00000e+00      7.69300e-16
    1.34406e-02      2.34458e+02      5.00000e+00      7.98931e-16
    1.36560e-02      2.33604e+02      5.00000e+00      8.29040e-16
    1.38748e-02      2.32737e+02      5.00000e+00      8.59635e-16
    1.40971e-02      2.31855e+02      5.00000e+00      8.90724e-16
    1.43231e-02      2.30960e+02      5.00000e+00      9.22315e-16
    1.45527e-02      2.30050e+02      5.00000e+00      9.54415e-16
    1.47859e-02      2.29125e+02      5.00000e+00      9.87034e-16
    1.50230e-02      2.28185e+02      5.00000e+00      1.02018e-15
    1.52639e-02      2.27230e+02      5.00000e+00      1.05386e-15
    1.55086e-02      2.26260e+02      5.00000e+00      1.08808e-15
    1.57574e-02      2.25274e+02      5.00000e+00      1.12286e-15
    1.60101e-02      2.24273e+02      5.00000e+00      1.15820e-15
    1.62669e-02      2.23255e+02      5.00000e+00      1.19411e-15
    1.65279e-02      2.22220e+02      5.00000e+00      1.23060e-15
    1.67931e-02      2.21169e+02      5.00000e+00      1.26767e-15
    1.70625e-02      2.20101e+02      5.00000e+00      1.30535e-15
    1.73363e-02      2.19016e+02      5.00000e+00      1.34363e-15
    1.76145e-02      2.17913e+02      5.00000e+00      1.38253e-15
    1.78972e-02      2.16792e+02      5.00000e+00      1.42206e-15
    1.81845e-02      2.15653e+02      5.00000e+00      1.46223e-15
    1.84764e-02      2.14496e+02      5.00000e+00      1.50305e-15
    1.87731e-02      2.13321e+02      5.00000e+00      1.54452e-15
    1.90745e-02      2.12126e+02      5.00000e+00      1.58666e-15
    1.93808e-02      2.10912e+02      5.00000e+00      1.62949e-15
    1.96920e-02      2.09678e+02      5.00000e+00      1.67300e-15
    2.00082e-02      2.08425e+02      5.00000e+00      1.71722e-15
    2.03296e-02      2.07151e+02      5.00000e+00      1.76215e-15
    2.06561e-02      2.05856e+02      5.00000e+00      1.80781e-15
    2.09879e-02      2.04541e+02      5.00000e+00      1.85421e-15
    2.13251e-02      2.03205e+02      5.00000e+00      1.90135e-15
    2.16677e-02      2.01847e+02      5.00000e+00      1.94925e-15
    2.20158e-02      2.00467e+02      5.00000e+00      1.99793e-15
    2.23696e-02      1.99064e+02      5.00000e+00      2.04739e-15
    2.27291e-02      1.97640e+02      5.00000e+00      2.09765e-15
    2.30943e-02      1.96192e+02      5.00000e+00      2.14873e-15
    2.34655e-02      1.94720e+02      5.00000e+00      2.20062e-15
    2.38426e-02      1.93225e+02      5.00000e+00      2.25336e-15
    2.42259e-02      1.91706e+02      5.00000e+00      2.30694e-15
    2.46153e-02      1.90163e+02      5.00000e+00      2.36140e-15
    2.50110e-02      1.88594e+02      5.00000e+00      2.41673e-15
    2.54131e-02      1.87000e+02      5.00000e+00      2.47295e-15
    2.58217e-02      1.85381e+02      5.00000e+00      2.53008e-15
    2.62369e-02      1.83735e+02      5.00000e+00      2.58813e-15
    2.66588e-02      1.82062e+02      5.00000e+00      2.64712e-15
    2.70875e-02      1.80363e+02      5.00000e+00      2.70706e-15
    2.75231e-02      1.78636e+02      5.00000e+00      2.76797e-15
    2.79658e-02      1.76882e+02      5.00000e+00      2.82987e-15
    2.84156e-02      1.75099e+02      5.00000e+00      2.89276e-15
    2.88727e-02      1.73287e+02      5.00000e+00      2.95666e-15
    2.93371e-02      1.71446e+02      5.00000e+00      3.02160e-15
    2.98090e-02      1.69575e+02      5.00000e+00      3.08759e-15
    3.02886e-02      1.67675e+02      5.00000e+00      3.15464e-15
    3.07759e-02      1.65743e+02      5.00000e+00      3.22278e-15
    3.12710e-02      1.63780e+02      5.00000e+00      3.29201e-15
    3.17742e-02      1.61786e+02      5.00000e+00      3.36236e-15
    3.22855e-02      1.59759e+02      5.00000e+00      3.43385e-15
