    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      9.32597e-03      1.00000e+01      7.33531e-16
    5.07438e-02      9.15930e-03      1.00000e+01      7.58006e-16
    5.13959e-02      8.99049e-03      1.00000e+01      7.82796e-16
    5.20564e-02      8.81949e-03      1.00000e+01      8.07905e-16
    5.27254e-02      8.64630e-03      1.00000e+01      8.33338e-16
    5.34030e-02      8.47088e-03      1.00000e+01      8.59098e-16
    5.40893e-02      8.29320e-03      1.00000e+01      8.85190e-16
    5.47845e-02      8.11323e-03      1.00000e+01      9.11617e-16
    5.54886e-02      7.93094e-03      1.00000e+01      9.38385e-16
    5.62018e-02      7.74631e-03      1.00000e+01      9.65498e-16
    5.69242e-02      7.55930e-03      1.00000e+01      9.92959e-16
    5.76558e-02      7.36988e-03      1.00000e+01      1.02077e-15
    5.83969e-02      7.17802e-03      1.00000e+01      1.04895e-15
    5.91476e-02      6.98369e-03      1.00000e+01      1.07748e-15
    5.99079e-02      6.78686e-03      1.00000e+01      1.10639e-15
    6.06779e-02      6.58749e-03      1.00000e+01      1.13566e-15
    6.14580e-02      6.38556e-03      1.00000e+01      1.16532e-15
    6.22480e-02      6.18103e-03      1.00000e+01      1.19535e-15
    6.30482e-02      5.97386e-03      1.00000e+01      1.22577e-15
    6.38587e-02      5.76403e-03      1.00000e+01      1.25659e-15
    6.46797e-02      5.55149e-03      1.00000e+01      1.28780e-15
    6.55112e-02      5.33622e-03      1.00000e+01      1.31941e-15
    6.63535e-02      5.11818e-03      1.00000e+01      1.35143e-15
    6.72066e-02      4.89733e-03      1.00000e+01      1.38386e-15
    6.80706e-02      4.67363e-03      1.00000e+01      1.41670e-15
    6.89458e-02      4.44706e-03      1.00000e+01      1.44998e-15
    6.98323e-02      4.21756e-03      1.00000e+01      1.48368e-15
    7.07302e-02      3.98512e-03      1.00000e+01      1.51781e-15
    7.16396e-02      3.74968e-03      1.00000e+01      1.55238e-15
    7.25607e-02      3.51120e-03      1.00000e+01      1.58740e-15
    7.34938e-02      3.26966e-03      1.00000e+01      1.62287e-15
    7.44388e-02      3.02501e-03      1.00000e+01      1.65880e-15
    7.53960e-02      2.77721e-03      1.00000e+01      1.69519e-15
    7.63655e-02      2.52621e-03      1.00000e+01      1.73204e-15
    7.73475e-02      2.27199e-03      1.00000e+01      1.76937e-15
    7.83421e-02      2.01449e-03      1.00000e+01      1.80719e-15
    7.93496e-02      1.75367e-03      1.00000e+01      1.84549e-15
    8.03700e-02      1.51965e-03      1.00000e+01      1.88681e-15
    8.14035e-02      1.51740e-03      1.00000e+01      1.94838e-15
    8.24504e-02      1.51511e-03      1.00000e+01      2.01075e-15
    8.35108e-02      1.51279e-03      1.00000e+01      2.07392e-15
    8.45848e-02      1.51045e-03      1.00000e+01      2.13790e-15
    8.56726e-02      1.50807e-03      1.00000e+01      2.20271e-15
    8.67744e-02      1.50567e-03      1.00000e+01      2.26835e-15
    8.78905e-02      1.50323e-03      1.00000e+01      2.33483e-15
    8.90209e-02      1.50076e-03      1.00000e+01      2.40217e-15
    9.01658e-02      1.49826e-03      1.00000e+01      2.47038e-15
    9.13255e-02      1.49573e-03      1.00000e+01      2.53947e-15
    9.25001e-02      1.49317e-03      1.00000e+01      2.60944e-15
    9.36899e-02      1.49057e-03      1.00000e+01      2.68032e-15
    9.48949e-02      1.48794e-03      1.00000e+01      2.75211e-15
    9.61155e-02      1.48527e-03      1.00000e+01      2.82483e-15
    9.73518e-02      1.48257e-03      1.00000e+01      2.89848e-15
    9.86040e-02      1.47984e-03      1.00000e+01      2.97308e-15
    9.98724e-02      1.47707e-03      1.00000e+01      3.04864e-15
    1.01157e-01      1.47426e-03      1.00000e+01      3.12517e-15
    1.02458e-01      1.47142e-03      1.00000e+01      3.20269e-15
    1.03776e-01      1.46854e-03      1.00000e+01      3.28120e-15
    1.05111e-01      1.46563e-03      1.00000e+01      3.36073e-15
    1.06463e-01      1.46268e-03      1.00000e+01      3.44128e-15
    1.07833e-01      1.45969e-03      1.00000e+01      3.52287e-15
    1.09220e-01      1.45666e-03      1.00000e+01      3.60551e-15
    1.10625e-01      1.45361e-03      1.00000e+01      3.69107e-15
    1.12048e-01      1.45071e-03      1.00000e+01      3.79792e-15
    1.13490e-01      1.44778e-03      1.00000e+01      3.90615e-15
    1.14950e-01      1.44481e-03      1.00000e+01      4.01577e-15
    1.16428e-01      1.44180e-03      1.00000e+01      4.12680e-15
    1.17926e-01      1.43875e-03      1.00000e+01      4.23927e-15
    1.19443e-01      1.43567e-03      1.00000e+01      4.35318e-15
    1.20980e-01      1.43254e-03      1.00000e+01      4.46855e-15
    1.22537e-01      1.42938e-03      1.00000e+01      4.58542e-15
    1.24113e-01      1.42617e-03      1.00000e+01      4.70379e-15
    1.25710e-01      1.42292e-03      1.00000e+01      4.82368e-15
    1.27327e-01      1.41963e-03      1.00000e+01      4.94511e-15
    1.28965e-01      1.41630e-03      1.00000e+01      5.06811e-15
    1.30625e-01      1.41292e-03      1.00000e+01      5.19269e-15
    1.32305e-01      1.40950e-03      1.00000e+01      5.31888e-15
    1.34008e-01      1.40604e-03      1.00000e+01      5.44669e-15
    1.35732e-01      1.40253e-03      1.00000e+01      5.57615e-15
    1.37478e-01      1.39898e-03      1.00000e+01      5.70728e-15
    1.39247e-01      1.39538e-03      1.00000e+01      5.84009e-15
    1.41039e-01      1.39178e-03      1.00000e+01      5.97958e-15
    1.42854e-01      1.38833e-03      1.00000e+01      6.14788e-15
    1.44692e-01      1.38485e-03      1.00000e+01      6.31835e-15
    1.46553e-01      1.38132e-03      1.00000e+01      6.49101e-15
    1.48439e-01      1.37774e-03      1.00000e+01      6.66590e-15
    1.50349e-01      1.37412e-03      1.00000e+01      6.84304e-15
    1.52284e-01      1.37045e-03      1.00000e+01      7.02246e-15
    1.54243e-01      1.36673e-03      1.00000e+01      7.20419e-15
    1.56228e-01      1.36297e-03      1.00000e+01      7.38826e-15
    1.58238e-01      1.35916e-03      1.00000e+01      7.57470e-15
    1.60275e-01      1.35530e-03      1.00000e+01      7.76354e-15
    1.62337e-01      1.35139e-03      1.00000e+01      7.95481e-15
    1.64426e-01      1.34742e-03      1.00000e+01      8.14855e-15
    1.66542e-01      1.34341e-03      1.00000e+01      8.34478e-15
    1.68685e-01      1.33935e-03      1.00000e+01      8.54354e-15
    1.70856e-01      1.33523e-03      1.00000e+01      8.74485e-15
    1.73054e-01      1.33130e-03      1.00000e+01      8.98468e-15
    1.75281e-01      1.32734e-03      1.00000e+01      9.23034e-15
    1.77537e-01      1.32332e-03      1.00000e+01      9.47917e-15
    1.79822e-01      1.31926e-03      1.00000e+01      9.73120e-15
    1.82136e-01      1.31514e-03      1.00000e+01      9.98647e-15
    1.84480e-01      1.31096e-03      1.00000e+01      1.02450e-14
    1.86854e-01      1.30674e-03      1.00000e+01      1.05069e-14
    1.89258e-01      1.30246e-03      1.00000e+01      1.07722e-14
    1.91694e-01      1.29812e-03      1.00000e+01      1.10409e-14
    1.94161e-01      1.29373e-03      1.00000e+01      1.13130e-14
    1.96660e-01      1.28929e-03      1.00000e+01      1.15887e-14
    1.99191e-01      1.28478e-03      1.00000e+01      1.18678e-14
    2.01754e-01      1.28027e-03      1.00000e+01      1.21592e-14
