    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      1.11864e+02      1.00000e+01      6.93129e-15
    5.07438e-02      1.11151e+02      1.00000e+01      7.14996e-15
    5.13959e-02      1.10429e+02      1.00000e+01      7.37145e-15
    5.20564e-02      1.09698e+02      1.00000e+01      7.59580e-15
    5.27254e-02      1.08957e+02      1.00000e+01      7.82302e-15
    5.34030e-02      1.08207e+02      1.00000e+01      8.05318e-15
    5.40893e-02      1.07447e+02      1.00000e+01      8.28630e-15
    5.47845e-02      1.06677e+02      1.00000e+01      8.52242e-15
    5.54886e-02      1.05897e+02      1.00000e+01      8.76158e-15
    5.62018e-02      1.05107e+02      1.00000e+01      9.00382e-15
    5.69242e-02      1.04307e+02      1.00000e+01      9.24918e-15
    5.76558e-02      1.03497e+02      1.00000e+01      9.49770e-15
    5.83969e-02      1.02677e+02      1.00000e+01      9.74942e-15
    5.91476e-02      1.01845e+02      1.00000e+01      1.00044e-14
    5.99079e-02      1.01004e+02      1.00000e+01      1.02626e-14
    6.06779e-02      1.00151e+02      1.00000e+01      1.05242e-14
    6.14580e-02      9.92871e+01      1.00000e+01      1.07891e-14
    6.22480e-02      9.84123e+01      1.00000e+01      1.10575e-14
    6.30482e-02      9.75262e+01      1.00000e+01      1.13293e-14
    6.38587e-02      9.66287e+01      1.00000e+01      1.16046e-14
    6.46797e-02      9.57196e+01      1.00000e+01      1.18834e-14
    6.55112e-02      9.47989e+01      1.00000e+01      1.21659e-14
    6.63535e-02      9.38662e+01      1.00000e+01      1.24519e-14
    6.72066e-02      9.29216e+01      1.00000e+01      1.27417e-14
    6.80706e-02      9.19648e+01      1.00000e+01      1.30352e-14
    6.89458e-02      9.09957e+01      1.00000e+01      1.33324e-14
    6.98323e-02      9.00141e+01      1.00000e+01      1.36335e-14
    7.07302e-02      8.90199e+01      1.00000e+01      1.39385e-14
    7.16396e-02      8.80129e+01      1.00000e+01      1.42474e-14
    7.25607e-02      8.69929e+01      1.00000e+01      1.45603e-14
    7.34938e-02      8.59597e+01      1.00000e+01      1.48772e-14
    7.44388e-02      8.49133e+01      1.00000e+01      1.51982e-14
    7.53960e-02      8.38534e+01      1.00000e+01      1.55233e-14
    7.63655e-02      8.27798e+01      1.00000e+01      1.58526e-14
    7.73475e-02      8.16924e+01      1.00000e+01      1.61861e-14
    7.83421e-02      8.05911e+01      1.00000e+01      1.65240e-14
    7.93496e-02      7.94755e+01      1.00000e+01      1.68662e-14
    8.03700e-02      7.83959e+01      1.00000e+01      1.72342e-14
    8.14035e-02      7.76939e+01      1.00000e+01      1.77735e-14
    8.24504e-02      7.69828e+01      1.00000e+01      1.83197e-14
    8.35108e-02      7.62626e+01      1.00000e+01      1.88730e-14
    8.45848e-02      7.55332e+01      1.00000e+01      1.94335e-14
    8.56726e-02      7.47943e+01      1.00000e+01      2.00011e-14
    8.67744e-02      7.40459e+01      1.00000e+01      2.05760e-14
    8.78905e-02      7.32879e+01      1.00000e+01      2.11584e-14
    8.90209e-02      7.25202e+01      1.00000e+01      2.17482e-14
    9.01658e-02      7.17425e+01      1.00000e+01      2.23457e-14
    9.13255e-02      7.09549e+01      1.00000e+01      2.29508e-14
    9.25001e-02      7.01571e+01      1.00000e+01      2.35637e-14
    9.36899e-02      6.93490e+01      1.00000e+01      2.41845e-14
    9.48949e-02      6.85305e+01      1.00000e+01      2.48134e-14
    9.61155e-02      6.77015e+01      1.00000e+01      2.54503e-14
    9.73518e-02      6.68618e+01      1.00000e+01      2.60954e-14
    9.86040e-02      6.60113e+01      1.00000e+01      2.67488e-14
    9.98724e-02      6.51498e+01      1.00000e+01      2.74106e-14
    1.01157e-01      6.42772e+01      1.00000e+01      2.80810e-14
    1.02458e-01      6.33935e+01      1.00000e+01      2.87599e-14
    1.03776e-01      6.24983e+01      1.00000e+01      2.94477e-14
    1.05111e-01      6.15916e+01      1.00000e+01      3.01442e-14
    1.06463e-01      6.06732e+01      1.00000e+01      3.08498e-14
    1.07833e-01      5.97430e+01      1.00000e+01      3.15644e-14
    1.09220e-01      5.88009e+01      1.00000e+01      3.22883e-14
    1.10625e-01      5.78739e+01      1.00000e+01      3.30368e-14
    1.12048e-01      5.72310e+01      1.00000e+01      3.39624e-14
    1.13490e-01      5.65799e+01      1.00000e+01      3.48999e-14
    1.14950e-01      5.59204e+01      1.00000e+01      3.58495e-14
    1.16428e-01      5.52525e+01      1.00000e+01      3.68113e-14
    1.17926e-01      5.45759e+01      1.00000e+01      3.77855e-14
    1.19443e-01      5.38906e+01      1.00000e+01      3.87722e-14
    1.20980e-01      5.31965e+01      1.00000e+01      3.97716e-14
    1.22537e-01      5.24934e+01      1.00000e+01      4.07839e-14
    1.24113e-01      5.17813e+01      1.00000e+01      4.18093e-14
    1.25710e-01      5.10600e+01      1.00000e+01      4.28478e-14
    1.27327e-01      5.03295e+01      1.00000e+01      4.38997e-14
    1.28965e-01      4.95895e+01      1.00000e+01      4.49652e-14
    1.30625e-01      4.88400e+01      1.00000e+01      4.60444e-14
    1.32305e-01      4.80809e+01      1.00000e+01      4.71374e-14
    1.34008e-01      4.73119e+01      1.00000e+01      4.82446e-14
    1.35732e-01      4.65331e+01      1.00000e+01      4.93660e-14
    1.37478e-01      4.57443e+01      1.00000e+01      5.05018e-14
    1.39247e-01      4.49452e+01      1.00000e+01      5.16523e-14
    1.41039e-01      4.41735e+01      1.00000e+01      5.28586e-14
    1.42854e-01      4.35961e+01      1.00000e+01      5.43040e-14
    1.44692e-01      4.30112e+01      1.00000e+01      5.57679e-14
    1.46553e-01      4.24188e+01      1.00000e+01      5.72507e-14
    1.48439e-01      4.18188e+01      1.00000e+01      5.87526e-14
