    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      8.80575e-01      1.00000e+01      3.33215e-09
    1.02859e-02      8.72702e-01      1.00000e+01      3.54831e-09
    1.04753e-02      8.64682e-01      1.00000e+01      3.76849e-09
    1.06682e-02      8.56514e-01      1.00000e+01      3.99276e-09
    1.08647e-02      8.48193e-01      1.00000e+01      4.22120e-09
    1.10648e-02      8.39718e-01      1.00000e+01      4.45389e-09
    1.12686e-02      8.31085e-01      1.00000e+01      4.69090e-09
    1.14763e-02      8.22292e-01      1.00000e+01      4.93232e-09
    1.16878e-02      8.13335e-01      1.00000e+01      5.17823e-09
    1.19032e-02      8.04212e-01      1.00000e+01      5.42871e-09
    1.21226e-02      7.94919e-01      1.00000e+01      5.68385e-09
    1.23462e-02      7.85453e-01      1.00000e+01      5.94373e-09
    1.25738e-02      7.75811e-01      1.00000e+01      6.20844e-09
    1.28057e-02      7.65990e-01      1.00000e+01      6.47808e-09
    1.30420e-02      7.55987e-01      1.00000e+01      6.75273e-09
    1.32826e-02      7.45797e-01      1.00000e+01      7.03248e-09
    1.35276e-02      7.35419e-01      1.00000e+01      7.31743e-09
    1.37773e-02      7.24847e-01      1.00000e+01      7.60768e-09
    1.40316e-02      7.14078e-01      1.00000e+01      7.90333e-09
    1.42906e-02      7.03110e-01      1.00000e+01      8.20448e-09
    1.45544e-02      6.91937e-01      1.00000e+01      8.51122e-09
    1.48231e-02      6.80557e-01      1.00000e+01      8.82366e-09
    1.50968e-02      6.68965e-01      1.00000e+01      9.14192e-09
    1.53757e-02      6.57158e-01      1.00000e+01      9.46609e-09
    1.56597e-02      6.45131e-01      1.00000e+01      9.79629e-09
    1.59489e-02      6.32880e-01      1.00000e+01      1.01326e-08
    1.62436e-02      6.20402e-01      1.00000e+01      1.04752e-08
    1.65437e-02      6.07692e-01      1.00000e+01      1.08242e-08
    1.68494e-02      5.94745e-01      1.00000e+01      1.11796e-08
    1.71608e-02      5.81558e-01      1.00000e+01      1.15417e-08
    1.74780e-02      5.68126e-01      1.00000e+01      1.19105e-08
    1.78011e-02      5.54444e-01      1.00000e+01      1.22861e-08
    1.81302e-02      5.40507e-01      1.00000e+01      1.26687e-08
    1.84654e-02      5.26312e-01      1.00000e+01      1.30585e-08
    1.88068e-02      5.11852e-01      1.00000e+01      1.34555e-08
    1.91546e-02      4.97124e-01      1.00000e+01      1.38598e-08
    1.95089e-02      4.82122e-01      1.00000e+01      1.42717e-08
    1.98697e-02      4.66841e-01      1.00000e+01      1.46912e-08
    2.02372e-02      4.51276e-01      1.00000e+01      1.51186e-08
    2.06116e-02      4.35421e-01      1.00000e+01      1.55539e-08
    2.09930e-02      4.19272e-01      1.00000e+01      1.59973e-08
