    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      2.49349e+02      1.00000e+01      3.55881e-08
    1.02859e-02      2.48445e+02      1.00000e+01      3.76843e-08
    1.04753e-02      2.47525e+02      1.00000e+01      3.98196e-08
    1.06682e-02      2.46587e+02      1.00000e+01      4.19945e-08
    1.08647e-02      2.45632e+02      1.00000e+01      4.42099e-08
    1.10648e-02      2.44660e+02      1.00000e+01      4.64664e-08
    1.12686e-02      2.43669e+02      1.00000e+01      4.87649e-08
    1.14763e-02      2.42660e+02      1.00000e+01      5.11062e-08
    1.16878e-02      2.41632e+02      1.00000e+01      5.34909e-08
    1.19032e-02      2.40585e+02      1.00000e+01      5.59200e-08
    1.21226e-02      2.39518e+02      1.00000e+01      5.83943e-08
    1.23462e-02      2.38432e+02      1.00000e+01      6.09145e-08
    1.25738e-02      2.37325e+02      1.00000e+01      6.34817e-08
    1.28057e-02      2.36198e+02      1.00000e+01      6.60965e-08
    1.30420e-02      2.35050e+02      1.00000e+01      6.87600e-08
    1.32826e-02      2.33880e+02      1.00000e+01      7.14729e-08
    1.35276e-02      2.32689e+02      1.00000e+01      7.42364e-08
    1.37773e-02      2.31476e+02      1.00000e+01      7.70511e-08
    1.40316e-02      2.30240e+02      1.00000e+01      7.99183e-08
    1.42906e-02      2.28981e+02      1.00000e+01      8.28387e-08
    1.45544e-02      2.27699e+02      1.00000e+01      8.58134e-08
    1.48231e-02      2.26392e+02      1.00000e+01      8.88434e-08
    1.50968e-02      2.25062e+02      1.00000e+01      9.19298e-08
    1.53757e-02      2.23707e+02      1.00000e+01      9.50735e-08
    1.56597e-02      2.22326e+02      1.00000e+01      9.82757e-08
    1.59489e-02      2.20920e+02      1.00000e+01      1.01537e-07
    1.62436e-02      2.19488e+02      1.00000e+01      1.04860e-07
    1.65437e-02      2.18030e+02      1.00000e+01      1.08244e-07
    1.68494e-02      2.16544e+02      1.00000e+01      1.11691e-07
    1.71608e-02      2.15030e+02      1.00000e+01      1.15202e-07
    1.74780e-02      2.13488e+02      1.00000e+01      1.18778e-07
    1.78011e-02      2.11918e+02      1.00000e+01      1.22421e-07
    1.81302e-02      2.10319e+02      1.00000e+01      1.26132e-07
    1.84654e-02      2.08689e+02      1.00000e+01      1.29912e-07
    1.88068e-02      2.07030e+02      1.00000e+01      1.33761e-07
    1.91546e-02      2.05339e+02      1.00000e+01      1.37683e-07
    1.95089e-02      2.03618e+02      1.00000e+01      1.41677e-07
    1.98697e-02      2.01864e+02      1.00000e+01      1.45746e-07
    2.02372e-02      2.00077e+02      1.00000e+01      1.49890e-07
    2.06116e-02      1.98258e+02      1.00000e+01      1.54111e-07
    2.09930e-02      1.96404e+02      1.00000e+01      1.58411e-07
    2.13814e-02      1.94516e+02      1.00000e+01      1.62791e-07
    2.17770e-02      1.92593e+02      1.00000e+01      1.67252e-07
    2.21800e-02      1.90634e+02      1.00000e+01      1.71796e-07
    2.25905e-02      1.88639e+02      1.00000e+01      1.76425e-07
    2.30087e-02      1.86607e+02      1.00000e+01      1.81139e-07
    2.34346e-02      1.84537e+02      1.00000e+01      1.85941e-07
    2.38684e-02      1.82428e+02      1.00000e+01      1.90833e-07
    2.43103e-02      1.80280e+02      1.00000e+01      1.95815e-07
    2.47604e-02      1.78093e+02      1.00000e+01      2.00891e-07
    2.52189e-02      1.75864e+02      1.00000e+01      2.06060e-07
    2.56859e-02      1.73594e+02      1.00000e+01      2.11326e-07
    2.61615e-02      1.71282e+02      1.00000e+01      2.16689e-07
    2.66461e-02      1.68928e+02      1.00000e+01      2.22152e-07
    2.71396e-02      1.66529e+02      1.00000e+01      2.27717e-07
    2.76423e-02      1.64085e+02      1.00000e+01      2.33385e-07
    2.81543e-02      1.61597e+02      1.00000e+01      2.39159e-07
    2.86759e-02      1.59061e+02      1.00000e+01      2.45040e-07
    2.92072e-02      1.56479e+02      1.00000e+01      2.51030e-07
    2.97483e-02      1.53849e+02      1.00000e+01      2.57132e-07
    3.02995e-02      1.51170e+02      1.00000e+01      2.63347e-07
    3.08610e-02      1.49980e+02      1.00000e+01      2.75312e-07
    3.14329e-02      1.48862e+02      1.00000e+01      2.87843e-07
    3.20154e-02      1.47724e+02      1.00000e+01      3.00608e-07
    3.26087e-02      1.46564e+02      1.00000e+01      3.13610e-07
    3.32131e-02      1.45382e+02      1.00000e+01      3.26853e-07
    3.38287e-02      1.44179e+02      1.00000e+01      3.40343e-07
    3.44558e-02      1.42953e+02      1.00000e+01      3.54083e-07
    3.50945e-02      1.41705e+02      1.00000e+01      3.68079e-07
    3.57451e-02      1.40433e+02      1.00000e+01      3.82336e-07
    3.64078e-02      1.39137e+02      1.00000e+01      3.96857e-07
    3.70828e-02      1.37818e+02      1.00000e+01      4.11648e-07
    3.77704e-02      1.36474e+02      1.00000e+01      4.26714e-07
    3.84707e-02      1.35105e+02      1.00000e+01      4.42060e-07
    3.91841e-02      1.33710e+02      1.00000e+01      4.57692e-07
    3.99107e-02      1.32290e+02      1.00000e+01      4.73614e-07
    4.06509e-02      1.30843e+02      1.00000e+01      4.89832e-07
    4.14048e-02      1.29370e+02      1.00000e+01      5.06352e-07
    4.21727e-02      1.27868e+02      1.00000e+01      5.23179e-07
    4.29549e-02      1.26339e+02      1.00000e+01      5.40319e-07
    4.37516e-02      1.24782e+02      1.00000e+01      5.57777e-07
    4.45631e-02      1.23196e+02      1.00000e+01      5.75560e-07
    4.53898e-02      1.21580e+02      1.00000e+01      5.93673e-07
    4.62318e-02      1.19934e+02      1.00000e+01      6.12124e-07
    4.70894e-02      1.18257e+02      1.00000e+01      6.30917e-07
    4.79630e-02      1.16550e+02      1.00000e+01      6.50060e-07
    4.88528e-02      1.14810e+02      1.00000e+01      6.69558e-07
    4.97592e-02      1.13038e+02      1.00000e+01      6.89419e-07
    5.06825e-02      1.11234e+02      1.00000e+01      7.09650e-07
    5.16229e-02      1.09757e+02      1.00000e+01      7.34992e-07
    5.25807e-02      1.08636e+02      1.00000e+01      7.65836e-07
    5.35564e-02      1.07495e+02      1.00000e+01      7.97253e-07
    5.45503e-02      1.06332e+02      1.00000e+01      8.29254e-07
    5.55626e-02      1.05148e+02      1.00000e+01      8.61850e-07
    5.65937e-02      1.03941e+02      1.00000e+01      8.95052e-07
    5.76440e-02      1.02712e+02      1.00000e+01      9.28872e-07
    5.87138e-02      1.01461e+02      1.00000e+01      9.63320e-07
    5.98035e-02      1.00186e+02      1.00000e+01      9.98408e-07
    6.09135e-02      9.88874e+01      1.00000e+01      1.03415e-06
    6.20441e-02      9.75647e+01      1.00000e+01      1.07055e-06
    6.31957e-02      9.62174e+01      1.00000e+01      1.10764e-06
    6.43688e-02      9.48451e+01      1.00000e+01      1.14541e-06
    6.55636e-02      9.34472e+01      1.00000e+01      1.18388e-06
    6.67807e-02      9.20233e+01      1.00000e+01      1.22307e-06
    6.80204e-02      9.05730e+01      1.00000e+01      1.26299e-06
    6.92831e-02      8.90957e+01      1.00000e+01      1.30365e-06
    7.05693e-02      8.75909e+01      1.00000e+01      1.34506e-06
    7.18794e-02      8.60582e+01      1.00000e+01      1.38725e-06
    7.32139e-02      8.49233e+01      1.00000e+01      1.44252e-06
    7.45732e-02      8.38081e+01      1.00000e+01      1.49999e-06
    7.59578e-02      8.26721e+01      1.00000e+01      1.55853e-06
    7.73681e-02      8.15149e+01      1.00000e+01      1.61816e-06
    7.88046e-02      8.03363e+01      1.00000e+01      1.67889e-06
    8.02678e-02      7.91357e+01      1.00000e+01      1.74076e-06
    8.17582e-02      7.79128e+01      1.00000e+01      1.80377e-06
    8.32764e-02      7.66672e+01      1.00000e+01      1.86796e-06
    8.48227e-02      7.53985e+01      1.00000e+01      1.93334e-06
    8.63979e-02      7.41061e+01      1.00000e+01      1.99994e-06
    8.80023e-02      7.27897e+01      1.00000e+01      2.06777e-06
