    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      1.86908e-04      1.00000e+02      2.24438e-14
    2.52651e-01      1.86665e-04      1.00000e+02      2.29309e-14
    2.55227e-01      1.86418e-04      1.00000e+02      2.34229e-14
    2.57830e-01      1.86170e-04      1.00000e+02      2.39200e-14
    2.60459e-01      1.85919e-04      1.00000e+02      2.44222e-14
    2.63115e-01      1.85665e-04      1.00000e+02      2.49295e-14
    2.65799e-01      1.85409e-04      1.00000e+02      2.54419e-14
    2.68509e-01      1.85150e-04      1.00000e+02      2.59596e-14
    2.71248e-01      1.84888e-04      1.00000e+02      2.64826e-14
    2.74014e-01      1.84624e-04      1.00000e+02      2.70109e-14
    2.76808e-01      1.84357e-04      1.00000e+02      2.75446e-14
    2.79631e-01      1.84087e-04      1.00000e+02      2.80837e-14
    2.82483e-01      1.83815e-04      1.00000e+02      2.86284e-14
    2.85364e-01      1.83540e-04      1.00000e+02      2.91786e-14
    2.88274e-01      1.83262e-04      1.00000e+02      2.97344e-14
    2.91214e-01      1.82985e-04      1.00000e+02      3.03256e-14
    2.94184e-01      1.82713e-04      1.00000e+02      3.09759e-14
    2.97185e-01      1.82437e-04      1.00000e+02      3.16328e-14
    3.00215e-01      1.82159e-04      1.00000e+02      3.22964e-14
    3.03277e-01      1.81878e-04      1.00000e+02      3.29668e-14
    3.06370e-01      1.81594e-04      1.00000e+02      3.36440e-14
    3.09495e-01      1.81307e-04      1.00000e+02      3.43282e-14
    3.12651e-01      1.81018e-04      1.00000e+02      3.50193e-14
    3.15840e-01      1.80725e-04      1.00000e+02      3.57175e-14
    3.19061e-01      1.80429e-04      1.00000e+02      3.64228e-14
    3.22315e-01      1.80131e-04      1.00000e+02      3.71353e-14
    3.25602e-01      1.79829e-04      1.00000e+02      3.78550e-14
    3.28923e-01      1.79524e-04      1.00000e+02      3.85821e-14
    3.32278e-01      1.79223e-04      1.00000e+02      3.93710e-14
    3.35667e-01      1.78923e-04      1.00000e+02      4.02063e-14
    3.39090e-01      1.78621e-04      1.00000e+02      4.10502e-14
    3.42549e-01      1.78315e-04      1.00000e+02      4.19026e-14
    3.46042e-01      1.78006e-04      1.00000e+02      4.27638e-14
    3.49572e-01      1.77694e-04      1.00000e+02      4.36337e-14
    3.53137e-01      1.77378e-04      1.00000e+02      4.45125e-14
    3.56739e-01      1.77060e-04      1.00000e+02      4.54003e-14
    3.60377e-01      1.76738e-04      1.00000e+02      4.62971e-14
    3.64053e-01      1.76413e-04      1.00000e+02      4.72031e-14
    3.67766e-01      1.76084e-04      1.00000e+02      4.81183e-14
    3.71517e-01      1.75756e-04      1.00000e+02      4.90721e-14
    3.75306e-01      1.75433e-04      1.00000e+02      5.01102e-14
    3.79134e-01      1.75106e-04      1.00000e+02      5.11590e-14
    3.83001e-01      1.74776e-04      1.00000e+02      5.22185e-14
