    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      7.66155e+00      1.00000e+02      1.93310e-13
    2.52651e-01      7.59394e+00      1.00000e+02      1.97418e-13
    2.55227e-01      7.52564e+00      1.00000e+02      2.01569e-13
    2.57830e-01      7.45665e+00      1.00000e+02      2.05762e-13
    2.60459e-01      7.38695e+00      1.00000e+02      2.09997e-13
    2.63115e-01      7.31654e+00      1.00000e+02      2.14276e-13
    2.65799e-01      7.24541e+00      1.00000e+02      2.18599e-13
    2.68509e-01      7.17356e+00      1.00000e+02      2.22965e-13
    2.71248e-01      7.10097e+00      1.00000e+02      2.27376e-13
    2.74014e-01      7.02764e+00      1.00000e+02      2.31833e-13
    2.76808e-01      6.95357e+00      1.00000e+02      2.36334e-13
    2.79631e-01      6.87873e+00      1.00000e+02      2.40882e-13
    2.82483e-01      6.80314e+00      1.00000e+02      2.45476e-13
    2.85364e-01      6.72677e+00      1.00000e+02      2.50117e-13
    2.88274e-01      6.64963e+00      1.00000e+02      2.54805e-13
    2.91214e-01      6.57694e+00      1.00000e+02      2.59780e-13
    2.94184e-01      6.51286e+00      1.00000e+02      2.65231e-13
    2.97185e-01      6.44813e+00      1.00000e+02      2.70739e-13
    3.00215e-01      6.38274e+00      1.00000e+02      2.76302e-13
    3.03277e-01      6.31668e+00      1.00000e+02      2.81923e-13
    3.06370e-01      6.24995e+00      1.00000e+02      2.87600e-13
    3.09495e-01      6.18254e+00      1.00000e+02      2.93336e-13
    3.12651e-01      6.11444e+00      1.00000e+02      2.99130e-13
    3.15840e-01      6.04564e+00      1.00000e+02      3.04983e-13
    3.19061e-01      5.97615e+00      1.00000e+02      3.10896e-13
    3.22315e-01      5.90594e+00      1.00000e+02      3.16870e-13
    3.25602e-01      5.83502e+00      1.00000e+02      3.22904e-13
    3.28923e-01      5.76337e+00      1.00000e+02      3.29000e-13
    3.32278e-01      5.69843e+00      1.00000e+02      3.35598e-13
    3.35667e-01      5.63809e+00      1.00000e+02      3.42574e-13
    3.39090e-01      5.57712e+00      1.00000e+02      3.49622e-13
    3.42549e-01      5.51553e+00      1.00000e+02      3.56741e-13
    3.46042e-01      5.45332e+00      1.00000e+02      3.63933e-13
    3.49572e-01      5.39047e+00      1.00000e+02      3.71198e-13
    3.53137e-01      5.32698e+00      1.00000e+02      3.78538e-13
    3.56739e-01      5.26284e+00      1.00000e+02      3.85952e-13
    3.60377e-01      5.19804e+00      1.00000e+02      3.93442e-13
    3.64053e-01      5.13259e+00      1.00000e+02      4.01009e-13
    3.67766e-01      5.06647e+00      1.00000e+02      4.08652e-13
    3.71517e-01      5.00274e+00      1.00000e+02      4.16608e-13
    3.75306e-01      4.94621e+00      1.00000e+02      4.25245e-13
    3.79134e-01      4.88911e+00      1.00000e+02      4.33970e-13
    3.83001e-01      4.83142e+00      1.00000e+02      4.42784e-13
    3.86907e-01      4.77315e+00      1.00000e+02      4.51687e-13
    3.90853e-01      4.71428e+00      1.00000e+02      4.60682e-13
    3.94840e-01      4.65481e+00      1.00000e+02      4.69768e-13
    3.98867e-01      4.59473e+00      1.00000e+02      4.78948e-13
    4.02935e-01      4.53404e+00      1.00000e+02      4.88220e-13
    4.07045e-01      4.47273e+00      1.00000e+02      4.97588e-13
    4.11196e-01      4.41213e+00      1.00000e+02      5.07176e-13
    4.15391e-01      4.35903e+00      1.00000e+02      5.17628e-13
    4.19627e-01      4.30538e+00      1.00000e+02      5.28186e-13
    4.23907e-01      4.25119e+00      1.00000e+02      5.38851e-13
    4.28231e-01      4.19644e+00      1.00000e+02      5.49626e-13
    4.32599e-01      4.14114e+00      1.00000e+02      5.60511e-13
    4.37011e-01      4.08527e+00      1.00000e+02      5.71506e-13
    4.41469e-01      4.02883e+00      1.00000e+02      5.82614e-13
    4.45971e-01      3.97182e+00      1.00000e+02      5.93835e-13
    4.50520e-01      3.91422e+00      1.00000e+02      6.05171e-13
    4.55115e-01      3.86453e+00      1.00000e+02      6.17534e-13
    4.59758e-01      3.81480e+00      1.00000e+02      6.30074e-13
    4.64447e-01      3.76456e+00      1.00000e+02      6.42741e-13
    4.69184e-01      3.71381e+00      1.00000e+02      6.55538e-13
    4.73970e-01      3.66254e+00      1.00000e+02      6.68465e-13
    4.78804e-01      3.61075e+00      1.00000e+02      6.81525e-13
    4.83688e-01      3.55843e+00      1.00000e+02      6.94717e-13
    4.88622e-01      3.50557e+00      1.00000e+02      7.08044e-13
    4.93606e-01      3.45546e+00      1.00000e+02      7.22063e-13
    4.98640e-01      3.40764e+00      1.00000e+02      7.36700e-13
    5.03726e-01      3.35934e+00      1.00000e+02      7.51487e-13
    5.08865e-01      3.31054e+00      1.00000e+02      7.66425e-13
    5.14055e-01      3.26124e+00      1.00000e+02      7.81515e-13
    5.19298e-01      3.21145e+00      1.00000e+02      7.96759e-13
    5.24595e-01      3.16114e+00      1.00000e+02      8.12158e-13
    5.29946e-01      3.11032e+00      1.00000e+02      8.27715e-13
    5.35352e-01      3.06485e+00      1.00000e+02      8.44303e-13
    5.40812e-01      3.02045e+00      1.00000e+02      8.61290e-13
    5.46329e-01      2.97560e+00      1.00000e+02      8.78450e-13
    5.51901e-01      2.93030e+00      1.00000e+02      8.95785e-13
    5.57531e-01      2.88453e+00      1.00000e+02      9.13297e-13
    5.63218e-01      2.83829e+00      1.00000e+02      9.30987e-13
    5.68963e-01      2.79159e+00      1.00000e+02      9.48859e-13
    5.74766e-01      2.74803e+00      1.00000e+02      9.67627e-13
    5.80629e-01      2.70636e+00      1.00000e+02      9.87045e-13
    5.86552e-01      2.66426e+00      1.00000e+02      1.00666e-12
    5.92535e-01      2.62173e+00      1.00000e+02      1.02648e-12
    5.98579e-01      2.57877e+00      1.00000e+02      1.04650e-12
    6.04684e-01      2.53537e+00      1.00000e+02      1.06672e-12
    6.10852e-01      2.49152e+00      1.00000e+02      1.08715e-12
    6.17083e-01      2.45221e+00      1.00000e+02      1.10892e-12
    6.23378e-01      2.41295e+00      1.00000e+02      1.13102e-12
    6.29736e-01      2.37329e+00      1.00000e+02      1.15335e-12
    6.36160e-01      2.33323e+00      1.00000e+02      1.17590e-12
    6.42649e-01      2.29276e+00      1.00000e+02      1.19868e-12
    6.49204e-01      2.25187e+00      1.00000e+02      1.22170e-12
    6.55827e-01      2.21375e+00      1.00000e+02      1.24580e-12
    6.62516e-01      2.17697e+00      1.00000e+02      1.27060e-12
    6.69274e-01      2.13981e+00      1.00000e+02      1.29565e-12
    6.76101e-01      2.10228e+00      1.00000e+02      1.32096e-12
    6.82998e-01      2.06436e+00      1.00000e+02      1.34653e-12
    6.89965e-01      2.02606e+00      1.00000e+02      1.37236e-12
    6.97003e-01      1.99077e+00      1.00000e+02      1.39949e-12
    7.04113e-01      1.95623e+00      1.00000e+02      1.42724e-12
    7.11295e-01      1.92133e+00      1.00000e+02      1.45526e-12
    7.18551e-01      1.88608e+00      1.00000e+02      1.48358e-12
    7.25880e-01      1.85047e+00      1.00000e+02      1.51218e-12
    7.33285e-01      1.81528e+00      1.00000e+02      1.54136e-12
    7.40765e-01      1.78298e+00      1.00000e+02      1.57199e-12
    7.48321e-01      1.75034e+00      1.00000e+02      1.60293e-12
    7.55954e-01      1.71738e+00      1.00000e+02      1.63419e-12
    7.63666e-01      1.68408e+00      1.00000e+02      1.66577e-12
    7.71456e-01      1.65043e+00      1.00000e+02      1.69767e-12
    7.79325e-01      1.61999e+00      1.00000e+02      1.73130e-12
    7.87275e-01      1.58949e+00      1.00000e+02      1.76538e-12
    7.95305e-01      1.55868e+00      1.00000e+02      1.79980e-12
    8.03418e-01      1.52755e+00      1.00000e+02      1.83457e-12
    8.11614e-01      1.49610e+00      1.00000e+02      1.86970e-12
    8.19893e-01      1.46760e+00      1.00000e+02      1.90666e-12
    8.28256e-01      1.43903e+00      1.00000e+02      1.94408e-12
    8.36705e-01      1.41016e+00      1.00000e+02      1.98189e-12
    8.45240e-01      1.38100e+00      1.00000e+02      2.02009e-12
    8.53862e-01      1.35212e+00      1.00000e+02      2.05897e-12
    8.62573e-01      1.32550e+00      1.00000e+02      2.09958e-12
    8.71372e-01      1.29861e+00      1.00000e+02      2.14060e-12
    8.80260e-01      1.27145e+00      1.00000e+02      2.18204e-12
    8.89240e-01      1.24401e+00      1.00000e+02      2.22391e-12
    8.98311e-01      1.21818e+00      1.00000e+02      2.26730e-12
    9.07474e-01      1.19312e+00      1.00000e+02      2.31174e-12
    9.16731e-01      1.16781e+00      1.00000e+02      2.35663e-12
    9.26083e-01      1.14223e+00      1.00000e+02      2.40197e-12
    9.35530e-01      1.11722e+00      1.00000e+02      2.44833e-12
    9.45073e-01      1.09377e+00      1.00000e+02      2.49637e-12
    9.54714e-01      1.07009e+00      1.00000e+02      2.54489e-12
    9.64453e-01      1.04616e+00      1.00000e+02      2.59391e-12
    9.74291e-01      1.02239e+00      1.00000e+02      2.64372e-12
    9.84230e-01      1.00048e+00      1.00000e+02      2.69558e-12
    9.94270e-01      9.78356e-01      1.00000e+02      2.74796e-12
    1.00441e+00      9.56002e-01      1.00000e+02      2.80087e-12
    1.01466e+00      9.33789e-01      1.00000e+02      2.85464e-12
    1.02501e+00      9.13120e-01      1.00000e+02      2.91048e-12
    1.03547e+00      8.92240e-01      1.00000e+02      2.96690e-12
    1.04603e+00      8.71147e-01      1.00000e+02      3.02388e-12
    1.05670e+00      8.50568e-01      1.00000e+02      3.08213e-12
    1.06748e+00      8.31183e-01      1.00000e+02      3.14227e-12
    1.07837e+00      8.11601e-01      1.00000e+02      3.20302e-12
    1.08937e+00      7.91819e-01      1.00000e+02      3.26440e-12
    1.10048e+00      7.73088e-01      1.00000e+02      3.32768e-12
    1.11171e+00      7.54827e-01      1.00000e+02      3.39228e-12
    1.12305e+00      7.36379e-01      1.00000e+02      3.45754e-12
    1.13450e+00      7.17922e-01      1.00000e+02      3.52368e-12
    1.14608e+00      7.00863e-01      1.00000e+02      3.59236e-12
    1.15777e+00      6.83630e-01      1.00000e+02      3.66173e-12
    1.16958e+00      6.66221e-01      1.00000e+02      3.73182e-12
    1.18151e+00      6.49708e-01      1.00000e+02      3.80402e-12
    1.19356e+00      6.33555e-01      1.00000e+02      3.87764e-12
    1.20574e+00      6.17237e-01      1.00000e+02      3.95202e-12
    1.21804e+00      6.01348e-01      1.00000e+02      4.02793e-12
    1.23046e+00      5.86376e-01      1.00000e+02      4.10602e-12
    1.24302e+00      5.71251e-01      1.00000e+02      4.18490e-12
    1.25570e+00      5.56151e-01      1.00000e+02      4.26493e-12
    1.26851e+00      5.41922e-01      1.00000e+02      4.34766e-12
    1.28145e+00      5.27548e-01      1.00000e+02      4.43125e-12
    1.29452e+00      5.13089e-01      1.00000e+02      4.51578e-12
    1.30772e+00      4.99808e-01      1.00000e+02      4.60334e-12
    1.32107e+00      4.86393e-01      1.00000e+02      4.69178e-12
    1.33454e+00      4.72880e-01      1.00000e+02      4.78121e-12
    1.34816e+00      4.60383e-01      1.00000e+02      4.87380e-12
    1.36191e+00      4.47760e-01      1.00000e+02      4.96734e-12
    1.37580e+00      4.35132e-01      1.00000e+02      5.06210e-12
    1.38984e+00      4.23374e-01      1.00000e+02      5.15997e-12
    1.40401e+00      4.11497e-01      1.00000e+02      5.25883e-12
    1.41834e+00      3.99780e-01      1.00000e+02      5.35936e-12
    1.43281e+00      3.88696e-01      1.00000e+02      5.46263e-12
    1.44742e+00      3.77498e-01      1.00000e+02      5.56696e-12
    1.46219e+00      3.66674e-01      1.00000e+02      5.67369e-12
    1.47711e+00      3.56199e-01      1.00000e+02      5.78279e-12
    1.49217e+00      3.45617e-01      1.00000e+02      5.89300e-12
    1.50740e+00      3.35674e-01      1.00000e+02      6.00642e-12
    1.52277e+00      3.25780e-01      1.00000e+02      6.12141e-12
    1.53831e+00      3.15967e-01      1.00000e+02      6.23815e-12
    1.55400e+00      3.06697e-01      1.00000e+02      6.35810e-12
    1.56985e+00      2.97333e-01      1.00000e+02      6.47928e-12
    1.58587e+00      2.88387e-01      1.00000e+02      6.60344e-12
    1.60205e+00      2.79596e-01      1.00000e+02      6.72969e-12
    1.61839e+00      2.70855e-01      1.00000e+02      6.85774e-12
    1.63490e+00      2.62595e-01      1.00000e+02      6.98919e-12
    1.65158e+00      2.54251e-01      1.00000e+02      7.12198e-12
    1.66843e+00      2.46334e-01      1.00000e+02      7.25815e-12
    1.68545e+00      2.38484e-01      1.00000e+02      7.39631e-12
    1.70264e+00      2.30803e-01      1.00000e+02      7.53699e-12
    1.72001e+00      2.23394e-01      1.00000e+02      7.68069e-12
    1.73756e+00      2.15973e-01      1.00000e+02      7.82615e-12
    1.75528e+00      2.08995e-01      1.00000e+02      7.97551e-12
    1.77319e+00      2.01946e-01      1.00000e+02      8.12639e-12
    1.79128e+00      1.95289e-01      1.00000e+02      8.28116e-12
    1.80955e+00      1.88641e-01      1.00000e+02      8.43789e-12
    1.82801e+00      1.82251e-01      1.00000e+02      8.59804e-12
    1.84666e+00      1.75967e-01      1.00000e+02      8.76078e-12
    1.86550e+00      1.69867e-01      1.00000e+02      8.92665e-12
    1.88453e+00      1.63956e-01      1.00000e+02      9.09570e-12
    1.90375e+00      1.58161e-01      1.00000e+02      9.26757e-12
    1.92318e+00      1.52586e-01      1.00000e+02      9.44291e-12
    1.94279e+00      1.47082e-01      1.00000e+02      9.62099e-12
    1.96261e+00      1.41787e-01      1.00000e+02      9.80285e-12
    1.98264e+00      1.36561e-01      1.00000e+02      9.98745e-12
    2.00286e+00      1.31563e-01      1.00000e+02      1.01760e-11
    2.02329e+00      1.26429e-01      1.00000e+02      1.03674e-11
    2.04393e+00      1.21065e-01      1.00000e+02      1.05628e-11
    2.06479e+00      1.16278e-01      1.00000e+02      1.07614e-11
    2.08585e+00      1.12473e-01      1.00000e+02      1.09639e-11
    2.10713e+00      1.08466e-01      1.00000e+02      1.11699e-11
    2.12862e+00      1.04238e-01      1.00000e+02      1.13795e-11
    2.15034e+00      1.00159e-01      1.00000e+02      1.15932e-11
    2.17228e+00      9.61621e-02      1.00000e+02      1.18104e-11
    2.19444e+00      9.23483e-02      1.00000e+02      1.20321e-11
    2.21682e+00      8.85613e-02      1.00000e+02      1.22569e-11
    2.23944e+00      8.50014e-02      1.00000e+02      1.24870e-11
    2.26228e+00      8.14646e-02      1.00000e+02      1.27201e-11
    2.28536e+00      7.80945e-02      1.00000e+02      1.29583e-11
    2.30868e+00      7.48016e-02      1.00000e+02      1.32003e-11
    2.33223e+00      7.16023e-02      1.00000e+02      1.34466e-11
    2.35602e+00      6.85415e-02      1.00000e+02      1.36979e-11
    2.38006e+00      6.55212e-02      1.00000e+02      1.39527e-11
    2.40434e+00      6.26669e-02      1.00000e+02      1.42131e-11
    2.42887e+00      5.98668e-02      1.00000e+02      1.44776e-11
    2.45364e+00      5.71474e-02      1.00000e+02      1.47470e-11
    2.47868e+00      5.45717e-02      1.00000e+02      1.50217e-11
    2.50396e+00      5.20463e-02      1.00000e+02      1.53005e-11
    2.52951e+00      4.96287e-02      1.00000e+02      1.55849e-11
    2.55531e+00      4.72966e-02      1.00000e+02      1.58744e-11
    2.58138e+00      4.50181e-02      1.00000e+02      1.61683e-11
    2.60771e+00      4.28667e-02      1.00000e+02      1.64685e-11
    2.63432e+00      4.07771e-02      1.00000e+02      1.67736e-11
    2.66119e+00      3.87395e-02      1.00000e+02      1.70835e-11
    2.68834e+00      3.68193e-02      1.00000e+02      1.74001e-11
    2.71577e+00      3.49616e-02      1.00000e+02      1.77220e-11
    2.74347e+00      3.31600e-02      1.00000e+02      1.80490e-11
    2.77146e+00      3.14583e-02      1.00000e+02      1.83824e-11
    2.79973e+00      2.98191e-02      1.00000e+02      1.87218e-11
    2.82830e+00      2.82271e-02      1.00000e+02      1.90668e-11
    2.85715e+00      2.66933e-02      1.00000e+02      1.94179e-11
    2.88630e+00      2.52510e-02      1.00000e+02      1.97759e-11
    2.91574e+00      2.38587e-02      1.00000e+02      2.01398e-11
    2.94549e+00      2.25166e-02      1.00000e+02      2.05097e-11
    2.97554e+00      2.12396e-02      1.00000e+02      2.08868e-11
    3.00589e+00      2.00252e-02      1.00000e+02      2.12706e-11
    3.03656e+00      1.88570e-02      1.00000e+02      2.16610e-11
    3.06753e+00      1.77355e-02      1.00000e+02      2.20580e-11
    3.09883e+00      1.66654e-02      1.00000e+02      2.24619e-11
    3.13044e+00      1.56564e-02      1.00000e+02      2.28729e-11
    3.16238e+00      1.46919e-02      1.00000e+02      2.32918e-11
    3.19464e+00      1.37688e-02      1.00000e+02      2.37181e-11
    3.22723e+00      1.28857e-02      1.00000e+02      2.41514e-11
    3.26015e+00      1.20485e-02      1.00000e+02      2.45922e-11
    3.29341e+00      1.12622e-02      1.00000e+02      2.50412e-11
    3.32701e+00      1.05142e-02      1.00000e+02      2.54979e-11
    3.36095e+00      9.80424e-03      1.00000e+02      2.59627e-11
    3.39524e+00      9.13113e-03      1.00000e+02      2.64355e-11
    3.42988e+00      8.49398e-03      1.00000e+02      2.69163e-11
    3.46487e+00      7.89315e-03      1.00000e+02      2.74053e-11
    3.50022e+00      7.32864e-03      1.00000e+02      2.79031e-11
    3.53592e+00      6.79979e-03      1.00000e+02      2.84103e-11
    3.57200e+00      6.30222e-03      1.00000e+02      2.89259e-11
    3.60844e+00      5.83376e-03      1.00000e+02      2.94503e-11
    3.64525e+00      5.39584e-03      1.00000e+02      2.99839e-11
    3.68244e+00      4.98640e-03      1.00000e+02      3.05268e-11
    3.72000e+00      4.60307e-03      1.00000e+02      3.10788e-11
    3.75796e+00      4.24533e-03      1.00000e+02      3.16406e-11
    3.79629e+00      3.91208e-03      1.00000e+02      3.22122e-11
    3.83502e+00      3.60229e-03      1.00000e+02      3.27934e-11
    3.87415e+00      3.31475e-03      1.00000e+02      3.33850e-11
    3.91367e+00      3.04757e-03      1.00000e+02      3.39867e-11
    3.95360e+00      2.80049e-03      1.00000e+02      3.45987e-11
    3.99393e+00      2.57167e-03      1.00000e+02      3.52212e-11
    4.03467e+00      2.36000e-03      1.00000e+02      3.58545e-11
    4.07584e+00      2.16474e-03      1.00000e+02      3.64985e-11
    4.11742e+00      1.98448e-03      1.00000e+02      3.71538e-11
    4.15942e+00      1.82016e-03      1.00000e+02      3.78205e-11
    4.20185e+00      1.66977e-03      1.00000e+02      3.84984e-11
    4.24472e+00      1.53152e-03      1.00000e+02      3.91879e-11
    4.28803e+00      1.40406e-03      1.00000e+02      3.98891e-11
    4.33177e+00      1.28887e-03      1.00000e+02      4.06024e-11
    4.37596e+00      1.18440e-03      1.00000e+02      4.13279e-11
    4.42061e+00      1.09000e-03      1.00000e+02      4.20657e-11
    4.46570e+00      1.00454e-03      1.00000e+02      4.28157e-11
    4.51126e+00      9.29813e-04      1.00000e+02      4.35790e-11
    4.55728e+00      8.62752e-04      1.00000e+02      4.43550e-11
    4.60378e+00      8.03200e-04      1.00000e+02      4.51452e-11
    4.65074e+00      7.51036e-04      1.00000e+02      4.59478e-11
    4.69819e+00      7.04458e-04      1.00000e+02      4.65807e-11
    4.74612e+00      6.63828e-04      1.00000e+02      4.75888e-11
    4.79454e+00      6.20757e-04      1.00000e+02      4.84381e-11
    4.84345e+00      5.99493e-04      1.00000e+02      4.92987e-11
    4.89286e+00      5.73692e-04      1.00000e+02      5.01774e-11
    4.94278e+00      5.50223e-04      1.00000e+02      5.10749e-11
    4.99321e+00      5.32299e-04      1.00000e+02      5.19906e-11
    5.04415e+00      5.15876e-04      1.00000e+02      5.29270e-11
    5.09561e+00      5.01427e-04      1.00000e+02      5.39034e-11
    5.14759e+00      4.88577e-04      1.00000e+02      5.48599e-11
    5.20010e+00      4.77178e-04      1.00000e+02      5.58577e-11
    5.25316e+00      4.66866e-04      1.00000e+02      5.68835e-11
    5.30675e+00      4.57439e-04      1.00000e+02      5.79187e-11
    5.36089e+00      4.48891e-04      1.00000e+02      5.89832e-11
    5.41558e+00      4.41365e-04      1.00000e+02      6.00708e-11
    5.47083e+00      4.34480e-04      1.00000e+02      6.11816e-11
    5.52664e+00      4.28420e-04      1.00000e+02      6.23172e-11
    5.58302e+00      4.23407e-04      1.00000e+02      6.34777e-11
    5.63998e+00      4.18243e-04      1.00000e+02      6.46638e-11
    5.69752e+00      4.14071e-04      1.00000e+02      6.58755e-11
    5.75564e+00      4.10352e-04      1.00000e+02      6.71150e-11
