    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      2.33052e-02      5.00000e+00      9.15501e-16
    5.07729e-02      2.29553e-02      5.00000e+00      9.49891e-16
    5.14550e-02      2.26008e-02      5.00000e+00      9.84745e-16
    5.21461e-02      2.22414e-02      5.00000e+00      1.02007e-15
    5.28466e-02      2.18773e-02      5.00000e+00      1.05587e-15
    5.35565e-02      2.15082e-02      5.00000e+00      1.09215e-15
    5.42760e-02      2.11342e-02      5.00000e+00      1.12891e-15
    5.50052e-02      2.07551e-02      5.00000e+00      1.16618e-15
    5.57441e-02      2.03710e-02      5.00000e+00      1.20394e-15
    5.64931e-02      1.99816e-02      5.00000e+00      1.24222e-15
    5.72520e-02      1.95871e-02      5.00000e+00      1.28100e-15
    5.80213e-02      1.91872e-02      5.00000e+00      1.32031e-15
    5.88008e-02      1.87819e-02      5.00000e+00      1.36015e-15
    5.95909e-02      1.83712e-02      5.00000e+00      1.40053e-15
    6.03916e-02      1.79549e-02      5.00000e+00      1.44145e-15
    6.12030e-02      1.75331e-02      5.00000e+00      1.48292e-15
    6.20254e-02      1.71056e-02      5.00000e+00      1.52494e-15
    6.28589e-02      1.66723e-02      5.00000e+00      1.56754e-15
    6.37035e-02      1.62332e-02      5.00000e+00      1.61070e-15
    6.45596e-02      1.57881e-02      5.00000e+00      1.65445e-15
    6.54271e-02      1.53371e-02      5.00000e+00      1.69879e-15
    6.63064e-02      1.48800e-02      5.00000e+00      1.74372e-15
    6.71974e-02      1.44168e-02      5.00000e+00      1.78926e-15
    6.81005e-02      1.39473e-02      5.00000e+00      1.83541e-15
    6.90157e-02      1.34715e-02      5.00000e+00      1.88218e-15
    6.99433e-02      1.29893e-02      5.00000e+00      1.92958e-15
    7.08833e-02      1.25007e-02      5.00000e+00      1.97762e-15
    7.18360e-02      1.20054e-02      5.00000e+00      2.02631e-15
    7.28014e-02      1.15035e-02      5.00000e+00      2.07565e-15
    7.37799e-02      1.09948e-02      5.00000e+00      2.12566e-15
    7.47716e-02      1.04793e-02      5.00000e+00      2.17633e-15
    7.57766e-02      9.95680e-03      5.00000e+00      2.22770e-15
    7.67951e-02      9.42730e-03      5.00000e+00      2.27975e-15
    7.78274e-02      8.89067e-03      5.00000e+00      2.33250e-15
    7.88735e-02      8.34683e-03      5.00000e+00      2.38596e-15
    7.99337e-02      7.79566e-03      5.00000e+00      2.44014e-15
    8.10082e-02      7.23708e-03      5.00000e+00      2.49505e-15
    8.20971e-02      6.67097e-03      5.00000e+00      2.55070e-15
    8.32007e-02      6.09725e-03      5.00000e+00      2.60710e-15
    8.43192e-02      5.51581e-03      5.00000e+00      2.66426e-15
    8.54527e-02      4.92654e-03      5.00000e+00      2.72219e-15
    8.66014e-02      4.32934e-03      5.00000e+00      2.78090e-15
    8.77657e-02      3.72410e-03      5.00000e+00      2.84039e-15
    8.89456e-02      3.11071e-03      5.00000e+00      2.90069e-15
    9.01413e-02      2.48908e-03      5.00000e+00      2.96180e-15
    9.13532e-02      2.34596e-03      5.00000e+00      3.05253e-15
    9.25814e-02      2.30566e-03      5.00000e+00      3.15067e-15
    9.38261e-02      2.26481e-03      5.00000e+00      3.25014e-15
    9.50875e-02      2.22342e-03      5.00000e+00      3.35094e-15
    9.63660e-02      2.18147e-03      5.00000e+00      3.45310e-15
    9.76616e-02      2.13895e-03      5.00000e+00      3.55664e-15
    9.89747e-02      2.09587e-03      5.00000e+00      3.66157e-15
    1.00305e-01      2.05220e-03      5.00000e+00      3.76791e-15
    1.01654e-01      2.00795e-03      5.00000e+00      3.87568e-15
    1.03021e-01      1.96310e-03      5.00000e+00      3.98491e-15
    1.04406e-01      1.91764e-03      5.00000e+00      4.09560e-15
    1.05810e-01      1.87158e-03      5.00000e+00      4.20779e-15
    1.07233e-01      1.82489e-03      5.00000e+00      4.32148e-15
    1.08675e-01      1.77758e-03      5.00000e+00      4.43670e-15
    1.10136e-01      1.72963e-03      5.00000e+00      4.55348e-15
    1.11617e-01      1.68103e-03      5.00000e+00      4.67182e-15
    1.13118e-01      1.63178e-03      5.00000e+00      4.79176e-15
    1.14639e-01      1.58187e-03      5.00000e+00      4.91331e-15
    1.16181e-01      1.53128e-03      5.00000e+00      5.03650e-15
    1.17743e-01      1.48002e-03      5.00000e+00      5.16135e-15
    1.19326e-01      1.42806e-03      5.00000e+00      5.28788e-15
    1.20931e-01      1.37540e-03      5.00000e+00      5.41611e-15
    1.22557e-01      1.32204e-03      5.00000e+00      5.54606e-15
    1.24205e-01      1.26796e-03      5.00000e+00      5.67777e-15
    1.25876e-01      1.21315e-03      5.00000e+00      5.81125e-15
    1.27568e-01      1.15760e-03      5.00000e+00      5.94652e-15
    1.29284e-01      1.10131e-03      5.00000e+00      6.08361e-15
    1.31023e-01      1.04789e-03      5.00000e+00      6.23153e-15
    1.32785e-01      1.01035e-03      5.00000e+00      6.42245e-15
    1.34571e-01      9.72307e-04      5.00000e+00      6.61594e-15
    1.36380e-01      9.33752e-04      5.00000e+00      6.81204e-15
    1.38215e-01      8.94678e-04      5.00000e+00      7.01077e-15
