    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      2.20460e+01      5.00000e+00      8.65034e-15
    5.07729e-02      2.19467e+01      5.00000e+00      8.95603e-15
    5.14550e-02      2.18460e+01      5.00000e+00      9.26584e-15
    5.21461e-02      2.17440e+01      5.00000e+00      9.57982e-15
    5.28466e-02      2.16407e+01      5.00000e+00      9.89802e-15
    5.35565e-02      2.15359e+01      5.00000e+00      1.02205e-14
    5.42760e-02      2.14297e+01      5.00000e+00      1.05473e-14
    5.50052e-02      2.13221e+01      5.00000e+00      1.08786e-14
    5.57441e-02      2.12131e+01      5.00000e+00      1.12143e-14
    5.64931e-02      2.11026e+01      5.00000e+00      1.15545e-14
    5.72520e-02      2.09906e+01      5.00000e+00      1.18992e-14
    5.80213e-02      2.08771e+01      5.00000e+00      1.22487e-14
    5.88008e-02      2.07620e+01      5.00000e+00      1.26028e-14
    5.95909e-02      2.06454e+01      5.00000e+00      1.29617e-14
    6.03916e-02      2.05273e+01      5.00000e+00      1.33254e-14
    6.12030e-02      2.04075e+01      5.00000e+00      1.36940e-14
    6.20254e-02      2.02862e+01      5.00000e+00      1.40676e-14
    6.28589e-02      2.01632e+01      5.00000e+00      1.44462e-14
    6.37035e-02      2.00385e+01      5.00000e+00      1.48299e-14
    6.45596e-02      1.99122e+01      5.00000e+00      1.52188e-14
    6.54271e-02      1.97842e+01      5.00000e+00      1.56129e-14
    6.63064e-02      1.96544e+01      5.00000e+00      1.60123e-14
    6.71974e-02      1.95230e+01      5.00000e+00      1.64170e-14
    6.81005e-02      1.93897e+01      5.00000e+00      1.68273e-14
    6.90157e-02      1.92546e+01      5.00000e+00      1.72430e-14
    6.99433e-02      1.91178e+01      5.00000e+00      1.76644e-14
    7.08833e-02      1.89790e+01      5.00000e+00      1.80914e-14
    7.18360e-02      1.88385e+01      5.00000e+00      1.85241e-14
    7.28014e-02      1.86960e+01      5.00000e+00      1.89627e-14
    7.37799e-02      1.85516e+01      5.00000e+00      1.94072e-14
    7.47716e-02      1.84053e+01      5.00000e+00      1.98577e-14
    7.57766e-02      1.82569e+01      5.00000e+00      2.03142e-14
    7.67951e-02      1.81066e+01      5.00000e+00      2.07769e-14
    7.78274e-02      1.79543e+01      5.00000e+00      2.12458e-14
    7.88735e-02      1.77999e+01      5.00000e+00      2.17210e-14
    7.99337e-02      1.76435e+01      5.00000e+00      2.22026e-14
    8.10082e-02      1.74849e+01      5.00000e+00      2.26907e-14
    8.20971e-02      1.73242e+01      5.00000e+00      2.31854e-14
    8.32007e-02      1.71614e+01      5.00000e+00      2.36867e-14
    8.43192e-02      1.69963e+01      5.00000e+00      2.41948e-14
    8.54527e-02      1.68291e+01      5.00000e+00      2.47097e-14
    8.66014e-02      1.66595e+01      5.00000e+00      2.52315e-14
    8.77657e-02      1.64877e+01      5.00000e+00      2.57604e-14
    8.89456e-02      1.63136e+01      5.00000e+00      2.62964e-14
    9.01413e-02      1.61372e+01      5.00000e+00      2.68396e-14
    9.13532e-02      1.60255e+01      5.00000e+00      2.76311e-14
    9.25814e-02      1.59267e+01      5.00000e+00      2.84852e-14
    9.38261e-02      1.58266e+01      5.00000e+00      2.93508e-14
    9.50875e-02      1.57252e+01      5.00000e+00      3.02280e-14
    9.63660e-02      1.56224e+01      5.00000e+00      3.11170e-14
    9.76616e-02      1.55182e+01      5.00000e+00      3.20180e-14
    9.89747e-02      1.54126e+01      5.00000e+00      3.29312e-14
    1.00305e-01      1.53056e+01      5.00000e+00      3.38566e-14
    1.01654e-01      1.51972e+01      5.00000e+00      3.47944e-14
    1.03021e-01      1.50873e+01      5.00000e+00      3.57449e-14
    1.04406e-01      1.49759e+01      5.00000e+00      3.67082e-14
    1.05810e-01      1.48630e+01      5.00000e+00      3.76845e-14
    1.07233e-01      1.47486e+01      5.00000e+00      3.86738e-14
    1.08675e-01      1.46327e+01      5.00000e+00      3.96766e-14
    1.10136e-01      1.45152e+01      5.00000e+00      4.06927e-14
    1.11617e-01      1.43961e+01      5.00000e+00      4.17226e-14
    1.13118e-01      1.42754e+01      5.00000e+00      4.27664e-14
    1.14639e-01      1.41531e+01      5.00000e+00      4.38241e-14
    1.16181e-01      1.40291e+01      5.00000e+00      4.48962e-14
    1.17743e-01      1.39035e+01      5.00000e+00      4.59826e-14
    1.19326e-01      1.37762e+01      5.00000e+00      4.70837e-14
    1.20931e-01      1.36471e+01      5.00000e+00      4.81996e-14
    1.22557e-01      1.35164e+01      5.00000e+00      4.93305e-14
    1.24205e-01      1.33839e+01      5.00000e+00      5.04766e-14
    1.25876e-01      1.32495e+01      5.00000e+00      5.16382e-14
    1.27568e-01      1.31134e+01      5.00000e+00      5.28154e-14
    1.29284e-01      1.29755e+01      5.00000e+00      5.40084e-14
    1.31023e-01      1.28436e+01      5.00000e+00      5.52920e-14
    1.32785e-01      1.27459e+01      5.00000e+00      5.69334e-14
    1.34571e-01      1.26469e+01      5.00000e+00      5.85969e-14
    1.36380e-01      1.25466e+01      5.00000e+00      6.02827e-14
    1.38215e-01      1.24450e+01      5.00000e+00      6.19913e-14
    1.40074e-01      1.23420e+01      5.00000e+00      6.37228e-14
    1.41957e-01      1.22376e+01      5.00000e+00      6.54777e-14
    1.43867e-01      1.21318e+01      5.00000e+00      6.72562e-14
    1.45802e-01      1.20246e+01      5.00000e+00      6.90586e-14
    1.47763e-01      1.19159e+01      5.00000e+00      7.08852e-14
    1.49750e-01      1.18057e+01      5.00000e+00      7.27365e-14
    1.51764e-01      1.16941e+01      5.00000e+00      7.46127e-14
    1.53805e-01      1.15810e+01      5.00000e+00      7.65141e-14
    1.55874e-01      1.14664e+01      5.00000e+00      7.84411e-14
    1.57971e-01      1.13502e+01      5.00000e+00      8.03940e-14
    1.60095e-01      1.12324e+01      5.00000e+00      8.23733e-14
    1.62249e-01      1.11131e+01      5.00000e+00      8.43791e-14
    1.64431e-01      1.09922e+01      5.00000e+00      8.64120e-14
    1.66643e-01      1.08696e+01      5.00000e+00      8.84722e-14
    1.68884e-01      1.07454e+01      5.00000e+00      9.05602e-14
    1.71156e-01      1.06208e+01      5.00000e+00      9.26984e-14
    1.73458e-01      1.05244e+01      5.00000e+00      9.53783e-14
    1.75792e-01      1.04268e+01      5.00000e+00      9.80942e-14
    1.78156e-01      1.03279e+01      5.00000e+00      1.00847e-13
    1.80553e-01      1.02276e+01      5.00000e+00      1.03636e-13
    1.82981e-01      1.01259e+01      5.00000e+00      1.06463e-13
    1.85443e-01      1.00229e+01      5.00000e+00      1.09328e-13
    1.87937e-01      9.91856e+00      5.00000e+00      1.12232e-13
    1.90465e-01      9.81277e+00      5.00000e+00      1.15175e-13
