    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      1.51655e+01      1.00000e+01      3.28435e-14
    1.01306e-01      1.50786e+01      1.00000e+01      3.37502e-14
    1.02526e-01      1.49905e+01      1.00000e+01      3.46678e-14
    1.03760e-01      1.49015e+01      1.00000e+01      3.55965e-14
    1.05010e-01      1.48114e+01      1.00000e+01      3.65363e-14
    1.06275e-01      1.47201e+01      1.00000e+01      3.74875e-14
    1.07555e-01      1.46278e+01      1.00000e+01      3.84502e-14
    1.08850e-01      1.45344e+01      1.00000e+01      3.94244e-14
    1.10161e-01      1.44398e+01      1.00000e+01      4.04104e-14
    1.11488e-01      1.43441e+01      1.00000e+01      4.14083e-14
    1.12830e-01      1.42473e+01      1.00000e+01      4.24182e-14
    1.14189e-01      1.41492e+01      1.00000e+01      4.34403e-14
    1.15565e-01      1.40500e+01      1.00000e+01      4.44747e-14
    1.16957e-01      1.39496e+01      1.00000e+01      4.55216e-14
    1.18365e-01      1.38480e+01      1.00000e+01      4.65811e-14
    1.19791e-01      1.37452e+01      1.00000e+01      4.76534e-14
    1.21234e-01      1.36411e+01      1.00000e+01      4.87386e-14
    1.22694e-01      1.35358e+01      1.00000e+01      4.98368e-14
    1.24172e-01      1.34292e+01      1.00000e+01      5.09484e-14
    1.25668e-01      1.33213e+01      1.00000e+01      5.20733e-14
    1.27182e-01      1.32121e+01      1.00000e+01      5.32118e-14
    1.28713e-01      1.31016e+01      1.00000e+01      5.43640e-14
    1.30264e-01      1.29898e+01      1.00000e+01      5.55301e-14
    1.31833e-01      1.28766e+01      1.00000e+01      5.67102e-14
    1.33421e-01      1.27620e+01      1.00000e+01      5.79046e-14
    1.35028e-01      1.26461e+01      1.00000e+01      5.91134e-14
    1.36655e-01      1.25288e+01      1.00000e+01      6.03367e-14
    1.38301e-01      1.24101e+01      1.00000e+01      6.15748e-14
    1.39967e-01      1.22899e+01      1.00000e+01      6.28278e-14
    1.41653e-01      1.21960e+01      1.00000e+01      6.44129e-14
    1.43360e-01      1.21080e+01      1.00000e+01      6.60970e-14
    1.45087e-01      1.20189e+01      1.00000e+01      6.78013e-14
    1.46834e-01      1.19287e+01      1.00000e+01      6.95262e-14
    1.48603e-01      1.18375e+01      1.00000e+01      7.12719e-14
    1.50393e-01      1.17451e+01      1.00000e+01      7.30387e-14
    1.52205e-01      1.16516e+01      1.00000e+01      7.48267e-14
    1.54039e-01      1.15570e+01      1.00000e+01      7.66363e-14
    1.55895e-01      1.14613e+01      1.00000e+01      7.84677e-14
    1.57773e-01      1.13644e+01      1.00000e+01      8.03212e-14
    1.59673e-01      1.12664e+01      1.00000e+01      8.21970e-14
    1.61597e-01      1.11671e+01      1.00000e+01      8.40955e-14
    1.63544e-01      1.10667e+01      1.00000e+01      8.60168e-14
    1.65514e-01      1.09650e+01      1.00000e+01      8.79613e-14
    1.67508e-01      1.08622e+01      1.00000e+01      8.99292e-14
    1.69526e-01      1.07580e+01      1.00000e+01      9.19209e-14
    1.71569e-01      1.06527e+01      1.00000e+01      9.39365e-14
    1.73636e-01      1.05460e+01      1.00000e+01      9.59765e-14
    1.75728e-01      1.04381e+01      1.00000e+01      9.80411e-14
