    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      1.47613e-03      1.00000e+02      3.08874e-11
    1.01247e-01      1.47373e-03      1.00000e+02      3.12357e-11
    1.02408e-01      1.47131e-03      1.00000e+02      3.15880e-11
    1.03582e-01      1.46886e-03      1.00000e+02      3.19444e-11
    1.04769e-01      1.46638e-03      1.00000e+02      3.23049e-11
    1.05970e-01      1.46387e-03      1.00000e+02      3.26694e-11
    1.07184e-01      1.46134e-03      1.00000e+02      3.30382e-11
    1.08413e-01      1.45877e-03      1.00000e+02      3.34112e-11
    1.09655e-01      1.45618e-03      1.00000e+02      3.37885e-11
    1.10912e-01      1.45355e-03      1.00000e+02      3.41701e-11
    1.12184e-01      1.45090e-03      1.00000e+02      3.45561e-11
    1.13470e-01      1.44821e-03      1.00000e+02      3.49465e-11
    1.14770e-01      1.44550e-03      1.00000e+02      3.53414e-11
    1.16086e-01      1.44275e-03      1.00000e+02      3.57409e-11
    1.17417e-01      1.43997e-03      1.00000e+02      3.61449e-11
    1.18763e-01      1.43716e-03      1.00000e+02      3.65535e-11
    1.20124e-01      1.43432e-03      1.00000e+02      3.69669e-11
    1.21501e-01      1.43145e-03      1.00000e+02      3.73849e-11
    1.22894e-01      1.42854e-03      1.00000e+02      3.78078e-11
    1.24303e-01      1.42560e-03      1.00000e+02      3.82356e-11
    1.25728e-01      1.42262e-03      1.00000e+02      3.86682e-11
    1.27169e-01      1.41961e-03      1.00000e+02      3.91058e-11
    1.28627e-01      1.41657e-03      1.00000e+02      3.95484e-11
    1.30101e-01      1.41349e-03      1.00000e+02      3.99961e-11
    1.31593e-01      1.41058e-03      1.00000e+02      4.04470e-11
    1.33101e-01      1.40765e-03      1.00000e+02      4.09029e-11
    1.34627e-01      1.40468e-03      1.00000e+02      4.13641e-11
    1.36171e-01      1.40168e-03      1.00000e+02      4.18305e-11
    1.37732e-01      1.39865e-03      1.00000e+02      4.23023e-11
    1.39311e-01      1.39559e-03      1.00000e+02      4.27796e-11
    1.40908e-01      1.39248e-03      1.00000e+02      4.32622e-11
    1.42523e-01      1.38935e-03      1.00000e+02      4.37505e-11
    1.44157e-01      1.38617e-03      1.00000e+02      4.42443e-11
    1.45810e-01      1.38296e-03      1.00000e+02      4.47438e-11
    1.47482e-01      1.37971e-03      1.00000e+02      4.52490e-11
    1.49173e-01      1.37643e-03      1.00000e+02      4.57601e-11
    1.50883e-01      1.37311e-03      1.00000e+02      4.62769e-11
    1.52613e-01      1.36975e-03      1.00000e+02      4.67998e-11
    1.54363e-01      1.36635e-03      1.00000e+02      4.73286e-11
    1.56133e-01      1.36291e-03      1.00000e+02      4.78634e-11
    1.57923e-01      1.35943e-03      1.00000e+02      4.84045e-11
    1.59733e-01      1.35592e-03      1.00000e+02      4.89517e-11
    1.61565e-01      1.35250e-03      1.00000e+02      4.95033e-11
    1.63417e-01      1.34913e-03      1.00000e+02      5.00600e-11
    1.65291e-01      1.34573e-03      1.00000e+02      5.06232e-11
    1.67186e-01      1.34228e-03      1.00000e+02      5.11928e-11
    1.69103e-01      1.33879e-03      1.00000e+02      5.17689e-11
    1.71042e-01      1.33527e-03      1.00000e+02      5.23517e-11
    1.73003e-01      1.33170e-03      1.00000e+02      5.29411e-11
    1.74987e-01      1.32809e-03      1.00000e+02      5.35373e-11
    1.76994e-01      1.32444e-03      1.00000e+02      5.41404e-11
    1.79023e-01      1.32075e-03      1.00000e+02      5.47503e-11
    1.81076e-01      1.31702e-03      1.00000e+02      5.53673e-11
    1.83152e-01      1.31324e-03      1.00000e+02      5.59913e-11
    1.85252e-01      1.30942e-03      1.00000e+02      5.66225e-11
    1.87377e-01      1.30556e-03      1.00000e+02      5.72610e-11
    1.89525e-01      1.30165e-03      1.00000e+02      5.79067e-11
    1.91698e-01      1.29782e-03      1.00000e+02      5.85585e-11
    1.93897e-01      1.29406e-03      1.00000e+02      5.92162e-11
    1.96120e-01      1.29025e-03      1.00000e+02      5.98815e-11
    1.98369e-01      1.28641e-03      1.00000e+02      6.05545e-11
    2.00644e-01      1.28252e-03      1.00000e+02      6.12351e-11
    2.02944e-01      1.27858e-03      1.00000e+02      6.19236e-11
    2.05272e-01      1.27460e-03      1.00000e+02      6.26199e-11
    2.07626e-01      1.27057e-03      1.00000e+02      6.33243e-11
    2.10006e-01      1.26650e-03      1.00000e+02      6.40367e-11
    2.12415e-01      1.26238e-03      1.00000e+02      6.47573e-11
    2.14851e-01      1.25821e-03      1.00000e+02      6.54862e-11
