    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      6.40280e+01      1.00000e+02      2.77948e-10
    1.01247e-01      6.34347e+01      1.00000e+02      2.80895e-10
    1.02408e-01      6.28346e+01      1.00000e+02      2.83877e-10
    1.03582e-01      6.22277e+01      1.00000e+02      2.86893e-10
    1.04769e-01      6.16138e+01      1.00000e+02      2.89943e-10
    1.05970e-01      6.09928e+01      1.00000e+02      2.93029e-10
    1.07184e-01      6.03647e+01      1.00000e+02      2.96149e-10
    1.08413e-01      5.97294e+01      1.00000e+02      2.99306e-10
    1.09655e-01      5.90868e+01      1.00000e+02      3.02499e-10
    1.10912e-01      5.84368e+01      1.00000e+02      3.05728e-10
    1.12184e-01      5.77794e+01      1.00000e+02      3.08995e-10
    1.13470e-01      5.71145e+01      1.00000e+02      3.12299e-10
    1.14770e-01      5.64419e+01      1.00000e+02      3.15641e-10
    1.16086e-01      5.57616e+01      1.00000e+02      3.19021e-10
    1.17417e-01      5.50734e+01      1.00000e+02      3.22440e-10
    1.18763e-01      5.43774e+01      1.00000e+02      3.25898e-10
    1.20124e-01      5.36735e+01      1.00000e+02      3.29396e-10
    1.21501e-01      5.29614e+01      1.00000e+02      3.32934e-10
    1.22894e-01      5.22411e+01      1.00000e+02      3.36513e-10
    1.24303e-01      5.15126e+01      1.00000e+02      3.40132e-10
    1.25728e-01      5.07758e+01      1.00000e+02      3.43794e-10
    1.27169e-01      5.00305e+01      1.00000e+02      3.47497e-10
    1.28627e-01      4.92766e+01      1.00000e+02      3.51243e-10
    1.30101e-01      4.85141e+01      1.00000e+02      3.55031e-10
    1.31593e-01      4.79650e+01      1.00000e+02      3.58816e-10
    1.33101e-01      4.74260e+01      1.00000e+02      3.62641e-10
    1.34627e-01      4.68807e+01      1.00000e+02      3.66509e-10
    1.36171e-01      4.63292e+01      1.00000e+02      3.70422e-10
    1.37732e-01      4.57714e+01      1.00000e+02      3.74380e-10
    1.39311e-01      4.52072e+01      1.00000e+02      3.78384e-10
    1.40908e-01      4.46365e+01      1.00000e+02      3.82433e-10
    1.42523e-01      4.40592e+01      1.00000e+02      3.86528e-10
    1.44157e-01      4.34753e+01      1.00000e+02      3.90671e-10
    1.45810e-01      4.28848e+01      1.00000e+02      3.94861e-10
    1.47482e-01      4.22874e+01      1.00000e+02      3.99100e-10
    1.49173e-01      4.16832e+01      1.00000e+02      4.03386e-10
    1.50883e-01      4.10721e+01      1.00000e+02      4.07722e-10
    1.52613e-01      4.04539e+01      1.00000e+02      4.12108e-10
    1.54363e-01      3.98287e+01      1.00000e+02      4.16544e-10
    1.56133e-01      3.91963e+01      1.00000e+02      4.21031e-10
    1.57923e-01      3.85566e+01      1.00000e+02      4.25570e-10
    1.59733e-01      3.79096e+01      1.00000e+02      4.30161e-10
    1.61565e-01      3.73693e+01      1.00000e+02      4.34773e-10
    1.63417e-01      3.68895e+01      1.00000e+02      4.39420e-10
    1.65291e-01      3.64041e+01      1.00000e+02      4.44120e-10
    1.67186e-01      3.59132e+01      1.00000e+02      4.48874e-10
    1.69103e-01      3.54167e+01      1.00000e+02      4.53683e-10
    1.71042e-01      3.49145e+01      1.00000e+02      4.58547e-10
    1.73003e-01      3.44065e+01      1.00000e+02      4.63467e-10
    1.74987e-01      3.38927e+01      1.00000e+02      4.68443e-10
    1.76994e-01      3.33729e+01      1.00000e+02      4.73476e-10
    1.79023e-01      3.28473e+01      1.00000e+02      4.78567e-10
    1.81076e-01      3.23156e+01      1.00000e+02      4.83717e-10
    1.83152e-01      3.17777e+01      1.00000e+02      4.88925e-10
    1.85252e-01      3.12338e+01      1.00000e+02      4.94193e-10
    1.87377e-01      3.06835e+01      1.00000e+02      4.99522e-10
    1.89525e-01      3.01270e+01      1.00000e+02      5.04912e-10
    1.91698e-01      2.96336e+01      1.00000e+02      5.10339e-10
    1.93897e-01      2.92042e+01      1.00000e+02      5.15802e-10
    1.96120e-01      2.87699e+01      1.00000e+02      5.21329e-10
