    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      8.67295e-01      5.00000e+00      3.01322e-12
    1.02614e-02      8.62747e-01      5.00000e+00      3.06137e-12
    1.04254e-02      8.58125e-01      5.00000e+00      3.11031e-12
    1.05921e-02      8.53428e-01      5.00000e+00      3.16003e-12
    1.07615e-02      8.48656e-01      5.00000e+00      3.21055e-12
    1.09336e-02      8.43806e-01      5.00000e+00      3.26189e-12
    1.11084e-02      8.38879e-01      5.00000e+00      3.31405e-12
    1.12861e-02      8.33871e-01      5.00000e+00      3.36706e-12
    1.14667e-02      8.28783e-01      5.00000e+00      3.42093e-12
    1.16502e-02      8.23613e-01      5.00000e+00      3.47566e-12
    1.18366e-02      8.18359e-01      5.00000e+00      3.53128e-12
    1.20261e-02      8.13021e-01      5.00000e+00      3.58780e-12
    1.22186e-02      8.07596e-01      5.00000e+00      3.64522e-12
    1.24142e-02      8.02084e-01      5.00000e+00      3.70358e-12
    1.26129e-02      7.96483e-01      5.00000e+00      3.76288e-12
    1.28149e-02      7.90791e-01      5.00000e+00      3.82313e-12
    1.30202e-02      7.85008e-01      5.00000e+00      3.88436e-12
    1.32287e-02      7.79131e-01      5.00000e+00      3.94657e-12
    1.34406e-02      7.73159e-01      5.00000e+00      4.00979e-12
    1.36560e-02      7.67091e-01      5.00000e+00      4.07403e-12
    1.38748e-02      7.60925e-01      5.00000e+00      4.13931e-12
    1.40971e-02      7.54660e-01      5.00000e+00      4.20564e-12
    1.43231e-02      7.48293e-01      5.00000e+00      4.27304e-12
    1.45527e-02      7.41823e-01      5.00000e+00      4.34153e-12
    1.47859e-02      7.35249e-01      5.00000e+00      4.41112e-12
    1.50230e-02      7.28569e-01      5.00000e+00      4.48184e-12
    1.52639e-02      7.21782e-01      5.00000e+00      4.55370e-12
    1.55086e-02      7.14884e-01      5.00000e+00      4.62672e-12
    1.57574e-02      7.07876e-01      5.00000e+00      4.70091e-12
    1.60101e-02      7.00754e-01      5.00000e+00      4.77631e-12
    1.62669e-02      6.93517e-01      5.00000e+00      4.85292e-12
    1.65279e-02      6.86163e-01      5.00000e+00      4.93077e-12
    1.67931e-02      6.78691e-01      5.00000e+00      5.00988e-12
    1.70625e-02      6.71098e-01      5.00000e+00      5.09026e-12
    1.73363e-02      6.63382e-01      5.00000e+00      5.17194e-12
    1.76145e-02      6.55542e-01      5.00000e+00      5.25494e-12
    1.78972e-02      6.47576e-01      5.00000e+00      5.33928e-12
    1.81845e-02      6.39480e-01      5.00000e+00      5.42498e-12
    1.84764e-02      6.31255e-01      5.00000e+00      5.51206e-12
    1.87731e-02      6.22896e-01      5.00000e+00      5.60055e-12
    1.90745e-02      6.14402e-01      5.00000e+00      5.69046e-12
    1.93808e-02      6.05772e-01      5.00000e+00      5.78183e-12
    1.96920e-02      5.97002e-01      5.00000e+00      5.87468e-12
    2.00082e-02      5.88090e-01      5.00000e+00      5.96902e-12
    2.03296e-02      5.79035e-01      5.00000e+00      6.06488e-12
    2.06561e-02      5.69833e-01      5.00000e+00      6.16230e-12
    2.09879e-02      5.60483e-01      5.00000e+00      6.26128e-12
    2.13251e-02      5.50982e-01      5.00000e+00      6.36186e-12
    2.16677e-02      5.41328e-01      5.00000e+00      6.46407e-12
    2.20158e-02      5.31517e-01      5.00000e+00      6.56792e-12
    2.23696e-02      5.21549e-01      5.00000e+00      6.67346e-12
    2.27291e-02      5.11419e-01      5.00000e+00      6.78069e-12
    2.30943e-02      5.01126e-01      5.00000e+00      6.88966e-12
    2.34655e-02      4.90667e-01      5.00000e+00      7.00038e-12
    2.38426e-02      4.80039e-01      5.00000e+00      7.11289e-12
    2.42259e-02      4.69240e-01      5.00000e+00      7.22722e-12
    2.46153e-02      4.58266e-01      5.00000e+00      7.34340e-12
    2.50110e-02      4.47115e-01      5.00000e+00      7.46145e-12
    2.54131e-02      4.35784e-01      5.00000e+00      7.58140e-12
    2.58217e-02      4.24270e-01      5.00000e+00      7.70329e-12
    2.62369e-02      4.12570e-01      5.00000e+00      7.82715e-12
    2.66588e-02      4.00682e-01      5.00000e+00      7.95301e-12
