    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      2.47699e+02      5.00000e+00      3.27587e-11
    1.02614e-02      2.47060e+02      5.00000e+00      3.32010e-11
    1.04254e-02      2.46409e+02      5.00000e+00      3.36505e-11
    1.05921e-02      2.45749e+02      5.00000e+00      3.41072e-11
    1.07615e-02      2.45077e+02      5.00000e+00      3.45713e-11
    1.09336e-02      2.44395e+02      5.00000e+00      3.50429e-11
    1.11084e-02      2.43702e+02      5.00000e+00      3.55221e-11
    1.12861e-02      2.42998e+02      5.00000e+00      3.60090e-11
    1.14667e-02      2.42282e+02      5.00000e+00      3.65038e-11
    1.16502e-02      2.41555e+02      5.00000e+00      3.70065e-11
    1.18366e-02      2.40816e+02      5.00000e+00      3.75174e-11
    1.20261e-02      2.40065e+02      5.00000e+00      3.80366e-11
    1.22186e-02      2.39302e+02      5.00000e+00      3.85641e-11
    1.24142e-02      2.38526e+02      5.00000e+00      3.91001e-11
    1.26129e-02      2.37738e+02      5.00000e+00      3.96448e-11
    1.28149e-02      2.36938e+02      5.00000e+00      4.01983e-11
    1.30202e-02      2.36124e+02      5.00000e+00      4.07607e-11
    1.32287e-02      2.35298e+02      5.00000e+00      4.13322e-11
    1.34406e-02      2.34458e+02      5.00000e+00      4.19129e-11
    1.36560e-02      2.33604e+02      5.00000e+00      4.25030e-11
    1.38748e-02      2.32737e+02      5.00000e+00      4.31026e-11
    1.40971e-02      2.31855e+02      5.00000e+00      4.37118e-11
    1.43231e-02      2.30960e+02      5.00000e+00      4.43310e-11
    1.45527e-02      2.30050e+02      5.00000e+00      4.49601e-11
    1.47859e-02      2.29125e+02      5.00000e+00      4.55994e-11
    1.50230e-02      2.28185e+02      5.00000e+00      4.62489e-11
    1.52639e-02      2.27230e+02      5.00000e+00      4.69090e-11
    1.55086e-02      2.26260e+02      5.00000e+00      4.75798e-11
    1.57574e-02      2.25274e+02      5.00000e+00      4.82613e-11
    1.60101e-02      2.24273e+02      5.00000e+00      4.89539e-11
    1.62669e-02      2.23255e+02      5.00000e+00      4.96576e-11
    1.65279e-02      2.22220e+02      5.00000e+00      5.03727e-11
    1.67931e-02      2.21169e+02      5.00000e+00      5.10993e-11
    1.70625e-02      2.20101e+02      5.00000e+00      5.18377e-11
    1.73363e-02      2.19016e+02      5.00000e+00      5.25880e-11
    1.76145e-02      2.17913e+02      5.00000e+00      5.33504e-11
    1.78972e-02      2.16792e+02      5.00000e+00      5.41251e-11
    1.81845e-02      2.15653e+02      5.00000e+00      5.49123e-11
    1.84764e-02      2.14496e+02      5.00000e+00      5.57122e-11
    1.87731e-02      2.13321e+02      5.00000e+00      5.65250e-11
    1.90745e-02      2.12126e+02      5.00000e+00      5.73510e-11
    1.93808e-02      2.10912e+02      5.00000e+00      5.81903e-11
    1.96920e-02      2.09678e+02      5.00000e+00      5.90431e-11
    2.00082e-02      2.08425e+02      5.00000e+00      5.99097e-11
    2.03296e-02      2.07151e+02      5.00000e+00      6.07903e-11
    2.06561e-02      2.05856e+02      5.00000e+00      6.16851e-11
    2.09879e-02      2.04541e+02      5.00000e+00      6.25943e-11
    2.13251e-02      2.03205e+02      5.00000e+00      6.35182e-11
    2.16677e-02      2.01847e+02      5.00000e+00      6.44571e-11
    2.20158e-02      2.00467e+02      5.00000e+00      6.54110e-11
    2.23696e-02      1.99064e+02      5.00000e+00      6.63804e-11
    2.27291e-02      1.97640e+02      5.00000e+00      6.73655e-11
    2.30943e-02      1.96192e+02      5.00000e+00      6.83664e-11
    2.34655e-02      1.94720e+02      5.00000e+00      6.93835e-11
    2.38426e-02      1.93225e+02      5.00000e+00      7.04170e-11
    2.42259e-02      1.91706e+02      5.00000e+00      7.14672e-11
    2.46153e-02      1.90163e+02      5.00000e+00      7.25343e-11
    2.50110e-02      1.88594e+02      5.00000e+00      7.36187e-11
    2.54131e-02      1.87000e+02      5.00000e+00      7.47205e-11
    2.58217e-02      1.85381e+02      5.00000e+00      7.58402e-11
    2.62369e-02      1.83735e+02      5.00000e+00      7.69779e-11
    2.66588e-02      1.82062e+02      5.00000e+00      7.81340e-11
    2.70875e-02      1.80363e+02      5.00000e+00      7.93087e-11
    2.75231e-02      1.78636e+02      5.00000e+00      8.05025e-11
    2.79658e-02      1.76882e+02      5.00000e+00      8.17154e-11
    2.84156e-02      1.75099e+02      5.00000e+00      8.29480e-11
    2.88727e-02      1.73287e+02      5.00000e+00      8.42005e-11
    2.93371e-02      1.71446e+02      5.00000e+00      8.54731e-11
    2.98090e-02      1.69575e+02      5.00000e+00      8.67664e-11
    3.02886e-02      1.67675e+02      5.00000e+00      8.80804e-11
    3.07759e-02      1.65743e+02      5.00000e+00      8.94158e-11
    3.12710e-02      1.63780e+02      5.00000e+00      9.07726e-11
    3.17742e-02      1.61786e+02      5.00000e+00      9.21514e-11
    3.22855e-02      1.59759e+02      5.00000e+00      9.35524e-11
    3.28050e-02      1.57700e+02      5.00000e+00      9.49760e-11
    3.33329e-02      1.55607e+02      5.00000e+00      9.64226e-11
    3.38693e-02      1.53481e+02      5.00000e+00      9.78926e-11
    3.44144e-02      1.51320e+02      5.00000e+00      9.93863e-11
    3.49683e-02      1.49125e+02      5.00000e+00      1.00904e-10
    3.55311e-02      1.46894e+02      5.00000e+00      1.02446e-10
    3.61031e-02      1.44627e+02      5.00000e+00      1.04014e-10
    3.66842e-02      1.42323e+02      5.00000e+00      1.05606e-10
    3.72747e-02      1.39982e+02      5.00000e+00      1.07224e-10
    3.78748e-02      1.37604e+02      5.00000e+00      1.08869e-10
    3.84845e-02      1.35187e+02      5.00000e+00      1.10539e-10
    3.91041e-02      1.32731e+02      5.00000e+00      1.12237e-10
    3.97337e-02      1.30235e+02      5.00000e+00      1.13962e-10
    4.03735e-02      1.27910e+02      5.00000e+00      1.15704e-10
    4.10236e-02      1.27037e+02      5.00000e+00      1.17391e-10
    4.16841e-02      1.26149e+02      5.00000e+00      1.19104e-10
    4.23554e-02      1.25246e+02      5.00000e+00      1.20846e-10
    4.30374e-02      1.24329e+02      5.00000e+00      1.22616e-10
    4.37305e-02      1.23398e+02      5.00000e+00      1.24414e-10
    4.44348e-02      1.22451e+02      5.00000e+00      1.26241e-10
    4.51504e-02      1.21489e+02      5.00000e+00      1.28098e-10
    4.58776e-02      1.20512e+02      5.00000e+00      1.29985e-10
    4.66165e-02      1.19518e+02      5.00000e+00      1.31902e-10
    4.73674e-02      1.18509e+02      5.00000e+00      1.33850e-10
    4.81304e-02      1.17484e+02      5.00000e+00      1.35830e-10
    4.89056e-02      1.16441e+02      5.00000e+00      1.37841e-10
    4.96934e-02      1.15382e+02      5.00000e+00      1.39885e-10
    5.04940e-02      1.14306e+02      5.00000e+00      1.41962e-10
    5.13074e-02      1.13213e+02      5.00000e+00      1.44073e-10
    5.21340e-02      1.12102e+02      5.00000e+00      1.46217e-10
    5.29739e-02      1.10973e+02      5.00000e+00      1.48396e-10
    5.38274e-02      1.09826e+02      5.00000e+00      1.50611e-10
    5.46946e-02      1.08660e+02      5.00000e+00      1.52861e-10
    5.55758e-02      1.07475e+02      5.00000e+00      1.55147e-10
    5.64713e-02      1.06272e+02      5.00000e+00      1.57471e-10
    5.73812e-02      1.05049e+02      5.00000e+00      1.59832e-10
    5.83059e-02      1.03806e+02      5.00000e+00      1.62231e-10
    5.92454e-02      1.02543e+02      5.00000e+00      1.64668e-10
    6.02001e-02      1.01259e+02      5.00000e+00      1.67145e-10
    6.11702e-02      9.99554e+01      5.00000e+00      1.69662e-10
    6.21560e-02      9.86304e+01      5.00000e+00      1.72220e-10
    6.31577e-02      9.72839e+01      5.00000e+00      1.74819e-10
