    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      9.32597e-03      1.00000e+01      1.49454e-11
    5.07438e-02      9.15930e-03      1.00000e+01      1.51375e-11
    5.13959e-02      8.99049e-03      1.00000e+01      1.53320e-11
    5.20564e-02      8.81949e-03      1.00000e+01      1.55290e-11
    5.27254e-02      8.64630e-03      1.00000e+01      1.57285e-11
    5.34030e-02      8.47088e-03      1.00000e+01      1.59306e-11
    5.40893e-02      8.29320e-03      1.00000e+01      1.61353e-11
    5.47845e-02      8.11323e-03      1.00000e+01      1.63427e-11
    5.54886e-02      7.93094e-03      1.00000e+01      1.65527e-11
    5.62018e-02      7.74631e-03      1.00000e+01      1.67654e-11
    5.69242e-02      7.55930e-03      1.00000e+01      1.69809e-11
    5.76558e-02      7.36988e-03      1.00000e+01      1.71991e-11
    5.83969e-02      7.17802e-03      1.00000e+01      1.74201e-11
    5.91476e-02      6.98369e-03      1.00000e+01      1.76440e-11
    5.99079e-02      6.78686e-03      1.00000e+01      1.78708e-11
    6.06779e-02      6.58749e-03      1.00000e+01      1.81005e-11
    6.14580e-02      6.38556e-03      1.00000e+01      1.83331e-11
    6.22480e-02      6.18103e-03      1.00000e+01      1.85688e-11
    6.30482e-02      5.97386e-03      1.00000e+01      1.88075e-11
    6.38587e-02      5.76403e-03      1.00000e+01      1.90492e-11
    6.46797e-02      5.55149e-03      1.00000e+01      1.92941e-11
    6.55112e-02      5.33622e-03      1.00000e+01      1.95421e-11
    6.63535e-02      5.11818e-03      1.00000e+01      1.97933e-11
    6.72066e-02      4.89733e-03      1.00000e+01      2.00478e-11
    6.80706e-02      4.67363e-03      1.00000e+01      2.03055e-11
    6.89458e-02      4.44706e-03      1.00000e+01      2.05665e-11
    6.98323e-02      4.21756e-03      1.00000e+01      2.08309e-11
    7.07302e-02      3.98512e-03      1.00000e+01      2.10987e-11
    7.16396e-02      3.74968e-03      1.00000e+01      2.13700e-11
    7.25607e-02      3.51120e-03      1.00000e+01      2.16448e-11
    7.34938e-02      3.26966e-03      1.00000e+01      2.19230e-11
    7.44388e-02      3.02501e-03      1.00000e+01      2.22049e-11
    7.53960e-02      2.77721e-03      1.00000e+01      2.24904e-11
    7.63655e-02      2.52621e-03      1.00000e+01      2.27796e-11
    7.73475e-02      2.27199e-03      1.00000e+01      2.30725e-11
    7.83421e-02      2.01449e-03      1.00000e+01      2.33691e-11
    7.93496e-02      1.75367e-03      1.00000e+01      2.36696e-11
    8.03700e-02      1.51965e-03      1.00000e+01      2.39782e-11
    8.14035e-02      1.51740e-03      1.00000e+01      2.43238e-11
    8.24504e-02      1.51511e-03      1.00000e+01      2.46738e-11
    8.35108e-02      1.51279e-03      1.00000e+01      2.50283e-11
    8.45848e-02      1.51045e-03      1.00000e+01      2.53873e-11
    8.56726e-02      1.50807e-03      1.00000e+01      2.57510e-11
    8.67744e-02      1.50567e-03      1.00000e+01      2.61194e-11
    8.78905e-02      1.50323e-03      1.00000e+01      2.64925e-11
    8.90209e-02      1.50076e-03      1.00000e+01      2.68704e-11
    9.01658e-02      1.49826e-03      1.00000e+01      2.72532e-11
    9.13255e-02      1.49573e-03      1.00000e+01      2.76410e-11
    9.25001e-02      1.49317e-03      1.00000e+01      2.80337e-11
    9.36899e-02      1.49057e-03      1.00000e+01      2.84314e-11
    9.48949e-02      1.48794e-03      1.00000e+01      2.88343e-11
    9.61155e-02      1.48527e-03      1.00000e+01      2.92424e-11
    9.73518e-02      1.48257e-03      1.00000e+01      2.96557e-11
    9.86040e-02      1.47984e-03      1.00000e+01      3.00744e-11
    9.98724e-02      1.47707e-03      1.00000e+01      3.04984e-11
    1.01157e-01      1.47426e-03      1.00000e+01      3.09279e-11
    1.02458e-01      1.47142e-03      1.00000e+01      3.13629e-11
    1.03776e-01      1.46854e-03      1.00000e+01      3.18036e-11
    1.05111e-01      1.46563e-03      1.00000e+01      3.22499e-11
    1.06463e-01      1.46268e-03      1.00000e+01      3.27019e-11
    1.07833e-01      1.45969e-03      1.00000e+01      3.31598e-11
    1.09220e-01      1.45666e-03      1.00000e+01      3.36236e-11
    1.10625e-01      1.45361e-03      1.00000e+01      3.40896e-11
    1.12048e-01      1.45071e-03      1.00000e+01      3.45211e-11
    1.13490e-01      1.44778e-03      1.00000e+01      3.49582e-11
    1.14950e-01      1.44481e-03      1.00000e+01      3.54009e-11
    1.16428e-01      1.44180e-03      1.00000e+01      3.58493e-11
    1.17926e-01      1.43875e-03      1.00000e+01      3.63035e-11
    1.19443e-01      1.43567e-03      1.00000e+01      3.67635e-11
    1.20980e-01      1.43254e-03      1.00000e+01      3.72295e-11
    1.22537e-01      1.42938e-03      1.00000e+01      3.77014e-11
    1.24113e-01      1.42617e-03      1.00000e+01      3.81795e-11
    1.25710e-01      1.42292e-03      1.00000e+01      3.86636e-11
    1.27327e-01      1.41963e-03      1.00000e+01      3.91541e-11
    1.28965e-01      1.41630e-03      1.00000e+01      3.96508e-11
    1.30625e-01      1.41292e-03      1.00000e+01      4.01539e-11
    1.32305e-01      1.40950e-03      1.00000e+01      4.06635e-11
    1.34008e-01      1.40604e-03      1.00000e+01      4.11797e-11
    1.35732e-01      1.40253e-03      1.00000e+01      4.17025e-11
    1.37478e-01      1.39898e-03      1.00000e+01      4.22321e-11
    1.39247e-01      1.39538e-03      1.00000e+01      4.27684e-11
    1.41039e-01      1.39178e-03      1.00000e+01      4.33112e-11
    1.42854e-01      1.38833e-03      1.00000e+01      4.38583e-11
    1.44692e-01      1.38485e-03      1.00000e+01      4.44125e-11
    1.46553e-01      1.38132e-03      1.00000e+01      4.49738e-11
    1.48439e-01      1.37774e-03      1.00000e+01      4.55423e-11
    1.50349e-01      1.37412e-03      1.00000e+01      4.61181e-11
    1.52284e-01      1.37045e-03      1.00000e+01      4.67013e-11
    1.54243e-01      1.36673e-03      1.00000e+01      4.72921e-11
    1.56228e-01      1.36297e-03      1.00000e+01      4.78904e-11
    1.58238e-01      1.35916e-03      1.00000e+01      4.84965e-11
    1.60275e-01      1.35530e-03      1.00000e+01      4.91104e-11
    1.62337e-01      1.35139e-03      1.00000e+01      4.97321e-11
    1.64426e-01      1.34742e-03      1.00000e+01      5.03619e-11
    1.66542e-01      1.34341e-03      1.00000e+01      5.09998e-11
    1.68685e-01      1.33935e-03      1.00000e+01      5.16459e-11
    1.70856e-01      1.33523e-03      1.00000e+01      5.23003e-11
    1.73054e-01      1.33130e-03      1.00000e+01      5.29603e-11
    1.75281e-01      1.32734e-03      1.00000e+01      5.36285e-11
    1.77537e-01      1.32332e-03      1.00000e+01      5.43054e-11
    1.79822e-01      1.31926e-03      1.00000e+01      5.49909e-11
    1.82136e-01      1.31514e-03      1.00000e+01      5.56853e-11
    1.84480e-01      1.31096e-03      1.00000e+01      5.63886e-11
    1.86854e-01      1.30674e-03      1.00000e+01      5.71010e-11
    1.89258e-01      1.30246e-03      1.00000e+01      5.78226e-11
    1.91694e-01      1.29812e-03      1.00000e+01      5.85534e-11
    1.94161e-01      1.29373e-03      1.00000e+01      5.92937e-11
