    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      1.11864e+02      1.00000e+01      1.41238e-10
    5.07438e-02      1.11151e+02      1.00000e+01      1.42891e-10
    5.13959e-02      1.10429e+02      1.00000e+01      1.44567e-10
    5.20564e-02      1.09698e+02      1.00000e+01      1.46263e-10
    5.27254e-02      1.08957e+02      1.00000e+01      1.47982e-10
    5.34030e-02      1.08207e+02      1.00000e+01      1.49722e-10
    5.40893e-02      1.07447e+02      1.00000e+01      1.51485e-10
    5.47845e-02      1.06677e+02      1.00000e+01      1.53271e-10
    5.54886e-02      1.05897e+02      1.00000e+01      1.55080e-10
    5.62018e-02      1.05107e+02      1.00000e+01      1.56912e-10
    5.69242e-02      1.04307e+02      1.00000e+01      1.58767e-10
    5.76558e-02      1.03497e+02      1.00000e+01      1.60647e-10
    5.83969e-02      1.02677e+02      1.00000e+01      1.62550e-10
    5.91476e-02      1.01845e+02      1.00000e+01      1.64479e-10
    5.99079e-02      1.01004e+02      1.00000e+01      1.66432e-10
    6.06779e-02      1.00151e+02      1.00000e+01      1.68410e-10
    6.14580e-02      9.92871e+01      1.00000e+01      1.70414e-10
    6.22480e-02      9.84123e+01      1.00000e+01      1.72443e-10
    6.30482e-02      9.75262e+01      1.00000e+01      1.74499e-10
    6.38587e-02      9.66287e+01      1.00000e+01      1.76581e-10
    6.46797e-02      9.57196e+01      1.00000e+01      1.78689e-10
    6.55112e-02      9.47989e+01      1.00000e+01      1.80825e-10
    6.63535e-02      9.38662e+01      1.00000e+01      1.82989e-10
    6.72066e-02      9.29216e+01      1.00000e+01      1.85180e-10
    6.80706e-02      9.19648e+01      1.00000e+01      1.87400e-10
    6.89458e-02      9.09957e+01      1.00000e+01      1.89648e-10
    6.98323e-02      9.00141e+01      1.00000e+01      1.91925e-10
    7.07302e-02      8.90199e+01      1.00000e+01      1.94232e-10
    7.16396e-02      8.80129e+01      1.00000e+01      1.96568e-10
    7.25607e-02      8.69929e+01      1.00000e+01      1.98934e-10
    7.34938e-02      8.59597e+01      1.00000e+01      2.01331e-10
    7.44388e-02      8.49133e+01      1.00000e+01      2.03758e-10
    7.53960e-02      8.38534e+01      1.00000e+01      2.06217e-10
    7.63655e-02      8.27798e+01      1.00000e+01      2.08707e-10
    7.73475e-02      8.16924e+01      1.00000e+01      2.11230e-10
    7.83421e-02      8.05911e+01      1.00000e+01      2.13785e-10
    7.93496e-02      7.94755e+01      1.00000e+01      2.16373e-10
    8.03700e-02      7.83959e+01      1.00000e+01      2.19027e-10
    8.14035e-02      7.76939e+01      1.00000e+01      2.21969e-10
    8.24504e-02      7.69828e+01      1.00000e+01      2.24949e-10
    8.35108e-02      7.62626e+01      1.00000e+01      2.27968e-10
    8.45848e-02      7.55332e+01      1.00000e+01      2.31025e-10
    8.56726e-02      7.47943e+01      1.00000e+01      2.34122e-10
    8.67744e-02      7.40459e+01      1.00000e+01      2.37259e-10
    8.78905e-02      7.32879e+01      1.00000e+01      2.40436e-10
    8.90209e-02      7.25202e+01      1.00000e+01      2.43654e-10
    9.01658e-02      7.17425e+01      1.00000e+01      2.46914e-10
    9.13255e-02      7.09549e+01      1.00000e+01      2.50215e-10
    9.25001e-02      7.01571e+01      1.00000e+01      2.53559e-10
    9.36899e-02      6.93490e+01      1.00000e+01      2.56946e-10
    9.48949e-02      6.85305e+01      1.00000e+01      2.60377e-10
    9.61155e-02      6.77015e+01      1.00000e+01      2.63852e-10
    9.73518e-02      6.68618e+01      1.00000e+01      2.67371e-10
    9.86040e-02      6.60113e+01      1.00000e+01      2.70936e-10
    9.98724e-02      6.51498e+01      1.00000e+01      2.74547e-10
    1.01157e-01      6.42772e+01      1.00000e+01      2.78204e-10
    1.02458e-01      6.33935e+01      1.00000e+01      2.81909e-10
    1.03776e-01      6.24983e+01      1.00000e+01      2.85661e-10
    1.05111e-01      6.15916e+01      1.00000e+01      2.89461e-10
    1.06463e-01      6.06732e+01      1.00000e+01      2.93310e-10
    1.07833e-01      5.97430e+01      1.00000e+01      2.97209e-10
    1.09220e-01      5.88009e+01      1.00000e+01      3.01158e-10
    1.10625e-01      5.78739e+01      1.00000e+01      3.05123e-10
    1.12048e-01      5.72310e+01      1.00000e+01      3.08762e-10
    1.13490e-01      5.65799e+01      1.00000e+01      3.12447e-10
    1.14950e-01      5.59204e+01      1.00000e+01      3.16180e-10
