    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      8.80575e-01      1.00000e+01      3.01319e-04
    1.02859e-02      8.72702e-01      1.00000e+01      3.06865e-04
    1.04753e-02      8.64682e-01      1.00000e+01      3.12514e-04
    1.06682e-02      8.56514e-01      1.00000e+01      3.18269e-04
    1.08647e-02      8.48193e-01      1.00000e+01      3.24130e-04
    1.10648e-02      8.39718e-01      1.00000e+01      3.30100e-04
    1.12686e-02      8.31085e-01      1.00000e+01      3.36181e-04
    1.14763e-02      8.22292e-01      1.00000e+01      3.42376e-04
    1.16878e-02      8.13335e-01      1.00000e+01      3.48685e-04
    1.19032e-02      8.04212e-01      1.00000e+01      3.55112e-04
    1.21226e-02      7.94919e-01      1.00000e+01      3.61658e-04
    1.23462e-02      7.85453e-01      1.00000e+01      3.68326e-04
    1.25738e-02      7.75811e-01      1.00000e+01      3.75118e-04
    1.28057e-02      7.65990e-01      1.00000e+01      3.82036e-04
    1.30420e-02      7.55987e-01      1.00000e+01      3.89083e-04
    1.32826e-02      7.45797e-01      1.00000e+01      3.96261e-04
    1.35276e-02      7.35419e-01      1.00000e+01      4.03572e-04
    1.37773e-02      7.24847e-01      1.00000e+01      4.11020e-04
    1.40316e-02      7.14078e-01      1.00000e+01      4.18605e-04
    1.42906e-02      7.03110e-01      1.00000e+01      4.26332e-04
    1.45544e-02      6.91937e-01      1.00000e+01      4.34202e-04
    1.48231e-02      6.80557e-01      1.00000e+01      4.42219e-04
    1.50968e-02      6.68965e-01      1.00000e+01      4.50385e-04
    1.53757e-02      6.57158e-01      1.00000e+01      4.58702e-04
    1.56597e-02      6.45131e-01      1.00000e+01      4.67174e-04
    1.59489e-02      6.32880e-01      1.00000e+01      4.75804e-04
    1.62436e-02      6.20402e-01      1.00000e+01      4.84594e-04
    1.65437e-02      6.07692e-01      1.00000e+01      4.93548e-04
    1.68494e-02      5.94745e-01      1.00000e+01      5.02668e-04
    1.71608e-02      5.81558e-01      1.00000e+01      5.11957e-04
    1.74780e-02      5.68126e-01      1.00000e+01      5.21420e-04
    1.78011e-02      5.54444e-01      1.00000e+01      5.31058e-04
    1.81302e-02      5.40507e-01      1.00000e+01      5.40875e-04
    1.84654e-02      5.26312e-01      1.00000e+01      5.50875e-04
    1.88068e-02      5.11852e-01      1.00000e+01      5.61061e-04
    1.91546e-02      4.97124e-01      1.00000e+01      5.71436e-04
    1.95089e-02      4.82122e-01      1.00000e+01      5.82004e-04
    1.98697e-02      4.66841e-01      1.00000e+01      5.92768e-04
    2.02372e-02      4.51276e-01      1.00000e+01      6.03733e-04
    2.06116e-02      4.35421e-01      1.00000e+01      6.14901e-04
    2.09930e-02      4.19272e-01      1.00000e+01      6.26278e-04
    2.13814e-02      4.02823e-01      1.00000e+01      6.37865e-04
    2.17770e-02      3.86067e-01      1.00000e+01      6.49668e-04
    2.21800e-02      3.69001e-01      1.00000e+01      6.61691e-04
    2.25905e-02      3.51617e-01      1.00000e+01      6.73937e-04
    2.30087e-02      3.33909e-01      1.00000e+01      6.86410e-04
    2.34346e-02      3.15873e-01      1.00000e+01      6.99116e-04
    2.38684e-02      2.97501e-01      1.00000e+01      7.12058e-04
    2.43103e-02      2.78788e-01      1.00000e+01      7.25240e-04
    2.47604e-02      2.59726e-01      1.00000e+01      7.38668e-04
    2.52189e-02      2.40311e-01      1.00000e+01      7.52345e-04
    2.56859e-02      2.20534e-01      1.00000e+01      7.66276e-04
    2.61615e-02      2.00390e-01      1.00000e+01      7.80467e-04
    2.66461e-02      1.79871e-01      1.00000e+01      7.94921e-04
    2.71396e-02      1.58971e-01      1.00000e+01      8.09644e-04
    2.76423e-02      1.37682e-01      1.00000e+01      8.24640e-04
    2.81543e-02      1.15997e-01      1.00000e+01      8.39916e-04
    2.86759e-02      9.39093e-02      1.00000e+01      8.55475e-04
    2.92072e-02      7.14109e-02      1.00000e+01      8.71324e-04
    2.97483e-02      4.84942e-02      1.00000e+01      8.87467e-04
    3.02995e-02      2.51514e-02      1.00000e+01      9.03911e-04
    3.08610e-02      2.34183e-02      1.00000e+01      9.20658e-04
    3.14329e-02      2.29980e-02      1.00000e+01      9.37717e-04
    3.20154e-02      2.25699e-02      1.00000e+01      9.55093e-04
    3.26087e-02      2.21338e-02      1.00000e+01      9.72792e-04
    3.32131e-02      2.16896e-02      1.00000e+01      9.90821e-04
    3.38287e-02      2.12372e-02      1.00000e+01      1.00918e-03
    3.44558e-02      2.07763e-02      1.00000e+01      1.02789e-03
    3.50945e-02      2.03069e-02      1.00000e+01      1.04694e-03
    3.57451e-02      1.98287e-02      1.00000e+01      1.06635e-03
    3.64078e-02      1.93417e-02      1.00000e+01      1.08612e-03
    3.70828e-02      1.88456e-02      1.00000e+01      1.10625e-03
    3.77704e-02      1.83403e-02      1.00000e+01      1.12676e-03
    3.84707e-02      1.78256e-02      1.00000e+01      1.14765e-03
    3.91841e-02      1.73013e-02      1.00000e+01      1.16893e-03
    3.99107e-02      1.67673e-02      1.00000e+01      1.19060e-03
    4.06509e-02      1.62233e-02      1.00000e+01      1.21268e-03
    4.14048e-02      1.56693e-02      1.00000e+01      1.23517e-03
    4.21727e-02      1.51049e-02      1.00000e+01      1.25808e-03
    4.29549e-02      1.45300e-02      1.00000e+01      1.28141e-03
    4.37516e-02      1.39445e-02      1.00000e+01      1.30517e-03
    4.45631e-02      1.33481e-02      1.00000e+01      1.32938e-03
    4.53898e-02      1.27405e-02      1.00000e+01      1.35404e-03
    4.62318e-02      1.21217e-02      1.00000e+01      1.37915e-03
    4.70894e-02      1.14914e-02      1.00000e+01      1.40474e-03
    4.79630e-02      1.08494e-02      1.00000e+01      1.43080e-03
    4.88528e-02      1.01954e-02      1.00000e+01      1.45734e-03
    4.97592e-02      9.52924e-03      1.00000e+01      1.48438e-03
    5.06825e-02      8.85072e-03      1.00000e+01      1.51191e-03
    5.16229e-02      8.34414e-03      1.00000e+01      1.54006e-03
    5.25807e-02      8.02415e-03      1.00000e+01      1.56881e-03
    5.35564e-02      7.69822e-03      1.00000e+01      1.59811e-03
    5.45503e-02      7.36622e-03      1.00000e+01      1.62795e-03
    5.55626e-02      7.02805e-03      1.00000e+01      1.65834e-03
    5.65937e-02      6.68360e-03      1.00000e+01      1.68930e-03
    5.76440e-02      6.33274e-03      1.00000e+01      1.72083e-03
    5.87138e-02      5.97536e-03      1.00000e+01      1.75295e-03
    5.98035e-02      5.61133e-03      1.00000e+01      1.78566e-03
    6.09135e-02      5.24054e-03      1.00000e+01      1.81899e-03
