    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      2.49349e+02      1.00000e+01      3.26733e-03
    1.02859e-02      2.48445e+02      1.00000e+01      3.31896e-03
    1.04753e-02      2.47525e+02      1.00000e+01      3.37154e-03
    1.06682e-02      2.46587e+02      1.00000e+01      3.42511e-03
    1.08647e-02      2.45632e+02      1.00000e+01      3.47967e-03
    1.10648e-02      2.44660e+02      1.00000e+01      3.53524e-03
    1.12686e-02      2.43669e+02      1.00000e+01      3.59185e-03
    1.14763e-02      2.42660e+02      1.00000e+01      3.64951e-03
    1.16878e-02      2.41632e+02      1.00000e+01      3.70824e-03
    1.19032e-02      2.40585e+02      1.00000e+01      3.76806e-03
    1.21226e-02      2.39518e+02      1.00000e+01      3.82900e-03
    1.23462e-02      2.38432e+02      1.00000e+01      3.89107e-03
    1.25738e-02      2.37325e+02      1.00000e+01      3.95429e-03
    1.28057e-02      2.36198e+02      1.00000e+01      4.01869e-03
    1.30420e-02      2.35050e+02      1.00000e+01      4.08429e-03
    1.32826e-02      2.33880e+02      1.00000e+01      4.15110e-03
    1.35276e-02      2.32689e+02      1.00000e+01      4.21916e-03
    1.37773e-02      2.31476e+02      1.00000e+01      4.28848e-03
    1.40316e-02      2.30240e+02      1.00000e+01      4.35909e-03
    1.42906e-02      2.28981e+02      1.00000e+01      4.43102e-03
    1.45544e-02      2.27699e+02      1.00000e+01      4.50428e-03
    1.48231e-02      2.26392e+02      1.00000e+01      4.57890e-03
    1.50968e-02      2.25062e+02      1.00000e+01      4.65491e-03
    1.53757e-02      2.23707e+02      1.00000e+01      4.73234e-03
    1.56597e-02      2.22326e+02      1.00000e+01      4.81120e-03
    1.59489e-02      2.20920e+02      1.00000e+01      4.89153e-03
    1.62436e-02      2.19488e+02      1.00000e+01      4.97335e-03
    1.65437e-02      2.18030e+02      1.00000e+01      5.05670e-03
    1.68494e-02      2.16544e+02      1.00000e+01      5.14159e-03
    1.71608e-02      2.15030e+02      1.00000e+01      5.22806e-03
    1.74780e-02      2.13488e+02      1.00000e+01      5.31614e-03
    1.78011e-02      2.11918e+02      1.00000e+01      5.40586e-03
    1.81302e-02      2.10319e+02      1.00000e+01      5.49725e-03
    1.84654e-02      2.08689e+02      1.00000e+01      5.59033e-03
    1.88068e-02      2.07030e+02      1.00000e+01      5.68514e-03
    1.91546e-02      2.05339e+02      1.00000e+01      5.78172e-03
    1.95089e-02      2.03618e+02      1.00000e+01      5.88010e-03
    1.98697e-02      2.01864e+02      1.00000e+01      5.98030e-03
    2.02372e-02      2.00077e+02      1.00000e+01      6.08236e-03
    2.06116e-02      1.98258e+02      1.00000e+01      6.18632e-03
    2.09930e-02      1.96404e+02      1.00000e+01      6.29222e-03
    2.13814e-02      1.94516e+02      1.00000e+01      6.40008e-03
    2.17770e-02      1.92593e+02      1.00000e+01      6.50995e-03
    2.21800e-02      1.90634e+02      1.00000e+01      6.62186e-03
    2.25905e-02      1.88639e+02      1.00000e+01      6.73586e-03
    2.30087e-02      1.86607e+02      1.00000e+01      6.85197e-03
    2.34346e-02      1.84537e+02      1.00000e+01      6.97024e-03
    2.38684e-02      1.82428e+02      1.00000e+01      7.09071e-03
    2.43103e-02      1.80280e+02      1.00000e+01      7.21342e-03
    2.47604e-02      1.78093e+02      1.00000e+01      7.33841e-03
    2.52189e-02      1.75864e+02      1.00000e+01      7.46572e-03
    2.56859e-02      1.73594e+02      1.00000e+01      7.59540e-03
    2.61615e-02      1.71282e+02      1.00000e+01      7.72749e-03
    2.66461e-02      1.68928e+02      1.00000e+01      7.86204e-03
    2.71396e-02      1.66529e+02      1.00000e+01      7.99909e-03
    2.76423e-02      1.64085e+02      1.00000e+01      8.13868e-03
    2.81543e-02      1.61597e+02      1.00000e+01      8.28088e-03
    2.86759e-02      1.59061e+02      1.00000e+01      8.42571e-03
    2.92072e-02      1.56479e+02      1.00000e+01      8.57324e-03
    2.97483e-02      1.53849e+02      1.00000e+01      8.72351e-03
    3.02995e-02      1.51170e+02      1.00000e+01      8.87658e-03
    3.08610e-02      1.49980e+02      1.00000e+01      9.02526e-03
    3.14329e-02      1.48862e+02      1.00000e+01      9.17626e-03
    3.20154e-02      1.47724e+02      1.00000e+01      9.33007e-03
    3.26087e-02      1.46564e+02      1.00000e+01      9.48674e-03
    3.32131e-02      1.45382e+02      1.00000e+01      9.64632e-03
    3.38287e-02      1.44179e+02      1.00000e+01      9.80887e-03
    3.44558e-02      1.42953e+02      1.00000e+01      9.97444e-03
    3.50945e-02      1.41705e+02      1.00000e+01      1.01431e-02
    3.57451e-02      1.40433e+02      1.00000e+01      1.03149e-02
    3.64078e-02      1.39137e+02      1.00000e+01      1.04899e-02
    3.70828e-02      1.37818e+02      1.00000e+01      1.06681e-02
    3.77704e-02      1.36474e+02      1.00000e+01      1.08496e-02
    3.84707e-02      1.35105e+02      1.00000e+01      1.10346e-02
    3.91841e-02      1.33710e+02      1.00000e+01      1.12229e-02
    3.99107e-02      1.32290e+02      1.00000e+01      1.14148e-02
    4.06509e-02      1.30843e+02      1.00000e+01      1.16102e-02
    4.14048e-02      1.29370e+02      1.00000e+01      1.18093e-02
    4.21727e-02      1.27868e+02      1.00000e+01      1.20120e-02
    4.29549e-02      1.26339e+02      1.00000e+01      1.22186e-02
    4.37516e-02      1.24782e+02      1.00000e+01      1.24289e-02
    4.45631e-02      1.23196e+02      1.00000e+01      1.26432e-02
    4.53898e-02      1.21580e+02      1.00000e+01      1.28615e-02
    4.62318e-02      1.19934e+02      1.00000e+01      1.30838e-02
    4.70894e-02      1.18257e+02      1.00000e+01      1.33102e-02
    4.79630e-02      1.16550e+02      1.00000e+01      1.35409e-02
    4.88528e-02      1.14810e+02      1.00000e+01      1.37759e-02
    4.97592e-02      1.13038e+02      1.00000e+01      1.40152e-02
    5.06825e-02      1.11234e+02      1.00000e+01      1.42590e-02
    5.16229e-02      1.09757e+02      1.00000e+01      1.45042e-02
    5.25807e-02      1.08636e+02      1.00000e+01      1.47506e-02
    5.35564e-02      1.07495e+02      1.00000e+01      1.50016e-02
    5.45503e-02      1.06332e+02      1.00000e+01      1.52573e-02
    5.55626e-02      1.05148e+02      1.00000e+01      1.55178e-02
    5.65937e-02      1.03941e+02      1.00000e+01      1.57830e-02
    5.76440e-02      1.02712e+02      1.00000e+01      1.60533e-02
    5.87138e-02      1.01461e+02      1.00000e+01      1.63285e-02
    5.98035e-02      1.00186e+02      1.00000e+01      1.66089e-02
    6.09135e-02      9.88874e+01      1.00000e+01      1.68944e-02
    6.20441e-02      9.75647e+01      1.00000e+01      1.71853e-02
    6.31957e-02      9.62174e+01      1.00000e+01      1.74816e-02
    6.43688e-02      9.48451e+01      1.00000e+01      1.77834e-02
    6.55636e-02      9.34472e+01      1.00000e+01      1.80908e-02
    6.67807e-02      9.20233e+01      1.00000e+01      1.84039e-02
    6.80204e-02      9.05730e+01      1.00000e+01      1.87229e-02
    6.92831e-02      8.90957e+01      1.00000e+01      1.90477e-02
    7.05693e-02      8.75909e+01      1.00000e+01      1.93787e-02
    7.18794e-02      8.60582e+01      1.00000e+01      1.97157e-02
    7.32139e-02      8.49233e+01      1.00000e+01      2.00536e-02
    7.45732e-02      8.38081e+01      1.00000e+01      2.03972e-02
    7.59578e-02      8.26721e+01      1.00000e+01      2.07472e-02
    7.73681e-02      8.15149e+01      1.00000e+01      2.11037e-02
    7.88046e-02      8.03363e+01      1.00000e+01      2.14668e-02
    8.02678e-02      7.91357e+01      1.00000e+01      2.18367e-02
    8.17582e-02      7.79128e+01      1.00000e+01      2.22135e-02
    8.32764e-02      7.66672e+01      1.00000e+01      2.25972e-02
    8.48227e-02      7.53985e+01      1.00000e+01      2.29881e-02
    8.63979e-02      7.41061e+01      1.00000e+01      2.33863e-02
    8.80023e-02      7.27897e+01      1.00000e+01      2.37918e-02
    8.96365e-02      7.14489e+01      1.00000e+01      2.42049e-02
    9.13011e-02      7.00831e+01      1.00000e+01      2.46257e-02
    9.29966e-02      6.87290e+01      1.00000e+01      2.50624e-02
    9.47237e-02      6.76857e+01      1.00000e+01      2.55795e-02
    9.64829e-02      6.66230e+01      1.00000e+01      2.61063e-02
    9.82748e-02      6.55405e+01      1.00000e+01      2.66429e-02
    1.00100e-01      6.44379e+01      1.00000e+01      2.71895e-02
    1.01959e-01      6.33148e+01      1.00000e+01      2.77462e-02
    1.03853e-01      6.21708e+01      1.00000e+01      2.83133e-02
    1.05782e-01      6.10056e+01      1.00000e+01      2.88909e-02
    1.07747e-01      5.98186e+01      1.00000e+01      2.94793e-02
    1.09748e-01      5.86097e+01      1.00000e+01      3.00786e-02
    1.11786e-01      5.73782e+01      1.00000e+01      3.06890e-02
    1.13863e-01      5.61539e+01      1.00000e+01      3.13017e-02
    1.15978e-01      5.51838e+01      1.00000e+01      3.18417e-02
    1.18132e-01      5.41957e+01      1.00000e+01      3.23917e-02
    1.20326e-01      5.31892e+01      1.00000e+01      3.29520e-02
    1.22562e-01      5.21640e+01      1.00000e+01      3.35227e-02
