    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      1.86908e-04      1.00000e+02      9.17073e-11
    2.52651e-01      1.86665e-04      1.00000e+02      9.26172e-11
    2.55227e-01      1.86418e-04      1.00000e+02      9.35364e-11
    2.57830e-01      1.86170e-04      1.00000e+02      9.44649e-11
    2.60459e-01      1.85919e-04      1.00000e+02      9.54030e-11
    2.63115e-01      1.85665e-04      1.00000e+02      9.63505e-11
    2.65799e-01      1.85409e-04      1.00000e+02      9.73078e-11
    2.68509e-01      1.85150e-04      1.00000e+02      9.82748e-11
    2.71248e-01      1.84888e-04      1.00000e+02      9.92517e-11
    2.74014e-01      1.84624e-04      1.00000e+02      1.00239e-10
    2.76808e-01      1.84357e-04      1.00000e+02      1.01236e-10
    2.79631e-01      1.84087e-04      1.00000e+02      1.02243e-10
    2.82483e-01      1.83815e-04      1.00000e+02      1.03260e-10
    2.85364e-01      1.83540e-04      1.00000e+02      1.04288e-10
    2.88274e-01      1.83262e-04      1.00000e+02      1.05326e-10
    2.91214e-01      1.82985e-04      1.00000e+02      1.06375e-10
    2.94184e-01      1.82713e-04      1.00000e+02      1.07434e-10
    2.97185e-01      1.82437e-04      1.00000e+02      1.08503e-10
    3.00215e-01      1.82159e-04      1.00000e+02      1.09584e-10
    3.03277e-01      1.81878e-04      1.00000e+02      1.10676e-10
    3.06370e-01      1.81594e-04      1.00000e+02      1.11779e-10
    3.09495e-01      1.81307e-04      1.00000e+02      1.12893e-10
    3.12651e-01      1.81018e-04      1.00000e+02      1.14018e-10
    3.15840e-01      1.80725e-04      1.00000e+02      1.15155e-10
    3.19061e-01      1.80429e-04      1.00000e+02      1.16304e-10
    3.22315e-01      1.80131e-04      1.00000e+02      1.17464e-10
    3.25602e-01      1.79829e-04      1.00000e+02      1.18636e-10
    3.28923e-01      1.79524e-04      1.00000e+02      1.19820e-10
    3.32278e-01      1.79223e-04      1.00000e+02      1.21014e-10
    3.35667e-01      1.78923e-04      1.00000e+02      1.22218e-10
    3.39090e-01      1.78621e-04      1.00000e+02      1.23434e-10
    3.42549e-01      1.78315e-04      1.00000e+02      1.24662e-10
    3.46042e-01      1.78006e-04      1.00000e+02      1.25903e-10
    3.49572e-01      1.77694e-04      1.00000e+02      1.27157e-10
    3.53137e-01      1.77378e-04      1.00000e+02      1.28424e-10
    3.56739e-01      1.77060e-04      1.00000e+02      1.29703e-10
    3.60377e-01      1.76738e-04      1.00000e+02      1.30996e-10
    3.64053e-01      1.76413e-04      1.00000e+02      1.32301e-10
    3.67766e-01      1.76084e-04      1.00000e+02      1.33620e-10
    3.71517e-01      1.75756e-04      1.00000e+02      1.34952e-10
    3.75306e-01      1.75433e-04      1.00000e+02      1.36294e-10
    3.79134e-01      1.75106e-04      1.00000e+02      1.37649e-10
    3.83001e-01      1.74776e-04      1.00000e+02      1.39019e-10
    3.86907e-01      1.74443e-04      1.00000e+02      1.40403e-10
