    Er (keV)         SM dN/dE         BG dN/dE         BSM dN/dE (events/kg/day/keV)
    1.00000e-01      2.13424e-01      1.00000e+02      3.48152e+00
    2.99500e-01      1.91434e-01      1.00000e+02      1.16206e+00
    4.99000e-01      1.73384e-01      1.00000e+02      6.86944e-01
    6.98500e-01      1.57985e-01      1.00000e+02      4.86949e-01
    8.98000e-01      1.44523e-01      1.00000e+02      3.75240e-01
    1.09750e+00      1.32642e-01      1.00000e+02      3.04980e-01
    1.29700e+00      1.22034e-01      1.00000e+02      2.56207e-01
    1.49650e+00      1.12528e-01      1.00000e+02      2.20701e-01
    1.69600e+00      1.03950e-01      1.00000e+02      1.93546e-01
    1.89550e+00      9.61960e-02      1.00000e+02      1.72228e-01
    2.09500e+00      8.91514e-02      1.00000e+02      1.54962e-01
    2.29450e+00      8.27498e-02      1.00000e+02      1.40774e-01
    2.49400e+00      7.69053e-02      1.00000e+02      1.28862e-01
    2.69350e+00      7.15799e-02      1.00000e+02      1.18759e-01
    2.89300e+00      6.67027e-02      1.00000e+02      1.10051e-01
    3.09250e+00      6.22445e-02      1.00000e+02      1.02497e-01
    3.29200e+00      5.81575e-02      1.00000e+02      9.58629e-02
    3.49150e+00      5.44141e-02      1.00000e+02      9.00055e-02
    3.69100e+00      5.09782e-02      1.00000e+02      8.47985e-02
    3.89050e+00      4.78281e-02      1.00000e+02      8.01244e-02
    4.09000e+00      4.49359e-02      1.00000e+02      7.59151e-02
    4.28950e+00      4.22822e-02      1.00000e+02      7.21064e-02
    4.48900e+00      3.98462e-02      1.00000e+02      6.86445e-02
    4.68850e+00      3.76112e-02      1.00000e+02      6.54840e-02
    4.88800e+00      3.55575e-02      1.00000e+02      6.25875e-02
    5.08750e+00      3.36767e-02      1.00000e+02      5.99193e-02
    5.28700e+00      3.19489e-02      1.00000e+02      5.74570e-02
    5.48650e+00      3.03654e-02      1.00000e+02      5.51810e-02
    5.68600e+00      2.89140e-02      1.00000e+02      5.30621e-02
    5.88550e+00      2.75846e-02      1.00000e+02      5.10973e-02
    6.08500e+00      2.63668e-02      1.00000e+02      4.92605e-02
    6.28450e+00      2.52536e-02      1.00000e+02      4.75429e-02
    6.48400e+00      2.42347e-02      1.00000e+02      4.59380e-02
    6.68350e+00      2.33045e-02      1.00000e+02      4.44269e-02
    6.88300e+00      2.24553e-02      1.00000e+02      4.30061e-02
