    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      7.66155e+00      1.00000e+02      7.89884e-10
    2.52651e-01      7.59394e+00      1.00000e+02      7.97415e-10
    2.55227e-01      7.52564e+00      1.00000e+02      8.05022e-10
    2.57830e-01      7.45665e+00      1.00000e+02      8.12708e-10
    2.60459e-01      7.38695e+00      1.00000e+02      8.20472e-10
    2.63115e-01      7.31654e+00      1.00000e+02      8.28315e-10
    2.65799e-01      7.24541e+00      1.00000e+02      8.36238e-10
    2.68509e-01      7.17356e+00      1.00000e+02      8.44242e-10
    2.71248e-01      7.10097e+00      1.00000e+02      8.52327e-10
    2.74014e-01      7.02764e+00      1.00000e+02      8.60495e-10
    2.76808e-01      6.95357e+00      1.00000e+02      8.68747e-10
    2.79631e-01      6.87873e+00      1.00000e+02      8.77082e-10
    2.82483e-01      6.80314e+00      1.00000e+02      8.85503e-10
    2.85364e-01      6.72677e+00      1.00000e+02      8.94010e-10
    2.88274e-01      6.64963e+00      1.00000e+02      9.02603e-10
    2.91214e-01      6.57694e+00      1.00000e+02      9.11260e-10
    2.94184e-01      6.51286e+00      1.00000e+02      9.19963e-10
    2.97185e-01      6.44813e+00      1.00000e+02      9.28754e-10
    3.00215e-01      6.38274e+00      1.00000e+02      9.37635e-10
    3.03277e-01      6.31668e+00      1.00000e+02      9.46607e-10
    3.06370e-01      6.24995e+00      1.00000e+02      9.55671e-10
    3.09495e-01      6.18254e+00      1.00000e+02      9.64826e-10
    3.12651e-01      6.11444e+00      1.00000e+02      9.74076e-10
    3.15840e-01      6.04564e+00      1.00000e+02      9.83419e-10
    3.19061e-01      5.97615e+00      1.00000e+02      9.92858e-10
    3.22315e-01      5.90594e+00      1.00000e+02      1.00239e-09
    3.25602e-01      5.83502e+00      1.00000e+02      1.01203e-09
    3.28923e-01      5.76337e+00      1.00000e+02      1.02176e-09
    3.32278e-01      5.69843e+00      1.00000e+02      1.03155e-09
    3.35667e-01      5.63809e+00      1.00000e+02      1.04141e-09
    3.39090e-01      5.57712e+00      1.00000e+02      1.05137e-09
    3.42549e-01      5.51553e+00      1.00000e+02      1.06144e-09
    3.46042e-01      5.45332e+00      1.00000e+02      1.07160e-09
    3.49572e-01      5.39047e+00      1.00000e+02      1.08187e-09
    3.53137e-01      5.32698e+00      1.00000e+02      1.09225e-09
    3.56739e-01      5.26284e+00      1.00000e+02      1.10273e-09
    3.60377e-01      5.19804e+00      1.00000e+02      1.11332e-09
    3.64053e-01      5.13259e+00      1.00000e+02      1.12401e-09
    3.67766e-01      5.06647e+00      1.00000e+02      1.13482e-09
    3.71517e-01      5.00274e+00      1.00000e+02      1.14571e-09
    3.75306e-01      4.94621e+00      1.00000e+02      1.15667e-09
    3.79134e-01      4.88911e+00      1.00000e+02      1.16773e-09
    3.83001e-01      4.83142e+00      1.00000e+02      1.17891e-09
    3.86907e-01      4.77315e+00      1.00000e+02      1.19020e-09
    3.90853e-01      4.71428e+00      1.00000e+02      1.20160e-09
    3.94840e-01      4.65481e+00      1.00000e+02      1.21313e-09
    3.98867e-01      4.59473e+00      1.00000e+02      1.22477e-09
    4.02935e-01      4.53404e+00      1.00000e+02      1.23652e-09
    4.07045e-01      4.47273e+00      1.00000e+02      1.24840e-09
    4.11196e-01      4.41213e+00      1.00000e+02      1.26038e-09
    4.15391e-01      4.35903e+00      1.00000e+02      1.27237e-09
    4.19627e-01      4.30538e+00      1.00000e+02      1.28448e-09
    4.23907e-01      4.25119e+00      1.00000e+02      1.29671e-09
    4.28231e-01      4.19644e+00      1.00000e+02      1.30906e-09
    4.32599e-01      4.14114e+00      1.00000e+02      1.32154e-09
    4.37011e-01      4.08527e+00      1.00000e+02      1.33415e-09
    4.41469e-01      4.02883e+00      1.00000e+02      1.34689e-09
    4.45971e-01      3.97182e+00      1.00000e+02      1.35976e-09
    4.50520e-01      3.91422e+00      1.00000e+02      1.37276e-09
    4.55115e-01      3.86453e+00      1.00000e+02      1.38575e-09
    4.59758e-01      3.81480e+00      1.00000e+02      1.39887e-09
    4.64447e-01      3.76456e+00      1.00000e+02      1.41212e-09
    4.69184e-01      3.71381e+00      1.00000e+02      1.42551e-09
    4.73970e-01      3.66254e+00      1.00000e+02      1.43903e-09
    4.78804e-01      3.61075e+00      1.00000e+02      1.45269e-09
    4.83688e-01      3.55843e+00      1.00000e+02      1.46649e-09
    4.88622e-01      3.50557e+00      1.00000e+02      1.48044e-09
    4.93606e-01      3.45546e+00      1.00000e+02      1.49444e-09
    4.98640e-01      3.40764e+00      1.00000e+02      1.50851e-09
    5.03726e-01      3.35934e+00      1.00000e+02      1.52273e-09
    5.08865e-01      3.31054e+00      1.00000e+02      1.53709e-09
    5.14055e-01      3.26124e+00      1.00000e+02      1.55159e-09
    5.19298e-01      3.21145e+00      1.00000e+02      1.56625e-09
    5.24595e-01      3.16114e+00      1.00000e+02      1.58105e-09
    5.29946e-01      3.11032e+00      1.00000e+02      1.59601e-09
    5.35352e-01      3.06485e+00      1.00000e+02      1.61100e-09
    5.40812e-01      3.02045e+00      1.00000e+02      1.62610e-09
    5.46329e-01      2.97560e+00      1.00000e+02      1.64136e-09
    5.51901e-01      2.93030e+00      1.00000e+02      1.65677e-09
    5.57531e-01      2.88453e+00      1.00000e+02      1.67235e-09
