    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      2.33052e-02      5.00000e+00      1.86455e-11
    5.07729e-02      2.29553e-02      5.00000e+00      1.88959e-11
    5.14550e-02      2.26008e-02      5.00000e+00      1.91497e-11
    5.21461e-02      2.22414e-02      5.00000e+00      1.94069e-11
    5.28466e-02      2.18773e-02      5.00000e+00      1.96675e-11
    5.35565e-02      2.15082e-02      5.00000e+00      1.99317e-11
    5.42760e-02      2.11342e-02      5.00000e+00      2.01994e-11
    5.50052e-02      2.07551e-02      5.00000e+00      2.04707e-11
    5.57441e-02      2.03710e-02      5.00000e+00      2.07457e-11
    5.64931e-02      1.99816e-02      5.00000e+00      2.10244e-11
    5.72520e-02      1.95871e-02      5.00000e+00      2.13068e-11
    5.80213e-02      1.91872e-02      5.00000e+00      2.15930e-11
    5.88008e-02      1.87819e-02      5.00000e+00      2.18831e-11
    5.95909e-02      1.83712e-02      5.00000e+00      2.21771e-11
    6.03916e-02      1.79549e-02      5.00000e+00      2.24750e-11
    6.12030e-02      1.75331e-02      5.00000e+00      2.27769e-11
    6.20254e-02      1.71056e-02      5.00000e+00      2.30829e-11
    6.28589e-02      1.66723e-02      5.00000e+00      2.33931e-11
    6.37035e-02      1.62332e-02      5.00000e+00      2.37074e-11
    6.45596e-02      1.57881e-02      5.00000e+00      2.40259e-11
    6.54271e-02      1.53371e-02      5.00000e+00      2.43487e-11
    6.63064e-02      1.48800e-02      5.00000e+00      2.46759e-11
    6.71974e-02      1.44168e-02      5.00000e+00      2.50075e-11
    6.81005e-02      1.39473e-02      5.00000e+00      2.53435e-11
    6.90157e-02      1.34715e-02      5.00000e+00      2.56840e-11
    6.99433e-02      1.29893e-02      5.00000e+00      2.60292e-11
    7.08833e-02      1.25007e-02      5.00000e+00      2.63790e-11
    7.18360e-02      1.20054e-02      5.00000e+00      2.67334e-11
    7.28014e-02      1.15035e-02      5.00000e+00      2.70927e-11
    7.37799e-02      1.09948e-02      5.00000e+00      2.74568e-11
    7.47716e-02      1.04793e-02      5.00000e+00      2.78258e-11
    7.57766e-02      9.95680e-03      5.00000e+00      2.81998e-11
    7.67951e-02      9.42730e-03      5.00000e+00      2.85787e-11
    7.78274e-02      8.89067e-03      5.00000e+00      2.89628e-11
    7.88735e-02      8.34683e-03      5.00000e+00      2.93521e-11
    7.99337e-02      7.79566e-03      5.00000e+00      2.97466e-11
    8.10082e-02      7.23708e-03      5.00000e+00      3.01464e-11
    8.20971e-02      6.67097e-03      5.00000e+00      3.05516e-11
    8.32007e-02      6.09725e-03      5.00000e+00      3.09623e-11
    8.43192e-02      5.51581e-03      5.00000e+00      3.13784e-11
    8.54527e-02      4.92654e-03      5.00000e+00      3.18002e-11
    8.66014e-02      4.32934e-03      5.00000e+00      3.22277e-11
    8.77657e-02      3.72410e-03      5.00000e+00      3.26609e-11
    8.89456e-02      3.11071e-03      5.00000e+00      3.30999e-11
    9.01413e-02      2.48908e-03      5.00000e+00      3.35449e-11
    9.13532e-02      2.34596e-03      5.00000e+00      3.39913e-11
    9.25814e-02      2.30566e-03      5.00000e+00      3.44427e-11
    9.38261e-02      2.26481e-03      5.00000e+00      3.49002e-11
    9.50875e-02      2.22342e-03      5.00000e+00      3.53639e-11
    9.63660e-02      2.18147e-03      5.00000e+00      3.58339e-11
    9.76616e-02      2.13895e-03      5.00000e+00      3.63101e-11
    9.89747e-02      2.09587e-03      5.00000e+00      3.67928e-11
    1.00305e-01      2.05220e-03      5.00000e+00      3.72819e-11
    1.01654e-01      2.00795e-03      5.00000e+00      3.77776e-11
    1.03021e-01      1.96310e-03      5.00000e+00      3.82801e-11
    1.04406e-01      1.91764e-03      5.00000e+00      3.87892e-11
    1.05810e-01      1.87158e-03      5.00000e+00      3.93053e-11
    1.07233e-01      1.82489e-03      5.00000e+00      3.98282e-11
    1.08675e-01      1.77758e-03      5.00000e+00      4.03582e-11
    1.10136e-01      1.72963e-03      5.00000e+00      4.08954e-11
    1.11617e-01      1.68103e-03      5.00000e+00      4.14397e-11
    1.13118e-01      1.63178e-03      5.00000e+00      4.19914e-11
    1.14639e-01      1.58187e-03      5.00000e+00      4.25506e-11
    1.16181e-01      1.53128e-03      5.00000e+00      4.31172e-11
    1.17743e-01      1.48002e-03      5.00000e+00      4.36915e-11
    1.19326e-01      1.42806e-03      5.00000e+00      4.42735e-11
    1.20931e-01      1.37540e-03      5.00000e+00      4.48633e-11
    1.22557e-01      1.32204e-03      5.00000e+00      4.54611e-11
    1.24205e-01      1.26796e-03      5.00000e+00      4.60669e-11
    1.25876e-01      1.21315e-03      5.00000e+00      4.66809e-11
    1.27568e-01      1.15760e-03      5.00000e+00      4.73031e-11
    1.29284e-01      1.10131e-03      5.00000e+00      4.79337e-11
    1.31023e-01      1.04789e-03      5.00000e+00      4.85717e-11
    1.32785e-01      1.01035e-03      5.00000e+00      4.92132e-11
    1.34571e-01      9.72307e-04      5.00000e+00      4.98634e-11
    1.36380e-01      9.33752e-04      5.00000e+00      5.05223e-11
    1.38215e-01      8.94678e-04      5.00000e+00      5.11900e-11
    1.40074e-01      8.55078e-04      5.00000e+00      5.18668e-11
    1.41957e-01      8.14945e-04      5.00000e+00      5.25526e-11
    1.43867e-01      7.74272e-04      5.00000e+00      5.32477e-11
    1.45802e-01      7.33051e-04      5.00000e+00      5.39521e-11
