    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      2.20460e+01      5.00000e+00      1.76203e-10
    5.07729e-02      2.19467e+01      5.00000e+00      1.78351e-10
    5.14550e-02      2.18460e+01      5.00000e+00      1.80527e-10
    5.21461e-02      2.17440e+01      5.00000e+00      1.82733e-10
    5.28466e-02      2.16407e+01      5.00000e+00      1.84969e-10
    5.35565e-02      2.15359e+01      5.00000e+00      1.87235e-10
    5.42760e-02      2.14297e+01      5.00000e+00      1.89531e-10
    5.50052e-02      2.13221e+01      5.00000e+00      1.91858e-10
    5.57441e-02      2.12131e+01      5.00000e+00      1.94216e-10
    5.64931e-02      2.11026e+01      5.00000e+00      1.96607e-10
    5.72520e-02      2.09906e+01      5.00000e+00      1.99029e-10
    5.80213e-02      2.08771e+01      5.00000e+00      2.01484e-10
    5.88008e-02      2.07620e+01      5.00000e+00      2.03972e-10
    5.95909e-02      2.06454e+01      5.00000e+00      2.06494e-10
    6.03916e-02      2.05273e+01      5.00000e+00      2.09049e-10
    6.12030e-02      2.04075e+01      5.00000e+00      2.11639e-10
    6.20254e-02      2.02862e+01      5.00000e+00      2.14264e-10
    6.28589e-02      2.01632e+01      5.00000e+00      2.16924e-10
    6.37035e-02      2.00385e+01      5.00000e+00      2.19619e-10
    6.45596e-02      1.99122e+01      5.00000e+00      2.22352e-10
    6.54271e-02      1.97842e+01      5.00000e+00      2.25120e-10
    6.63064e-02      1.96544e+01      5.00000e+00      2.27927e-10
    6.71974e-02      1.95230e+01      5.00000e+00      2.30771e-10
    6.81005e-02      1.93897e+01      5.00000e+00      2.33653e-10
    6.90157e-02      1.92546e+01      5.00000e+00      2.36574e-10
    6.99433e-02      1.91178e+01      5.00000e+00      2.39534e-10
    7.08833e-02      1.89790e+01      5.00000e+00      2.42534e-10
    7.18360e-02      1.88385e+01      5.00000e+00      2.45575e-10
    7.28014e-02      1.86960e+01      5.00000e+00      2.48656e-10
    7.37799e-02      1.85516e+01      5.00000e+00      2.51779e-10
    7.47716e-02      1.84053e+01      5.00000e+00      2.54944e-10
    7.57766e-02      1.82569e+01      5.00000e+00      2.58151e-10
    7.67951e-02      1.81066e+01      5.00000e+00      2.61402e-10
    7.78274e-02      1.79543e+01      5.00000e+00      2.64697e-10
    7.88735e-02      1.77999e+01      5.00000e+00      2.68035e-10
    7.99337e-02      1.76435e+01      5.00000e+00      2.71419e-10
    8.10082e-02      1.74849e+01      5.00000e+00      2.74848e-10
    8.20971e-02      1.73242e+01      5.00000e+00      2.78324e-10
    8.32007e-02      1.71614e+01      5.00000e+00      2.81846e-10
    8.43192e-02      1.69963e+01      5.00000e+00      2.85416e-10
    8.54527e-02      1.68291e+01      5.00000e+00      2.89033e-10
    8.66014e-02      1.66595e+01      5.00000e+00      2.92700e-10
    8.77657e-02      1.64877e+01      5.00000e+00      2.96415e-10
    8.89456e-02      1.63136e+01      5.00000e+00      3.00181e-10
    9.01413e-02      1.61372e+01      5.00000e+00      3.03998e-10
    9.13532e-02      1.60255e+01      5.00000e+00      3.07780e-10
    9.25814e-02      1.59267e+01      5.00000e+00      3.11595e-10
    9.38261e-02      1.58266e+01      5.00000e+00      3.15462e-10
    9.50875e-02      1.57252e+01      5.00000e+00      3.19380e-10
    9.63660e-02      1.56224e+01      5.00000e+00      3.23352e-10
