    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      1.51655e+01      1.00000e+01      3.35200e-10
    1.01306e-01      1.50786e+01      1.00000e+01      3.38927e-10
    1.02526e-01      1.49905e+01      1.00000e+01      3.42699e-10
    1.03760e-01      1.49015e+01      1.00000e+01      3.46516e-10
    1.05010e-01      1.48114e+01      1.00000e+01      3.50380e-10
    1.06275e-01      1.47201e+01      1.00000e+01      3.54290e-10
    1.07555e-01      1.46278e+01      1.00000e+01      3.58247e-10
    1.08850e-01      1.45344e+01      1.00000e+01      3.62251e-10
    1.10161e-01      1.44398e+01      1.00000e+01      3.66304e-10
    1.11488e-01      1.43441e+01      1.00000e+01      3.70406e-10
    1.12830e-01      1.42473e+01      1.00000e+01      3.74558e-10
    1.14189e-01      1.41492e+01      1.00000e+01      3.78759e-10
    1.15565e-01      1.40500e+01      1.00000e+01      3.83011e-10
    1.16957e-01      1.39496e+01      1.00000e+01      3.87314e-10
    1.18365e-01      1.38480e+01      1.00000e+01      3.91669e-10
    1.19791e-01      1.37452e+01      1.00000e+01      3.96077e-10
    1.21234e-01      1.36411e+01      1.00000e+01      4.00538e-10
    1.22694e-01      1.35358e+01      1.00000e+01      4.05052e-10
    1.24172e-01      1.34292e+01      1.00000e+01      4.09621e-10
    1.25668e-01      1.33213e+01      1.00000e+01      4.14245e-10
    1.27182e-01      1.32121e+01      1.00000e+01      4.18925e-10
    1.28713e-01      1.31016e+01      1.00000e+01      4.23661e-10
    1.30264e-01      1.29898e+01      1.00000e+01      4.28455e-10
    1.31833e-01      1.28766e+01      1.00000e+01      4.33306e-10
    1.33421e-01      1.27620e+01      1.00000e+01      4.38215e-10
    1.35028e-01      1.26461e+01      1.00000e+01      4.43184e-10
    1.36655e-01      1.25288e+01      1.00000e+01      4.48213e-10
    1.38301e-01      1.24101e+01      1.00000e+01      4.53302e-10
    1.39967e-01      1.22899e+01      1.00000e+01      4.58453e-10
    1.41653e-01      1.21960e+01      1.00000e+01      4.63596e-10
    1.43360e-01      1.21080e+01      1.00000e+01      4.68784e-10
