    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      1.47613e-03      1.00000e+02      5.14033e-08
    1.01247e-01      1.47373e-03      1.00000e+02      5.08847e-08
    1.02408e-01      1.47131e-03      1.00000e+02      5.03601e-08
    1.03582e-01      1.46886e-03      1.00000e+02      4.98295e-08
    1.04769e-01      1.46638e-03      1.00000e+02      4.92928e-08
    1.05970e-01      1.46387e-03      1.00000e+02      4.87499e-08
    1.07184e-01      1.46134e-03      1.00000e+02      4.82008e-08
    1.08413e-01      1.45877e-03      1.00000e+02      4.76455e-08
    1.09655e-01      1.45618e-03      1.00000e+02      4.70837e-08
    1.10912e-01      1.45355e-03      1.00000e+02      4.65155e-08
    1.12184e-01      1.45090e-03      1.00000e+02      4.59408e-08
    1.13470e-01      1.44821e-03      1.00000e+02      4.53595e-08
    1.14770e-01      1.44550e-03      1.00000e+02      4.47715e-08
    1.16086e-01      1.44275e-03      1.00000e+02      4.41768e-08
    1.17417e-01      1.43997e-03      1.00000e+02      4.35752e-08
    1.18763e-01      1.43716e-03      1.00000e+02      4.29668e-08
    1.20124e-01      1.43432e-03      1.00000e+02      4.23514e-08
    1.21501e-01      1.43145e-03      1.00000e+02      4.17289e-08
    1.22894e-01      1.42854e-03      1.00000e+02      4.10992e-08
    1.24303e-01      1.42560e-03      1.00000e+02      4.04624e-08
    1.25728e-01      1.42262e-03      1.00000e+02      3.98182e-08
    1.27169e-01      1.41961e-03      1.00000e+02      3.91667e-08
    1.28627e-01      1.41657e-03      1.00000e+02      3.85076e-08
    1.30101e-01      1.41349e-03      1.00000e+02      3.78410e-08
    1.31593e-01      1.41058e-03      1.00000e+02      3.74006e-08
    1.33101e-01      1.40765e-03      1.00000e+02      3.69722e-08
    1.34627e-01      1.40468e-03      1.00000e+02      3.65388e-08
    1.36171e-01      1.40168e-03      1.00000e+02      3.61005e-08
    1.37732e-01      1.39865e-03      1.00000e+02      3.56572e-08
    1.39311e-01      1.39559e-03      1.00000e+02      3.52088e-08
    1.40908e-01      1.39248e-03      1.00000e+02      3.47552e-08
    1.42523e-01      1.38935e-03      1.00000e+02      3.42965e-08
    1.44157e-01      1.38617e-03      1.00000e+02      3.38325e-08
    1.45810e-01      1.38296e-03      1.00000e+02      3.33631e-08
    1.47482e-01      1.37971e-03      1.00000e+02      3.28884e-08
    1.49173e-01      1.37643e-03      1.00000e+02      3.24082e-08
    1.50883e-01      1.37311e-03      1.00000e+02      3.19225e-08
    1.52613e-01      1.36975e-03      1.00000e+02      3.14313e-08
    1.54363e-01      1.36635e-03      1.00000e+02      3.09344e-08
    1.56133e-01      1.36291e-03      1.00000e+02      3.04318e-08
    1.57923e-01      1.35943e-03      1.00000e+02      2.99234e-08
    1.59733e-01      1.35592e-03      1.00000e+02      2.94092e-08
    1.61565e-01      1.35250e-03      1.00000e+02      2.89950e-08
    1.63417e-01      1.34913e-03      1.00000e+02      2.86380e-08
    1.65291e-01      1.34573e-03      1.00000e+02      2.82768e-08
    1.67186e-01      1.34228e-03      1.00000e+02      2.79115e-08
    1.69103e-01      1.33879e-03      1.00000e+02      2.75420e-08
    1.71042e-01      1.33527e-03      1.00000e+02      2.71683e-08
    1.73003e-01      1.33170e-03      1.00000e+02      2.67903e-08
    1.74987e-01      1.32809e-03      1.00000e+02      2.64079e-08
    1.76994e-01      1.32444e-03      1.00000e+02      2.60212e-08
    1.79023e-01      1.32075e-03      1.00000e+02      2.56300e-08
    1.81076e-01      1.31702e-03      1.00000e+02      2.52343e-08
    1.83152e-01      1.31324e-03      1.00000e+02      2.48341e-08
    1.85252e-01      1.30942e-03      1.00000e+02      2.44293e-08
    1.87377e-01      1.30556e-03      1.00000e+02      2.40199e-08
    1.89525e-01      1.30165e-03      1.00000e+02      2.36058e-08
    1.91698e-01      1.29782e-03      1.00000e+02      2.32465e-08
    1.93897e-01      1.29406e-03      1.00000e+02      2.29428e-08
    1.96120e-01      1.29025e-03      1.00000e+02      2.26356e-08
    1.98369e-01      1.28641e-03      1.00000e+02      2.23249e-08
    2.00644e-01      1.28252e-03      1.00000e+02      2.20106e-08
    2.02944e-01      1.27858e-03      1.00000e+02      2.16928e-08
    2.05272e-01      1.27460e-03      1.00000e+02      2.13712e-08
    2.07626e-01      1.27057e-03      1.00000e+02      2.10460e-08
    2.10006e-01      1.26650e-03      1.00000e+02      2.07171e-08
    2.12415e-01      1.26238e-03      1.00000e+02      2.03844e-08
    2.14851e-01      1.25821e-03      1.00000e+02      2.00478e-08
    2.17314e-01      1.25400e-03      1.00000e+02      1.97074e-08
    2.19806e-01      1.24973e-03      1.00000e+02      1.93631e-08
    2.22327e-01      1.24557e-03      1.00000e+02      1.90681e-08
    2.24877e-01      1.24145e-03      1.00000e+02      1.88052e-08
    2.27455e-01      1.23729e-03      1.00000e+02      1.85393e-08
    2.30064e-01      1.23308e-03      1.00000e+02      1.82704e-08
    2.32702e-01      1.22882e-03      1.00000e+02      1.79983e-08
    2.35371e-01      1.22451e-03      1.00000e+02      1.77232e-08
    2.38070e-01      1.22016e-03      1.00000e+02      1.74448e-08
    2.40800e-01      1.21575e-03      1.00000e+02      1.71633e-08
    2.43562e-01      1.21129e-03      1.00000e+02      1.68786e-08
    2.46355e-01      1.20679e-03      1.00000e+02      1.65906e-08
    2.49180e-01      1.20223e-03      1.00000e+02      1.62992e-08
    2.52038e-01      1.19770e-03      1.00000e+02      1.60290e-08
    2.54928e-01      1.19328e-03      1.00000e+02      1.57995e-08
    2.57852e-01      1.18881e-03      1.00000e+02      1.55673e-08
    2.60809e-01      1.18429e-03      1.00000e+02      1.53325e-08
    2.63800e-01      1.17972e-03      1.00000e+02      1.50950e-08
    2.66826e-01      1.17509e-03      1.00000e+02      1.48548e-08
    2.69886e-01      1.17041e-03      1.00000e+02      1.46119e-08
    2.72981e-01      1.16568e-03      1.00000e+02      1.43661e-08
    2.76112e-01      1.16089e-03      1.00000e+02      1.41175e-08
    2.79278e-01      1.15605e-03      1.00000e+02      1.38661e-08
    2.82481e-01      1.15125e-03      1.00000e+02      1.36330e-08
    2.85721e-01      1.14655e-03      1.00000e+02      1.34300e-08
    2.88998e-01      1.14180e-03      1.00000e+02      1.32246e-08
    2.92313e-01      1.13699e-03      1.00000e+02      1.30169e-08
    2.95665e-01      1.13213e-03      1.00000e+02      1.28067e-08
    2.99056e-01      1.12721e-03      1.00000e+02      1.25942e-08
