    Er (keV)         SM dN/dE         BG dN/dE         BSM dN/dE (events/kg/day/keV)
    5.00000e-02      1.67904e+00      1.00000e+02      1.78957e-10
    2.24750e-01      1.30247e+00      1.00000e+02      2.02538e-11
    3.99500e-01      1.04131e+00      1.00000e+02      8.38800e-12
    5.74250e-01      8.42693e-01      1.00000e+02      4.55490e-12
    7.49000e-01      6.85735e-01      1.00000e+02      2.77414e-12
    9.23750e-01      5.60232e-01      1.00000e+02      1.81774e-12
    1.09850e+00      4.58261e-01      1.00000e+02      1.24253e-12
    1.27325e+00      3.75290e-01      1.00000e+02      8.77797e-13
    1.44800e+00      3.07157e-01      1.00000e+02      6.32910e-13
    1.62275e+00      2.51371e-01      1.00000e+02      4.64435e-13
    1.79750e+00      2.05440e-01      1.00000e+02      3.44410e-13
    1.97225e+00      1.67818e-01      1.00000e+02      2.57898e-13
    2.14700e+00      1.36901e-01      1.00000e+02      1.94058e-13
    2.32175e+00      1.11678e-01      1.00000e+02      1.46730e-13
    2.49650e+00      9.10689e-02      1.00000e+02      1.11056e-13
    2.67125e+00      7.43817e-02      1.00000e+02      8.41637e-14
    2.84600e+00      6.08687e-02      1.00000e+02      6.36483e-14
    3.02075e+00      5.00510e-02      1.00000e+02      4.80536e-14
    3.19550e+00      4.14016e-02      1.00000e+02      3.60988e-14
    3.37025e+00      3.45799e-02      1.00000e+02      2.69946e-14
    3.54500e+00      2.92159e-02      1.00000e+02      2.00249e-14
    3.71975e+00      2.50688e-02      1.00000e+02      1.47421e-14
    3.89450e+00      2.18787e-02      1.00000e+02      1.07281e-14
    4.06925e+00      1.94728e-02      1.00000e+02      7.71981e-15
    4.24400e+00      1.76727e-02      1.00000e+02      5.46709e-15
    4.41875e+00      1.63609e-02      1.00000e+02      3.81225e-15
    4.59350e+00      1.54135e-02      1.00000e+02      2.60202e-15
    4.76825e+00      1.47486e-02      1.00000e+02      1.73906e-15
    4.94300e+00      1.42898e-02      1.00000e+02      1.13112e-15
    5.11775e+00      1.39829e-02      1.00000e+02      7.16756e-16
    5.29250e+00      1.37806e-02      1.00000e+02      4.40087e-16
    5.46725e+00      1.36498e-02      1.00000e+02      2.63614e-16
    5.64200e+00      1.35658e-02      1.00000e+02      1.54138e-16
    5.81675e+00      1.35108e-02      1.00000e+02      8.97270e-17
    5.99150e+00      1.34732e-02      1.00000e+02      5.26587e-17
    6.16625e+00      1.34457e-02      1.00000e+02      3.21008e-17
    6.34100e+00      1.34241e-02      1.00000e+02      2.05898e-17
    6.51575e+00      1.34057e-02      1.00000e+02      1.41117e-17
    6.69050e+00      1.33892e-02      1.00000e+02      1.02627e-17
    6.86525e+00      1.33739e-02      1.00000e+02      7.85409e-18
    7.04000e+00      1.33594e-02      1.00000e+02      6.21016e-18
    7.21475e+00      1.33455e-02      1.00000e+02      5.01505e-18
    7.38950e+00      1.33320e-02      1.00000e+02      4.08464e-18
    7.56425e+00      1.33190e-02      1.00000e+02      3.33460e-18
    7.73900e+00      1.33062e-02      1.00000e+02      2.71043e-18
    7.91375e+00      1.32938e-02      1.00000e+02      2.18833e-18
    8.08850e+00      1.32817e-02      1.00000e+02      1.74951e-18
    8.26325e+00      1.32697e-02      1.00000e+02      1.38381e-18
    8.43800e+00      1.32580e-02      1.00000e+02      1.07937e-18
    8.61275e+00      1.32464e-02      1.00000e+02      8.30206e-19
    8.78750e+00      1.32348e-02      1.00000e+02      6.26806e-19
    8.96225e+00      1.32234e-02      1.00000e+02      4.63544e-19
    9.13700e+00      1.32121e-02      1.00000e+02      3.34310e-19
    9.31175e+00      1.32009e-02      1.00000e+02      2.34121e-19
    9.48650e+00      1.31897e-02      1.00000e+02      1.57676e-19
    9.66125e+00      1.31786e-02      1.00000e+02      1.01699e-19
    9.83600e+00      1.31676e-02      1.00000e+02      6.22846e-20
    1.00108e+01      1.31566e-02      1.00000e+02      3.61172e-20
    1.01855e+01      1.31456e-02      1.00000e+02      2.03228e-20
    1.03603e+01      1.31346e-02      1.00000e+02      1.14631e-20
    1.05350e+01      1.31237e-02      1.00000e+02      6.78056e-21
    1.07098e+01      1.31128e-02      1.00000e+02      4.22919e-21
    1.08845e+01      1.31018e-02      1.00000e+02      2.87548e-21
    1.10593e+01      1.30909e-02      1.00000e+02      1.84863e-21
    1.12340e+01      1.30801e-02      1.00000e+02      1.09586e-21
    1.14088e+01      1.30693e-02      1.00000e+02      5.87068e-22
    1.15835e+01      1.30584e-02      1.00000e+02      2.82080e-22
    1.17583e+01      1.30477e-02      1.00000e+02      1.13940e-22
    1.19330e+01      1.30369e-02      1.00000e+02      3.56523e-23
    1.21078e+01      1.30261e-02      1.00000e+02      3.17025e-24
    1.22825e+01      1.30154e-02      1.00000e+02      -1.12132e-195
    1.24573e+01      1.30046e-02      1.00000e+02      -1.10240e-195
    1.26320e+01      1.29939e-02      1.00000e+02      -1.08399e-195
    1.28068e+01      1.29832e-02      1.00000e+02      -1.06609e-195
    1.29815e+01      1.29726e-02      1.00000e+02      -1.04866e-195
    1.31563e+01      1.29619e-02      1.00000e+02      -1.03170e-195
    1.33310e+01      1.29513e-02      1.00000e+02      -1.01518e-195
    1.35058e+01      1.29407e-02      1.00000e+02      -9.99093e-196
    1.36805e+01      1.29300e-02      1.00000e+02      -9.83410e-196
    1.38553e+01      1.29195e-02      1.00000e+02      -9.68127e-196
    1.40300e+01      1.29087e-02      1.00000e+02      -9.53221e-196
    1.42048e+01      1.28982e-02      1.00000e+02      -9.38687e-196
    1.43795e+01      1.28876e-02      1.00000e+02      -9.24503e-196
    1.45543e+01      1.28770e-02      1.00000e+02      -9.10664e-196
    1.47290e+01      1.28665e-02      1.00000e+02      -8.97152e-196
    1.49038e+01      1.28560e-02      1.00000e+02      -8.83961e-196
    1.50785e+01      1.28455e-02      1.00000e+02      -8.71075e-196
    1.52533e+01      1.28349e-02      1.00000e+02      -8.58489e-196
    1.54280e+01      1.28244e-02      1.00000e+02      -8.46187e-196
    1.56028e+01      1.28139e-02      1.00000e+02      -8.34165e-196
    1.57775e+01      1.28034e-02      1.00000e+02      -8.22410e-196
    1.59523e+01      1.27930e-02      1.00000e+02      -8.10917e-196
    1.61270e+01      1.27825e-02      1.00000e+02      -7.99673e-196
    1.63018e+01      1.27721e-02      1.00000e+02      -7.88675e-196
    1.64765e+01      1.27617e-02      1.00000e+02      -7.77911e-196
    1.66513e+01      1.27513e-02      1.00000e+02      -7.67378e-196
    1.68260e+01      1.27409e-02      1.00000e+02      -7.57064e-196
    1.70008e+01      1.27305e-02      1.00000e+02      -7.46968e-196
    1.71755e+01      1.27200e-02      1.00000e+02      -7.37078e-196
    1.73503e+01      1.27097e-02      1.00000e+02      -7.27392e-196
    1.75250e+01      1.26993e-02      1.00000e+02      -7.17901e-196
    1.76998e+01      1.26890e-02      1.00000e+02      -7.08602e-196
    1.78745e+01      1.26787e-02      1.00000e+02      -6.99486e-196
    1.80493e+01      1.26684e-02      1.00000e+02      -6.90553e-196
    1.82240e+01      1.26581e-02      1.00000e+02      -6.81791e-196
    1.83988e+01      1.26478e-02      1.00000e+02      -6.73202e-196
    1.85735e+01      1.26376e-02      1.00000e+02      -6.64776e-196
    1.87483e+01      1.26273e-02      1.00000e+02      -6.56512e-196
    1.89230e+01      1.26171e-02      1.00000e+02      -6.48402e-196
    1.90978e+01      1.26069e-02      1.00000e+02      -6.40446e-196
    1.92725e+01      1.25967e-02      1.00000e+02      -6.32636e-196
    1.94473e+01      1.25865e-02      1.00000e+02      -6.24972e-196
    1.96220e+01      1.25763e-02      1.00000e+02      -6.17446e-196
    1.97968e+01      1.25661e-02      1.00000e+02      -6.10058e-196
    1.99715e+01      1.25560e-02      1.00000e+02      -6.02802e-196
    2.01463e+01      1.25458e-02      1.00000e+02      -5.95676e-196
    2.03210e+01      1.25357e-02      1.00000e+02      -5.88675e-196
    2.04958e+01      1.25256e-02      1.00000e+02      -5.81799e-196
    2.06705e+01      1.25155e-02      1.00000e+02      -5.75041e-196
    2.08453e+01      1.25054e-02      1.00000e+02      -5.68401e-196
    2.10200e+01      1.24953e-02      1.00000e+02      -5.61874e-196
    2.11948e+01      1.24853e-02      1.00000e+02      -5.55460e-196
    2.13695e+01      1.24752e-02      1.00000e+02      -5.49153e-196
    2.15443e+01      1.24652e-02      1.00000e+02      -5.42953e-196
    2.17190e+01      1.24551e-02      1.00000e+02      -5.36855e-196
    2.18938e+01      1.24451e-02      1.00000e+02      -5.30859e-196
    2.20685e+01      1.24351e-02      1.00000e+02      -5.24961e-196
    2.22433e+01      1.24251e-02      1.00000e+02      -5.19160e-196
    2.24180e+01      1.24151e-02      1.00000e+02      -5.13452e-196
    2.25928e+01      1.24052e-02      1.00000e+02      -5.07837e-196
    2.27675e+01      1.23952e-02      1.00000e+02      -5.02311e-196
    2.29423e+01      1.23852e-02      1.00000e+02      -4.96873e-196
    2.31170e+01      1.23753e-02      1.00000e+02      -4.91521e-196
    2.32918e+01      1.23653e-02      1.00000e+02      -4.86253e-196
    2.34665e+01      1.23554e-02      1.00000e+02      -4.81066e-196
    2.36413e+01      1.23455e-02      1.00000e+02      -4.75960e-196
    2.38160e+01      1.23356e-02      1.00000e+02      -4.70932e-196
    2.39908e+01      1.23257e-02      1.00000e+02      -4.65982e-196
    2.41655e+01      1.23158e-02      1.00000e+02      -4.61106e-196
    2.43403e+01      1.23059e-02      1.00000e+02      -4.56304e-196
    2.45150e+01      1.22961e-02      1.00000e+02      -4.51573e-196
    2.46898e+01      1.22862e-02      1.00000e+02      -4.46913e-196
    2.48645e+01      1.22764e-02      1.00000e+02      -4.42322e-196
    2.50393e+01      1.22666e-02      1.00000e+02      -4.37799e-196
    2.52140e+01      1.22568e-02      1.00000e+02      -4.33341e-196
    2.53888e+01      1.22470e-02      1.00000e+02      -4.28949e-196
    2.55635e+01      1.22372e-02      1.00000e+02      -4.24619e-196
    2.57383e+01      1.22274e-02      1.00000e+02      -4.20352e-196
    2.59130e+01      1.22177e-02      1.00000e+02      -4.16146e-196
    2.60878e+01      1.22079e-02      1.00000e+02      -4.12000e-196
    2.62625e+01      1.21982e-02      1.00000e+02      -4.07911e-196
    2.64373e+01      1.21884e-02      1.00000e+02      -4.03881e-196
    2.66120e+01      1.21787e-02      1.00000e+02      -3.99906e-196
    2.67868e+01      1.21690e-02      1.00000e+02      -3.95987e-196
    2.69615e+01      1.21594e-02      1.00000e+02      -3.92121e-196
    2.71363e+01      1.21497e-02      1.00000e+02      -3.88309e-196
    2.73110e+01      1.21400e-02      1.00000e+02      -3.84549e-196
    2.74858e+01      1.21303e-02      1.00000e+02      -3.80840e-196
    2.76605e+01      1.21207e-02      1.00000e+02      -3.77180e-196
    2.78353e+01      1.21110e-02      1.00000e+02      -3.73571e-196
    2.80100e+01      1.21013e-02      1.00000e+02      -3.70008e-196
    2.81848e+01      1.20917e-02      1.00000e+02      -3.66494e-196
    2.83595e+01      1.20820e-02      1.00000e+02      -3.63026e-196
    2.85343e+01      1.20724e-02      1.00000e+02      -3.59603e-196
    2.87090e+01      1.20628e-02      1.00000e+02      -3.56225e-196
    2.88838e+01      1.20532e-02      1.00000e+02      -3.52892e-196
    2.90585e+01      1.20436e-02      1.00000e+02      -3.49601e-196
    2.92333e+01      1.20340e-02      1.00000e+02      -3.46352e-196
    2.94080e+01      1.20244e-02      1.00000e+02      -3.43145e-196
    2.95828e+01      1.20148e-02      1.00000e+02      -3.39980e-196
    2.97575e+01      1.20053e-02      1.00000e+02      -3.36854e-196
    2.99323e+01      1.19958e-02      1.00000e+02      -3.33768e-196
    3.01070e+01      1.19862e-02      1.00000e+02      -3.30720e-196
    3.02818e+01      1.19767e-02      1.00000e+02      -3.27711e-196
    3.04565e+01      1.19672e-02      1.00000e+02      -3.24738e-196
    3.06313e+01      1.19577e-02      1.00000e+02      -3.21803e-196
    3.08060e+01      1.19482e-02      1.00000e+02      -3.18904e-196
    3.09808e+01      1.19388e-02      1.00000e+02      -3.16041e-196
    3.11555e+01      1.19293e-02      1.00000e+02      -3.13212e-196
    3.13303e+01      1.19199e-02      1.00000e+02      -3.10418e-196
    3.15050e+01      1.19105e-02      1.00000e+02      -3.07657e-196
    3.16798e+01      1.19011e-02      1.00000e+02      -3.04931e-196
    3.18545e+01      1.18917e-02      1.00000e+02      -3.02236e-196
    3.20293e+01      1.18823e-02      1.00000e+02      -2.99574e-196
    3.22040e+01      1.18729e-02      1.00000e+02      -2.96943e-196
    3.23788e+01      1.18636e-02      1.00000e+02      -2.94344e-196
    3.25535e+01      1.18542e-02      1.00000e+02      -2.91775e-196
    3.27283e+01      1.18449e-02      1.00000e+02      -2.89236e-196
    3.29030e+01      1.18355e-02      1.00000e+02      -2.86727e-196
    3.30778e+01      1.18262e-02      1.00000e+02      -2.84247e-196
    3.32525e+01      1.18169e-02      1.00000e+02      -2.81795e-196
    3.34273e+01      1.18076e-02      1.00000e+02      -2.79372e-196
    3.36020e+01      1.17983e-02      1.00000e+02      -2.76977e-196
    3.37767e+01      1.17890e-02      1.00000e+02      -2.74609e-196
    3.39515e+01      1.17797e-02      1.00000e+02      -2.72268e-196
    3.41262e+01      1.17705e-02      1.00000e+02      -2.69954e-196
    3.43010e+01      1.17612e-02      1.00000e+02      -2.67665e-196
    3.44757e+01      1.17519e-02      1.00000e+02      -2.65403e-196
    3.46505e+01      1.17426e-02      1.00000e+02      -2.63166e-196
    3.48252e+01      1.17333e-02      1.00000e+02      -2.60954e-196
    3.50000e+01      1.17241e-02      1.00000e+02      -2.58766e-196
