    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      6.40280e+01      1.00000e+02      1.50934e-02
    1.01247e-01      6.34347e+01      1.00000e+02      1.48256e-02
    1.02408e-01      6.28346e+01      1.00000e+02      1.45548e-02
    1.03582e-01      6.22277e+01      1.00000e+02      1.42809e-02
    1.04769e-01      6.16138e+01      1.00000e+02      1.40039e-02
    1.05970e-01      6.09928e+01      1.00000e+02      1.37236e-02
    1.07184e-01      6.03647e+01      1.00000e+02      1.34402e-02
    1.08413e-01      5.97294e+01      1.00000e+02      1.31535e-02
    1.09655e-01      5.90868e+01      1.00000e+02      1.28635e-02
    1.10912e-01      5.84368e+01      1.00000e+02      1.25702e-02
    1.12184e-01      5.77794e+01      1.00000e+02      1.22735e-02
    1.13470e-01      5.71145e+01      1.00000e+02      1.19734e-02
    1.14770e-01      5.64419e+01      1.00000e+02      1.16699e-02
    1.16086e-01      5.57616e+01      1.00000e+02      1.13629e-02
    1.17417e-01      5.50734e+01      1.00000e+02      1.10523e-02
    1.18763e-01      5.43774e+01      1.00000e+02      1.07382e-02
    1.20124e-01      5.36735e+01      1.00000e+02      1.04205e-02
    1.21501e-01      5.29614e+01      1.00000e+02      1.00992e-02
    1.22894e-01      5.22411e+01      1.00000e+02      9.77416e-03
    1.24303e-01      5.15126e+01      1.00000e+02      9.44540e-03
    1.25728e-01      5.07758e+01      1.00000e+02      9.11286e-03
    1.27169e-01      5.00305e+01      1.00000e+02      8.77652e-03
    1.28627e-01      4.92766e+01      1.00000e+02      8.43631e-03
    1.30101e-01      4.85141e+01      1.00000e+02      8.09220e-03
    1.31593e-01      4.79650e+01      1.00000e+02      7.91607e-03
    1.33101e-01      4.74260e+01      1.00000e+02      7.75052e-03
    1.34627e-01      4.68807e+01      1.00000e+02      7.58307e-03
    1.36171e-01      4.63292e+01      1.00000e+02      7.41370e-03
    1.37732e-01      4.57714e+01      1.00000e+02      7.24238e-03
    1.39311e-01      4.52072e+01      1.00000e+02      7.06910e-03
    1.40908e-01      4.46365e+01      1.00000e+02      6.89383e-03
    1.42523e-01      4.40592e+01      1.00000e+02      6.71655e-03
    1.44157e-01      4.34753e+01      1.00000e+02      6.53724e-03
    1.45810e-01      4.28848e+01      1.00000e+02      6.35587e-03
    1.47482e-01      4.22874e+01      1.00000e+02      6.17242e-03
    1.49173e-01      4.16832e+01      1.00000e+02      5.98686e-03
    1.50883e-01      4.10721e+01      1.00000e+02      5.79918e-03
    1.52613e-01      4.04539e+01      1.00000e+02      5.60934e-03
    1.54363e-01      3.98287e+01      1.00000e+02      5.41732e-03
    1.56133e-01      3.91963e+01      1.00000e+02      5.22310e-03
    1.57923e-01      3.85566e+01      1.00000e+02      5.02665e-03
    1.59733e-01      3.79096e+01      1.00000e+02      4.82795e-03
    1.61565e-01      3.73693e+01      1.00000e+02      4.68716e-03
    1.63417e-01      3.68895e+01      1.00000e+02      4.57991e-03
    1.65291e-01      3.64041e+01      1.00000e+02      4.47144e-03
    1.67186e-01      3.59132e+01      1.00000e+02      4.36172e-03
    1.69103e-01      3.54167e+01      1.00000e+02      4.25074e-03
    1.71042e-01      3.49145e+01      1.00000e+02      4.13849e-03
    1.73003e-01      3.44065e+01      1.00000e+02      4.02495e-03
    1.74987e-01      3.38927e+01      1.00000e+02      3.91011e-03
    1.76994e-01      3.33729e+01      1.00000e+02      3.79395e-03
    1.79023e-01      3.28473e+01      1.00000e+02      3.67646e-03
    1.81076e-01      3.23156e+01      1.00000e+02      3.55762e-03
    1.83152e-01      3.17777e+01      1.00000e+02      3.43741e-03
    1.85252e-01      3.12338e+01      1.00000e+02      3.31583e-03
    1.87377e-01      3.06835e+01      1.00000e+02      3.19285e-03
    1.89525e-01      3.01270e+01      1.00000e+02      3.06847e-03
    1.91698e-01      2.96336e+01      1.00000e+02      2.96931e-03
    1.93897e-01      2.92042e+01      1.00000e+02      2.89571e-03
    1.96120e-01      2.87699e+01      1.00000e+02      2.82126e-03
    1.98369e-01      2.83305e+01      1.00000e+02      2.74596e-03
    2.00644e-01      2.78861e+01      1.00000e+02      2.66980e-03
    2.02944e-01      2.74367e+01      1.00000e+02      2.59276e-03
    2.05272e-01      2.69820e+01      1.00000e+02      2.51483e-03
    2.07626e-01      2.65222e+01      1.00000e+02      2.43602e-03
    2.10006e-01      2.60571e+01      1.00000e+02      2.35629e-03
    2.12415e-01      2.55866e+01      1.00000e+02      2.27566e-03
    2.14851e-01      2.51108e+01      1.00000e+02      2.19410e-03
    2.17314e-01      2.46294e+01      1.00000e+02      2.11160e-03
    2.19806e-01      2.41426e+01      1.00000e+02      2.02816e-03
    2.22327e-01      2.37195e+01      1.00000e+02      1.96328e-03
    2.24877e-01      2.33378e+01      1.00000e+02      1.91067e-03
    2.27455e-01      2.29517e+01      1.00000e+02      1.85747e-03
    2.30064e-01      2.25611e+01      1.00000e+02      1.80365e-03
