    Er (keV)         SM dN/dE         BG dN/dE         BSM dN/dE (events/kg/day/keV)
    5.00000e-02      1.18053e+02      1.00000e+02      8.12231e-08
    2.24750e-01      2.48379e+01      1.00000e+02      2.11317e-09
    3.99500e-01      8.13782e+00      1.00000e+02      3.09595e-10
    5.74250e-01      3.19506e+00      1.00000e+02      7.51221e-11
    7.49000e-01      1.34451e+00      1.00000e+02      2.29578e-11
    9.23750e-01      5.83293e-01      1.00000e+02      8.09390e-12
    1.09850e+00      2.46315e-01      1.00000e+02      2.98838e-12
    1.27325e+00      9.95082e-02      1.00000e+02      1.13639e-12
    1.44800e+00      3.64744e-02      1.00000e+02      4.02679e-13
    1.62275e+00      1.22771e-02      1.00000e+02      1.34583e-13
    1.79750e+00      3.71199e-03      1.00000e+02      3.74595e-14
    1.97225e+00      1.38289e-03      1.00000e+02      8.82043e-15
    2.14700e+00      6.93408e-04      1.00000e+02      2.84839e-15
    2.32175e+00      4.54754e-04      1.00000e+02      8.64768e-16
    2.49650e+00      3.78583e-04      1.00000e+02      2.56877e-16
    2.67125e+00      3.53666e-04      1.00000e+02      7.76471e-17
    2.84600e+00      3.47068e-04      1.00000e+02      1.12599e-17
    3.02075e+00      3.46401e-04      1.00000e+02      1.56213e-19
    3.19550e+00      3.46301e-04      1.00000e+02      -9.23818e-198
    3.37025e+00      3.46204e-04      1.00000e+02      -1.39604e-197
    3.54500e+00      3.46109e-04      1.00000e+02      -1.78233e-197
    3.71975e+00      3.46012e-04      1.00000e+02      -2.09753e-197
    3.89450e+00      3.45919e-04      1.00000e+02      -2.35636e-197
    4.06925e+00      3.45825e-04      1.00000e+02      -2.56785e-197
    4.24400e+00      3.45732e-04      1.00000e+02      -2.74127e-197
    4.41875e+00      3.45639e-04      1.00000e+02      -2.88235e-197
    4.59350e+00      3.45547e-04      1.00000e+02      -2.99713e-197
    4.76825e+00      3.45455e-04      1.00000e+02      -3.08934e-197
    4.94300e+00      3.45363e-04      1.00000e+02      -3.16305e-197
    5.11775e+00      3.45274e-04      1.00000e+02      -3.22077e-197
    5.29250e+00      3.45187e-04      1.00000e+02      -3.26528e-197
    5.46725e+00      3.45100e-04      1.00000e+02      -3.29830e-197
    5.64200e+00      3.45014e-04      1.00000e+02      -3.32179e-197
    5.81675e+00      3.44931e-04      1.00000e+02      -3.33696e-197
