    Er (keV)         SM dN/dE         BG dN/dE         BSM dN/dE (events/kg/day/keV)
    5.00000e-02      2.79053e+02      1.00000e+02      2.19271e-07
    2.24750e-01      3.48201e-04      1.00000e+02      3.33361e-197
    3.99500e-01      3.48194e-04      1.00000e+02      1.85530e-197
    5.74250e-01      3.48186e-04      1.00000e+02      1.28800e-197
    7.49000e-01      3.48178e-04      1.00000e+02      9.83140e-198
    9.23750e-01      3.48170e-04      1.00000e+02      7.94914e-198
    1.09850e+00      3.48163e-04      1.00000e+02      6.65980e-198
    1.27325e+00      3.48155e-04      1.00000e+02      5.72838e-198
    1.44800e+00      3.48147e-04      1.00000e+02      5.01943e-198
    1.62275e+00      3.48139e-04      1.00000e+02      4.46494e-198
    1.79750e+00      3.48132e-04      1.00000e+02      4.01712e-198
    1.97225e+00      3.48124e-04      1.00000e+02      3.64959e-198
    2.14700e+00      3.48116e-04      1.00000e+02      3.34125e-198
    2.32175e+00      3.48108e-04      1.00000e+02      3.07990e-198
    2.49650e+00      3.48101e-04      1.00000e+02      2.85474e-198
    2.67125e+00      3.48093e-04      1.00000e+02      2.65941e-198
    2.84600e+00      3.48085e-04      1.00000e+02      2.48781e-198
    3.02075e+00      3.48077e-04      1.00000e+02      2.33632e-198
    3.19550e+00      3.48070e-04      1.00000e+02      2.20123e-198
    3.37025e+00      3.48062e-04      1.00000e+02      2.08034e-198
    3.54500e+00      3.48054e-04      1.00000e+02      1.97124e-198
    3.71975e+00      3.48046e-04      1.00000e+02      1.87253e-198
    3.89450e+00      3.48039e-04      1.00000e+02      1.78260e-198
    4.06925e+00      3.48031e-04      1.00000e+02      1.70049e-198
    4.24400e+00      3.48023e-04      1.00000e+02      1.62508e-198
    4.41875e+00      3.48015e-04      1.00000e+02      1.55573e-198
    4.59350e+00      3.48007e-04      1.00000e+02      1.49160e-198
    4.76825e+00      3.48000e-04      1.00000e+02      1.43224e-198
    4.94300e+00      3.47992e-04      1.00000e+02      1.37705e-198
    5.11775e+00      3.47984e-04      1.00000e+02      1.32568e-198
    5.29250e+00      3.47976e-04      1.00000e+02      1.27767e-198
    5.46725e+00      3.47969e-04      1.00000e+02      1.23278e-198
    5.64200e+00      3.47961e-04      1.00000e+02      1.19065e-198
    5.81675e+00      3.47953e-04      1.00000e+02      1.15110e-198
    5.99150e+00      3.47945e-04      1.00000e+02      1.11383e-198
    6.16625e+00      3.47938e-04      1.00000e+02      1.07872e-198
    6.34100e+00      3.47930e-04      1.00000e+02      1.04552e-198
    6.51575e+00      3.47922e-04      1.00000e+02      1.01414e-198
    6.69050e+00      3.47914e-04      1.00000e+02      9.84387e-199
    6.86525e+00      3.47907e-04      1.00000e+02      9.56176e-199
    7.04000e+00      3.47899e-04      1.00000e+02      9.29358e-199
    7.21475e+00      3.47891e-04      1.00000e+02      9.03863e-199
    7.38950e+00      3.47884e-04      1.00000e+02      8.79569e-199
    7.56425e+00      3.47876e-04      1.00000e+02      8.56418e-199
    7.73900e+00      3.47868e-04      1.00000e+02      8.34309e-199
    7.91375e+00      3.47860e-04      1.00000e+02      8.13197e-199
    8.08850e+00      3.47853e-04      1.00000e+02      7.92993e-199
    8.26325e+00      3.47845e-04      1.00000e+02      7.73662e-199
    8.43800e+00      3.47837e-04      1.00000e+02      7.55129e-199
    8.61275e+00      3.47829e-04      1.00000e+02      7.37364e-199
    8.78750e+00      3.47822e-04      1.00000e+02      7.20305e-199
    8.96225e+00      3.47814e-04      1.00000e+02      7.03926e-199
    9.13700e+00      3.47806e-04      1.00000e+02      6.88173e-199
    9.31175e+00      3.47798e-04      1.00000e+02      6.73025e-199
    9.48650e+00      3.47791e-04      1.00000e+02      6.58434e-199
    9.66125e+00      3.47783e-04      1.00000e+02      6.44384e-199
    9.83600e+00      3.47775e-04      1.00000e+02      6.30834e-199
    1.00108e+01      3.47767e-04      1.00000e+02      6.17769e-199
    1.01855e+01      3.47760e-04      1.00000e+02      6.05152e-199
    1.03603e+01      3.47752e-04      1.00000e+02      5.92972e-199
    1.05350e+01      3.47744e-04      1.00000e+02      5.81197e-199
    1.07098e+01      3.47736e-04      1.00000e+02      5.69817e-199
    1.08845e+01      3.47729e-04      1.00000e+02      5.58803e-199
    1.10593e+01      3.47721e-04      1.00000e+02      5.48147e-199
    1.12340e+01      3.47713e-04      1.00000e+02      5.37824e-199
    1.14088e+01      3.47706e-04      1.00000e+02      5.27826e-199
    1.15835e+01      3.47698e-04      1.00000e+02      5.18131e-199
    1.17583e+01      3.47690e-04      1.00000e+02      5.08734e-199
    1.19330e+01      3.47682e-04      1.00000e+02      4.99612e-199
    1.21078e+01      3.47675e-04      1.00000e+02      4.90763e-199
    1.22825e+01      3.47667e-04      1.00000e+02      4.82167e-199
    1.24573e+01      3.47659e-04      1.00000e+02      4.73819e-199
    1.26320e+01      3.47651e-04      1.00000e+02      4.65705e-199
    1.28068e+01      3.47644e-04      1.00000e+02      4.57819e-199
    1.29815e+01      3.47636e-04      1.00000e+02      4.50148e-199
    1.31563e+01      3.47628e-04      1.00000e+02      4.42687e-199
    1.33310e+01      3.47620e-04      1.00000e+02      4.35424e-199
    1.35058e+01      3.47613e-04      1.00000e+02      4.28355e-199
    1.36805e+01      3.47605e-04      1.00000e+02      4.21469e-199
    1.38553e+01      3.47597e-04      1.00000e+02      4.14763e-199
    1.40300e+01      3.47590e-04      1.00000e+02      4.08226e-199
    1.42048e+01      3.47582e-04      1.00000e+02      4.01856e-199
    1.43795e+01      3.47574e-04      1.00000e+02      3.95643e-199
    1.45543e+01      3.47566e-04      1.00000e+02      3.89585e-199
    1.47290e+01      3.47559e-04      1.00000e+02      3.83672e-199
    1.49038e+01      3.47551e-04      1.00000e+02      3.77904e-199
    1.50785e+01      3.47543e-04      1.00000e+02      3.72272e-199
    1.52533e+01      3.47535e-04      1.00000e+02      3.66774e-199
    1.54280e+01      3.47528e-04      1.00000e+02      3.61403e-199
    1.56028e+01      3.47520e-04      1.00000e+02      3.56157e-199
    1.57775e+01      3.47512e-04      1.00000e+02      3.51029e-199
    1.59523e+01      3.47505e-04      1.00000e+02      3.46019e-199
    1.61270e+01      3.47497e-04      1.00000e+02      3.41119e-199
    1.63018e+01      3.47489e-04      1.00000e+02      3.36329e-199
    1.64765e+01      3.47481e-04      1.00000e+02      3.31643e-199
    1.66513e+01      3.47474e-04      1.00000e+02      3.27060e-199
    1.68260e+01      3.47466e-04      1.00000e+02      3.22574e-199
    1.70008e+01      3.47458e-04      1.00000e+02      3.18184e-199
    1.71755e+01      3.47451e-04      1.00000e+02      3.13886e-199
    1.73503e+01      3.47443e-04      1.00000e+02      3.09679e-199
    1.75250e+01      3.47435e-04      1.00000e+02      3.05558e-199
    1.76998e+01      3.47427e-04      1.00000e+02      3.01522e-199
    1.78745e+01      3.47420e-04      1.00000e+02      2.97567e-199
    1.80493e+01      3.47412e-04      1.00000e+02      2.93693e-199
    1.82240e+01      3.47404e-04      1.00000e+02      2.89895e-199
    1.83988e+01      3.47397e-04      1.00000e+02      2.86173e-199
    1.85735e+01      3.47389e-04      1.00000e+02      2.82523e-199
    1.87483e+01      3.47381e-04      1.00000e+02      2.78945e-199
    1.89230e+01      3.47373e-04      1.00000e+02      2.75435e-199
    1.90978e+01      3.47366e-04      1.00000e+02      2.71993e-199
    1.92725e+01      3.47358e-04      1.00000e+02      2.68615e-199
    1.94473e+01      3.47350e-04      1.00000e+02      2.65301e-199
    1.96220e+01      3.47343e-04      1.00000e+02      2.62049e-199
    1.97968e+01      3.47335e-04      1.00000e+02      2.58857e-199
    1.99715e+01      3.47327e-04      1.00000e+02      2.55723e-199
    2.01463e+01      3.47319e-04      1.00000e+02      2.52646e-199
    2.03210e+01      3.47312e-04      1.00000e+02      2.49625e-199
    2.04958e+01      3.47304e-04      1.00000e+02      2.46658e-199
    2.06705e+01      3.47296e-04      1.00000e+02      2.43743e-199
    2.08453e+01      3.47289e-04      1.00000e+02      2.40880e-199
    2.10200e+01      3.47281e-04      1.00000e+02      2.38067e-199
    2.11948e+01      3.47273e-04      1.00000e+02      2.35303e-199
    2.13695e+01      3.47265e-04      1.00000e+02      2.32586e-199
    2.15443e+01      3.47258e-04      1.00000e+02      2.29916e-199
    2.17190e+01      3.47250e-04      1.00000e+02      2.27291e-199
    2.18938e+01      3.47242e-04      1.00000e+02      2.24710e-199
    2.20685e+01      3.47235e-04      1.00000e+02      2.22172e-199
    2.22433e+01      3.47227e-04      1.00000e+02      2.19677e-199
    2.24180e+01      3.47219e-04      1.00000e+02      2.17223e-199
    2.25928e+01      3.47212e-04      1.00000e+02      2.14809e-199
    2.27675e+01      3.47204e-04      1.00000e+02      2.12434e-199
    2.29423e+01      3.47196e-04      1.00000e+02      2.10098e-199
    2.31170e+01      3.47188e-04      1.00000e+02      2.07799e-199
    2.32918e+01      3.47181e-04      1.00000e+02      2.05537e-199
    2.34665e+01      3.47173e-04      1.00000e+02      2.03310e-199
    2.36413e+01      3.47165e-04      1.00000e+02      2.01119e-199
    2.38160e+01      3.47158e-04      1.00000e+02      1.98962e-199
    2.39908e+01      3.47150e-04      1.00000e+02      1.96838e-199
    2.41655e+01      3.47142e-04      1.00000e+02      1.94747e-199
    2.43403e+01      3.47135e-04      1.00000e+02      1.92688e-199
    2.45150e+01      3.47127e-04      1.00000e+02      1.90660e-199
    2.46898e+01      3.47119e-04      1.00000e+02      1.88664e-199
    2.48645e+01      3.47111e-04      1.00000e+02      1.86697e-199
    2.50393e+01      3.47104e-04      1.00000e+02      1.84759e-199
    2.52140e+01      3.47096e-04      1.00000e+02      1.82850e-199
    2.53888e+01      3.47088e-04      1.00000e+02      1.80970e-199
    2.55635e+01      3.47081e-04      1.00000e+02      1.79117e-199
    2.57383e+01      3.47073e-04      1.00000e+02      1.77291e-199
    2.59130e+01      3.47065e-04      1.00000e+02      1.75492e-199
    2.60878e+01      3.47058e-04      1.00000e+02      1.73718e-199
    2.62625e+01      3.47050e-04      1.00000e+02      1.71970e-199
    2.64373e+01      3.47042e-04      1.00000e+02      1.70247e-199
    2.66120e+01      3.47035e-04      1.00000e+02      1.68548e-199
    2.67868e+01      3.47027e-04      1.00000e+02      1.66873e-199
    2.69615e+01      3.47019e-04      1.00000e+02      1.65222e-199
    2.71363e+01      3.47011e-04      1.00000e+02      1.63594e-199
    2.73110e+01      3.47004e-04      1.00000e+02      1.61988e-199
    2.74858e+01      3.46996e-04      1.00000e+02      1.60404e-199
    2.76605e+01      3.46988e-04      1.00000e+02      1.58842e-199
    2.78353e+01      3.46981e-04      1.00000e+02      1.57301e-199
    2.80100e+01      3.46973e-04      1.00000e+02      1.55781e-199
