    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      2.47699e+02      5.00000e+00      7.51694e-01
    1.02614e-02      2.47060e+02      5.00000e+00      7.48174e-01
    1.04254e-02      2.46409e+02      5.00000e+00      7.44598e-01
    1.05921e-02      2.45749e+02      5.00000e+00      7.40964e-01
    1.07615e-02      2.45077e+02      5.00000e+00      7.37271e-01
    1.09336e-02      2.44395e+02      5.00000e+00      7.33518e-01
    1.11084e-02      2.43702e+02      5.00000e+00      7.29705e-01
    1.12861e-02      2.42998e+02      5.00000e+00      7.25831e-01
    1.14667e-02      2.42282e+02      5.00000e+00      7.21893e-01
    1.16502e-02      2.41555e+02      5.00000e+00      7.17893e-01
    1.18366e-02      2.40816e+02      5.00000e+00      7.13827e-01
    1.20261e-02      2.40065e+02      5.00000e+00      7.09696e-01
    1.22186e-02      2.39302e+02      5.00000e+00      7.05499e-01
    1.24142e-02      2.38526e+02      5.00000e+00      7.01234e-01
    1.26129e-02      2.37738e+02      5.00000e+00      6.96899e-01
    1.28149e-02      2.36938e+02      5.00000e+00      6.92495e-01
    1.30202e-02      2.36124e+02      5.00000e+00      6.88020e-01
    1.32287e-02      2.35298e+02      5.00000e+00      6.83472e-01
    1.34406e-02      2.34458e+02      5.00000e+00      6.78852e-01
    1.36560e-02      2.33604e+02      5.00000e+00      6.74156e-01
    1.38748e-02      2.32737e+02      5.00000e+00      6.69385e-01
    1.40971e-02      2.31855e+02      5.00000e+00      6.64537e-01
    1.43231e-02      2.30960e+02      5.00000e+00      6.59610e-01
    1.45527e-02      2.30050e+02      5.00000e+00      6.54604e-01
    1.47859e-02      2.29125e+02      5.00000e+00      6.49517e-01
    1.50230e-02      2.28185e+02      5.00000e+00      6.44348e-01
    1.52639e-02      2.27230e+02      5.00000e+00      6.39096e-01
    1.55086e-02      2.26260e+02      5.00000e+00      6.33759e-01
    1.57574e-02      2.25274e+02      5.00000e+00      6.28335e-01
    1.60101e-02      2.24273e+02      5.00000e+00      6.22824e-01
    1.62669e-02      2.23255e+02      5.00000e+00      6.17224e-01
    1.65279e-02      2.22220e+02      5.00000e+00      6.11534e-01
    1.67931e-02      2.21169e+02      5.00000e+00      6.05752e-01
