    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      9.32597e-03      1.00000e+01      3.07866e-05
    5.07438e-02      9.15930e-03      1.00000e+01      3.01306e-05
    5.13959e-02      8.99049e-03      1.00000e+01      2.94662e-05
    5.20564e-02      8.81949e-03      1.00000e+01      2.87933e-05
    5.27254e-02      8.64630e-03      1.00000e+01      2.81117e-05
    5.34030e-02      8.47088e-03      1.00000e+01      2.74213e-05
    5.40893e-02      8.29320e-03      1.00000e+01      2.67220e-05
    5.47845e-02      8.11323e-03      1.00000e+01      2.60138e-05
    5.54886e-02      7.93094e-03      1.00000e+01      2.52964e-05
    5.62018e-02      7.74631e-03      1.00000e+01      2.45697e-05
    5.69242e-02      7.55930e-03      1.00000e+01      2.38337e-05
    5.76558e-02      7.36988e-03      1.00000e+01      2.30883e-05
    5.83969e-02      7.17802e-03      1.00000e+01      2.23332e-05
    5.91476e-02      6.98369e-03      1.00000e+01      2.15684e-05
    5.99079e-02      6.78686e-03      1.00000e+01      2.07938e-05
    6.06779e-02      6.58749e-03      1.00000e+01      2.00092e-05
    6.14580e-02      6.38556e-03      1.00000e+01      1.92145e-05
    6.22480e-02      6.18103e-03      1.00000e+01      1.84095e-05
    6.30482e-02      5.97386e-03      1.00000e+01      1.75942e-05
    6.38587e-02      5.76403e-03      1.00000e+01      1.67684e-05
    6.46797e-02      5.55149e-03      1.00000e+01      1.59320e-05
    6.55112e-02      5.33622e-03      1.00000e+01      1.50848e-05
    6.63535e-02      5.11818e-03      1.00000e+01      1.42267e-05
    6.72066e-02      4.89733e-03      1.00000e+01      1.33575e-05
    6.80706e-02      4.67363e-03      1.00000e+01      1.24771e-05
    6.89458e-02      4.44706e-03      1.00000e+01      1.15854e-05
    6.98323e-02      4.21756e-03      1.00000e+01      1.06823e-05
    7.07302e-02      3.98512e-03      1.00000e+01      9.76746e-06
    7.16396e-02      3.74968e-03      1.00000e+01      8.84087e-06
    7.25607e-02      3.51120e-03      1.00000e+01      7.90236e-06
    7.34938e-02      3.26966e-03      1.00000e+01      6.95176e-06
    7.44388e-02      3.02501e-03      1.00000e+01      5.98892e-06
    7.53960e-02      2.77721e-03      1.00000e+01      5.01369e-06
    7.63655e-02      2.52621e-03      1.00000e+01      4.02589e-06
    7.73475e-02      2.27199e-03      1.00000e+01      3.02538e-06
    7.83421e-02      2.01449e-03      1.00000e+01      2.01199e-06
    7.93496e-02      1.75367e-03      1.00000e+01      9.85544e-07
    8.03700e-02      1.51965e-03      1.00000e+01      6.54851e-08
    8.14035e-02      1.51740e-03      1.00000e+01      6.48128e-08
    8.24504e-02      1.51511e-03      1.00000e+01      6.41319e-08
    8.35108e-02      1.51279e-03      1.00000e+01      6.34422e-08
    8.45848e-02      1.51045e-03      1.00000e+01      6.27436e-08
    8.56726e-02      1.50807e-03      1.00000e+01      6.20360e-08
    8.67744e-02      1.50567e-03      1.00000e+01      6.13193e-08
    8.78905e-02      1.50323e-03      1.00000e+01      6.05933e-08
    8.90209e-02      1.50076e-03      1.00000e+01      5.98580e-08
    9.01658e-02      1.49826e-03      1.00000e+01      5.91133e-08
    9.13255e-02      1.49573e-03      1.00000e+01      5.83590e-08
    9.25001e-02      1.49317e-03      1.00000e+01      5.75949e-08
    9.36899e-02      1.49057e-03      1.00000e+01      5.68210e-08
    9.48949e-02      1.48794e-03      1.00000e+01      5.60372e-08
    9.61155e-02      1.48527e-03      1.00000e+01      5.52432e-08
    9.73518e-02      1.48257e-03      1.00000e+01      5.44391e-08
    9.86040e-02      1.47984e-03      1.00000e+01      5.36245e-08
    9.98724e-02      1.47707e-03      1.00000e+01      5.27995e-08
    1.01157e-01      1.47426e-03      1.00000e+01      5.19639e-08
    1.02458e-01      1.47142e-03      1.00000e+01      5.11175e-08
    1.03776e-01      1.46854e-03      1.00000e+01      5.02602e-08
    1.05111e-01      1.46563e-03      1.00000e+01      4.93919e-08
    1.06463e-01      1.46268e-03      1.00000e+01      4.85124e-08
    1.07833e-01      1.45969e-03      1.00000e+01      4.76215e-08
    1.09220e-01      1.45666e-03      1.00000e+01      4.67192e-08
    1.10625e-01      1.45361e-03      1.00000e+01      4.58377e-08
    1.12048e-01      1.45071e-03      1.00000e+01      4.52965e-08
    1.13490e-01      1.44778e-03      1.00000e+01      4.47483e-08
    1.14950e-01      1.44481e-03      1.00000e+01      4.41931e-08
    1.16428e-01      1.44180e-03      1.00000e+01      4.36307e-08
    1.17926e-01      1.43875e-03      1.00000e+01      4.30611e-08
    1.19443e-01      1.43567e-03      1.00000e+01      4.24842e-08
    1.20980e-01      1.43254e-03      1.00000e+01      4.18998e-08
    1.22537e-01      1.42938e-03      1.00000e+01      4.13079e-08
    1.24113e-01      1.42617e-03      1.00000e+01      4.07084e-08
    1.25710e-01      1.42292e-03      1.00000e+01      4.01011e-08
    1.27327e-01      1.41963e-03      1.00000e+01      3.94860e-08
    1.28965e-01      1.41630e-03      1.00000e+01      3.88631e-08
    1.30625e-01      1.41292e-03      1.00000e+01      3.82321e-08
    1.32305e-01      1.40950e-03      1.00000e+01      3.75929e-08
    1.34008e-01      1.40604e-03      1.00000e+01      3.69456e-08
    1.35732e-01      1.40253e-03      1.00000e+01      3.62899e-08
    1.37478e-01      1.39898e-03      1.00000e+01      3.56257e-08
    1.39247e-01      1.39538e-03      1.00000e+01      3.49530e-08
    1.41039e-01      1.39178e-03      1.00000e+01      3.43094e-08
    1.42854e-01      1.38833e-03      1.00000e+01      3.38628e-08
    1.44692e-01      1.38485e-03      1.00000e+01      3.34104e-08
    1.46553e-01      1.38132e-03      1.00000e+01      3.29522e-08
    1.48439e-01      1.37774e-03      1.00000e+01      3.24881e-08
    1.50349e-01      1.37412e-03      1.00000e+01      3.20180e-08
    1.52284e-01      1.37045e-03      1.00000e+01      3.15419e-08
    1.54243e-01      1.36673e-03      1.00000e+01      3.10596e-08
    1.56228e-01      1.36297e-03      1.00000e+01      3.05712e-08
    1.58238e-01      1.35916e-03      1.00000e+01      3.00764e-08
    1.60275e-01      1.35530e-03      1.00000e+01      2.95753e-08
    1.62337e-01      1.35139e-03      1.00000e+01      2.90677e-08
    1.64426e-01      1.34742e-03      1.00000e+01      2.85536e-08
    1.66542e-01      1.34341e-03      1.00000e+01      2.80328e-08
    1.68685e-01      1.33935e-03      1.00000e+01      2.75054e-08
    1.70856e-01      1.33523e-03      1.00000e+01      2.69712e-08
    1.73054e-01      1.33130e-03      1.00000e+01      2.65846e-08
    1.75281e-01      1.32734e-03      1.00000e+01      2.62048e-08
    1.77537e-01      1.32332e-03      1.00000e+01      2.58202e-08
    1.79822e-01      1.31926e-03      1.00000e+01      2.54306e-08
    1.82136e-01      1.31514e-03      1.00000e+01      2.50360e-08
    1.84480e-01      1.31096e-03      1.00000e+01      2.46363e-08
    1.86854e-01      1.30674e-03      1.00000e+01      2.42315e-08
    1.89258e-01      1.30246e-03      1.00000e+01      2.38215e-08
    1.91694e-01      1.29812e-03      1.00000e+01      2.34061e-08
    1.94161e-01      1.29373e-03      1.00000e+01      2.29855e-08
    1.96660e-01      1.28929e-03      1.00000e+01      2.25594e-08
    1.99191e-01      1.28478e-03      1.00000e+01      2.21278e-08
    2.01754e-01      1.28027e-03      1.00000e+01      2.17135e-08
    2.04351e-01      1.27592e-03      1.00000e+01      2.13914e-08
    2.06981e-01      1.27152e-03      1.00000e+01      2.10651e-08
    2.09644e-01      1.26705e-03      1.00000e+01      2.07346e-08
    2.12342e-01      1.26254e-03      1.00000e+01      2.03998e-08
    2.15075e-01      1.25796e-03      1.00000e+01      2.00607e-08
    2.17843e-01      1.25332e-03      1.00000e+01      1.97173e-08
    2.20647e-01      1.24863e-03      1.00000e+01      1.93694e-08
    2.23487e-01      1.24387e-03      1.00000e+01      1.90171e-08
    2.26363e-01      1.23905e-03      1.00000e+01      1.86602e-08
    2.29276e-01      1.23417e-03      1.00000e+01      1.82988e-08
    2.32227e-01      1.22929e-03      1.00000e+01      1.79543e-08
    2.35216e-01      1.22456e-03      1.00000e+01      1.76743e-08
    2.38244e-01      1.21977e-03      1.00000e+01      1.73908e-08
    2.41310e-01      1.21492e-03      1.00000e+01      1.71035e-08
    2.44416e-01      1.21000e-03      1.00000e+01      1.68126e-08
    2.47562e-01      1.20502e-03      1.00000e+01      1.65179e-08
    2.50748e-01      1.19998e-03      1.00000e+01      1.62195e-08
    2.53975e-01      1.19487e-03      1.00000e+01      1.59172e-08
    2.57244e-01      1.18970e-03      1.00000e+01      1.56110e-08
    2.60555e-01      1.18446e-03      1.00000e+01      1.53009e-08
    2.63909e-01      1.17932e-03      1.00000e+01      1.50314e-08
    2.67306e-01      1.17423e-03      1.00000e+01      1.47842e-08
    2.70746e-01      1.16907e-03      1.00000e+01      1.45338e-08
    2.74231e-01      1.16384e-03      1.00000e+01      1.42802e-08
    2.77761e-01      1.15855e-03      1.00000e+01      1.40233e-08
    2.81336e-01      1.15318e-03      1.00000e+01      1.37631e-08
    2.84957e-01      1.14775e-03      1.00000e+01      1.34995e-08
    2.88625e-01      1.14225e-03      1.00000e+01      1.32326e-08
    2.92340e-01      1.13670e-03      1.00000e+01      1.29670e-08
    2.96103e-01      1.13134e-03      1.00000e+01      1.27492e-08
    2.99914e-01      1.12591e-03      1.00000e+01      1.25286e-08
    3.03775e-01      1.12042e-03      1.00000e+01      1.23052e-08
    3.07685e-01      1.11485e-03      1.00000e+01      1.20789e-08
    3.11645e-01      1.10921e-03      1.00000e+01      1.18497e-08
    3.15657e-01      1.10349e-03      1.00000e+01      1.16176e-08
    3.19720e-01      1.09771e-03      1.00000e+01      1.13824e-08
    3.23835e-01      1.09195e-03      1.00000e+01      1.11614e-08
    3.28004e-01      1.08631e-03      1.00000e+01      1.09659e-08
    3.32226e-01      1.08059e-03      1.00000e+01      1.07679e-08
    3.36502e-01      1.07480e-03      1.00000e+01      1.05674e-08
    3.40834e-01      1.06893e-03      1.00000e+01      1.03643e-08
    3.45221e-01      1.06298e-03      1.00000e+01      1.01585e-08
    3.49665e-01      1.05697e-03      1.00000e+01      9.95011e-09
    3.54166e-01      1.05097e-03      1.00000e+01      9.75263e-09
    3.58725e-01      1.04509e-03      1.00000e+01      9.57660e-09
    3.63343e-01      1.03912e-03      1.00000e+01      9.39832e-09
    3.68020e-01      1.03308e-03      1.00000e+01      9.21773e-09
    3.72757e-01      1.02697e-03      1.00000e+01      9.03482e-09
    3.77556e-01      1.02077e-03      1.00000e+01      8.84956e-09
    3.82416e-01      1.01449e-03      1.00000e+01      8.66191e-09
    3.87338e-01      1.00841e-03      1.00000e+01      8.50101e-09
    3.92324e-01      1.00227e-03      1.00000e+01      8.34038e-09
    3.97375e-01      9.96046e-04      1.00000e+01      8.17768e-09
    4.02490e-01      9.89745e-04      1.00000e+01      8.01289e-09
    4.07671e-01      9.83363e-04      1.00000e+01      7.84598e-09
    4.12919e-01      9.76899e-04      1.00000e+01      7.67692e-09
    4.18235e-01      9.70635e-04      1.00000e+01      7.53182e-09
    4.23619e-01      9.64297e-04      1.00000e+01      7.38541e-09
    4.29072e-01      9.57878e-04      1.00000e+01      7.23713e-09
    4.34595e-01      9.51376e-04      1.00000e+01      7.08693e-09
    4.40190e-01      9.44790e-04      1.00000e+01      6.93480e-09
    4.45857e-01      9.38252e-04      1.00000e+01      6.79103e-09
    4.51596e-01      9.31790e-04      1.00000e+01      6.65797e-09
    4.57410e-01      9.25245e-04      1.00000e+01      6.52320e-09
    4.63298e-01      9.18615e-04      1.00000e+01      6.38669e-09
    4.69262e-01      9.11901e-04      1.00000e+01      6.24842e-09
    4.75303e-01      9.05185e-04      1.00000e+01      6.11411e-09
    4.81422e-01      8.98592e-04      1.00000e+01      5.99212e-09
    4.87619e-01      8.91914e-04      1.00000e+01      5.86855e-09
    4.93897e-01      8.85150e-04      1.00000e+01      5.74339e-09
    5.00255e-01      8.78299e-04      1.00000e+01      5.61662e-09
    5.06695e-01      8.71490e-04      1.00000e+01      5.49594e-09
    5.13218e-01      8.64754e-04      1.00000e+01      5.38322e-09
    5.19825e-01      8.57932e-04      1.00000e+01      5.26905e-09
    5.26517e-01      8.51021e-04      1.00000e+01      5.15340e-09
    5.33295e-01      8.44022e-04      1.00000e+01      5.03627e-09
    5.40160e-01      8.37188e-04      1.00000e+01      4.93108e-09
    5.47114e-01      8.30298e-04      1.00000e+01      4.82620e-09
    5.54158e-01      8.23319e-04      1.00000e+01      4.71997e-09
    5.61292e-01      8.16251e-04      1.00000e+01      4.61237e-09
    5.68518e-01      8.09262e-04      1.00000e+01      4.51115e-09
    5.75837e-01      8.02307e-04      1.00000e+01      4.41422e-09
    5.83250e-01      7.95263e-04      1.00000e+01      4.31604e-09
    5.90758e-01      7.88128e-04      1.00000e+01      4.21660e-09
    5.98364e-01      7.81046e-04      1.00000e+01      4.12179e-09
    6.06067e-01      7.74019e-04      1.00000e+01      4.03171e-09
    6.13869e-01      7.66901e-04      1.00000e+01      3.94046e-09
    6.21772e-01      7.59691e-04      1.00000e+01      3.84804e-09
    6.29777e-01      7.52566e-04      1.00000e+01      3.76099e-09
    6.37885e-01      7.45458e-04      1.00000e+01      3.67684e-09
    6.46097e-01      7.38258e-04      1.00000e+01      3.59162e-09
    6.54415e-01      7.30966e-04      1.00000e+01      3.50529e-09
    6.62840e-01      7.23844e-04      1.00000e+01      3.42662e-09
    6.71373e-01      7.16652e-04      1.00000e+01      3.34767e-09
    6.80017e-01      7.09367e-04      1.00000e+01      3.26770e-09
    6.88771e-01      7.02100e-04      1.00000e+01      3.19006e-09
    6.97639e-01      6.94911e-04      1.00000e+01      3.11661e-09
    7.06620e-01      6.87630e-04      1.00000e+01      3.04221e-09
