    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      1.11864e+02      1.00000e+01      6.13569e-02
    5.07438e-02      1.11151e+02      1.00000e+01      6.05683e-02
    5.13959e-02      1.10429e+02      1.00000e+01      5.97695e-02
    5.20564e-02      1.09698e+02      1.00000e+01      5.89604e-02
    5.27254e-02      1.08957e+02      1.00000e+01      5.81409e-02
    5.34030e-02      1.08207e+02      1.00000e+01      5.73108e-02
    5.40893e-02      1.07447e+02      1.00000e+01      5.64701e-02
    5.47845e-02      1.06677e+02      1.00000e+01      5.56185e-02
    5.54886e-02      1.05897e+02      1.00000e+01      5.47559e-02
    5.62018e-02      1.05107e+02      1.00000e+01      5.38823e-02
    5.69242e-02      1.04307e+02      1.00000e+01      5.29974e-02
    5.76558e-02      1.03497e+02      1.00000e+01      5.21011e-02
    5.83969e-02      1.02677e+02      1.00000e+01      5.11933e-02
    5.91476e-02      1.01845e+02      1.00000e+01      5.02737e-02
    5.99079e-02      1.01004e+02      1.00000e+01      4.93424e-02
    6.06779e-02      1.00151e+02      1.00000e+01      4.83990e-02
    6.14580e-02      9.92871e+01      1.00000e+01      4.74435e-02
    6.22480e-02      9.84123e+01      1.00000e+01      4.64757e-02
    6.30482e-02      9.75262e+01      1.00000e+01      4.54954e-02
    6.38587e-02      9.66287e+01      1.00000e+01      4.45025e-02
    6.46797e-02      9.57196e+01      1.00000e+01      4.34969e-02
    6.55112e-02      9.47989e+01      1.00000e+01      4.24783e-02
    6.63535e-02      9.38662e+01      1.00000e+01      4.14465e-02
    6.72066e-02      9.29216e+01      1.00000e+01      4.04015e-02
    6.80706e-02      9.19648e+01      1.00000e+01      3.93430e-02
    6.89458e-02      9.09957e+01      1.00000e+01      3.82709e-02
    6.98323e-02      9.00141e+01      1.00000e+01      3.71850e-02
    7.07302e-02      8.90199e+01      1.00000e+01      3.60851e-02
    7.16396e-02      8.80129e+01      1.00000e+01      3.49710e-02
    7.25607e-02      8.69929e+01      1.00000e+01      3.38426e-02
    7.34938e-02      8.59597e+01      1.00000e+01      3.26997e-02
