    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      1.86908e-04      1.00000e+02      7.99759e-09
    2.52651e-01      1.86665e-04      1.00000e+02      7.91805e-09
    2.55227e-01      1.86418e-04      1.00000e+02      7.83770e-09
    2.57830e-01      1.86170e-04      1.00000e+02      7.75653e-09
    2.60459e-01      1.85919e-04      1.00000e+02      7.67453e-09
    2.63115e-01      1.85665e-04      1.00000e+02      7.59170e-09
    2.65799e-01      1.85409e-04      1.00000e+02      7.50802e-09
    2.68509e-01      1.85150e-04      1.00000e+02      7.42349e-09
    2.71248e-01      1.84888e-04      1.00000e+02      7.33809e-09
    2.74014e-01      1.84624e-04      1.00000e+02      7.25182e-09
    2.76808e-01      1.84357e-04      1.00000e+02      7.16468e-09
    2.79631e-01      1.84087e-04      1.00000e+02      7.07664e-09
    2.82483e-01      1.83815e-04      1.00000e+02      6.98771e-09
    2.85364e-01      1.83540e-04      1.00000e+02      6.89787e-09
    2.88274e-01      1.83262e-04      1.00000e+02      6.80711e-09
    2.91214e-01      1.82985e-04      1.00000e+02      6.72322e-09
    2.94184e-01      1.82713e-04      1.00000e+02      6.65239e-09
    2.97185e-01      1.82437e-04      1.00000e+02      6.58083e-09
    3.00215e-01      1.82159e-04      1.00000e+02      6.50854e-09
    3.03277e-01      1.81878e-04      1.00000e+02      6.43551e-09
    3.06370e-01      1.81594e-04      1.00000e+02      6.36174e-09
    3.09495e-01      1.81307e-04      1.00000e+02      6.28721e-09
    3.12651e-01      1.81018e-04      1.00000e+02      6.21193e-09
    3.15840e-01      1.80725e-04      1.00000e+02      6.13588e-09
    3.19061e-01      1.80429e-04      1.00000e+02      6.05905e-09
    3.22315e-01      1.80131e-04      1.00000e+02      5.98143e-09
    3.25602e-01      1.79829e-04      1.00000e+02      5.90303e-09
    3.28923e-01      1.79524e-04      1.00000e+02      5.82383e-09
    3.32278e-01      1.79223e-04      1.00000e+02      5.75387e-09
    3.35667e-01      1.78923e-04      1.00000e+02      5.69031e-09
    3.39090e-01      1.78621e-04      1.00000e+02      5.62610e-09
    3.42549e-01      1.78315e-04      1.00000e+02      5.56124e-09
    3.46042e-01      1.78006e-04      1.00000e+02      5.49571e-09
    3.49572e-01      1.77694e-04      1.00000e+02      5.42951e-09
