    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      7.66155e+00      1.00000e+02      2.43952e-03
    2.52651e-01      7.59394e+00      1.00000e+02      2.39451e-03
    2.55227e-01      7.52564e+00      1.00000e+02      2.34905e-03
    2.57830e-01      7.45665e+00      1.00000e+02      2.30311e-03
    2.60459e-01      7.38695e+00      1.00000e+02      2.25671e-03
    2.63115e-01      7.31654e+00      1.00000e+02      2.20984e-03
    2.65799e-01      7.24541e+00      1.00000e+02      2.16249e-03
    2.68509e-01      7.17356e+00      1.00000e+02      2.11465e-03
    2.71248e-01      7.10097e+00      1.00000e+02      2.06633e-03
    2.74014e-01      7.02764e+00      1.00000e+02      2.01751e-03
    2.76808e-01      6.95357e+00      1.00000e+02      1.96820e-03
    2.79631e-01      6.87873e+00      1.00000e+02      1.91838e-03
    2.82483e-01      6.80314e+00      1.00000e+02      1.86806e-03
    2.85364e-01      6.72677e+00      1.00000e+02      1.81722e-03
    2.88274e-01      6.64963e+00      1.00000e+02      1.76586e-03
    2.91214e-01      6.57694e+00      1.00000e+02      1.72038e-03
    2.94184e-01      6.51286e+00      1.00000e+02      1.68587e-03
    2.97185e-01      6.44813e+00      1.00000e+02      1.65100e-03
    3.00215e-01      6.38274e+00      1.00000e+02      1.61578e-03
    3.03277e-01      6.31668e+00      1.00000e+02      1.58020e-03
    3.06370e-01      6.24995e+00      1.00000e+02      1.54425e-03
    3.09495e-01      6.18254e+00      1.00000e+02      1.50794e-03
    3.12651e-01      6.11444e+00      1.00000e+02      1.47126e-03
    3.15840e-01      6.04564e+00      1.00000e+02      1.43421e-03
    3.19061e-01      5.97615e+00      1.00000e+02      1.39677e-03
    3.22315e-01      5.90594e+00      1.00000e+02      1.35896e-03
    3.25602e-01      5.83502e+00      1.00000e+02      1.32075e-03
    3.28923e-01      5.76337e+00      1.00000e+02      1.28216e-03
    3.32278e-01      5.69843e+00      1.00000e+02      1.25062e-03
    3.35667e-01      5.63809e+00      1.00000e+02      1.22400e-03
    3.39090e-01      5.57712e+00      1.00000e+02      1.19711e-03
    3.42549e-01      5.51553e+00      1.00000e+02      1.16995e-03
    3.46042e-01      5.45332e+00      1.00000e+02      1.14251e-03
    3.49572e-01      5.39047e+00      1.00000e+02      1.11479e-03
    3.53137e-01      5.32698e+00      1.00000e+02      1.08679e-03
    3.56739e-01      5.26284e+00      1.00000e+02      1.05850e-03
    3.60377e-01      5.19804e+00      1.00000e+02      1.02992e-03
    3.64053e-01      5.13259e+00      1.00000e+02      1.00105e-03
    3.67766e-01      5.06647e+00      1.00000e+02      9.71888e-04
    3.71517e-01      5.00274e+00      1.00000e+02      9.44948e-04
    3.75306e-01      4.94621e+00      1.00000e+02      9.24179e-04
    3.79134e-01      4.88911e+00      1.00000e+02      9.03198e-04
    3.83001e-01      4.83142e+00      1.00000e+02      8.82003e-04
    3.86907e-01      4.77315e+00      1.00000e+02      8.60591e-04
    3.90853e-01      4.71428e+00      1.00000e+02      8.38962e-04
    3.94840e-01      4.65481e+00      1.00000e+02      8.17112e-04
    3.98867e-01      4.59473e+00      1.00000e+02      7.95038e-04
    4.02935e-01      4.53404e+00      1.00000e+02      7.72740e-04
    4.07045e-01      4.47273e+00      1.00000e+02      7.50214e-04
    4.11196e-01      4.41213e+00      1.00000e+02      7.28361e-04
    4.15391e-01      4.35903e+00      1.00000e+02      7.11784e-04
    4.19627e-01      4.30538e+00      1.00000e+02      6.95039e-04
    4.23907e-01      4.25119e+00      1.00000e+02      6.78123e-04
    4.28231e-01      4.19644e+00      1.00000e+02      6.61034e-04
    4.32599e-01      4.14114e+00      1.00000e+02      6.43770e-04
    4.37011e-01      4.08527e+00      1.00000e+02      6.26331e-04
    4.41469e-01      4.02883e+00      1.00000e+02      6.08714e-04
    4.45971e-01      3.97182e+00      1.00000e+02      5.90916e-04
    4.50520e-01      3.91422e+00      1.00000e+02      5.72938e-04
    4.55115e-01      3.86453e+00      1.00000e+02      5.59301e-04
    4.59758e-01      3.81480e+00      1.00000e+02      5.45773e-04
    4.64447e-01      3.76456e+00      1.00000e+02      5.32108e-04
    4.69184e-01      3.71381e+00      1.00000e+02      5.18303e-04
    4.73970e-01      3.66254e+00      1.00000e+02      5.04358e-04
    4.78804e-01      3.61075e+00      1.00000e+02      4.90270e-04
    4.83688e-01      3.55843e+00      1.00000e+02      4.76038e-04
    4.88622e-01      3.50557e+00      1.00000e+02      4.61662e-04
    4.93606e-01      3.45546e+00      1.00000e+02      4.49050e-04
    4.98640e-01      3.40764e+00      1.00000e+02      4.37948e-04
    5.03726e-01      3.35934e+00      1.00000e+02      4.26733e-04
    5.08865e-01      3.31054e+00      1.00000e+02      4.15403e-04
