    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      2.20460e+01      5.00000e+00      5.23047e-02
    5.07729e-02      2.19467e+01      5.00000e+00      5.17449e-02
    5.14550e-02      2.18460e+01      5.00000e+00      5.11775e-02
    5.21461e-02      2.17440e+01      5.00000e+00      5.06026e-02
    5.28466e-02      2.16407e+01      5.00000e+00      5.00199e-02
    5.35565e-02      2.15359e+01      5.00000e+00      4.94294e-02
    5.42760e-02      2.14297e+01      5.00000e+00      4.88309e-02
    5.50052e-02      2.13221e+01      5.00000e+00      4.82243e-02
    5.57441e-02      2.12131e+01      5.00000e+00      4.76096e-02
    5.64931e-02      2.11026e+01      5.00000e+00      4.69867e-02
    5.72520e-02      2.09906e+01      5.00000e+00      4.63553e-02
    5.80213e-02      2.08771e+01      5.00000e+00      4.57155e-02
    5.88008e-02      2.07620e+01      5.00000e+00      4.50670e-02
    5.95909e-02      2.06454e+01      5.00000e+00      4.44098e-02
    6.03916e-02      2.05273e+01      5.00000e+00      4.37437e-02
    6.12030e-02      2.04075e+01      5.00000e+00      4.30687e-02
    6.20254e-02      2.02862e+01      5.00000e+00      4.23846e-02
    6.28589e-02      2.01632e+01      5.00000e+00      4.16913e-02
    6.37035e-02      2.00385e+01      5.00000e+00      4.09887e-02
    6.45596e-02      1.99122e+01      5.00000e+00      4.02766e-02
    6.54271e-02      1.97842e+01      5.00000e+00      3.95550e-02
    6.63064e-02      1.96544e+01      5.00000e+00      3.88236e-02
    6.71974e-02      1.95230e+01      5.00000e+00      3.80824e-02
    6.81005e-02      1.93897e+01      5.00000e+00      3.73312e-02
    6.90157e-02      1.92546e+01      5.00000e+00      3.65698e-02
    6.99433e-02      1.91178e+01      5.00000e+00      3.57983e-02
    7.08833e-02      1.89790e+01      5.00000e+00      3.50163e-02
    7.18360e-02      1.88385e+01      5.00000e+00      3.42239e-02
    7.28014e-02      1.86960e+01      5.00000e+00      3.34207e-02
    7.37799e-02      1.85516e+01      5.00000e+00      3.26068e-02
    7.47716e-02      1.84053e+01      5.00000e+00      3.17819e-02
    7.57766e-02      1.82569e+01      5.00000e+00      3.09459e-02
    7.67951e-02      1.81066e+01      5.00000e+00      3.00986e-02
    7.78274e-02      1.79543e+01      5.00000e+00      2.92400e-02
    7.88735e-02      1.77999e+01      5.00000e+00      2.83698e-02
    7.99337e-02      1.76435e+01      5.00000e+00      2.74878e-02
    8.10082e-02      1.74849e+01      5.00000e+00      2.65941e-02
    8.20971e-02      1.73242e+01      5.00000e+00      2.56882e-02
    8.32007e-02      1.71614e+01      5.00000e+00      2.47702e-02
    8.43192e-02      1.69963e+01      5.00000e+00      2.38398e-02
    8.54527e-02      1.68291e+01      5.00000e+00      2.28970e-02
    8.66014e-02      1.66595e+01      5.00000e+00      2.19414e-02
    8.77657e-02      1.64877e+01      5.00000e+00      2.09729e-02
    8.89456e-02      1.63136e+01      5.00000e+00      1.99914e-02
    9.01413e-02      1.61372e+01      5.00000e+00      1.89968e-02
    9.13532e-02      1.60255e+01      5.00000e+00      1.85774e-02
    9.25814e-02      1.59267e+01      5.00000e+00      1.82790e-02
    9.38261e-02      1.58266e+01      5.00000e+00      1.79766e-02
    9.50875e-02      1.57252e+01      5.00000e+00      1.76701e-02
    9.63660e-02      1.56224e+01      5.00000e+00      1.73595e-02
    9.76616e-02      1.55182e+01      5.00000e+00      1.70447e-02
    9.89747e-02      1.54126e+01      5.00000e+00      1.67257e-02
    1.00305e-01      1.53056e+01      5.00000e+00      1.64024e-02
    1.01654e-01      1.51972e+01      5.00000e+00      1.60748e-02
    1.03021e-01      1.50873e+01      5.00000e+00      1.57427e-02
    1.04406e-01      1.49759e+01      5.00000e+00      1.54062e-02
    1.05810e-01      1.48630e+01      5.00000e+00      1.50651e-02
    1.07233e-01      1.47486e+01      5.00000e+00      1.47194e-02
    1.08675e-01      1.46327e+01      5.00000e+00      1.43691e-02
    1.10136e-01      1.45152e+01      5.00000e+00      1.40141e-02
    1.11617e-01      1.43961e+01      5.00000e+00      1.36543e-02
    1.13118e-01      1.42754e+01      5.00000e+00      1.32896e-02
    1.14639e-01      1.41531e+01      5.00000e+00      1.29201e-02
    1.16181e-01      1.40291e+01      5.00000e+00      1.25456e-02
    1.17743e-01      1.39035e+01      5.00000e+00      1.21660e-02
    1.19326e-01      1.37762e+01      5.00000e+00      1.17813e-02
    1.20931e-01      1.36471e+01      5.00000e+00      1.13915e-02
    1.22557e-01      1.35164e+01      5.00000e+00      1.09964e-02
    1.24205e-01      1.33839e+01      5.00000e+00      1.05959e-02
    1.25876e-01      1.32495e+01      5.00000e+00      1.01901e-02
    1.27568e-01      1.31134e+01      5.00000e+00      9.77887e-03
    1.29284e-01      1.29755e+01      5.00000e+00      9.36207e-03
    1.31023e-01      1.28436e+01      5.00000e+00      8.98811e-03
    1.32785e-01      1.27459e+01      5.00000e+00      8.83056e-03
    1.34571e-01      1.26469e+01      5.00000e+00      8.67089e-03
    1.36380e-01      1.25466e+01      5.00000e+00      8.50907e-03
    1.38215e-01      1.24450e+01      5.00000e+00      8.34507e-03
    1.40074e-01      1.23420e+01      5.00000e+00      8.17887e-03
    1.41957e-01      1.22376e+01      5.00000e+00      8.01042e-03
    1.43867e-01      1.21318e+01      5.00000e+00      7.83971e-03
    1.45802e-01      1.20246e+01      5.00000e+00      7.66670e-03
    1.47763e-01      1.19159e+01      5.00000e+00      7.49137e-03
    1.49750e-01      1.18057e+01      5.00000e+00      7.31367e-03
    1.51764e-01      1.16941e+01      5.00000e+00      7.13359e-03
    1.53805e-01      1.15810e+01      5.00000e+00      6.95107e-03
    1.55874e-01      1.14664e+01      5.00000e+00      6.76611e-03
    1.57971e-01      1.13502e+01      5.00000e+00      6.57865e-03
    1.60095e-01      1.12324e+01      5.00000e+00      6.38867e-03
    1.62249e-01      1.11131e+01      5.00000e+00      6.19613e-03
    1.64431e-01      1.09922e+01      5.00000e+00      6.00100e-03
    1.66643e-01      1.08696e+01      5.00000e+00      5.80325e-03
    1.68884e-01      1.07454e+01      5.00000e+00      5.60283e-03
    1.71156e-01      1.06208e+01      5.00000e+00      5.40378e-03
    1.73458e-01      1.05244e+01      5.00000e+00      5.29574e-03
    1.75792e-01      1.04268e+01      5.00000e+00      5.18625e-03
    1.78156e-01      1.03279e+01      5.00000e+00      5.07528e-03
    1.80553e-01      1.02276e+01      5.00000e+00      4.96282e-03
    1.82981e-01      1.01259e+01      5.00000e+00      4.84885e-03
    1.85443e-01      1.00229e+01      5.00000e+00      4.73334e-03
    1.87937e-01      9.91856e+00      5.00000e+00      4.61628e-03
    1.90465e-01      9.81277e+00      5.00000e+00      4.49764e-03
    1.93028e-01      9.70555e+00      5.00000e+00      4.37741e-03
    1.95624e-01      9.59689e+00      5.00000e+00      4.25556e-03
    1.98256e-01      9.48677e+00      5.00000e+00      4.13206e-03
