    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      2.05887e-03      1.00000e+01      5.55116e-06
    1.01306e-01      2.01932e-03      1.00000e+01      5.51502e-06
    1.02526e-01      1.97929e-03      1.00000e+01      5.47844e-06
    1.03760e-01      1.93878e-03      1.00000e+01      5.44143e-06
    1.05010e-01      1.89778e-03      1.00000e+01      5.40397e-06
    1.06275e-01      1.85629e-03      1.00000e+01      5.36605e-06
    1.07555e-01      1.81430e-03      1.00000e+01      5.32768e-06
    1.08850e-01      1.77180e-03      1.00000e+01      5.28885e-06
    1.10161e-01      1.72878e-03      1.00000e+01      5.24955e-06
    1.11488e-01      1.68525e-03      1.00000e+01      5.20977e-06
    1.12830e-01      1.64120e-03      1.00000e+01      5.16952e-06
    1.14189e-01      1.59661e-03      1.00000e+01      5.12878e-06
    1.15565e-01      1.55149e-03      1.00000e+01      5.08755e-06
    1.16957e-01      1.50582e-03      1.00000e+01      5.04582e-06
    1.18365e-01      1.45960e-03      1.00000e+01      5.00359e-06
    1.19791e-01      1.41282e-03      1.00000e+01      4.96085e-06
    1.21234e-01      1.36548e-03      1.00000e+01      4.91760e-06
    1.22694e-01      1.31757e-03      1.00000e+01      4.87382e-06
    1.24172e-01      1.26909e-03      1.00000e+01      4.82952e-06
    1.25668e-01      1.22001e-03      1.00000e+01      4.78468e-06
    1.27182e-01      1.17035e-03      1.00000e+01      4.73930e-06
    1.28713e-01      1.12009e-03      1.00000e+01      4.69338e-06
    1.30264e-01      1.06922e-03      1.00000e+01      4.64690e-06
    1.31833e-01      1.01774e-03      1.00000e+01      4.59986e-06
    1.33421e-01      9.65633e-04      1.00000e+01      4.55225e-06
    1.35028e-01      9.12902e-04      1.00000e+01      4.50407e-06
    1.36655e-01      8.59536e-04      1.00000e+01      4.45531e-06
    1.38301e-01      8.05526e-04      1.00000e+01      4.40596e-06
    1.39967e-01      7.50865e-04      1.00000e+01      4.35602e-06
    1.41653e-01      7.21555e-04      1.00000e+01      4.20074e-06
    1.43360e-01      6.98442e-04      1.00000e+01      4.01722e-06
    1.45087e-01      6.75050e-04      1.00000e+01      3.83148e-06
    1.46834e-01      6.51376e-04      1.00000e+01      3.64350e-06
    1.48603e-01      6.27417e-04      1.00000e+01      3.45326e-06
    1.50393e-01      6.03169e-04      1.00000e+01      3.26072e-06
    1.52205e-01      5.78629e-04      1.00000e+01      3.06586e-06
    1.54039e-01      5.53793e-04      1.00000e+01      2.86866e-06
    1.55895e-01      5.28657e-04      1.00000e+01      2.66907e-06
    1.57773e-01      5.03219e-04      1.00000e+01      2.46708e-06
    1.59673e-01      4.77473e-04      1.00000e+01      2.26266e-06
    1.61597e-01      4.51418e-04      1.00000e+01      2.05577e-06
    1.63544e-01      4.25048e-04      1.00000e+01      1.84638e-06
    1.65514e-01      3.98361e-04      1.00000e+01      1.63447e-06
    1.67508e-01      3.71352e-04      1.00000e+01      1.42001e-06
    1.69526e-01      3.44017e-04      1.00000e+01      1.20296e-06
    1.71569e-01      3.16352e-04      1.00000e+01      9.83301e-07
    1.73636e-01      2.88355e-04      1.00000e+01      7.60988e-07
    1.75728e-01      2.60019e-04      1.00000e+01      5.35996e-07
    1.77845e-01      2.31342e-04      1.00000e+01      3.08292e-07
    1.79988e-01      2.02320e-04      1.00000e+01      7.78422e-08
    1.82156e-01      1.93787e-04      1.00000e+01      1.12718e-08
    1.84351e-01      1.93561e-04      1.00000e+01      1.11530e-08
    1.86572e-01      1.93332e-04      1.00000e+01      1.10327e-08
    1.88820e-01      1.93101e-04      1.00000e+01      1.09109e-08
    1.91095e-01      1.92867e-04      1.00000e+01      1.07877e-08
    1.93398e-01      1.92630e-04      1.00000e+01      1.06630e-08
    1.95728e-01      1.92390e-04      1.00000e+01      1.05368e-08
    1.98086e-01      1.92147e-04      1.00000e+01      1.04091e-08
    2.00473e-01      1.91901e-04      1.00000e+01      1.02798e-08
    2.02888e-01      1.91653e-04      1.00000e+01      1.01490e-08
    2.05333e-01      1.91401e-04      1.00000e+01      1.00166e-08
    2.07807e-01      1.91146e-04      1.00000e+01      9.88260e-09
    2.10311e-01      1.90889e-04      1.00000e+01      9.74699e-09
    2.12845e-01      1.90628e-04      1.00000e+01      9.60975e-09
    2.15410e-01      1.90364e-04      1.00000e+01      9.47085e-09
    2.18005e-01      1.90097e-04      1.00000e+01      9.33028e-09
    2.20632e-01      1.89826e-04      1.00000e+01      9.18801e-09
    2.23291e-01      1.89563e-04      1.00000e+01      9.08090e-09
    2.25981e-01      1.89298e-04      1.00000e+01      8.97685e-09
    2.28704e-01      1.89030e-04      1.00000e+01      8.87154e-09
    2.31460e-01      1.88759e-04      1.00000e+01      8.76496e-09
    2.34249e-01      1.88484e-04      1.00000e+01      8.65710e-09
    2.37072e-01      1.88207e-04      1.00000e+01      8.54793e-09
    2.39928e-01      1.87925e-04      1.00000e+01      8.43745e-09
    2.42820e-01      1.87641e-04      1.00000e+01      8.32564e-09
    2.45746e-01      1.87353e-04      1.00000e+01      8.21248e-09
    2.48707e-01      1.87061e-04      1.00000e+01      8.09795e-09
    2.51704e-01      1.86766e-04      1.00000e+01      7.98205e-09
    2.54737e-01      1.86468e-04      1.00000e+01      7.86475e-09
    2.57807e-01      1.86165e-04      1.00000e+01      7.74603e-09
    2.60913e-01      1.85860e-04      1.00000e+01      7.62588e-09
    2.64057e-01      1.85562e-04      1.00000e+01      7.53229e-09
    2.67239e-01      1.85261e-04      1.00000e+01      7.44055e-09
    2.70460e-01      1.84957e-04      1.00000e+01      7.34771e-09
    2.73719e-01      1.84649e-04      1.00000e+01      7.25375e-09
    2.77017e-01      1.84338e-04      1.00000e+01      7.15865e-09
    2.80356e-01      1.84023e-04      1.00000e+01      7.06241e-09
    2.83734e-01      1.83704e-04      1.00000e+01      6.96500e-09
    2.87153e-01      1.83381e-04      1.00000e+01      6.86643e-09
    2.90614e-01      1.83054e-04      1.00000e+01      6.76666e-09
    2.94116e-01      1.82724e-04      1.00000e+01      6.66569e-09
    2.97660e-01      1.82389e-04      1.00000e+01      6.56351e-09
    3.01247e-01      1.82050e-04      1.00000e+01      6.46009e-09
    3.04878e-01      1.81720e-04      1.00000e+01      6.37767e-09
    3.08552e-01      1.81386e-04      1.00000e+01      6.29604e-09
    3.12270e-01      1.81049e-04      1.00000e+01      6.21343e-09
    3.16033e-01      1.80707e-04      1.00000e+01      6.12983e-09
    3.19842e-01      1.80362e-04      1.00000e+01      6.04521e-09
    3.23696e-01      1.80012e-04      1.00000e+01      5.95958e-09
    3.27597e-01      1.79658e-04      1.00000e+01      5.87292e-09
    3.31545e-01      1.79299e-04      1.00000e+01      5.78521e-09
    3.35541e-01      1.78936e-04      1.00000e+01      5.69644e-09
    3.39585e-01      1.78569e-04      1.00000e+01      5.60660e-09
    3.43677e-01      1.78204e-04      1.00000e+01      5.52431e-09
    3.47819e-01      1.77841e-04      1.00000e+01      5.45151e-09
    3.52011e-01      1.77474e-04      1.00000e+01      5.37784e-09
    3.56253e-01      1.77103e-04      1.00000e+01      5.30328e-09
    3.60547e-01      1.76727e-04      1.00000e+01      5.22782e-09
    3.64892e-01      1.76347e-04      1.00000e+01      5.15144e-09
    3.69289e-01      1.75962e-04      1.00000e+01      5.07415e-09
    3.73740e-01      1.75572e-04      1.00000e+01      4.99593e-09
    3.78244e-01      1.75178e-04      1.00000e+01      4.91677e-09
    3.82803e-01      1.74781e-04      1.00000e+01      4.83894e-09
    3.87416e-01      1.74391e-04      1.00000e+01      4.77342e-09
    3.92085e-01      1.73997e-04      1.00000e+01      4.70710e-09
    3.96811e-01      1.73598e-04      1.00000e+01      4.63998e-09
    4.01593e-01      1.73194e-04      1.00000e+01      4.57206e-09
    4.06433e-01      1.72785e-04      1.00000e+01      4.50331e-09
    4.11331e-01      1.72371e-04      1.00000e+01      4.43374e-09
    4.16289e-01      1.71952e-04      1.00000e+01      4.36333e-09
    4.21306e-01      1.71529e-04      1.00000e+01      4.29207e-09
    4.26383e-01      1.71111e-04      1.00000e+01      4.22993e-09
    4.31522e-01      1.70691e-04      1.00000e+01      4.16989e-09
    4.36723e-01      1.70266e-04      1.00000e+01      4.10914e-09
    4.41987e-01      1.69836e-04      1.00000e+01      4.04764e-09
    4.47314e-01      1.69401e-04      1.00000e+01      3.98541e-09
    4.52705e-01      1.68960e-04      1.00000e+01      3.92243e-09
    4.58161e-01      1.68515e-04      1.00000e+01      3.85869e-09
    4.63683e-01      1.68066e-04      1.00000e+01      3.79602e-09
    4.69271e-01      1.67624e-04      1.00000e+01      3.74152e-09
    4.74927e-01      1.67176e-04      1.00000e+01      3.68636e-09
    4.80651e-01      1.66723e-04      1.00000e+01      3.63053e-09
    4.86444e-01      1.66265e-04      1.00000e+01      3.57403e-09
    4.92307e-01      1.65801e-04      1.00000e+01      3.51685e-09
    4.98241e-01      1.65331e-04      1.00000e+01      3.45899e-09
    5.04246e-01      1.64859e-04      1.00000e+01      3.40225e-09
    5.10323e-01      1.64392e-04      1.00000e+01      3.35214e-09
    5.16474e-01      1.63920e-04      1.00000e+01      3.30142e-09
