    Er (keV)         SM dN/dE         BG dN/dE         BSM dN/dE (events/kg/day/keV)
    5.00000e-02      9.81565e-03      1.00000e+02      4.44188e-05
    2.24750e-01      1.30318e-03      1.00000e+02      7.17113e-06
    3.99500e-01      1.04203e-03      1.00000e+02      3.79466e-06
    5.74250e-01      8.43412e-04      1.00000e+02      2.58766e-06
    7.49000e-01      6.86454e-04      1.00000e+02      1.95870e-06
    9.23750e-01      5.60952e-04      1.00000e+02      1.57740e-06
    1.09850e+00      4.58981e-04      1.00000e+02      1.31920e-06
    1.27325e+00      3.76010e-04      1.00000e+02      1.13424e-06
    1.44800e+00      3.07878e-04      1.00000e+02      9.94325e-07
    1.62275e+00      2.52093e-04      1.00000e+02      8.85412e-07
    1.79750e+00      2.06161e-04      1.00000e+02      7.97769e-07
    1.97225e+00      1.68540e-04      1.00000e+02      7.26064e-07
    2.14700e+00      1.37623e-04      1.00000e+02      6.66054e-07
    2.32175e+00      1.12400e-04      1.00000e+02      6.15297e-07
    2.49650e+00      9.17916e-05      1.00000e+02      5.71643e-07
    2.67125e+00      7.51047e-05      1.00000e+02      5.33840e-07
    2.84600e+00      6.15920e-05      1.00000e+02      5.00669e-07
    3.02075e+00      5.07751e-05      1.00000e+02      4.71406e-07
    3.19550e+00      4.21254e-05      1.00000e+02      4.45334e-07
    3.37025e+00      3.53040e-05      1.00000e+02      4.22022e-07
    3.54500e+00      2.99404e-05      1.00000e+02      4.01000e-07
    3.71975e+00      2.57935e-05      1.00000e+02      3.81992e-07
    3.89450e+00      2.26033e-05      1.00000e+02      3.64681e-07
    4.06925e+00      2.01982e-05      1.00000e+02      3.48883e-07
    4.24400e+00      1.83983e-05      1.00000e+02      3.34380e-07
    4.41875e+00      1.70868e-05      1.00000e+02      3.21047e-07
    4.59350e+00      1.61388e-05      1.00000e+02      3.08719e-07
    4.76825e+00      1.54751e-05      1.00000e+02      2.97314e-07
    4.94300e+00      1.50167e-05      1.00000e+02      2.86710e-07
    5.11775e+00      1.47099e-05      1.00000e+02      2.76841e-07
    5.29250e+00      1.45078e-05      1.00000e+02      2.67619e-07
    5.46725e+00      1.43776e-05      1.00000e+02      2.58996e-07
    5.64200e+00      1.42936e-05      1.00000e+02      2.50904e-07
    5.81675e+00      1.42389e-05      1.00000e+02      2.43306e-07
    5.99150e+00      1.42016e-05      1.00000e+02      2.36149e-07
    6.16625e+00      1.41744e-05      1.00000e+02      2.29404e-07
    6.34100e+00      1.41530e-05      1.00000e+02      2.23027e-07
    6.51575e+00      1.41348e-05      1.00000e+02      2.16999e-07
    6.69050e+00      1.41186e-05      1.00000e+02      2.11282e-07
    6.86525e+00      1.41036e-05      1.00000e+02      2.05860e-07
    7.04000e+00      1.40893e-05      1.00000e+02      2.00705e-07
    7.21475e+00      1.40757e-05      1.00000e+02      1.95803e-07
    7.38950e+00      1.40626e-05      1.00000e+02      1.91131e-07
    7.56425e+00      1.40498e-05      1.00000e+02      1.86678e-07
    7.73900e+00      1.40373e-05      1.00000e+02      1.82425e-07
    7.91375e+00      1.40252e-05      1.00000e+02      1.78362e-07
    8.08850e+00      1.40133e-05      1.00000e+02      1.74474e-07
    8.26325e+00      1.40016e-05      1.00000e+02      1.70753e-07
    8.43800e+00      1.39901e-05      1.00000e+02      1.67184e-07
    8.61275e+00      1.39788e-05      1.00000e+02      1.63761e-07
    8.78750e+00      1.39675e-05      1.00000e+02      1.60473e-07
    8.96225e+00      1.39563e-05      1.00000e+02      1.57315e-07
    9.13700e+00      1.39453e-05      1.00000e+02      1.54277e-07
    9.31175e+00      1.39343e-05      1.00000e+02      1.51354e-07
    9.48650e+00      1.39234e-05      1.00000e+02      1.48538e-07
    9.66125e+00      1.39126e-05      1.00000e+02      1.45825e-07
    9.83600e+00      1.39018e-05      1.00000e+02      1.43208e-07
    1.00108e+01      1.38911e-05      1.00000e+02      1.40684e-07
    1.01855e+01      1.38804e-05      1.00000e+02      1.38245e-07
    1.03603e+01      1.38697e-05      1.00000e+02      1.35889e-07
    1.05350e+01      1.38590e-05      1.00000e+02      1.33610e-07
    1.07098e+01      1.38483e-05      1.00000e+02      1.31407e-07
    1.08845e+01      1.38377e-05      1.00000e+02      1.29274e-07
    1.10593e+01      1.38270e-05      1.00000e+02      1.27209e-07
    1.12340e+01      1.38164e-05      1.00000e+02      1.25208e-07
    1.14088e+01      1.38059e-05      1.00000e+02      1.23269e-07
    1.15835e+01      1.37953e-05      1.00000e+02      1.21388e-07
    1.17583e+01      1.37848e-05      1.00000e+02      1.19563e-07
    1.19330e+01      1.37742e-05      1.00000e+02      1.17792e-07
    1.21078e+01      1.37637e-05      1.00000e+02      1.16072e-07
    1.22825e+01      1.37532e-05      1.00000e+02      1.14400e-07
    1.24573e+01      1.37428e-05      1.00000e+02      1.12776e-07
    1.26320e+01      1.37323e-05      1.00000e+02      1.11197e-07
    1.28068e+01      1.37219e-05      1.00000e+02      1.09661e-07
    1.29815e+01      1.37115e-05      1.00000e+02      1.08166e-07
    1.31563e+01      1.37011e-05      1.00000e+02      1.06711e-07
    1.33310e+01      1.36907e-05      1.00000e+02      1.05294e-07
    1.35058e+01      1.36803e-05      1.00000e+02      1.03914e-07
    1.36805e+01      1.36700e-05      1.00000e+02      1.02569e-07
    1.38553e+01      1.36596e-05      1.00000e+02      1.01258e-07
    1.40300e+01      1.36492e-05      1.00000e+02      9.99788e-08
    1.42048e+01      1.36388e-05      1.00000e+02      9.87319e-08
    1.43795e+01      1.36285e-05      1.00000e+02      9.75148e-08
    1.45543e+01      1.36182e-05      1.00000e+02      9.63277e-08
    1.47290e+01      1.36079e-05      1.00000e+02      9.51683e-08
    1.49038e+01      1.35976e-05      1.00000e+02      9.40362e-08
    1.50785e+01      1.35874e-05      1.00000e+02      9.29300e-08
    1.52533e+01      1.35771e-05      1.00000e+02      9.18494e-08
    1.54280e+01      1.35668e-05      1.00000e+02      9.07928e-08
    1.56028e+01      1.35566e-05      1.00000e+02      8.97602e-08
