    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      6.40280e+01      1.00000e+02      3.32463e-05
    1.01247e-01      6.34347e+01      1.00000e+02      3.32463e-05
    1.02408e-01      6.28346e+01      1.00000e+02      3.32462e-05
    1.03582e-01      6.22277e+01      1.00000e+02      3.32462e-05
    1.04769e-01      6.16138e+01      1.00000e+02      3.32461e-05
    1.05970e-01      6.09928e+01      1.00000e+02      3.32461e-05
    1.07184e-01      6.03647e+01      1.00000e+02      3.32460e-05
    1.08413e-01      5.97294e+01      1.00000e+02      3.32460e-05
    1.09655e-01      5.90868e+01      1.00000e+02      3.32459e-05
    1.10912e-01      5.84368e+01      1.00000e+02      3.32459e-05
    1.12184e-01      5.77794e+01      1.00000e+02      3.32458e-05
    1.13470e-01      5.71145e+01      1.00000e+02      3.32458e-05
    1.14770e-01      5.64419e+01      1.00000e+02      3.32457e-05
    1.16086e-01      5.57616e+01      1.00000e+02      3.32457e-05
    1.17417e-01      5.50734e+01      1.00000e+02      3.32456e-05
    1.18763e-01      5.43774e+01      1.00000e+02      3.32456e-05
    1.20124e-01      5.36735e+01      1.00000e+02      3.32455e-05
    1.21501e-01      5.29614e+01      1.00000e+02      3.32454e-05
    1.22894e-01      5.22411e+01      1.00000e+02      3.32454e-05
    1.24303e-01      5.15126e+01      1.00000e+02      3.32453e-05
    1.25728e-01      5.07758e+01      1.00000e+02      3.32453e-05
    1.27169e-01      5.00305e+01      1.00000e+02      3.32452e-05
    1.28627e-01      4.92766e+01      1.00000e+02      3.32451e-05
    1.30101e-01      4.85141e+01      1.00000e+02      3.32451e-05
    1.31593e-01      4.79650e+01      1.00000e+02      3.32450e-05
    1.33101e-01      4.74260e+01      1.00000e+02      3.32450e-05
    1.34627e-01      4.68807e+01      1.00000e+02      3.32449e-05
    1.36171e-01      4.63292e+01      1.00000e+02      3.32448e-05
    1.37732e-01      4.57714e+01      1.00000e+02      3.32448e-05
    1.39311e-01      4.52072e+01      1.00000e+02      3.32447e-05
    1.40908e-01      4.46365e+01      1.00000e+02      3.32447e-05
    1.42523e-01      4.40592e+01      1.00000e+02      3.32446e-05
    1.44157e-01      4.34753e+01      1.00000e+02      3.32445e-05
    1.45810e-01      4.28848e+01      1.00000e+02      3.32445e-05
    1.47482e-01      4.22874e+01      1.00000e+02      3.32444e-05
    1.49173e-01      4.16832e+01      1.00000e+02      3.32443e-05
    1.50883e-01      4.10721e+01      1.00000e+02      3.32443e-05
    1.52613e-01      4.04539e+01      1.00000e+02      3.32442e-05
    1.54363e-01      3.98287e+01      1.00000e+02      3.32441e-05
    1.56133e-01      3.91963e+01      1.00000e+02      3.32441e-05
    1.57923e-01      3.85566e+01      1.00000e+02      3.32440e-05
    1.59733e-01      3.79096e+01      1.00000e+02      3.32439e-05
    1.61565e-01      3.73693e+01      1.00000e+02      3.32439e-05
    1.63417e-01      3.68895e+01      1.00000e+02      3.32438e-05
    1.65291e-01      3.64041e+01      1.00000e+02      3.32437e-05
    1.67186e-01      3.59132e+01      1.00000e+02      3.32436e-05
    1.69103e-01      3.54167e+01      1.00000e+02      3.32435e-05
    1.71042e-01      3.49145e+01      1.00000e+02      3.32434e-05
    1.73003e-01      3.44065e+01      1.00000e+02      3.32433e-05
    1.74987e-01      3.38927e+01      1.00000e+02      3.32432e-05
    1.76994e-01      3.33729e+01      1.00000e+02      3.32432e-05
    1.79023e-01      3.28473e+01      1.00000e+02      3.32431e-05
    1.81076e-01      3.23156e+01      1.00000e+02      3.32430e-05
    1.83152e-01      3.17777e+01      1.00000e+02      3.32429e-05
    1.85252e-01      3.12338e+01      1.00000e+02      3.32428e-05
    1.87377e-01      3.06835e+01      1.00000e+02      3.32427e-05
    1.89525e-01      3.01270e+01      1.00000e+02      3.32426e-05
    1.91698e-01      2.96336e+01      1.00000e+02      3.32425e-05
    1.93897e-01      2.92042e+01      1.00000e+02      3.32424e-05
    1.96120e-01      2.87699e+01      1.00000e+02      3.32423e-05
    1.98369e-01      2.83305e+01      1.00000e+02      3.32422e-05
    2.00644e-01      2.78861e+01      1.00000e+02      3.32421e-05
    2.02944e-01      2.74367e+01      1.00000e+02      3.32420e-05
    2.05272e-01      2.69820e+01      1.00000e+02      3.32418e-05
    2.07626e-01      2.65222e+01      1.00000e+02      3.32417e-05
    2.10006e-01      2.60571e+01      1.00000e+02      3.32416e-05
    2.12415e-01      2.55866e+01      1.00000e+02      3.32415e-05
    2.14851e-01      2.51108e+01      1.00000e+02      3.32414e-05
    2.17314e-01      2.46294e+01      1.00000e+02      3.32413e-05
    2.19806e-01      2.41426e+01      1.00000e+02      3.32411e-05
    2.22327e-01      2.37195e+01      1.00000e+02      3.32410e-05
    2.24877e-01      2.33378e+01      1.00000e+02      3.32409e-05
    2.27455e-01      2.29517e+01      1.00000e+02      3.32409e-05
    2.30064e-01      2.25611e+01      1.00000e+02      3.32408e-05
    2.32702e-01      2.21661e+01      1.00000e+02      3.32407e-05
    2.35371e-01      2.17666e+01      1.00000e+02      3.32406e-05
    2.38070e-01      2.13625e+01      1.00000e+02      3.32405e-05
    2.40800e-01      2.09537e+01      1.00000e+02      3.32404e-05
    2.43562e-01      2.05403e+01      1.00000e+02      3.32403e-05
    2.46355e-01      2.01221e+01      1.00000e+02      3.32402e-05
    2.49180e-01      1.96991e+01      1.00000e+02      3.32401e-05
    2.52038e-01      1.93049e+01      1.00000e+02      3.32400e-05
    2.54928e-01      1.89669e+01      1.00000e+02      3.32399e-05
    2.57852e-01      1.86250e+01      1.00000e+02      3.32398e-05
    2.60809e-01      1.82791e+01      1.00000e+02      3.32397e-05
    2.63800e-01      1.79293e+01      1.00000e+02      3.32395e-05
    2.66826e-01      1.75755e+01      1.00000e+02      3.32394e-05
    2.69886e-01      1.72176e+01      1.00000e+02      3.32393e-05
    2.72981e-01      1.68556e+01      1.00000e+02      3.32392e-05
    2.76112e-01      1.64895e+01      1.00000e+02      3.32391e-05
    2.79278e-01      1.61192e+01      1.00000e+02      3.32389e-05
    2.82481e-01      1.57756e+01      1.00000e+02      3.32388e-05
    2.85721e-01      1.54758e+01      1.00000e+02      3.32387e-05
    2.88998e-01      1.51726e+01      1.00000e+02      3.32385e-05
    2.92313e-01      1.48658e+01      1.00000e+02      3.32384e-05
    2.95665e-01      1.45556e+01      1.00000e+02      3.32382e-05
    2.99056e-01      1.42418e+01      1.00000e+02      3.32381e-05
    3.02486e-01      1.39245e+01      1.00000e+02      3.32379e-05
    3.05955e-01      1.36034e+01      1.00000e+02      3.32378e-05
    3.09464e-01      1.32787e+01      1.00000e+02      3.32376e-05
    3.13013e-01      1.29801e+01      1.00000e+02      3.32375e-05
    3.16603e-01      1.27147e+01      1.00000e+02      3.32373e-05
    3.20235e-01      1.24463e+01      1.00000e+02      3.32372e-05
    3.23908e-01      1.21748e+01      1.00000e+02      3.32370e-05
    3.27623e-01      1.19003e+01      1.00000e+02      3.32369e-05
    3.31380e-01      1.16225e+01      1.00000e+02      3.32367e-05
    3.35181e-01      1.13416e+01      1.00000e+02      3.32366e-05
    3.39025e-01      1.10574e+01      1.00000e+02      3.32364e-05
    3.42914e-01      1.07887e+01      1.00000e+02      3.32363e-05
    3.46847e-01      1.05547e+01      1.00000e+02      3.32362e-05
    3.50825e-01      1.03180e+01      1.00000e+02      3.32361e-05
    3.54849e-01      1.00786e+01      1.00000e+02      3.32359e-05
    3.58919e-01      9.83647e+00      1.00000e+02      3.32358e-05
    3.63035e-01      9.59154e+00      1.00000e+02      3.32357e-05
    3.67199e-01      9.34380e+00      1.00000e+02      3.32356e-05
    3.71411e-01      9.09321e+00      1.00000e+02      3.32355e-05
    3.75671e-01      8.88253e+00      1.00000e+02      3.32353e-05
    3.79980e-01      8.67401e+00      1.00000e+02      3.32351e-05
    3.84338e-01      8.46309e+00      1.00000e+02      3.32348e-05
    3.88747e-01      8.24976e+00      1.00000e+02      3.32346e-05
    3.93205e-01      8.03397e+00      1.00000e+02      3.32344e-05
    3.97716e-01      7.81571e+00      1.00000e+02      3.32342e-05
    4.02277e-01      7.59719e+00      1.00000e+02      3.32340e-05
    4.06891e-01      7.41418e+00      1.00000e+02      3.32337e-05
    4.11559e-01      7.22906e+00      1.00000e+02      3.32335e-05
    4.16279e-01      7.04182e+00      1.00000e+02      3.32333e-05
    4.21054e-01      6.85243e+00      1.00000e+02      3.32331e-05
    4.25883e-01      6.66087e+00      1.00000e+02      3.32328e-05
    4.30768e-01      6.46711e+00      1.00000e+02      3.32326e-05
    4.35709e-01      6.29567e+00      1.00000e+02      3.32324e-05
    4.40707e-01      6.13260e+00      1.00000e+02      3.32322e-05
    4.45762e-01      5.96766e+00      1.00000e+02      3.32320e-05
    4.50875e-01      5.80083e+00      1.00000e+02      3.32317e-05
    4.56047e-01      5.63209e+00      1.00000e+02      3.32315e-05
    4.61278e-01      5.46141e+00      1.00000e+02      3.32313e-05
    4.66569e-01      5.31196e+00      1.00000e+02      3.32311e-05
    4.71921e-01      5.16729e+00      1.00000e+02      3.32309e-05
    4.77334e-01      5.02095e+00      1.00000e+02      3.32308e-05
    4.82809e-01      4.87294e+00      1.00000e+02      3.32306e-05
    4.88347e-01      4.72323e+00      1.00000e+02      3.32304e-05
    4.93949e-01      4.57779e+00      1.00000e+02      3.32302e-05
    4.99615e-01      4.45026e+00      1.00000e+02      3.32300e-05
    5.05345e-01      4.32127e+00      1.00000e+02      3.32297e-05
    5.11142e-01      4.19081e+00      1.00000e+02      3.32295e-05
    5.17005e-01      4.05884e+00      1.00000e+02      3.32292e-05
    5.22936e-01      3.92576e+00      1.00000e+02      3.32290e-05
    5.28934e-01      3.81273e+00      1.00000e+02      3.32287e-05
    5.35001e-01      3.69840e+00      1.00000e+02      3.32285e-05
    5.41138e-01      3.58276e+00      1.00000e+02      3.32282e-05
    5.47345e-01      3.46579e+00      1.00000e+02      3.32280e-05
    5.53624e-01      3.34926e+00      1.00000e+02      3.32277e-05
    5.59974e-01      3.24862e+00      1.00000e+02      3.32275e-05
    5.66398e-01      3.14683e+00      1.00000e+02      3.32272e-05
    5.72895e-01      3.04388e+00      1.00000e+02      3.32270e-05
    5.79466e-01      2.93974e+00      1.00000e+02      3.32267e-05
    5.86113e-01      2.84134e+00      1.00000e+02      3.32265e-05
    5.92837e-01      2.75098e+00      1.00000e+02      3.32262e-05
    5.99637e-01      2.65958e+00      1.00000e+02      3.32259e-05
    6.06516e-01      2.56713e+00      1.00000e+02      3.32256e-05
    6.13473e-01      2.47370e+00      1.00000e+02      3.32254e-05
    6.20510e-01      2.39382e+00      1.00000e+02      3.32251e-05
    6.27628e-01      2.31303e+00      1.00000e+02      3.32248e-05
    6.34827e-01      2.23130e+00      1.00000e+02      3.32245e-05
    6.42110e-01      2.14864e+00      1.00000e+02      3.32242e-05
    6.49475e-01      2.07421e+00      1.00000e+02      3.32239e-05
    6.56926e-01      2.00134e+00      1.00000e+02      3.32237e-05
    6.64461e-01      1.92764e+00      1.00000e+02      3.32234e-05
    6.72083e-01      1.85310e+00      1.00000e+02      3.32231e-05
    6.79793e-01      1.78656e+00      1.00000e+02      3.32227e-05
    6.87591e-01      1.72190e+00      1.00000e+02      3.32223e-05
    6.95478e-01      1.65650e+00      1.00000e+02      3.32218e-05
    7.03456e-01      1.59034e+00      1.00000e+02      3.32214e-05
    7.11526e-01      1.53197e+00      1.00000e+02      3.32211e-05
    7.19688e-01      1.47360e+00      1.00000e+02      3.32208e-05
    7.27944e-01      1.41456e+00      1.00000e+02      3.32205e-05
    7.36294e-01      1.35688e+00      1.00000e+02      3.32201e-05
    7.44741e-01      1.30489e+00      1.00000e+02      3.32198e-05
    7.53284e-01      1.25231e+00      1.00000e+02      3.32194e-05
    7.61925e-01      1.19912e+00      1.00000e+02      3.32190e-05
    7.70665e-01      1.15052e+00      1.00000e+02      3.32186e-05
    7.79506e-01      1.10351e+00      1.00000e+02      3.32183e-05
    7.88448e-01      1.05595e+00      1.00000e+02      3.32179e-05
    7.97492e-01      1.01002e+00      1.00000e+02      3.32175e-05
    8.06641e-01      9.68345e-01      1.00000e+02      3.32171e-05
    8.15894e-01      9.26189e-01      1.00000e+02      3.32167e-05
    8.25254e-01      8.83796e-01      1.00000e+02      3.32164e-05
    8.34721e-01      8.46424e-01      1.00000e+02      3.32160e-05
    8.44296e-01      8.08623e-01      1.00000e+02      3.32156e-05
    8.53981e-01      7.70388e-01      1.00000e+02      3.32152e-05
    8.63778e-01      7.36391e-01      1.00000e+02      3.32147e-05
    8.73687e-01      7.02583e-01      1.00000e+02      3.32143e-05
    8.83709e-01      6.68387e-01      1.00000e+02      3.32138e-05
    8.93847e-01      6.37584e-01      1.00000e+02      3.32134e-05
    9.04101e-01      6.07115e-01      1.00000e+02      3.32130e-05
    9.14472e-01      5.76296e-01      1.00000e+02      3.32125e-05
    9.24963e-01      5.48857e-01      1.00000e+02      3.32121e-05
    9.35574e-01      5.21493e-01      1.00000e+02      3.32116e-05
    9.46306e-01      4.94038e-01      1.00000e+02      3.32111e-05
    9.57162e-01      4.69757e-01      1.00000e+02      3.32107e-05
    9.68142e-01      4.45197e-01      1.00000e+02      3.32102e-05
    9.79248e-01      4.21349e-01      1.00000e+02      3.33340e-05
    9.90482e-01      3.99516e-01      1.00000e+02      3.37452e-05
    1.00184e+00      3.77431e-01      1.00000e+02      3.41612e-05
    1.01334e+00      3.56960e-01      1.00000e+02      3.43152e-05
    1.02496e+00      3.37347e-01      1.00000e+02      3.43147e-05
    1.03672e+00      3.17612e-01      1.00000e+02      3.43141e-05
    1.04861e+00      3.00207e-01      1.00000e+02      3.43135e-05
    1.06064e+00      2.82603e-01      1.00000e+02      3.43129e-05
    1.07281e+00      2.66032e-01      1.00000e+02      3.43124e-05
    1.08512e+00      2.50417e-01      1.00000e+02      3.43118e-05
    1.09757e+00      2.34772e-01      1.00000e+02      3.43113e-05
    1.11016e+00      2.20886e-01      1.00000e+02      3.43108e-05
    1.12289e+00      2.06841e-01      1.00000e+02      3.43103e-05
    1.13577e+00      1.93942e-01      1.00000e+02      3.43097e-05
    1.14880e+00      1.81485e-01      1.00000e+02      3.43091e-05
    1.16198e+00      1.69494e-01      1.00000e+02      3.43085e-05
    1.17531e+00      1.58400e-01      1.00000e+02      3.43080e-05
    1.18880e+00      1.47349e-01      1.00000e+02      3.43074e-05
    1.20243e+00      1.37523e-01      1.00000e+02      3.43067e-05
    1.21623e+00      1.27583e-01      1.00000e+02      3.43060e-05
    1.23018e+00      1.18753e-01      1.00000e+02      3.43055e-05
    1.24429e+00      1.09944e-01      1.00000e+02      3.43050e-05
    1.25857e+00      1.01958e-01      1.00000e+02      3.43043e-05
    1.27301e+00      9.41705e-02      1.00000e+02      3.43035e-05
    1.28761e+00      8.70185e-02      1.00000e+02      3.43028e-05
    1.30238e+00      8.01517e-02      1.00000e+02      3.43021e-05
    1.31732e+00      7.38105e-02      1.00000e+02      3.43014e-05
    1.33243e+00      6.77738e-02      1.00000e+02      3.43008e-05
    1.34772e+00      6.22059e-02      1.00000e+02      3.43001e-05
    1.36318e+00      5.69114e-02      1.00000e+02      3.42993e-05
    1.37882e+00      5.20741e-02      1.00000e+02      3.42986e-05
    1.39464e+00      4.74502e-02      1.00000e+02      3.42978e-05
    1.41064e+00      4.32919e-02      1.00000e+02      3.42971e-05
    1.42682e+00      3.92638e-02      1.00000e+02      3.42964e-05
    1.44319e+00      3.57264e-02      1.00000e+02      3.42957e-05
    1.45974e+00      3.22482e-02      1.00000e+02      3.42950e-05
    1.47649e+00      2.92508e-02      1.00000e+02      3.42943e-05
    1.49343e+00      2.63332e-02      1.00000e+02      3.42935e-05
    1.51056e+00      2.37402e-02      1.00000e+02      3.42927e-05
    1.52789e+00      2.13166e-02      1.00000e+02      3.42918e-05
    1.54542e+00      1.90797e-02      1.00000e+02      3.42910e-05
    1.56315e+00      1.70815e-02      1.00000e+02      3.42903e-05
    1.58108e+00      1.51692e-02      1.00000e+02      3.42895e-05
    1.59922e+00      1.35772e-02      1.00000e+02      3.42886e-05
    1.61757e+00      1.20444e-02      1.00000e+02      3.42877e-05
    1.63612e+00      1.06081e-02      1.00000e+02      3.42869e-05
    1.65489e+00      9.36978e-03      1.00000e+02      3.42860e-05
    1.67388e+00      8.21230e-03      1.00000e+02      3.42851e-05
    1.69308e+00      7.19569e-03      1.00000e+02      3.42843e-05
