    Er (keV)         SM dN/dE         BG dN/dE         BSM dN/dE (events/kg/day/keV)
    5.00000e-02      1.17505e+02      1.00000e+02      1.02583e-03
    2.24750e-01      2.47226e+01      1.00000e+02      1.65614e-04
    3.99500e-01      8.10001e+00      1.00000e+02      8.76417e-05
    5.74250e-01      3.18021e+00      1.00000e+02      5.97649e-05
    7.49000e-01      1.33825e+00      1.00000e+02      4.52382e-05
    9.23750e-01      5.80573e-01      1.00000e+02      3.64309e-05
    1.09850e+00      2.45161e-01      1.00000e+02      3.04678e-05
    1.27325e+00      9.90352e-02      1.00000e+02      2.61963e-05
    1.44800e+00      3.62941e-02      1.00000e+02      2.29648e-05
    1.62275e+00      1.22093e-02      1.00000e+02      2.04492e-05
    1.79750e+00      3.68395e-03      1.00000e+02      1.84251e-05
    1.97225e+00      1.36568e-03      1.00000e+02      1.67691e-05
    2.14700e+00      6.79037e-04      1.00000e+02      1.53831e-05
    2.32175e+00      4.41855e-04      1.00000e+02      1.42108e-05
    2.49650e+00      3.66041e-04      1.00000e+02      1.32025e-05
    2.67125e+00      3.41242e-04      1.00000e+02      1.23293e-05
    2.84600e+00      3.34679e-04      1.00000e+02      1.15630e-05
    3.02075e+00      3.34017e-04      1.00000e+02      1.08872e-05
    3.19550e+00      3.33921e-04      1.00000e+02      1.02851e-05
    3.37025e+00      3.33827e-04      1.00000e+02      9.74679e-06
    3.54500e+00      3.33736e-04      1.00000e+02      9.26136e-06
    3.71975e+00      3.33642e-04      1.00000e+02      8.82234e-06
    3.89450e+00      3.33553e-04      1.00000e+02      8.42265e-06
    4.06925e+00      3.33462e-04      1.00000e+02      8.05787e-06
    4.24400e+00      3.33372e-04      1.00000e+02      7.72300e-06
    4.41875e+00      3.33283e-04      1.00000e+02      7.41509e-06
    4.59350e+00      3.33194e-04      1.00000e+02      7.13047e-06
    4.76825e+00      3.33105e-04      1.00000e+02      6.86710e-06
    4.94300e+00      3.33017e-04      1.00000e+02      6.62222e-06
    5.11775e+00      3.32931e-04      1.00000e+02      6.39443e-06
    5.29250e+00      3.32846e-04      1.00000e+02      6.18163e-06
    5.46725e+00      3.32763e-04      1.00000e+02      5.98271e-06
    5.64200e+00      3.32680e-04      1.00000e+02      5.79604e-06
    5.81675e+00      3.32600e-04      1.00000e+02      5.62085e-06
    5.99150e+00      3.32520e-04      1.00000e+02      5.45582e-06
    6.16625e+00      3.32441e-04      1.00000e+02      5.30033e-06
