    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      2.49349e+02      1.00000e+01      9.84525e+01
    1.02859e-02      2.48445e+02      1.00000e+01      9.84525e+01
    1.04753e-02      2.47525e+02      1.00000e+01      9.84524e+01
    1.06682e-02      2.46587e+02      1.00000e+01      9.84524e+01
    1.08647e-02      2.45632e+02      1.00000e+01      9.84523e+01
    1.10648e-02      2.44660e+02      1.00000e+01      9.84523e+01
    1.12686e-02      2.43669e+02      1.00000e+01      9.84523e+01
    1.14763e-02      2.42660e+02      1.00000e+01      9.84522e+01
    1.16878e-02      2.41632e+02      1.00000e+01      9.84522e+01
    1.19032e-02      2.40585e+02      1.00000e+01      9.84521e+01
    1.21226e-02      2.39518e+02      1.00000e+01      9.84521e+01
    1.23462e-02      2.38432e+02      1.00000e+01      9.84520e+01
    1.25738e-02      2.37325e+02      1.00000e+01      9.84520e+01
    1.28057e-02      2.36198e+02      1.00000e+01      9.84519e+01
    1.30420e-02      2.35050e+02      1.00000e+01      9.84519e+01
    1.32826e-02      2.33880e+02      1.00000e+01      9.84518e+01
    1.35276e-02      2.32689e+02      1.00000e+01      9.84518e+01
    1.37773e-02      2.31476e+02      1.00000e+01      9.84517e+01
    1.40316e-02      2.30240e+02      1.00000e+01      9.84516e+01
    1.42906e-02      2.28981e+02      1.00000e+01      9.84516e+01
    1.45544e-02      2.27699e+02      1.00000e+01      9.84515e+01
    1.48231e-02      2.26392e+02      1.00000e+01      9.84515e+01
    1.50968e-02      2.25062e+02      1.00000e+01      9.84514e+01
    1.53757e-02      2.23707e+02      1.00000e+01      9.84514e+01
    1.56597e-02      2.22326e+02      1.00000e+01      9.84513e+01
    1.59489e-02      2.20920e+02      1.00000e+01      9.84512e+01
    1.62436e-02      2.19488e+02      1.00000e+01      9.84512e+01
    1.65437e-02      2.18030e+02      1.00000e+01      9.84511e+01
    1.68494e-02      2.16544e+02      1.00000e+01      9.84510e+01
    1.71608e-02      2.15030e+02      1.00000e+01      9.84510e+01
    1.74780e-02      2.13488e+02      1.00000e+01      9.84509e+01
    1.78011e-02      2.11918e+02      1.00000e+01      9.84508e+01
    1.81302e-02      2.10319e+02      1.00000e+01      9.84507e+01
    1.84654e-02      2.08689e+02      1.00000e+01      9.84507e+01
    1.88068e-02      2.07030e+02      1.00000e+01      9.84506e+01
    1.91546e-02      2.05339e+02      1.00000e+01      9.84505e+01
    1.95089e-02      2.03618e+02      1.00000e+01      9.84504e+01
    1.98697e-02      2.01864e+02      1.00000e+01      9.84504e+01
    2.02372e-02      2.00077e+02      1.00000e+01      9.84503e+01
    2.06116e-02      1.98258e+02      1.00000e+01      9.84502e+01
    2.09930e-02      1.96404e+02      1.00000e+01      9.84501e+01
    2.13814e-02      1.94516e+02      1.00000e+01      9.84500e+01
    2.17770e-02      1.92593e+02      1.00000e+01      9.84499e+01
    2.21800e-02      1.90634e+02      1.00000e+01      9.84499e+01
    2.25905e-02      1.88639e+02      1.00000e+01      9.84498e+01
    2.30087e-02      1.86607e+02      1.00000e+01      9.84497e+01
    2.34346e-02      1.84537e+02      1.00000e+01      9.84496e+01
    2.38684e-02      1.82428e+02      1.00000e+01      9.84495e+01
    2.43103e-02      1.80280e+02      1.00000e+01      9.84494e+01
    2.47604e-02      1.78093e+02      1.00000e+01      9.84493e+01
    2.52189e-02      1.75864e+02      1.00000e+01      9.84492e+01
    2.56859e-02      1.73594e+02      1.00000e+01      9.84491e+01
    2.61615e-02      1.71282e+02      1.00000e+01      9.84490e+01
    2.66461e-02      1.68928e+02      1.00000e+01      9.84489e+01
    2.71396e-02      1.66529e+02      1.00000e+01      9.84488e+01
    2.76423e-02      1.64085e+02      1.00000e+01      9.84487e+01
    2.81543e-02      1.61597e+02      1.00000e+01      9.84485e+01
    2.86759e-02      1.59061e+02      1.00000e+01      9.84484e+01
    2.92072e-02      1.56479e+02      1.00000e+01      9.84483e+01
    2.97483e-02      1.53849e+02      1.00000e+01      9.84482e+01
    3.02995e-02      1.51170e+02      1.00000e+01      9.84481e+01
    3.08610e-02      1.49980e+02      1.00000e+01      9.84479e+01
    3.14329e-02      1.48862e+02      1.00000e+01      9.84478e+01
    3.20154e-02      1.47724e+02      1.00000e+01      9.84477e+01
    3.26087e-02      1.46564e+02      1.00000e+01      9.84475e+01
    3.32131e-02      1.45382e+02      1.00000e+01      9.84474e+01
    3.38287e-02      1.44179e+02      1.00000e+01      9.84472e+01
    3.44558e-02      1.42953e+02      1.00000e+01      9.84471e+01
    3.50945e-02      1.41705e+02      1.00000e+01      9.84469e+01
    3.57451e-02      1.40433e+02      1.00000e+01      9.84468e+01
    3.64078e-02      1.39137e+02      1.00000e+01      9.84466e+01
    3.70828e-02      1.37818e+02      1.00000e+01      9.84465e+01
    3.77704e-02      1.36474e+02      1.00000e+01      9.84463e+01
    3.84707e-02      1.35105e+02      1.00000e+01      9.84461e+01
    3.91841e-02      1.33710e+02      1.00000e+01      9.84460e+01
    3.99107e-02      1.32290e+02      1.00000e+01      9.84458e+01
    4.06509e-02      1.30843e+02      1.00000e+01      9.84456e+01
    4.14048e-02      1.29370e+02      1.00000e+01      9.84454e+01
    4.21727e-02      1.27868e+02      1.00000e+01      9.84453e+01
    4.29549e-02      1.26339e+02      1.00000e+01      9.84451e+01
    4.37516e-02      1.24782e+02      1.00000e+01      9.84449e+01
    4.45631e-02      1.23196e+02      1.00000e+01      9.84447e+01
    4.53898e-02      1.21580e+02      1.00000e+01      9.84445e+01
    4.62318e-02      1.19934e+02      1.00000e+01      9.84443e+01
    4.70894e-02      1.18257e+02      1.00000e+01      9.84441e+01
    4.79630e-02      1.16550e+02      1.00000e+01      9.84439e+01
    4.88528e-02      1.14810e+02      1.00000e+01      9.84437e+01
    4.97592e-02      1.13038e+02      1.00000e+01      9.84434e+01
    5.06825e-02      1.11234e+02      1.00000e+01      9.84432e+01
    5.16229e-02      1.09757e+02      1.00000e+01      9.84430e+01
    5.25807e-02      1.08636e+02      1.00000e+01      9.84428e+01
    5.35564e-02      1.07495e+02      1.00000e+01      9.84426e+01
    5.45503e-02      1.06332e+02      1.00000e+01      9.84424e+01
    5.55626e-02      1.05148e+02      1.00000e+01      9.84422e+01
    5.65937e-02      1.03941e+02      1.00000e+01      9.84419e+01
    5.76440e-02      1.02712e+02      1.00000e+01      9.84417e+01
    5.87138e-02      1.01461e+02      1.00000e+01      9.84415e+01
    5.98035e-02      1.00186e+02      1.00000e+01      9.84413e+01
    6.09135e-02      9.88874e+01      1.00000e+01      9.84410e+01
    6.20441e-02      9.75647e+01      1.00000e+01      9.84408e+01
    6.31957e-02      9.62174e+01      1.00000e+01      9.84405e+01
    6.43688e-02      9.48451e+01      1.00000e+01      9.84403e+01
    6.55636e-02      9.34472e+01      1.00000e+01      9.84400e+01
    6.67807e-02      9.20233e+01      1.00000e+01      9.84398e+01
    6.80204e-02      9.05730e+01      1.00000e+01      9.84395e+01
    6.92831e-02      8.90957e+01      1.00000e+01      9.84392e+01
    7.05693e-02      8.75909e+01      1.00000e+01      9.84389e+01
    7.18794e-02      8.60582e+01      1.00000e+01      9.84387e+01
    7.32139e-02      8.49233e+01      1.00000e+01      9.84384e+01
    7.45732e-02      8.38081e+01      1.00000e+01      9.84381e+01
    7.59578e-02      8.26721e+01      1.00000e+01      9.84378e+01
    7.73681e-02      8.15149e+01      1.00000e+01      9.84375e+01
    7.88046e-02      8.03363e+01      1.00000e+01      9.84372e+01
    8.02678e-02      7.91357e+01      1.00000e+01      9.84368e+01
    8.17582e-02      7.79128e+01      1.00000e+01      9.84365e+01
    8.32764e-02      7.66672e+01      1.00000e+01      9.84362e+01
    8.48227e-02      7.53985e+01      1.00000e+01      9.84359e+01
    8.63979e-02      7.41061e+01      1.00000e+01      9.84355e+01
    8.80023e-02      7.27897e+01      1.00000e+01      9.84352e+01
    8.96365e-02      7.14489e+01      1.00000e+01      9.84348e+01
    9.13011e-02      7.00831e+01      1.00000e+01      9.84345e+01
    9.29966e-02      6.87290e+01      1.00000e+01      9.84621e+01
    9.47237e-02      6.76857e+01      1.00000e+01      9.87431e+01
    9.64829e-02      6.66230e+01      1.00000e+01      9.90294e+01
    9.82748e-02      6.55405e+01      1.00000e+01      9.93211e+01
    1.00100e-01      6.44379e+01      1.00000e+01      9.96181e+01
    1.01959e-01      6.33148e+01      1.00000e+01      9.99207e+01
    1.03853e-01      6.21708e+01      1.00000e+01      1.00229e+02
    1.05782e-01      6.10056e+01      1.00000e+01      1.00543e+02
    1.07747e-01      5.98186e+01      1.00000e+01      1.00863e+02
    1.09748e-01      5.86097e+01      1.00000e+01      1.01188e+02
    1.11786e-01      5.73782e+01      1.00000e+01      1.01520e+02
    1.13863e-01      5.61539e+01      1.00000e+01      1.01824e+02
    1.15978e-01      5.51838e+01      1.00000e+01      1.01824e+02
    1.18132e-01      5.41957e+01      1.00000e+01      1.01823e+02
    1.20326e-01      5.31892e+01      1.00000e+01      1.01823e+02
    1.22562e-01      5.21640e+01      1.00000e+01      1.01822e+02
    1.24838e-01      5.11197e+01      1.00000e+01      1.01822e+02
    1.27157e-01      5.00561e+01      1.00000e+01      1.01821e+02
