    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      7.66155e+00      1.00000e+02      4.00871e-05
    2.52651e-01      7.59394e+00      1.00000e+02      4.00869e-05
    2.55227e-01      7.52564e+00      1.00000e+02      4.00868e-05
    2.57830e-01      7.45665e+00      1.00000e+02      4.00867e-05
    2.60459e-01      7.38695e+00      1.00000e+02      4.00866e-05
    2.63115e-01      7.31654e+00      1.00000e+02      4.00864e-05
    2.65799e-01      7.24541e+00      1.00000e+02      4.00863e-05
    2.68509e-01      7.17356e+00      1.00000e+02      4.00862e-05
    2.71248e-01      7.10097e+00      1.00000e+02      4.00860e-05
    2.74014e-01      7.02764e+00      1.00000e+02      4.00859e-05
    2.76808e-01      6.95357e+00      1.00000e+02      4.00858e-05
    2.79631e-01      6.87873e+00      1.00000e+02      4.00856e-05
    2.82483e-01      6.80314e+00      1.00000e+02      4.00855e-05
    2.85364e-01      6.72677e+00      1.00000e+02      4.00853e-05
    2.88274e-01      6.64963e+00      1.00000e+02      4.00852e-05
    2.91214e-01      6.57694e+00      1.00000e+02      4.00851e-05
    2.94184e-01      6.51286e+00      1.00000e+02      4.00849e-05
    2.97185e-01      6.44813e+00      1.00000e+02      4.00848e-05
    3.00215e-01      6.38274e+00      1.00000e+02      4.00847e-05
    3.03277e-01      6.31668e+00      1.00000e+02      4.00845e-05
    3.06370e-01      6.24995e+00      1.00000e+02      4.00844e-05
    3.09495e-01      6.18254e+00      1.00000e+02      4.00842e-05
    3.12651e-01      6.11444e+00      1.00000e+02      4.00841e-05
    3.15840e-01      6.04564e+00      1.00000e+02      4.00839e-05
    3.19061e-01      5.97615e+00      1.00000e+02      4.00838e-05
    3.22315e-01      5.90594e+00      1.00000e+02      4.00836e-05
    3.25602e-01      5.83502e+00      1.00000e+02      4.00835e-05
    3.28923e-01      5.76337e+00      1.00000e+02      4.00833e-05
    3.32278e-01      5.69843e+00      1.00000e+02      4.00832e-05
    3.35667e-01      5.63809e+00      1.00000e+02      4.00830e-05
    3.39090e-01      5.57712e+00      1.00000e+02      4.00829e-05
    3.42549e-01      5.51553e+00      1.00000e+02      4.00828e-05
    3.46042e-01      5.45332e+00      1.00000e+02      4.00826e-05
    3.49572e-01      5.39047e+00      1.00000e+02      4.00825e-05
    3.53137e-01      5.32698e+00      1.00000e+02      4.00823e-05
    3.56739e-01      5.26284e+00      1.00000e+02      4.00822e-05
    3.60377e-01      5.19804e+00      1.00000e+02      4.00820e-05
    3.64053e-01      5.13259e+00      1.00000e+02      4.00818e-05
    3.67766e-01      5.06647e+00      1.00000e+02      4.00817e-05
    3.71517e-01      5.00274e+00      1.00000e+02      4.00815e-05
    3.75306e-01      4.94621e+00      1.00000e+02      4.00813e-05
    3.79134e-01      4.88911e+00      1.00000e+02      4.00811e-05
    3.83001e-01      4.83142e+00      1.00000e+02      4.00809e-05
    3.86907e-01      4.77315e+00      1.00000e+02      4.00806e-05
    3.90853e-01      4.71428e+00      1.00000e+02      4.00804e-05
