    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      2.33052e-02      5.00000e+00      1.73621e-06
    5.07729e-02      2.29553e-02      5.00000e+00      1.73621e-06
    5.14550e-02      2.26008e-02      5.00000e+00      1.73621e-06
    5.21461e-02      2.22414e-02      5.00000e+00      1.73621e-06
    5.28466e-02      2.18773e-02      5.00000e+00      1.73621e-06
    5.35565e-02      2.15082e-02      5.00000e+00      1.73620e-06
    5.42760e-02      2.11342e-02      5.00000e+00      1.73620e-06
    5.50052e-02      2.07551e-02      5.00000e+00      1.73620e-06
    5.57441e-02      2.03710e-02      5.00000e+00      1.73620e-06
    5.64931e-02      1.99816e-02      5.00000e+00      1.73620e-06
    5.72520e-02      1.95871e-02      5.00000e+00      1.73620e-06
    5.80213e-02      1.91872e-02      5.00000e+00      1.73620e-06
    5.88008e-02      1.87819e-02      5.00000e+00      1.73620e-06
    5.95909e-02      1.83712e-02      5.00000e+00      1.73620e-06
    6.03916e-02      1.79549e-02      5.00000e+00      1.73619e-06
    6.12030e-02      1.75331e-02      5.00000e+00      1.73619e-06
    6.20254e-02      1.71056e-02      5.00000e+00      1.73619e-06
    6.28589e-02      1.66723e-02      5.00000e+00      1.73619e-06
    6.37035e-02      1.62332e-02      5.00000e+00      1.73619e-06
    6.45596e-02      1.57881e-02      5.00000e+00      1.73619e-06
    6.54271e-02      1.53371e-02      5.00000e+00      1.73619e-06
    6.63064e-02      1.48800e-02      5.00000e+00      1.73618e-06
    6.71974e-02      1.44168e-02      5.00000e+00      1.73618e-06
    6.81005e-02      1.39473e-02      5.00000e+00      1.73618e-06
    6.90157e-02      1.34715e-02      5.00000e+00      1.73618e-06
    6.99433e-02      1.29893e-02      5.00000e+00      1.73618e-06
    7.08833e-02      1.25007e-02      5.00000e+00      1.73618e-06
    7.18360e-02      1.20054e-02      5.00000e+00      1.73617e-06
    7.28014e-02      1.15035e-02      5.00000e+00      1.73617e-06
    7.37799e-02      1.09948e-02      5.00000e+00      1.73617e-06
    7.47716e-02      1.04793e-02      5.00000e+00      1.73617e-06
    7.57766e-02      9.95680e-03      5.00000e+00      1.73617e-06
    7.67951e-02      9.42730e-03      5.00000e+00      1.73617e-06
    7.78274e-02      8.89067e-03      5.00000e+00      1.73617e-06
