    Er (keV)         SM dN/dE         BG dN/dE         BSM dN/dE (events/kg/day/keV)
    5.00000e-02      -2.10392e+03      1.00000e+02      2.37587e-01
    2.24750e-01      -1.51873e+04      1.00000e+02      3.81643e-01
    3.99500e-01      -2.81943e+04      1.00000e+02      3.98934e-01
    5.74250e-01      -4.11149e+04      1.00000e+02      4.04722e-01
    7.49000e-01      -5.39517e+04      1.00000e+02      4.07199e-01
    9.23750e-01      -6.67030e+04      1.00000e+02      4.08207e-01
    1.09850e+00      -7.93712e+04      1.00000e+02      4.08470e-01
    1.27325e+00      -9.19547e+04      1.00000e+02      4.08285e-01
    1.44800e+00      -1.04456e+05      1.00000e+02      4.07824e-01
    1.62275e+00      -1.16873e+05      1.00000e+02      4.07171e-01
    1.79750e+00      -1.29209e+05      1.00000e+02      4.06387e-01
    1.97225e+00      -1.41461e+05      1.00000e+02      4.05506e-01
    2.14700e+00      -1.53632e+05      1.00000e+02      4.04554e-01
    2.32175e+00      -1.65721e+05      1.00000e+02      4.03547e-01
    2.49650e+00      -1.77730e+05      1.00000e+02      4.02498e-01
    2.67125e+00      -1.89657e+05      1.00000e+02      4.01415e-01
    2.84600e+00      -2.01505e+05      1.00000e+02      4.00306e-01
    3.02075e+00      -2.13271e+05      1.00000e+02      3.99176e-01
    3.19550e+00      -2.24959e+05      1.00000e+02      3.98029e-01
    3.37025e+00      -2.36567e+05      1.00000e+02      3.96868e-01
    3.54500e+00      -2.48096e+05      1.00000e+02      3.95695e-01
    3.71975e+00      -2.59546e+05      1.00000e+02      3.94514e-01
    3.89450e+00      -2.70918e+05      1.00000e+02      3.93325e-01
    4.06925e+00      -2.82212e+05      1.00000e+02      3.92131e-01
    4.24400e+00      -2.93429e+05      1.00000e+02      3.90931e-01
    4.41875e+00      -3.04568e+05      1.00000e+02      3.89728e-01
    4.59350e+00      -3.15631e+05      1.00000e+02      3.88522e-01
    4.76825e+00      -3.26616e+05      1.00000e+02      3.87314e-01
    4.94300e+00      -3.37526e+05      1.00000e+02      3.86104e-01
    5.11775e+00      -3.48360e+05      1.00000e+02      3.84893e-01
    5.29250e+00      -3.59118e+05      1.00000e+02      3.83682e-01
    5.46725e+00      -3.69801e+05      1.00000e+02      3.82471e-01
    5.64200e+00      -3.80410e+05      1.00000e+02      3.81260e-01
    5.81675e+00      -3.90943e+05      1.00000e+02      3.80049e-01
    5.99150e+00      -4.01403e+05      1.00000e+02      3.78839e-01
    6.16625e+00      -4.11789e+05      1.00000e+02      3.77630e-01
    6.34100e+00      -4.22101e+05      1.00000e+02      3.76423e-01
    6.51575e+00      -4.32340e+05      1.00000e+02      3.75217e-01
    6.69050e+00      -4.42507e+05      1.00000e+02      3.74012e-01
    6.86525e+00      -4.52600e+05      1.00000e+02      3.72810e-01
    7.04000e+00      -4.62622e+05      1.00000e+02      3.71609e-01
    7.21475e+00      -4.72572e+05      1.00000e+02      3.70410e-01
    7.38950e+00      -4.82451e+05      1.00000e+02      3.69213e-01
    7.56425e+00      -4.92257e+05      1.00000e+02      3.68019e-01
    7.73900e+00      -5.01994e+05      1.00000e+02      3.66826e-01
    7.91375e+00      -5.11660e+05      1.00000e+02      3.65636e-01
    8.08850e+00      -5.21256e+05      1.00000e+02      3.64449e-01
    8.26325e+00      -5.30781e+05      1.00000e+02      3.63264e-01
    8.43800e+00      -5.40237e+05      1.00000e+02      3.62082e-01
    8.61275e+00      -5.49624e+05      1.00000e+02      3.60902e-01
    8.78750e+00      -5.58942e+05      1.00000e+02      3.59725e-01
    8.96225e+00      -5.68191e+05      1.00000e+02      3.58550e-01
    9.13700e+00      -5.77373e+05      1.00000e+02      3.57379e-01
    9.31175e+00      -5.86485e+05      1.00000e+02      3.56210e-01
    9.48650e+00      -5.95531e+05      1.00000e+02      3.55044e-01
    9.66125e+00      -6.04509e+05      1.00000e+02      3.53881e-01
    9.83600e+00      -6.13420e+05      1.00000e+02      3.52720e-01
    1.00108e+01      -6.22264e+05      1.00000e+02      3.51563e-01
    1.01855e+01      -6.31042e+05      1.00000e+02      3.50408e-01
    1.03603e+01      -6.39754e+05      1.00000e+02      3.49257e-01
    1.05350e+01      -6.48400e+05      1.00000e+02      3.48108e-01
    1.07098e+01      -6.56980e+05      1.00000e+02      3.46963e-01
    1.08845e+01      -6.65496e+05      1.00000e+02      3.45820e-01
    1.10593e+01      -6.73945e+05      1.00000e+02      3.44680e-01
    1.12340e+01      -6.82332e+05      1.00000e+02      3.43544e-01
    1.14088e+01      -6.90653e+05      1.00000e+02      3.42410e-01
    1.15835e+01      -6.98911e+05      1.00000e+02      3.41279e-01
    1.17583e+01      -7.07104e+05      1.00000e+02      3.40152e-01
    1.19330e+01      -7.15235e+05      1.00000e+02      3.39027e-01
    1.21078e+01      -7.23301e+05      1.00000e+02      3.37906e-01
    1.22825e+01      -7.31306e+05      1.00000e+02      3.36787e-01
    1.24573e+01      -7.39248e+05      1.00000e+02      3.35672e-01
    1.26320e+01      -7.47128e+05      1.00000e+02      3.34560e-01
    1.28068e+01      -7.54945e+05      1.00000e+02      3.33451e-01
    1.29815e+01      -7.62702e+05      1.00000e+02      3.32344e-01
    1.31563e+01      -7.70396e+05      1.00000e+02      3.31241e-01
    1.33310e+01      -7.78031e+05      1.00000e+02      3.30141e-01
    1.35058e+01      -7.85603e+05      1.00000e+02      3.29044e-01
    1.36805e+01      -7.93116e+05      1.00000e+02      3.27950e-01
    1.38553e+01      -8.00568e+05      1.00000e+02      3.26860e-01
    1.40300e+01      -8.07961e+05      1.00000e+02      3.25772e-01
    1.42048e+01      -8.15293e+05      1.00000e+02      3.24687e-01
    1.43795e+01      -8.22567e+05      1.00000e+02      3.23606e-01
    1.45543e+01      -8.29781e+05      1.00000e+02      3.22527e-01
    1.47290e+01      -8.36937e+05      1.00000e+02      3.21452e-01
    1.49038e+01      -8.44034e+05      1.00000e+02      3.20379e-01
    1.50785e+01      -8.51073e+05      1.00000e+02      3.19310e-01
    1.52533e+01      -8.58054e+05      1.00000e+02      3.18244e-01
    1.54280e+01      -8.64978e+05      1.00000e+02      3.17181e-01
    1.56028e+01      -8.71843e+05      1.00000e+02      3.16120e-01
    1.57775e+01      -8.78652e+05      1.00000e+02      3.15063e-01
    1.59523e+01      -8.85404e+05      1.00000e+02      3.14009e-01
    1.61270e+01      -8.92100e+05      1.00000e+02      3.12958e-01
    1.63018e+01      -8.98738e+05      1.00000e+02      3.11910e-01
    1.64765e+01      -9.05322e+05      1.00000e+02      3.10865e-01
    1.66513e+01      -9.11849e+05      1.00000e+02      3.09823e-01
    1.68260e+01      -9.18321e+05      1.00000e+02      3.08784e-01
    1.70008e+01      -9.24737e+05      1.00000e+02      3.07749e-01
    1.71755e+01      -9.31099e+05      1.00000e+02      3.06716e-01
    1.73503e+01      -9.37406e+05      1.00000e+02      3.05686e-01
    1.75250e+01      -9.43659e+05      1.00000e+02      3.04659e-01
    1.76998e+01      -9.49857e+05      1.00000e+02      3.03635e-01
    1.78745e+01      -9.56001e+05      1.00000e+02      3.02614e-01
    1.80493e+01      -9.62092e+05      1.00000e+02      3.01596e-01
    1.82240e+01      -9.68130e+05      1.00000e+02      3.00582e-01
    1.83988e+01      -9.74114e+05      1.00000e+02      2.99570e-01
    1.85735e+01      -9.80046e+05      1.00000e+02      2.98561e-01
    1.87483e+01      -9.85924e+05      1.00000e+02      2.97555e-01
    1.89230e+01      -9.91751e+05      1.00000e+02      2.96552e-01
    1.90978e+01      -9.97525e+05      1.00000e+02      2.95552e-01
    1.92725e+01      -1.00325e+06      1.00000e+02      2.94555e-01
    1.94473e+01      -1.00892e+06      1.00000e+02      2.93560e-01
    1.96220e+01      -1.01454e+06      1.00000e+02      2.92569e-01
    1.97968e+01      -1.02011e+06      1.00000e+02      2.91581e-01
    1.99715e+01      -1.02562e+06      1.00000e+02      2.90596e-01
    2.01463e+01      -1.03109e+06      1.00000e+02      2.89613e-01
    2.03210e+01      -1.03651e+06      1.00000e+02      2.88634e-01
    2.04958e+01      -1.04188e+06      1.00000e+02      2.87657e-01
    2.06705e+01      -1.04719e+06      1.00000e+02      2.86683e-01
    2.08453e+01      -1.05246e+06      1.00000e+02      2.85712e-01
    2.10200e+01      -1.05768e+06      1.00000e+02      2.84744e-01
    2.11948e+01      -1.06285e+06      1.00000e+02      2.83779e-01
    2.13695e+01      -1.06797e+06      1.00000e+02      2.82817e-01
    2.15443e+01      -1.07304e+06      1.00000e+02      2.81858e-01
    2.17190e+01      -1.07806e+06      1.00000e+02      2.80901e-01
